new,host,a,cname,soa,status_code,cdn,cdn-name,txt,aaaa,mx,ns,has_internal_ips,internal_ips,caa
[x],click.notifications.newrelic.com,"167.89.118.52, 167.89.123.124, 167.89.118.83, 167.89.123.54",sendgrid.net,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,"google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei, mailru-verification: 2e3995fa8a7d00e0",,"mx2.sendgrid.net, mx.sendgrid.net","ns15.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns10.dnsmadeeasy.com",,,"amazonaws.com, godaddy.com"
[x],cloudfront-dl.newrelic.com,"18.165.98.129, 18.165.98.89, 18.165.98.23, 18.165.98.104",d2zpfo58fdemx3.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,True,cloudfront,,"2600:9000:24f5:2200:1a:8ebd:21c0:93a1, 2600:9000:24f5:e200:1a:8ebd:21c0:93a1, 2600:9000:24f5:ec00:1a:8ebd:21c0:93a1, 2600:9000:24f5:fe00:1a:8ebd:21c0:93a1, 2600:9000:24f5:2a00:1a:8ebd:21c0:93a1, 2600:9000:24f5:1c00:1a:8ebd:21c0:93a1, 2600:9000:24f5:8800:1a:8ebd:21c0:93a1, 2600:9000:24f5:fc00:1a:8ebd:21c0:93a1",,,,,
[x],collector-006.newrelic.com,162.247.243.32,"collector.cell.nr-data.net, fastly-tls12-collector.newrelic.com, tls12.newrelic.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com, dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],collector-1.staging-collectors.newrelic.com,162.247.241.21,"collector-1.staging-collectors.cell.nr-data.net, collector-1.staging-collectors.newrelic.com.cdn.cloudflare.net, spectrum.staging-collectors.newrelic.com, fastly-staging-collectors.newrelic.com","dns1.p05.nsone.net, hostmaster.nsone.net, dns1.p07.nsone.net",NOERROR,,,,,,,,,
[x],collector-2.staging-collectors.newrelic.com,162.247.243.6,"collector-2.staging-collectors.cell.nr-data.net, fastly-staging-collectors.newrelic.com, collector-2.staging-collectors.newrelic.com.cdn.cloudflare.net, spectrum.staging-collectors.newrelic.com","dns1.p05.nsone.net, hostmaster.nsone.net, dns1.p07.nsone.net",NOERROR,,,,,,,,,
[x],collector-7.newrelic.com,162.247.242.27,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],collector-pool.newrelic.com,"162.247.242.14, 162.247.242.27, 162.247.242.26, 162.247.242.28",,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],collector-pool.staging-collectors.newrelic.com,162.247.241.21,"collector-pool.staging-collectors.cell.nr-data.net, collector-pool.staging-collectors.newrelic.com.cdn.cloudflare.net, spectrum.staging-collectors.newrelic.com","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],collector.eu.newrelic.com,185.221.85.4,"collector.cell.eu.nr-data.net, tls12.eu.newrelic.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],collector.newrelic.com,162.247.243.32,"collector.cell.nr-data.net, fastly-tls12-collector.newrelic.com, tls12.newrelic.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com, dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],community.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 include:mailgun.org ~all,,"mxa.mailgun.org, mxb.mailgun.org",,,,
[x],connect.newrelic.com,,d1uokmrbqx6ry0.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,,
[x],connection-test.newrelic.com,162.247.242.43,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],credentials.newrelic.com,"3.74.25.89, 35.234.85.218","www5.credential.net, accredible.netlifyglobalcdn.com","dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,"2a05:d014:275:cb00:a677:4575:7ecf:3257, 2a05:d014:275:cb01:949b:27e2:ac2c:f10b",,,,,
[x],current-azure-ext.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],de.blog.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],dev-login.newrelic.com,162.247.242.154,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],dev.newrelic.com,151.101.246.137,dualstack.k.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,2a04:4e42:3a::649,,,,,
[x],developer.newrelic.com,,"developerwebsite.gatsbyjs.io, dualstack.eu-na.gatsbyjs.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,2a04:4e42:8e::534,,"ns1.fastly.net, ns2.fastly.net, ns3.fastly.net, ns4.fastly.net",,,
[x],df-azure-ext.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],diagnostics.service.newrelic.com,"18.116.99.106, 3.13.8.197, 3.21.48.252, 3.23.5.94, 3.129.33.187, 18.224.208.16, 3.141.74.106, 18.219.167.17, 3.130.14.191","us.service.nucleus.newrelic.com, us.nucleus-lb.newrelic.com","dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],dl.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],docs-dev.newrelic.com,"199.232.194.22, 199.232.198.22","docswebsitestaging.gatsbyjs.io, dualstack.eu-na.gatsbyjs.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,"2a04:4e42:4c::534, 2a04:4e42:4d::534",,,,,
[x],docs-preview.newrelic.com,146.75.122.22,"betadocssite.gatsbyjs.io, dualstack.eu-na.gatsbyjs.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,2a04:4e42:8e::534,,,,,
[x],docs-ra.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],docs.newrelic.com,151.101.46.22,"docswebsite.gatsbyjs.io, dualstack.eu-na.gatsbyjs.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,2a04:4e42:b::534,,,,,
[x],download.newrelic.com,"151.101.2.137, 151.101.66.137, 151.101.130.137, 151.101.194.137",k.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],dr.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],elb2.nucleus-lb.newrelic.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],eu-fluffy-paws.nucleus-lb.newrelic.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],eu-steep-hill.nucleus-lb.newrelic.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],eu.newrelic.com,,,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,_globalsign-domain-verification=7JmN6dazOT7LXjyHvi_YmaRlN4ZcwfGCyQ7CfElelu,,,,,,
[x],eu.newrelic.com-tls12.eu.newrelic.com,,,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],eu.nucleus-lb.newrelic.com,"3.71.161.175, 3.72.139.119, 3.73.23.146, 3.124.168.10, 18.196.172.45, 52.58.246.158",,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],fastly-log-api.eu.newrelic.com,,,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],fastly-log-api.newrelic.com,162.247.243.22,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],fastly-staging-collectors.newrelic.com,162.247.243.6,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],fastly-staging-mobile-crash.newrelic.com,162.247.243.12,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,162.247.243.12,,,,,
[x],feedback-service.staging-service.newrelic.com,"18.224.224.227, 3.143.41.234, 3.136.254.97, 18.189.241.80, 3.22.85.221, 3.139.209.181","staging.service.nucleus.newrelic.com, staging.nucleus-lb.newrelic.com","dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],forum.newrelic.com,"2.16.187.43, 2.16.187.98","forum.newrelic.com.00d1u000000xkhkuae.live.siteforce.com, sdc.prod.communities.salesforce.cdn.edgekey.net, e78038.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"2a02:26f0:1700:11::b856:6791, 2a02:26f0:1700:11::b856:679f",,,,,
[x],gatsby-theme-demo.newrelic.com,146.75.122.22,"gatsbythemedemo.gatsbyjs.io, dualstack.eu-na.gatsbyjs.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,2a04:4e42:8e::534,,"ns1.fastly.net, ns2.fastly.net, ns3.fastly.net, ns4.fastly.net",,,
[x],got.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],gov-metric-api.newrelic.com,162.247.241.12,spectrum.fedramp-ingest.newrelic.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],h2-wildcard.staging-service.newrelic.com,162.247.242.171,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],helix.newrelic.com,"162.247.242.37, 162.247.242.35, 162.247.242.36",service.newrelic.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,"google-site-verification=H9LcM9OsqwRJRJDvX_9NGjmN84vPvewGCdvwBisd_Ac, yandex-verification: 29b3e6dd229193fb",,,,,,
[x],helm-charts.newrelic.com,"52.222.139.105, 52.222.139.78, 52.222.139.106, 52.222.139.120",d34lpxcxcpd6w.cloudfront.net,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"2600:9000:2204:9200:14:72f:c200:93a1, 2600:9000:2204:9000:14:72f:c200:93a1, 2600:9000:2204:c200:14:72f:c200:93a1, 2600:9000:2204:ba00:14:72f:c200:93a1, 2600:9000:2204:2200:14:72f:c200:93a1, 2600:9000:2204:d800:14:72f:c200:93a1, 2600:9000:2204:e800:14:72f:c200:93a1, 2600:9000:2204:1c00:14:72f:c200:93a1",,"ns-1927.awsdns-48.co.uk, ns-698.awsdns-23.net, ns-1138.awsdns-14.org, ns-136.awsdns-17.com",,,
[x],herald.service.newrelic.com,"3.13.8.197, 3.130.14.191, 18.224.208.16, 18.219.167.17, 3.21.48.252, 3.129.33.187, 3.23.5.94, 18.116.99.106, 3.141.74.106","us.service.nucleus.newrelic.com, us.nucleus-lb.newrelic.com","dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],identity-api.eu.newrelic.com,"185.221.86.51, 185.221.86.19",,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],identity-api.newrelic.com,162.247.242.44,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],infra-api.newrelic.com,162.247.243.20,"infra-api.cell.nr-data.net, fastly-infra-api.newrelic.com","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],infra.newrelic.com,"162.247.242.35, 162.247.242.36, 162.247.242.37",service.newrelic.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,"google-site-verification=H9LcM9OsqwRJRJDvX_9NGjmN84vPvewGCdvwBisd_Ac, yandex-verification: 29b3e6dd229193fb",,,,,,
[x],infrastructure-command-api.newrelic.com,162.247.242.49,ip-162-247-242-49.newrelic.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],infrastructure.eu.newrelic.com,"185.221.86.41, 185.221.86.9",public-service-gateway.eu.newrelic.com,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ingest-test-api.eu.newrelic.com,185.221.85.5,ingest-test-api.eu.newrelic.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],ingest-test.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],insights-api.newrelic.com,162.247.242.41,legacy-service.newrelic.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],insights-collector.newrelic.com,162.247.241.2,"insights-collector.cell.nr-data.net, tls12.newrelic.com.cdn.cloudflare.net, fastly-tls12-insights-collector.newrelic.com","dns1.p07.nsone.net, hostmaster.nsone.net, ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],insights.eu.newrelic.com,"185.221.86.41, 185.221.86.9",public-service-gateway.eu.newrelic.com,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],insights.newrelic.com,"162.247.242.35, 162.247.242.36, 162.247.242.37",service.newrelic.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,"google-site-verification=H9LcM9OsqwRJRJDvX_9NGjmN84vPvewGCdvwBisd_Ac, yandex-verification: 29b3e6dd229193fb",,,,,,
[x],intercom-auth.staging-service.newrelic.com,162.247.242.170,wildcard.staging-service.newrelic.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],k8s-config-generator.staging-service.newrelic.com,"18.189.241.80, 3.22.85.221, 3.139.209.181, 18.224.224.227, 3.136.254.97, 3.143.41.234","staging.service.nucleus.newrelic.com, staging.nucleus-lb.newrelic.com","dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],knowledge.newrelic.com,"62.115.252.33, 80.239.137.136","knowledge.newrelic.com.00d1u000000xkhkuae.live.siteforce.com, sdc.prod.communities.salesforce.cdn.edgekey.net, e78038.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"2001:2030:0:17::50ef:fe15, 2001:2030:0:17::50ef:fe1d",,,,,
[x],learn-dev.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],learn-ra.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],learn-staging.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],learn.newrelic.com,"13.225.78.2, 13.225.78.8, 13.225.78.94, 13.225.78.96",learn.newrelic.com.skilljarapp.com,"ns-1577.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],legacy-service-2.newrelic.com,162.247.242.41,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],legacy-service.newrelic.com,162.247.242.41,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],localhost.newrelic.com,127.0.0.1,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,True,127.0.0.1,
[x],log-api.newrelic.com,0.0.0.0,,"fake-for-negative-caching.adguard.com, hostmaster.log-api.newrelic.com",NOERROR,,,,::,,,True,0.0.0.0,
[x],loghost.newrelic.com,10.1.0.17,chi-ops-log-1.nr-ops.net,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,True,10.1.0.17,
[x],login-origin.newrelic.com,162.247.242.42,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],login.newrelic.com,162.247.242.42,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],mail-159-1.alerts.newrelic.com,192.237.159.1,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],mail-159-2.alerts.newrelic.com,192.237.159.2,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],mail-182-156.alerts.newrelic.com,23.253.182.156,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],mail-182-157.alerts.newrelic.com,23.253.182.157,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],mail-255-47.alerts.newrelic.com,198.61.255.47,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],maps.eu.newrelic.com,"185.221.86.41, 185.221.86.9",public-service-gateway.eu.newrelic.com,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],maps.newrelic.com,"162.247.242.36, 162.247.242.37, 162.247.242.35",service.newrelic.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,"google-site-verification=H9LcM9OsqwRJRJDvX_9NGjmN84vPvewGCdvwBisd_Ac, yandex-verification: 29b3e6dd229193fb",,,,,,
[x],meetme.newrelic.com,"162.247.242.36, 162.247.242.37, 162.247.242.35",service.newrelic.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,"google-site-verification=H9LcM9OsqwRJRJDvX_9NGjmN84vPvewGCdvwBisd_Ac, yandex-verification: 29b3e6dd229193fb",,,,,,
[x],metric-api.eu.newrelic.com,185.221.87.34,"metric-api.cell.eu.nr-data.net, fastly-tls12-metric-api.eu.newrelic.com, metric-api.eu.newrelic.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],metric-api.newrelic.com,162.247.241.10,"metric-api.cell.nr-data.net, metric-api.newrelic.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mobile-collector-origin.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],mobile-collector.newrelic.com,162.247.241.4,"mobile-collector.cell.nr-data.net, mobile-collector.newrelic.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],new-ilikeasos28.staging-service.newrelic.com,162.247.242.170,wildcard.staging-service.newrelic.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],newchartdata.service.eu.newrelic.com,"185.221.86.8, 185.221.86.40",wildcard.service.eu.newrelic.com,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
