new,host,a,soa,status_code,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips,mx,ns,txt,caa
,sharedsys.its.monash.edu,130.194.20.128,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,sharefiletest.monash.edu,130.194.12.9,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,2001:388:608c:817:250:56ff:feb5:6c74,,,,,,,,,
,shares.erc.monash.edu,118.138.245.158,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,shop.monash.edu,151.101.45.124,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,prod.magentocloud.map.fastly.net,True,fastly,,,,,,
,sia.monash.edu,10.24.136.121,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.24.136.121,,,,
,sierra.erc.monash.edu,,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,signage-qat.lib.monash.edu,10.23.53.252,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.23.53.252,,,,
,signage.lib.monash.edu,10.24.126.70,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.24.126.70,,,,
,simlin.erc.monash.edu,118.138.243.81,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,skands.physics.monash.edu,130.194.20.12,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,slides.monash.edu,,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,smartreports.monash.edu,"54.192.137.28, 54.192.137.65, 54.192.137.79, 54.192.137.97","ns-227.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2062:b000:1e:e6f4:74c0:93a1, 2600:9000:2062:a000:1e:e6f4:74c0:93a1, 2600:9000:2062:6800:1e:e6f4:74c0:93a1, 2600:9000:2062:200:1e:e6f4:74c0:93a1, 2600:9000:2062:3e00:1e:e6f4:74c0:93a1, 2600:9000:2062:b600:1e:e6f4:74c0:93a1, 2600:9000:2062:a00:1e:e6f4:74c0:93a1, 2600:9000:2062:e00:1e:e6f4:74c0:93a1",d34pmn4ikl7yz7.cloudfront.net,True,cloudfront,,,,"ns-958.awsdns-55.net, ns-1712.awsdns-22.co.uk, ns-227.awsdns-28.com, ns-1082.awsdns-07.org",,
,sms.monash.edu,130.194.11.126,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,2001:388:608c:88b::7e,,,,,,,,v=spf1 -all,
,sms.mti.monash.edu,130.194.20.212,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,2001:388:608c:8c1:250:56ff:feba:759c,,,,,,,,,
,smtp-qa.monash.edu,130.194.19.129,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,2001:388:608c:8d7:250:56ff:fe93:4702,,,,,,,,,
,smtp-relay.its.monash.edu,130.194.10.10,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,smtp.its.monash.edu,130.194.10.10,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,smtp.monash.edu,130.194.10.10,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,space-dev.bpd.monash.edu,130.194.24.68,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,2001:388:608c:8d2:250:56ff:fe93:18d0,,,,,,,,,
,space.bpd.monash.edu,130.194.24.151,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,space.fsd.monash.edu,130.194.24.151,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,2001:388:608c:8d2:250:56ff:fea4:7197,space.bpd.monash.edu,,,,,,,,
,spc.med.monash.edu,"108.138.17.19, 108.138.17.115, 108.138.17.20, 108.138.17.52","ns-175.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2491:8200:10:acd8:5580:93a1, 2600:9000:2491:b800:10:acd8:5580:93a1, 2600:9000:2491:3400:10:acd8:5580:93a1, 2600:9000:2491:2600:10:acd8:5580:93a1, 2600:9000:2491:3e00:10:acd8:5580:93a1, 2600:9000:2491:ec00:10:acd8:5580:93a1, 2600:9000:2491:f200:10:acd8:5580:93a1, 2600:9000:2491:2400:10:acd8:5580:93a1",d22x636pm3r5ue.cloudfront.net,True,cloudfront,,,,"ns-1369.awsdns-43.org, ns-175.awsdns-21.com, ns-1959.awsdns-52.co.uk, ns-968.awsdns-57.net",,
,speccon.corp-prd.aws.monash.edu,"10.24.217.49, 10.24.203.160","ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,internal-res-trans-speccone-1q9b4jwz86acw-728842764.ap-southeast-2.elb.amazonaws.com,,,True,"10.24.217.49, 10.24.203.160",,,,
,special-consideration.apps.monash.edu,"143.204.176.37, 143.204.176.114, 143.204.176.67, 143.204.176.126","ns-1899.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,d3080fwzc4lyl4.cloudfront.net,True,cloudfront,,,,"ns-1040.awsdns-02.org, ns-237.awsdns-29.com, ns-699.awsdns-23.net, ns-1899.awsdns-45.co.uk",,
,special-consideration.monash.edu,"65.9.55.5, 65.9.55.4, 65.9.55.39, 65.9.55.56","ns-1899.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,d3080fwzc4lyl4.cloudfront.net,True,cloudfront,,,,"ns-699.awsdns-23.net, ns-1040.awsdns-02.org, ns-1899.awsdns-45.co.uk, ns-237.awsdns-29.com",,
,sphpm.erc.monash.edu,103.6.252.63,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,spinymouse.erc.monash.edu,118.138.235.162,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,splk-dcn10-v02.mpc.monash.edu,"172.17.87.144, 34.208.115.61, 130.194.1.100, 130.194.1.101","ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,"2600:1f14:b07:3a06:5739:a91d:d6ca:8bc0, 2001:388:608c:284::1, 2001:388:608c:285::1",,,,True,172.17.87.144,,"ns3.its.monash.edu, ns5.its.monash.edu, ns4.its.monash.edu",,
,splk-dcn11-v01.mpc.monash.edu,172.17.80.168,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.17.80.168,,,,
,splk-ds01-v20.ocio.monash.edu,10.21.1.113,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.21.1.113,,,,
,splk-dsdev-v20.ocio.monash.edu,10.21.8.49,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.21.8.49,,,,
,splk-hf02-v20.ocio.monash.edu,10.21.1.245,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.21.1.245,,,,
,splk-hf03-v20.ocio.monash.edu,10.21.2.208,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.21.2.208,,,,
,splk-hf04-v20.ocio.monash.edu,10.21.2.125,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.21.2.125,,,,
,splk-hf05-v01.ocio.monash.edu,130.194.27.198,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,2001:388:608c:8a4:250:56ff:feba:17a9,,,,,,,,,
,splk-hf06-v01.ocio.monash.edu,130.194.27.199,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,2001:388:608c:8a4:250:56ff:feba:2403,,,,,,,,,
,splk-hf07-v02.ocio.monash.edu,130.194.27.200,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,2001:388:608c:8a4:250:56ff:feb5:26b3,,,,,,,,,
,splk-hf08-v02.ocio.monash.edu,130.194.27.201,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,2001:388:608c:8a4:250:56ff:feb5:5c5b,,,,,,,,,
,splk-hf09-v01.ocio.monash.edu,130.194.27.202,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,2001:388:608c:8a4:250:56ff:fe93:a287,,,,,,,,,
,splk-hfls-v20.ocio.monash.edu,"10.21.1.197, 34.208.115.61, 130.194.1.100, 130.194.1.101","ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,"2600:1f14:b07:3a06:5739:a91d:d6ca:8bc0, 2001:388:608c:284::1, 2001:388:608c:285::1",,,,True,10.21.1.197,,"ns4.its.monash.edu, ns3.its.monash.edu, ns5.its.monash.edu",,
,splk-hflsdev-v20.ocio.monash.edu,10.21.8.60,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.21.8.60,,,,
,splk-prox10-v02.ocio.monash.edu,130.194.27.193,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,splk-prox11-v02.ocio.monash.edu,,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,splk-prox12-v01.ocio.monash.edu,,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,splk-prox13-v01.ocio.monash.edu,130.194.27.196,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,splunk-aws-deploy.ocio.monash.edu,10.21.0.4,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.21.0.4,,,,
,splunk-deployment-dev.ocio.monash.edu,10.21.8.49,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.21.8.49,,,,
,splunk-deployment.ocio.monash.edu,10.21.1.113,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.21.1.113,,,,
,splunk-onprem-deploy.ocio.monash.edu,130.194.27.193,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,splunk-onprem-hf.ocio.monash.edu,130.194.11.147,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,splunk-onpremhf-prod.ocio.monash.edu,"130.194.11.72, 34.208.115.61, 130.194.1.100, 130.194.1.101","ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,"2600:1f14:b07:3a06:5739:a91d:d6ca:8bc0, 2001:388:608c:284::1, 2001:388:608c:285::1",,,,,,,"ns3.its.monash.edu, ns4.its.monash.edu, ns5.its.monash.edu",,
,splunk.lib.monash.edu,10.24.154.86,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.24.154.86,,,,
,sra.lib.monash.edu,"13.225.78.127, 13.225.78.17, 13.225.78.60, 13.225.78.111","ns-460.awsdns-57.com, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:21f3:bc00:d:e6d9:1c40:93a1, 2600:9000:21f3:d600:d:e6d9:1c40:93a1, 2600:9000:21f3:c00:d:e6d9:1c40:93a1, 2600:9000:21f3:1000:d:e6d9:1c40:93a1, 2600:9000:21f3:1200:d:e6d9:1c40:93a1, 2600:9000:21f3:1c00:d:e6d9:1c40:93a1, 2600:9000:21f3:2400:d:e6d9:1c40:93a1, 2600:9000:21f3:a000:d:e6d9:1c40:93a1",d2d3ycu8jsgb5d.cloudfront.net,True,cloudfront,,,,"ns-460.awsdns-57.com, ns-747.awsdns-29.net, ns-1384.awsdns-45.org, ns-2038.awsdns-62.co.uk",,
,sres-buseco.monash.edu,"99.86.4.120, 99.86.4.122, 99.86.4.5, 99.86.4.82","ns-91.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:20fc:800:1d:72e0:f5c0:93a1, 2600:9000:20fc:ea00:1d:72e0:f5c0:93a1, 2600:9000:20fc:7000:1d:72e0:f5c0:93a1, 2600:9000:20fc:8400:1d:72e0:f5c0:93a1, 2600:9000:20fc:3400:1d:72e0:f5c0:93a1, 2600:9000:20fc:1600:1d:72e0:f5c0:93a1, 2600:9000:20fc:6600:1d:72e0:f5c0:93a1, 2600:9000:20fc:4e00:1d:72e0:f5c0:93a1",d3nnrcdxntil07.cloudfront.net,True,cloudfront,,,,"ns-1386.awsdns-45.org, ns-1854.awsdns-39.co.uk, ns-91.awsdns-11.com, ns-930.awsdns-52.net",,
,sres.biol.monash.edu,"18.66.112.20, 18.66.112.90, 18.66.112.52, 18.66.112.109","ns-385.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,dv0vbmuai0wgf.cloudfront.net,True,cloudfront,,,,"ns-1459.awsdns-54.org, ns-2030.awsdns-61.co.uk, ns-385.awsdns-48.com, ns-771.awsdns-32.net",,
,srp2.med.monash.edu,"52.85.151.72, 52.85.151.124, 52.85.151.68, 52.85.151.77, 205.251.192.83, 205.251.195.208, 205.251.197.170, 205.251.199.132","ns-1924.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,d21z3t3wy9d8eq.cloudfront.net,True,cloudfront,,,,"ns-83.awsdns-10.com, ns-1450.awsdns-53.org, ns-976.awsdns-58.net, ns-1924.awsdns-48.co.uk",,
,ssa-web03-v20.ocio.monash.edu,10.26.22.63,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,10.26.22.63,,,,
,sse-trim-nn01.mpc.monash.edu,172.17.18.203,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.17.18.203,,,,
,sse-trim-nn04.mpc.monash.edu,172.17.18.197,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.17.18.197,,,,
