input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,webserver,csp_domains_,final_url
hybrid.vng.nl,Outlook,200,58720,hybrid.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,Vereniging van Nederlandse Gemeenten,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,hybrid.vng.nl,443,https://hybrid.vng.nl:443,https,text/html,GET,185.12.122.144,/,1245528776,185.12.122.144,Windows Server,1404,False,,,,Microsoft-IIS/10.0,,https://hybrid.vng.nl/owa/auth/logon.aspx?url=https%3a%2f%2fhybrid.vng.nl%2fowa%2f&reason=0
inlener.vng.nl,Inloggen - Klantportal,200,39944,inlener.vng.nl,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-05-06T23:46:55Z,2023-08-04T23:46:54Z,CN=inlener.vng.nl,inlener.vng.nl,,inlener.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,01e947639c3afbf976fb572fc063dbce,0f8717c7b77083294ebe94df6c59e0cd3b14996cf9eb2882c3106aa3469c5d6b,,ctls,inlener.vng.nl,443,https://inlener.vng.nl:443,https,text/html,GET,185.46.183.89,/,370909319,185.46.183.89,HSTS,36,False,,,,,,https://inlener.vng.nl/login?url=%2f
leeraanbod.vng.nl,VNG – Trainingsaanbod Digitale Veiligheid voor Gemeenten,200,17762,leeraanbod.vng.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-29T00:00:00Z,2023-06-27T23:59:59Z,CN=leeraanbod.vng.nl,leeraanbod.vng.nl,,vng.oably.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",0b502e723ead59383f89c59891804342,28a68d6dc782210c82e37a871b9f79491f29d55e4b5b095240429daa3e8d56bf,,ctls,leeraanbod.vng.nl,443,https://leeraanbod.vng.nl:443,https,text/html,GET,31.186.172.113,/,1198047028,31.186.172.113,WordPress:6.2,111,False,,,,Apache,,
lyncdiscover.vng.nl,,200,349,lyncdiscover.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,True,ctls,lyncdiscover.vng.nl,443,https://lyncdiscover.vng.nl:443,https,application/json,GET,52.112.192.142,/,-2048288588,2603:1027:0:48::21,Azure,1,False,True,,,,,
mailing.vng.nl,,204,,c.spotler.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-05T00:00:00Z,2023-10-01T23:59:59Z,CN=*.spotler.com,*.spotler.com,,spotler.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,8f038e5b945a6af9cf40695909663973,c0b78e36845fad0d96bcaea873f14802b826baeb65d6c2c9bee92ae20834e0ac,True,ctls,c.spotler.com,80,http://mailing.vng.nl:80,http,,GET,46.31.51.36,/,-1840324437,2a02:23e8:200::49:154,HSTS,1,False,,,,Spotler,,https://c.spotler.com/
meerjarenvisie.vng.nl,Welcome to nginx!,200,612,,,,,,,,,,,,,,,,,,,,,80,http://meerjarenvisie.vng.nl:80,http,text/html,GET,185.135.12.253,/,286975560,185.135.12.253,Nginx:1.18.0,26,False,,,,nginx/1.18.0,,
meet.vng.nl,,200,,meet.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,True,ctls,meet.vng.nl,443,https://meet.vng.nl:443,https,,GET,52.112.193.16,/,-1807411396,2603:1027:0:3::e,Windows Server,1,False,True,,,Microsoft-IIS/8.5,,
ontwerptoolomgevingsplan.vng.nl,VNG Ontwerptool - Home,200,5260,ontwerptoolomgevingsplan.vng.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-08T07:59:45Z,2023-08-06T07:59:44Z,CN=ontwerptoolomgevingsplan.vng.nl,ontwerptoolomgevingsplan.vng.nl,,ontwerptoolomgevingsplan.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,08d503edd5bf6fd9d89b0fea998c6bb5,47ed8373286a5e82ae07586daf2202a0d0021b53541f5348cd714a3fa615543e,,ctls,ontwerptoolomgevingsplan.vng.nl,443,https://ontwerptoolomgevingsplan.vng.nl:443,https,text/html,GET,136.144.172.89,/,1377322503,136.144.172.89,PHP:7.4.27,121,False,,,,nginx,,
pdc-acc.vng.nl,Inloggen | PDC voor de SDG,200,4268,pdc-acc.vng.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-23T14:17:48Z,2023-06-21T14:17:47Z,CN=pdc-acc.vng.nl,pdc-acc.vng.nl,,pdc-acc.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0cf7f38c9467d6fb9e335529c7dc0227,9d3d4777aba8defd06c93c3cfbe185223d3d72c0a3b0a7ff2a9aac971eaad879,,ctls,pdc-acc.vng.nl,443,https://pdc-acc.vng.nl:443,https,text/html,GET,52.148.193.2,/,-1168905977,fe80::20d:3aff:fe2e:966b,Python,152,False,,azure,True,,,https://pdc-acc.vng.nl/sdg/two_factor/login/?next=/sdg/
pdc.vng.nl,Inloggen | PDC voor de SDG,200,4268,pdc.vng.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-22T08:55:50Z,2023-06-20T08:55:49Z,CN=pdc.vng.nl,pdc.vng.nl,,pdc.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1d406eae473efa0097185e60b8070981,19309b0eada3166e5701f273f58a4584cd4294b00e8f6c2bffe503f5e064adcb,,ctls,pdc.vng.nl,443,https://pdc.vng.nl:443,https,text/html,GET,20.107.8.142,/,-1954832799,e80::20d:3aff:fe23:af78,Python,152,False,,,,,,https://pdc.vng.nl/sdg/two_factor/login/?next=/sdg/
praktijkvoorbeelden.vng.nl,Praktijkvoorbeelden | VNG,200,114936,vng.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,Vereniging van Nederlandse Gemeenten,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,vng.nl,443,https://praktijkvoorbeelden.vng.nl:443,https,text/html,GET,185.135.12.253,/,-273800432,2a06:efc0:3::253:0,PHP,753,False,,,,nginx,,https://vng.nl/praktijkvoorbeelden
syncs.vng.nl,Sign in to your account,200,201836,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,,ctls,login.microsoftonline.com,80,http://syncs.vng.nl:80,http,text/html,GET,20.52.182.15,/,-2118450952,20.52.182.15,HSTS,173,False,,azure,True,,,https://login.microsoftonline.com/6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1/oauth2/authorize?response_type=code&client_id=286cee58-caa4-4ff1-aa58-4f10ad7b35d4&scope=openid&nonce=9b032b1a-1f59-40a6-aae5-e58c4d020e66&redirect_uri=https%3a%2f%2fsyncs.vng.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fsyncs.vng.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%2222e69198-2776-4aad-bb16-59fbb47fa04d%22%7d%23EndOfStateParam%23&client-request-id=22e69198-2776-4aad-bb16-59fbb47fa04d
synking.vng.nl,Redirecting,200,156839,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,,ctls,login.microsoftonline.com,443,https://synking.vng.nl:443,https,text/html,GET,20.52.182.15,/,-1783327093,20.52.182.15,HSTS,86,False,,azure,True,,,https://login.microsoftonline.com/6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1/oauth2/authorize?response_type=code&client_id=e5c5e419-b201-4b79-8f9b-13936c6daa42&scope=openid&nonce=a5c98dfc-1bd4-4744-84c5-e466b209b203&redirect_uri=https%3a%2f%2fsynking.vng.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fsynking.vng.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%223158ee5c-cc04-4a7b-90c1-cde23e5fa15e%22%7d%23EndOfStateParam%23&client-request-id=3158ee5c-cc04-4a7b-90c1-cde23e5fa15e
synthalg.vng.nl,Sign in to your account,200,203317,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,,ctls,login.microsoftonline.com,443,https://synthalg.vng.nl:443,https,text/html,GET,20.52.182.15,/,732093808,20.52.182.15,HSTS,173,False,,azure,True,,,https://login.microsoftonline.com/6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1/oauth2/authorize?response_type=code&client_id=6259c670-38f7-4cb4-ad22-bd6ff0773c74&scope=openid&nonce=7ccec6d1-e1e7-4ee9-90a5-e128a00272a9&redirect_uri=https%3a%2f%2fsynthalg.vng.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fsynthalg.vng.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%221414e623-8470-47bb-9e4c-98b947a85868%22%7d%23EndOfStateParam%23&client-request-id=1414e623-8470-47bb-9e4c-98b947a85868
synvng.vng.nl,Sign in to your account,200,199919,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,,ctls,login.microsoftonline.com,443,https://synvng.vng.nl:443,https,text/html,GET,20.52.182.15,/,-1967972730,20.52.182.15,HSTS,173,False,,azure,True,,,https://login.microsoftonline.com/6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1/oauth2/authorize?response_type=code&client_id=6bef898c-b873-474d-9a5f-28c232882e12&scope=openid&nonce=ad9a3ccb-a37d-412d-86b1-59b17b27b3c0&redirect_uri=https%3a%2f%2fsynvng.vng.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fsynvng.vng.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%224bd03def-2d1b-438f-b8a2-05d3d3d2ed91%22%7d%23EndOfStateParam%23&client-request-id=4bd03def-2d1b-438f-b8a2-05d3d3d2ed91
tracking.vng.nl,Page Not Found,404,1357,,,,,,,,,,,,,,,,,,,,,80,http://tracking.vng.nl:80,http,text/html,GET,212.7.207.86,/,1513305069,212.7.207.86,Ubuntu,43,False,,,,Apache/2.4.41 (Ubuntu),,
veiligdelen.vng.nl,SmartLockr,200,1138,veiligdelen.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-07T00:00:00Z,2024-04-06T23:59:59Z,"CN=veiligdelen.vng.nl, O=Vereniging van Nederlandse Gemeenten, ST=Zuid-Holland, C=NL",veiligdelen.vng.nl,Vereniging van Nederlandse Gemeenten,veiligdelen.vng.nl,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,cc18c67f82cf9f9db2d835f173eefc2b,b3e480b8468c7abb7bfab9faea9b917de9699e2a6dbaf959b786160eff4cf2dd,,ctls,veiligdelen.vng.nl,443,https://veiligdelen.vng.nl:443,https,text/html,GET,104.214.231.110,/,1772087922,104.214.231.110,HSTS,18,False,,azure,True,,,
vpn1.vng.nl,,200,170,vpn1.vng.nl,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,True,2021-07-01T14:52:12Z,2022-08-02T14:52:12Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,Vereniging van Nederlandse Gemeenten,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6fed327de2d0207354aeb1a2e82ff55d,bbe3458a1f44ff2e1a99c5402b2ba0b6f8908c3fd681eee79b833f78b09754eb,True,ctls,vpn1.vng.nl,443,https://vpn1.vng.nl:443,https,text/html,GET,185.12.120.113,/,593259606,185.12.120.113,HSTS,4,False,,,,,,
