new,host,a,aaaa,soa,status_code,cname,cdn,cdn-name,txt,caa,ns,has_internal_ips,internal_ips,mx
[x],synking.vng.nl,20.52.182.15,,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,"synking-vvng.msappproxy.net, 6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1.tenant.runtime.msappproxy.net, cwap-eur2-runtime.routing.msappproxy.net, eur.proxy-2.appproxy.msidentity.com, www.tm.eur.proxy-2.appproxy.trafficmanager.net",True,azure,,,,,,
[x],synthalg.vng.nl,20.52.182.15,,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,"synthalg-vvng.msappproxy.net, 6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1.tenant.runtime.msappproxy.net, cwap-eur2-runtime.routing.msappproxy.net, eur.proxy-2.appproxy.msidentity.com, www.tm.eur.proxy-2.appproxy.trafficmanager.net",True,azure,,,,,,
[x],synvng.vng.nl,20.52.182.15,,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,"synvng-vvng.msappproxy.net, 6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1.tenant.runtime.msappproxy.net, cwap-eur2-runtime.routing.msappproxy.net, eur.proxy-2.appproxy.msidentity.com, www.tm.eur.proxy-2.appproxy.trafficmanager.net",True,azure,,,,,,
[x],synvngi.vng.nl,20.52.182.15,,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,"synvngi-vvng.msappproxy.net, 6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1.tenant.runtime.msappproxy.net, cwap-eur2-runtime.routing.msappproxy.net, eur.proxy-2.appproxy.msidentity.com, www.tm.eur.proxy-2.appproxy.trafficmanager.net",True,azure,,,,,,
[x],tracking.vng.nl,212.7.207.86,,"dns1.proxi.nl, hostmaster.copernica.com",NOERROR,tracking.copernica.net,,,,letsencrypt.org,,,,
[x],veiligdelen.vng.nl,,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,"portal.smartlockr.eu, sl-cvw.azurewebsites.net, waws-prod-am2-247.vip.azurewebsites.windows.net, waws-prod-am2-247.cloudapp.net",True,azure,,,,,,
[x],vpn1.vng.nl,185.12.120.113,,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],werkenbij.vng.nl,185.46.183.17,,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],werkplek.vng.nl,185.12.122.145,,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],wijkpaspoort.vng.nl,51.138.85.41,,"ns0.transip.net, hostmaster.transip.nl",NOERROR,"wk-vng-nl.commondatafactory.nl, traefik.cluster-azure-data-prod.haven.vng.cloud",True,azure,,,,,,
[x],wmovoorspelmodel.vng.nl,20.50.2.78,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,"wmo-voorspelmodel.azurewebsites.net, waws-prod-am2-483.sip.azurewebsites.windows.net, waws-prod-am2-483-0a0b.westeurope.cloudapp.azure.com",True,azure,,,,,,
[x],www.vng.nl,185.135.12.253,2a06:efc0:3::253:0,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,vng.nl,,,"notion-domain-verification=KoiXOoLwlkiVVk71BNnOvTOsL7nIW1LdzOdvTHM3n3Z, rItw9ddp9/vbQWxD/cT2mm+xJynn4j6Fxv4fWCOqpWKeY7cXGq89t0DjS3rvzLCpu945tItK8Wk5EQG+ZMvgBA==, v=spf1 include:_s00005556.autospf.email include:spf.smtp.net -all, AFC8a6Tq0Rq0SN5IOgb8QetpdHsOncrpYlGsGpCfkOs=, MS=ms85703618, d365mktkey=ueeDG5x10JoiNBM7OeUvZELuPk0981oxg4COvVOWlHIx, faxination=fen88494018, globalsign-domain-verification=7h_6Vl0G8lorq2v8o6YiHZABGeLECEIgvW5TixyS7V, globalsign-domain-verification=CNWU3I1OnEh7kIW4VK0kpcLSnRKFR_10vvY6N2XC0S, google-site-verification=D1sYdVu6ybwVSrG3nhVzut-QTw8UHFluegLszYlljhI, google-site-verification=z325tvDJT0cRHuKRvL_sCfeXTOFWLK6Eyc19x8iASd4",,"ns4.premium-dns.net, ns1.premium-dns.net, ns2.premium-dns.net, ns3.premium-dns.net",,,vng-nl.mail.protection.outlook.com
