new,host,a,soa,status_code,aaaa,mx,ns,txt,caa,cname,cdn,cdn-name
[x],cnweb.btse.com,27.50.52.44,"a1-119.akam.net, admin.btse.com",NOERROR,,,,,,,,
[x],enterprise.btse.com,,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"enterprise.btse.com.cdn.cloudflare.net, d1gpoh1efz3hf.cloudfront.net",True,cloudfront
[x],host-214-60-52-55.btse.com,,,NOERROR,,,,,,,,
[x],mt.btse.com,"99.86.114.54, 99.86.114.91, 99.86.114.69, 99.86.114.68","ns-85.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2111:2a00:a:74a6:2b40:93a1, 2600:9000:2111:d200:a:74a6:2b40:93a1, 2600:9000:2111:4e00:a:74a6:2b40:93a1, 2600:9000:2111:ce00:a:74a6:2b40:93a1, 2600:9000:2111:f000:a:74a6:2b40:93a1, 2600:9000:2111:4000:a:74a6:2b40:93a1, 2600:9000:2111:6c00:a:74a6:2b40:93a1, 2600:9000:2111:c600:a:74a6:2b40:93a1",,"ns-859.awsdns-43.net, ns-1912.awsdns-47.co.uk, ns-85.awsdns-10.com, ns-1521.awsdns-62.org",,,d1pddpywcjbvsd.cloudfront.net,True,cloudfront
[x],peru.btse.com,"172.64.147.103, 104.18.40.153","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:4400::ac40:9367, 2606:4700:4400::6812:2899",,,,,peru.btse.com.cdn.cloudflare.net,True,cloudflare
[x],support.btse.com,"67.202.34.233, 52.44.105.166, 23.20.193.134, 18.213.38.67, 52.1.122.63","ns-350.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1270.awsdns-30.org, ns-1955.awsdns-52.co.uk, ns-350.awsdns-43.com, ns-514.awsdns-00.net",,"amazon.com, letsencrypt.org","elb50.freshdesk.com, fwfd-use1-lb198.freshdesk.com",,
[x],trade.btse.com,"67.199.248.12, 67.199.248.13","ns-880.awsdns-46.net, awsdns-hostmaster.amazon.com, ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,";, letsencrypt.org",cname.bitly.com,,
[x],web.btse.com,"104.18.40.153, 172.64.147.103","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:4400::6812:2899, 2606:4700:4400::ac40:9367",,,,,web.btse.com.cdn.cloudflare.net,True,cloudflare
[x],ws2.btse.com,45.60.198.35,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",NOERROR,,,,,,4ft2vjz.x.incapdns.net,True,incapsula
[x],ws99.btse.com,1.32.235.38,"a1-119.akam.net, admin.btse.com",NOERROR,,,,,,,,
[x],www.btse.com,23.54.135.82,"n0dscksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:5a2::38b3, 2a02:26f0:480:5b0::38b3",,,,,"any.btse.com.edgekey.net, e14515.dscksd.akamaiedge.net",,
[x],www1.btse.com,1.32.214.137,"a1-119.akam.net, admin.btse.com",NOERROR,,,,,,,,
