new,host,a,cname,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,aaaa,ns,txt,caa,mx
[x],admin.chatbot.indeed.tech,"13.227.219.5, 13.227.219.128, 13.227.219.13, 13.227.219.15",,"ns-1994.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],adminer-qa.awscmhqa.k8s.indeed.tech,,,"ns-1218.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ads-api.indeed.com,"3.13.92.125, 3.18.239.39, 3.13.14.225, 18.224.50.116, 3.136.148.151, 13.58.61.75","indeed-cmhprod-01-alb.indeed.com, marvin-external-cmhprod-01-alb-1618415626.us-east-2.elb.amazonaws.com","ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ads-demo.indeed.com,198.58.75.63,ads.dyn.indeed.com,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ads.dyn.indeed.com,198.58.75.63,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],advertiser-budget-plugin.indeed.com,"3.140.165.112, 3.19.195.123, 3.130.103.15, 3.134.241.148, 3.17.220.141, 3.14.119.173","advertiser-budget-plugin.dyn.indeed.com, indeed-cmhprod.indeed.com, indeed-cmhprod-alb-1680661995.us-east-2.elb.amazonaws.com",,NOERROR,,,,,,,,,
[x],ae.canary.indeed.com,"162.159.129.67, 162.159.130.67",,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,cloudflare,,,,,,,
[x],ae.conv.indeed.com,"162.159.129.67, 162.159.130.67",,,NOERROR,True,cloudflare,,,,,,,
[x],aggcentral.indeed.com,"162.159.129.67, 162.159.130.67",indeed.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],aggftp-prod.indeed.com,18.216.73.2,sftp-nlb-e5bdbb076cca0e5f.elb.us-east-2.amazonaws.com,"ns-1513.awsdns-61.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],aggftp-qa.indeed.com,3.133.24.53,sftp-nlb-70ae5f8a951f48a1.elb.us-east-2.amazonaws.com,,NOERROR,,,,,,,,,
[x],aggkibana.awscmhqa.k8s.indeed.tech,,,"ns-1218.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],aggtest.indeed.com,,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],airflow-dev.awscmhinfra.k8s.indeed.tech,,,"ns-1155.awsdns-16.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],airflow-dev2.awscmhinfra.k8s.indeed.tech,"10.118.7.1, 10.118.132.71, 10.118.68.90",,,NOERROR,,,True,"10.118.7.1, 10.118.132.71, 10.118.68.90",,,,,
[x],airflow-flower-dev.awscmhinfra.k8s.indeed.tech,,,"ns-1155.awsdns-16.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],airflow-flower2.awscmhinfra.k8s.indeed.tech,"10.118.7.1, 10.118.68.90, 10.118.132.71",,"ns-1155.awsdns-16.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.118.7.1, 10.118.68.90, 10.118.132.71",,,,,
[x],airflow.indeed.tech,"10.118.68.90, 10.118.7.1, 10.118.132.71",,"ns-1352.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.118.68.90, 10.118.7.1, 10.118.132.71",,,,,
[x],airflowold-flower.awscmhinfra.k8s.indeed.tech,,,"ns-1155.awsdns-16.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],airflowold.indeed.tech,,,"ns-1352.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],alberttocoronado.portal2.ext.indeed.com,76.77.155.130,,,NOERROR,,,,,,,,,
[x],alertmanager-core.jefe-cmh.k8s.indeed.tech,,,"ns-1117.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],alertmanager.awsci.k8s.indeed.tech,,,"ns-1343.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],alertmanager.awscmh.k8s.indeed.tech,,,"ns-1165.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],alertmanager.awscmhinfra.k8s.indeed.tech,,,"ns-1155.awsdns-16.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],alertmanager.big.k8s.indeed.tech,10.8.177.176,,,NOERROR,,,True,10.8.177.176,,,,,
[x],all.indeed.com,"3.143.164.101, 3.12.157.221, 18.222.81.190",indeed2-cmhprod-alb-1360573493.us-east-2.elb.amazonaws.com,,NOERROR,,,,,,,,,
[x],aloha.corp.indeed.com,,use2-iamalp1.corpit.indeed.net,,NOERROR,,,,,,,,,
[x],aloha2.corp.indeed.com,10.254.100.67,,,NOERROR,,,True,10.254.100.67,,,,,
[x],ampxy-qa.indeed.com,"162.159.129.67, 162.159.130.67",indeed.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],ampxy.indeed.com,"162.159.129.67, 162.159.130.67",indeed.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],amtt-apis.indeed.tech,"18.173.233.98, 18.173.233.112, 18.173.233.14, 18.173.233.97",d2zntvfl4yhdmm.cloudfront.net,"ns-1720.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],amtt-apis.qa.indeed.tech,"143.204.89.73, 143.204.89.48, 143.204.89.40, 143.204.89.123",d103mkj6r7dtc8.cloudfront.net,"ns-1774.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],analytics-survey.indeed.com,198.58.75.28,offload.ausprod.indeed.com,,NOERROR,,,,,,,,,
[x],analytics.indeed.com,"3.17.220.141, 3.140.165.112, 3.14.119.173, 3.130.103.15, 3.19.195.123, 3.134.241.148","analytics.dyn.indeed.com, indeed-cmhprod.indeed.com, indeed-cmhprod-alb-1680661995.us-east-2.elb.amazonaws.com",,NOERROR,,,,,,,,,
[x],analyticsperf-analytics.dyn.indeed.com,"3.14.119.173, 3.130.103.15, 3.134.241.148, 3.140.165.112, 3.17.220.141, 3.19.195.123","indeed-cmhprod.indeed.com, indeed-cmhprod-alb-1680661995.us-east-2.elb.amazonaws.com",,NOERROR,,,,,,,,,
[x],analyticsperf-analytics.indeed.com,"3.14.119.173, 3.17.220.141, 3.134.241.148, 3.130.103.15, 3.19.195.123, 3.140.165.112","analyticsperf-analytics.dyn.indeed.com, indeed-cmhprod.indeed.com, indeed-cmhprod-alb-1680661995.us-east-2.elb.amazonaws.com",,NOERROR,,,,,,,,,
[x],antivirusi.aggtest.indeed.com,198.58.75.26,offload.ausprod.indeed.com,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],apacvpn.indeed.com,27.110.45.76,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],api-edu-webapp.indeed.com,"3.14.119.173, 3.134.241.148, 3.19.195.123, 3.17.220.141, 3.140.165.112, 3.130.103.15","indeed-cmhprod.indeed.com, indeed-cmhprod-alb-1680661995.us-east-2.elb.amazonaws.com","ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-title-webapp.indeed.com,"15.156.126.184, 15.222.55.237, 15.156.10.83","indeed-yulprod-alb.indeed.com, marvin-external-yulprod-alb-175791382.ca-central-1.elb.amazonaws.com","ns-616.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.ext.indeed.com,76.77.155.130,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],api.indeed.com,"104.18.32.195, 172.64.155.61",api.indeed.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],api.wombat.indeed.tech,"3.20.246.59, 3.136.138.92, 3.131.179.144",splunk-prod-cm-prod-alb-1843720705.us-east-2.elb.amazonaws.com,,NOERROR,,,,,,,,,
[x],apidocs.chatbot.indeed.tech,"18.66.122.33, 18.66.122.16, 18.66.122.61, 18.66.122.23",,"ns-1994.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],apigee-cmhprod1.indeed.com,3.14.241.224,,,NOERROR,,,,,,,,,
[x],apigee-cmhprod2.indeed.com,3.137.15.178,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],apigee-cmhprod3.indeed.com,3.13.136.115,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],apis.indeed.com,"104.18.26.150, 104.18.27.150",apis.indeed.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],application.indeed.com,"3.128.37.160, 3.130.99.121, 3.22.2.5","employers-cmhprod.indeed.com, employers-cmhprod-alb-597567812.us-east-2.elb.amazonaws.com","ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],applies.indeed.com,198.58.75.23,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],apply-feedback.indeed.com,"15.222.55.237, 15.156.126.184, 15.156.10.83","indeed-yulprod-alb.indeed.com, marvin-external-yulprod-alb-175791382.ca-central-1.elb.amazonaws.com","ns-616.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],apply-rum-proxy.indeed.com,162.159.129.67,"m5.apply.indeed.com, europe2.m5.apply.tf2.indeed.com",,NOERROR,True,cloudflare,,,,,,,
[x],apply-td.dyn.indeed.com,162.159.130.67,global.apply.tf2.indeed.com,,NOERROR,True,cloudflare,,,,,,,
[x],apply.awscmhqa.k8s.indeed.tech,,,"ns-1218.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],apply.indeed.com,162.159.130.67,europe2.apply.tf2.indeed.com,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,cloudflare,,,,,,,
[x],apply.tf2.indeed.com,162.159.129.67,europe2.apply.tf2.indeed.com,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,cloudflare,,,,,,,
[x],appsecpipeline.awscmhqa2.k8s.indeed.tech,"10.117.160.188, 10.117.33.248, 10.117.99.54",,,NOERROR,,,True,"10.117.160.188, 10.117.33.248, 10.117.99.54",,,,,
[x],appsecpipeline.indeed.tech,"10.116.163.141, 10.116.32.79, 10.116.99.124",,,NOERROR,,,True,"10.116.163.141, 10.116.32.79, 10.116.99.124",,,,,
[x],apptracker.indeed.com,"162.159.130.67, 162.159.129.67",indeed.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],aq.indeed.com,"162.159.129.67, 162.159.130.67",indeed.com.cdn.cloudflare.net,,NOERROR,True,cloudflare,,,,,,,
[x],ar.conv.indeed.com,"162.159.129.67, 162.159.130.67",,,NOERROR,True,cloudflare,,,,,,,
[x],ar.ma.indeed.com,,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],arc-qa.awscmhinfra2.k8s.indeed.tech,"10.118.5.245, 10.118.133.81, 10.118.7.18, 10.118.134.181, 10.118.5.38, 10.118.134.162",,,NOERROR,,,True,"10.118.5.245, 10.118.133.81, 10.118.7.18, 10.118.134.181, 10.118.5.38, 10.118.134.162",,,,,
[x],arc-test-domain.indeed.tech,"10.118.134.162, 10.118.5.38, 10.118.5.245, 10.118.7.18, 10.118.134.181, 10.118.133.81",arc.awscmhinfra2.k8s.indeed.tech,,NOERROR,,,True,"10.118.134.162, 10.118.5.38, 10.118.5.245, 10.118.7.18, 10.118.134.181, 10.118.133.81",,,,,
[x],arc.awscmhinfra2.k8s.indeed.tech,"10.118.134.181, 10.118.134.162, 10.118.133.81, 10.118.5.38, 10.118.7.18, 10.118.5.245",,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.118.134.181, 10.118.134.162, 10.118.133.81, 10.118.5.38, 10.118.7.18, 10.118.5.245",,,,,
[x],arc.awscmhqa3.k8s.indeed.tech,"10.115.248.169, 10.115.197.206",,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.115.248.169, 10.115.197.206",,,,,
[x],arc.awscmhstage.k8s.indeed.tech,"10.115.251.27, 10.115.208.118",,,NOERROR,,,True,"10.115.251.27, 10.115.208.118",,"ns-1373.awsdns-43.org, ns-1872.awsdns-42.co.uk, ns-58.awsdns-07.com, ns-994.awsdns-60.net",,,
[x],arc.awsdca.k8s.indeed.tech,"10.68.6.101, 10.68.84.179, 10.68.150.4",,,NOERROR,,,True,"10.68.6.101, 10.68.84.179, 10.68.150.4",,"ns-1377.awsdns-44.org, ns-172.awsdns-21.com, ns-1990.awsdns-56.co.uk, ns-994.awsdns-60.net",,,
[x],arc.awsnrt.k8s.indeed.tech,,,"ns-1388.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],arc.awsnrtqa.k8s.indeed.tech,"10.133.2.240, 10.133.130.167, 10.133.66.24",,"ns-1041.awsdns-02.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.133.2.240, 10.133.130.167, 10.133.66.24",,,,,
[x],arc.awspdx.k8s.indeed.tech,"10.147.237.2, 10.147.243.135, 10.147.246.6, 10.147.244.37, 10.147.225.45, 10.147.241.195",,"ns-1379.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.147.237.2, 10.147.243.135, 10.147.246.6, 10.147.244.37, 10.147.225.45, 10.147.241.195",,,,,
[x],arc.awssyd.k8s.indeed.tech,"10.127.240.43, 10.127.233.43, 10.127.245.90",,"ns-1116.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.127.240.43, 10.127.233.43, 10.127.245.90",,,,,
[x],arc.awsyul.k8s.indeed.tech,"10.151.249.101, 10.151.197.108, 10.151.244.124",,"ns-1180.awsdns-19.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.151.249.101, 10.151.197.108, 10.151.244.124",,,,,
[x],arc.cmhprod1.k8s.indeed.tech,10.116.5.199,,,NOERROR,,,True,10.116.5.199,,,,,
[x],arc.cmhprod2.k8s.indeed.tech,,,"ns-1467.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],arc.cmhqa1.k8s.indeed.tech,10.117.5.207,,"ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.117.5.207,,,,,
[x],arc.cmhqa2.k8s.indeed.tech,10.117.64.58,,,NOERROR,,,True,10.117.64.58,,,,,
[x],arc.dubprod1.k8s.indeed.tech,10.120.15.145,,"ns-1197.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.120.15.145,,,,,
[x],arc.indeed.tech,"10.118.134.181, 10.118.134.162, 10.118.5.38, 10.118.5.245, 10.118.7.18, 10.118.133.81",arc.awscmhinfra2.k8s.indeed.tech,,NOERROR,,,True,"10.118.134.181, 10.118.134.162, 10.118.5.38, 10.118.5.245, 10.118.7.18, 10.118.133.81",,,,,
[x],argo-cd-core-appset.indeed.tech,"10.118.7.1, 10.118.132.71, 10.118.68.90",,,NOERROR,,,True,"10.118.7.1, 10.118.132.71, 10.118.68.90",,,,,
[x],argo-cd-core.indeed.tech,"10.118.132.71, 10.118.7.1, 10.118.68.90",,"ns-1352.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.118.132.71, 10.118.7.1, 10.118.68.90",,,,,
[x],argo-cd-general-appset.indeed.tech,"10.118.68.90, 10.118.132.71, 10.118.7.1",,"ns-1352.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.118.68.90, 10.118.132.71, 10.118.7.1",,,,,
[x],argo-cd-general.indeed.tech,"10.118.68.90, 10.118.132.71, 10.118.7.1",,"ns-1352.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.118.68.90, 10.118.132.71, 10.118.7.1",,,,,
[x],argo-cd-ip-appset.indeed.tech,"10.118.132.71, 10.118.7.1, 10.118.68.90",,"ns-1352.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.118.132.71, 10.118.7.1, 10.118.68.90",,,,,
[x],argo-cd-test.awscmhqa2.k8s.indeed.tech,"10.117.160.188, 10.117.99.54, 10.117.33.248",,,NOERROR,,,True,"10.117.160.188, 10.117.99.54, 10.117.33.248",,,,,
[x],argo-wf.awscmh.k8s.indeed.tech,,,"ns-1165.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],argo-workflows.awscmhdev2.k8s.indeed.tech,"10.115.249.56, 10.115.222.39, 10.115.204.10",,,NOERROR,,,True,"10.115.249.56, 10.115.222.39, 10.115.204.10",,,,,
[x],argo-workflows.awsdca.k8s.indeed.tech,"10.68.84.51, 10.68.4.232, 10.68.157.56",,,NOERROR,,,True,"10.68.84.51, 10.68.4.232, 10.68.157.56",,,,,
[x],argo-worldview.infra.indeed.tech,"10.115.217.209, 10.115.251.233, 10.115.200.45",,,NOERROR,,,True,"10.115.217.209, 10.115.251.233, 10.115.200.45",,,,,
[x],arr-language-tool-qa.awscmhqa2.k8s.indeed.tech,"10.117.161.228, 10.117.99.36, 10.117.33.209",,"ns-1263.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.117.161.228, 10.117.99.36, 10.117.33.209",,,,,
[x],assessments.indeed.tech,"10.116.163.141, 10.116.99.124, 10.116.32.79",,"ns-1352.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.116.163.141, 10.116.99.124, 10.116.32.79",,,,,
[x],assets-statuscrmloginaccept-domain.aggtest.indeed.com,198.58.75.28,offload.ausprod.indeed.com,,NOERROR,,,,,,,,,
[x],astromech.awscmh3.k8s.indeed.tech,"10.163.240.104, 10.163.247.250, 10.163.250.45",,,NOERROR,,,True,"10.163.240.104, 10.163.247.250, 10.163.250.45",,,,,
[x],at.canary.indeed.com,"162.159.130.67, 162.159.129.67",,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,cloudflare,,,,,,,
[x],at.conv.indeed.com,"162.159.129.67, 162.159.130.67",,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,cloudflare,,,,,,,
[x],at.indeed.com,"162.159.129.67, 162.159.130.67",,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,cloudflare,,,,,,,
[x],au.conv.indeed.com,"162.159.129.67, 162.159.130.67",,,NOERROR,True,cloudflare,,,,,,,
[x],auth.hub.indeed.tech,"3.140.56.29, 18.116.55.216","auth.prod2.hub.indeed.tech, auth.prod2.intraproxy.indeed.tech",,NOERROR,,,,,,,,,
[x],auth.mdml.qa.indeed.tech,"13.224.189.12, 13.224.189.16, 13.224.189.108, 13.224.189.29",,"ns-94.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],auth.prod3.hub.indeed.tech,"18.117.1.1, 3.139.47.22",auth.prod3.intraproxy.indeed.tech,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],autocomplete.dyn.indeed.com,,autocomplete.tf2.indeed.com,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],autocomplete.tf2.indeed.com,,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],automated-resume-review.indeed.com,"15.156.126.184, 15.222.55.237, 15.156.10.83","pubdom-americas.indeed.com, indeed-yulprod-alb.indeed.com, marvin-external-yulprod-alb-175791382.ca-central-1.elb.amazonaws.com","ns-616.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],autopilot-api.awscmh.k8s.indeed.tech,,,"ns-1165.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],autopilot-api.awscmhqa.k8s.indeed.tech,,,"ns-1218.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],autopilot-argo-api.awscmhqa.k8s.indeed.tech,,,"ns-1218.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],autopilot-spinnaker-api.awscmhqa.k8s.indeed.tech,,,"ns-1218.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],autopilot-spinnaker.awscmhqa.k8s.indeed.tech,,,"ns-1218.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],autopilot.awscmh.k8s.indeed.tech,,,"ns-1165.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],autopilot.awscmhqa.k8s.indeed.tech,,,"ns-1218.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],avi.indeed.com,"3.134.241.148, 3.19.195.123, 3.17.220.141, 3.14.119.173, 3.130.103.15, 3.140.165.112",indeed-cmhprod-alb-1680661995.us-east-2.elb.amazonaws.com,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],aviatrixctrl.indeed.tech,"3.17.7.0, 18.217.186.46",aviatrixctl-lb-42260901.us-east-2.elb.amazonaws.com,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],awscmhqa3.assessments.indeed.tech,"10.115.197.206, 10.115.248.169",,,NOERROR,,,True,"10.115.197.206, 10.115.248.169",,,,,
[x],background-employers.indeed.com,198.58.75.28,offload.ausprod.indeed.com,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],backstage-qa.awscmhinfra2.k8s.indeed.tech,"10.118.7.1, 10.118.68.90, 10.118.132.71",,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.118.7.1, 10.118.68.90, 10.118.132.71",,,,,
[x],backstage-yuzhang-demo.awscmhqa.k8s.indeed.tech,,,"ns-1218.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],backstage.indeed.tech,"10.118.132.71, 10.118.7.1, 10.118.68.90",,"ns-1352.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.118.132.71, 10.118.7.1, 10.118.68.90",,,,,
