input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,cdn_name,cdn,csp_domains_,final_url
inspire.qulture.rocks,** Blog Qulture.Rocks **,200,333,AS16509,AS16509,Unknown,15.197.128.0/17,,,,,,,,,,,,,,,,,,,,80,http://inspire.qulture.rocks:80,http,ip-100-74-2-34.eu-west-2.compute.internal,text/html,GET,15.197.142.173,/,-1234307358,3.33.152.147,,1,False,,,,,
latam.qulture.rocks,,404,48913,AS209242,"CLOUDFLARESPECTRUM Cloudflare, Inc.",US,199.60.103.0/24,latam.qulture.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-22T17:35:27Z,2023-06-20T17:35:26Z,CN=latam.qulture.rocks,latam.qulture.rocks,latam.qulture.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,19a376877ae95b76870fcbb6d3e064d8,754eb57c045d733a84de80c6cc956e2612868eac7931fe503c478389d6e6fc85,,ctls,latam.qulture.rocks,443,https://latam.qulture.rocks:443,https,cloudflare,text/html,GET,199.60.103.225,/,-1224359456,2606:2c40::c73c:671f,HubSpot CMS Hub,1168,False,,,,,
lp.qulture.rocks,Agende uma demonstração,200,80436,AS16509,AS16509,Unknown,34.240.0.0/12,lp.qulture.rocks,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-07T19:15:32Z,2023-08-05T19:15:31Z,CN=lp.qulture.rocks,lp.qulture.rocks,lp.qulture.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b02a5bdca486ac57e46998bbb0cfe01f,d1d9c1c6c0c6d8cad9a79842067b96bbda6dc4c16aee58c76f7e7da90c42c983,,ctls,lp.qulture.rocks,443,https://lp.qulture.rocks:443,https,,text/html,GET,34.253.101.190,/,1602764457,34.251.201.224,Webflow,173,False,,,,,
platform-qa.qulture.rocks,Sign in ・ Cloudflare Access,200,28798,AS13335,CLOUDFLARENET,US,172.68.28.0/24,qulturerocks.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,qulturerocks.cloudflareaccess.com,443,https://platform-qa.qulture.rocks:443,https,cloudflare,text/html,GET,172.67.134.183,/,-107603648,2606:4700:3035::6815:667,HSTS,67,False,,cloudflare,True,https:,https://qulturerocks.cloudflareaccess.com/cdn-cgi/access/login/platform-qa.qulture.rocks?kid=7ee998176c50f184ddf4d224e65d4a7634adb29bb3dec5c072524d44ce5f22da&redirect_url=%2F&meta=eyJraWQiOiIzNWI2OWYxN2Y2Nzg2NzUwYWQ5MTI1MjMxOTRmOGExNTY1NjQ4ODU5Y2VhYTNhN2NiNTMxMTNlYTFjMGU2ZTJhIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzczODQ0OSwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjdlZTk5ODE3NmM1MGYxODRkZGY0ZDIyNGU2NWQ0YTc2MzRhZGIyOWJiM2RlYzVjMDcyNTI0ZDQ0Y2U1ZjIyZGEiLCJob3N0bmFtZSI6InBsYXRmb3JtLXFhLnF1bHR1cmUucm9ja3MiLCJhcHBfc2Vzc2lvbl9oYXNoIjoiYzQ0ZjRhMDNlYjg3NTVhYjk3Y2U4MzNiY2I0NTUwZjg0N2FkNTRkM2MzZmJmMmZjNTk1NzZhNzFhZGI0ZjFjNiIsIm5iZiI6MTY4MzczODQ0OSwiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJ0eXBlIjoibWV0YSIsInJlZGlyZWN0X3VybCI6IlwvIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9kbiI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.g4f3e3s9wDNFDasrK-wnQAs1PnqfLyJ-X0jnCGtmgcN2y6bC8tHS-SZ9eAmk1MhdNA7-UpyEAJpVbV5AiRO6DrJLiHKalmvR_kHOKqrECV9G62r8V9NYcEtvMCiYLS-Zo9fXiGxTViKSd08mKSqN6e9jh1uPa-d_QVSavQhkLqhA58XQ8VbaNhqMFr7DJZu6OIgCgEhLBgFE4yBJ6_yyWertIVjTrzJRtaBRzKfApqC_4vq3lyx-DOfjijGSl7720gf0mo-OcPvfotC7cV5y3_YwfZMwsswgAweSfiKkTZky5E6hUJA8cJyc0RumL6-iMc23JMTWNC404SrGOw-OsA
platform.qulture.rocks,Sign in ・ Cloudflare Access,200,31421,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,qulturerocks.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,qulturerocks.cloudflareaccess.com,443,https://platform.qulture.rocks:443,https,cloudflare,text/html,GET,104.21.6.103,/,-71972245,2606:4700:3031::ac43:86b7,HSTS,87,False,,cloudflare,True,https:,https://qulturerocks.cloudflareaccess.com/cdn-cgi/access/login/platform.qulture.rocks?kid=162adc0c84fb22e20d950ba5121fb79af61b2c65f23f4c12e23127f7b89dd8ed&redirect_url=%2F&meta=eyJraWQiOiIzNWI2OWYxN2Y2Nzg2NzUwYWQ5MTI1MjMxOTRmOGExNTY1NjQ4ODU5Y2VhYTNhN2NiNTMxMTNlYTFjMGU2ZTJhIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzczODQ0OSwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjE2MmFkYzBjODRmYjIyZTIwZDk1MGJhNTEyMWZiNzlhZjYxYjJjNjVmMjNmNGMxMmUyMzEyN2Y3Yjg5ZGQ4ZWQiLCJob3N0bmFtZSI6InBsYXRmb3JtLnF1bHR1cmUucm9ja3MiLCJhcHBfc2Vzc2lvbl9oYXNoIjoiYTZmMjJlYzYwZWU3NDY4ODc4NDRjYjFhZjFiNzA2NTNmZTZmMTViNmQ2Y2Q0MDAzYjZkZmRmZjVjMDhiMmI2MyIsIm5iZiI6MTY4MzczODQ0OSwiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJ0eXBlIjoibWV0YSIsInJlZGlyZWN0X3VybCI6IlwvIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9kbiI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.qHHjTXNUsokqo2Z_nBiwwt5GIuFAbVQhtGxwOn4LgNBIsNGu9kOUjOSuTvIEGkj3DnKn2kcDjbplSiobYB0bykEUyIDSXnKtoydHmlsH-2k41OsK62sppDmMrfk07Oy5RVMAM-81IE1RVpBnWclwMkBnEUGlGoO2Dq8GjOwr4iRxb1cZ8FhZTfoIP4KtQOkBj9MCth_Xw23CXvgY-O2kuhgX8xWMXk-LM3LImwIQgs6xFbX313tdAol1WTL3ODAAzQctscjCn-aQi685tWnTqC-2qMslbwj679BCQQ-smppu71iDLMLpP_SakI5dOLDlD0GFoX8v9IJbJ4ACtZ8sEQ
qa.qulture.rocks,Sign in ・ Cloudflare Access,200,31397,AS13335,CLOUDFLARENET,US,172.68.28.0/24,qulturerocks.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,qulturerocks.cloudflareaccess.com,443,https://qa.qulture.rocks:443,https,cloudflare,text/html,GET,172.67.134.183,/,940777946,2606:4700:3035::6815:667,HSTS,87,False,,cloudflare,True,https:,https://qulturerocks.cloudflareaccess.com/cdn-cgi/access/login/qa.qulture.rocks?kid=2045d8f8d4089ec56183139c9555ebae10a8297fd82f8fc273e50c2c5cd7f3b5&redirect_url=%2F&meta=eyJraWQiOiIzNWI2OWYxN2Y2Nzg2NzUwYWQ5MTI1MjMxOTRmOGExNTY1NjQ4ODU5Y2VhYTNhN2NiNTMxMTNlYTFjMGU2ZTJhIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzczODQ0OSwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjIwNDVkOGY4ZDQwODllYzU2MTgzMTM5Yzk1NTVlYmFlMTBhODI5N2ZkODJmOGZjMjczZTUwYzJjNWNkN2YzYjUiLCJob3N0bmFtZSI6InFhLnF1bHR1cmUucm9ja3MiLCJhcHBfc2Vzc2lvbl9oYXNoIjoiZTE2ODY3ZDk5NGI3YWRjMmFlOWU2ZjU0YmJlZWFkNzFiMmI4YWFhNDU5MTU4N2Y0NzkwNTUwNzk2ZWY5NjhlNiIsIm5iZiI6MTY4MzczODQ0OSwiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJ0eXBlIjoibWV0YSIsInJlZGlyZWN0X3VybCI6IlwvIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9kbiI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.b05lMP9es6Cpt5GtKB74JF5IqW9HEp-IXa0Frct2S4paZSm33B9GaNCmaIMzCMPLEfxCcZH6-Gnu-QpV8oQt5YEiqvKmva0ehxYabYMwgNcTaFYmZEjm73l710-J-Krrz3feIRhQezqV_VX5X6PybFYAEBq8jXCPqQ2PofzGr4I-XF1j2ROYdRuuQnvJzJBHQEzIu2dGrBtJq_QiPe5u8xmod48vb5aTCHLcccnvpBbnyT7Yxqkd0PCnCgX8vOUOqqeIpXPEejry-VxSAeWbtgtg0ckfmY-7IFVQs6FkC_GftebgbLLaGRwM32Z5lsjO2UUQ8L18BteBQVkIWEPYEQ
qulture.rocks,Qulture.Rocks | Plataforma de Gestão de Desempenho,200,131122,AS16509,AS16509,Unknown,75.2.0.0/17,www.qulture.rocks,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-08T16:15:34Z,2023-06-06T16:15:33Z,CN=www.qulture.rocks,www.qulture.rocks,www.qulture.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9d65a95044dff82a81bda35fe1bbc3c2,670e0c0632e705e54d718d7e18f93a255e78015487a07b54a6d6f78032a38b25,,ctls,www.qulture.rocks,443,https://qulture.rocks:443,https,,text/html,GET,75.2.70.75,/,1513046921,99.83.190.102,Webflow,368,False,,,,,https://www.qulture.rocks/
storybook.qulture.rocks,Sign in ・ Cloudflare Access,200,31412,AS13335,CLOUDFLARENET,US,172.68.28.0/24,qulturerocks.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,qulturerocks.cloudflareaccess.com,443,https://storybook.qulture.rocks:443,https,cloudflare,text/html,GET,172.67.134.183,/,2134311312,2606:4700:3035::6815:667,HSTS,87,False,,cloudflare,True,https:,https://qulturerocks.cloudflareaccess.com/cdn-cgi/access/login/storybook.qulture.rocks?kid=88cb045e3a9f26372ca35a06d075c7aa6edaefd4dfa6a3cf1496b6ea3b2d63cf&redirect_url=%2F&meta=eyJraWQiOiIzNWI2OWYxN2Y2Nzg2NzUwYWQ5MTI1MjMxOTRmOGExNTY1NjQ4ODU5Y2VhYTNhN2NiNTMxMTNlYTFjMGU2ZTJhIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzczODQ0OSwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6Ijg4Y2IwNDVlM2E5ZjI2MzcyY2EzNWEwNmQwNzVjN2FhNmVkYWVmZDRkZmE2YTNjZjE0OTZiNmVhM2IyZDYzY2YiLCJob3N0bmFtZSI6InN0b3J5Ym9vay5xdWx0dXJlLnJvY2tzIiwiYXBwX3Nlc3Npb25faGFzaCI6ImMxNjY5MDMxYzRkMzBjNmExN2UwYWQ5MWY5ZGZiMmRmMGYzMmZlZjc1YjA3NDYxNWM3M2RlMTkzNWEwZjkxMjIiLCJuYmYiOjE2ODM3Mzg0NDksImlzX3dhcnAiOmZhbHNlLCJpc19nYXRld2F5IjpmYWxzZSwidHlwZSI6Im1ldGEiLCJyZWRpcmVjdF91cmwiOiJcLyIsIm10bHNfYXV0aCI6eyJjZXJ0X2lzc3Vlcl9za2kiOiIiLCJjZXJ0X3ByZXNlbnRlZCI6ZmFsc2UsImNlcnRfc2VyaWFsIjoiIiwiY2VydF9pc3N1ZXJfZG4iOiIiLCJhdXRoX3N0YXR1cyI6Ik5PTkUifSwiYXV0aF9zdGF0dXMiOiJOT05FIn0.TxzNubS2dyvhG_mwbQBu9n9gmqMfpXalBrp0nyYmcEB4seiWzLvSHDR8VZ2TUpI5eiQ3FVJv4rX6sYNHCU9vwD8oB68QlaY_R5nuuES7LAV7ktE3cAL3v7xy3fB1HfVpIdf3RqF1TrlpxNXyhrSagMwAcIjbYaebvtUfqoBrASvqHShzGll0iHSV2kOkLkBU6jqXoQJ6qw4CvD7obae3fPEaqFaa3g_49o2P-hiGil88wTdZM6OZw5uBZV39RZ85kJ-HXFziRddBjgU02BcC3xpTZnf3CxGjYr_n5IjLjL1ZSSEUBLGne1ZbW9e0Td_0JBN7B4xleoz0OX122Rb16A
t.conteudos.qulture.rocks,404 Not Found,404,162,AS11377,SENDGRID,US,167.89.0.0/17,t.conteudos.qulture.rocks,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,t.conteudos.qulture.rocks,443,https://t.conteudos.qulture.rocks:443,https,nginx,text/html,GET,167.89.118.83,/,190856733,167.89.123.54,Nginx,8,False,,,,,
tunnel.qulture.rocks,Argo Tunnel error | tunnel.qulture.rocks | Cloudflare,530,6193,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,tunnel.qulture.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T00:00:00Z,2024-04-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",cbda72be005af0003622ef38f1dc8725,29ab87a2500c1a9ef6317c1c34eef5ad8401d042d05bab577b0507e1834e0e55,,ctls,tunnel.qulture.rocks,443,https://tunnel.qulture.rocks:443,https,cloudflare,text/html,GET,104.21.6.103,/,286817751,2606:4700:3035::6815:667,Cloudflare,93,False,"Cloudflare, Inc.",cloudflare,True,,
www.inspire.qulture.rocks,** Blog Qulture.Rocks **,200,333,AS16509,AS16509,Unknown,15.197.128.0/17,,,,,,,,,,,,,,,,,,,,80,http://www.inspire.qulture.rocks:80,http,ip-100-74-2-101.eu-west-2.compute.internal,text/html,GET,15.197.142.173,/,-1234307358,3.33.152.147,,1,False,,,,,
www.qulture.rocks,Qulture.Rocks | Plataforma de Gestão de Desempenho,200,131122,AS16509,AS16509,Unknown,34.240.0.0/12,www.qulture.rocks,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-08T16:15:34Z,2023-06-06T16:15:33Z,CN=www.qulture.rocks,www.qulture.rocks,www.qulture.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9d65a95044dff82a81bda35fe1bbc3c2,670e0c0632e705e54d718d7e18f93a255e78015487a07b54a6d6f78032a38b25,,ctls,www.qulture.rocks,443,https://www.qulture.rocks:443,https,,text/html,GET,34.251.201.224,/,1513046921,54.194.170.100,Webflow,368,False,,,,,
