new,host,a,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,aaaa,caa,has_internal_ips,internal_ips
[x],content-curator-development.hootsuite.com,"143.204.89.37, 143.204.89.60, 143.204.89.58, 143.204.89.28","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],content-curator-staging.hootsuite.com,"108.157.214.75, 108.157.214.37, 108.157.214.106, 108.157.214.110","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],content-curator.hootsuite.com,,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],contentadmin.hootsuite.com,"18.66.112.49, 18.66.112.39, 18.66.112.47, 18.66.112.74","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],cron1.ow.ly,54.241.203.167,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,ec2-54-241-203-167.us-west-1.compute.amazonaws.com,,"u3.amazonaws.com, ns3.p31.dynect.net, pdns3.ultradns.org, pdns1.ultradns.net, u2.amazonaws.com, pdns5.ultradns.info, u6.amazonaws.com, u5.amazonaws.com, u4.amazonaws.com, ns1.p31.dynect.net, u1.amazonaws.com, ns4.p31.dynect.net, ns2.p31.dynect.net",,,,,
[x],d12qyuqyvqjkw5.content.hootsuite.com,88.221.63.110,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"www.hootsuite.com.edgekey.net, e11484.a.akamaiedge.net",,,,,,,
[x],d3uq0lxah0gw68.content.hootsuite.com,104.102.41.80,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"www.hootsuite.com.edgekey.net, e11484.a.akamaiedge.net",,,,,,,
[x],dev-community.hootsuite.com,"104.16.53.111, 104.16.51.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,hootsuiteplatform.zendesk.com,mail-pod-13.int.zendesk.com,,"pod=13, v=spf1 include:mail.zendesk.com ~all",,,,
[x],dev.api.gmb.hootsuite.com,"3.97.175.225, 3.97.103.187","ns-1930.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,googlemybusinessapidevelopment-env.eba-kqmarfyn.ca-central-1.elasticbeanstalk.com,,,,,,,
[x],dev.api.yext.hootsuite.com,"13.224.189.72, 13.224.189.85, 13.224.189.48, 13.224.189.28","ns-574.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,eewnzv4d59.execute-api.ca-central-1.amazonaws.com,,,,,,,
[x],dev.ow.ly,"10.21.1.95, 10.21.3.101","ns-795.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,True,"10.21.1.95, 10.21.3.101"
[x],dev.yext.hootsuite.com,"99.79.110.92, 15.222.183.196","ns-1930.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,yext-web-development-env.eba-n3tzmzm3.ca-central-1.elasticbeanstalk.com,,,,,,,
[x],developer.hootsuite.com,"104.18.210.56, 104.18.211.56","jeremy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,ssl.readmessl.com,,,,"2606:4700::6812:d238, 2606:4700::6812:d338","pki.goog; cansignhttpexchanges=yes, comodoca.com, digicert.com, letsencrypt.org",,
[x],developers.hootsuite.com,"18.213.136.193, 54.145.190.61, 34.193.24.75","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],development-i.hootsuite.com,"143.204.89.28, 143.204.89.37, 143.204.89.60, 143.204.89.58","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],directory.hootsuite.com,"54.145.190.61, 34.193.24.75, 18.213.136.193","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],docs.hootsuite.com,142.250.80.115,"ns1.google.com, dns-admin.google.com",NOERROR,,,ghs.google.com,,,,2607:f8b0:4006:80d::2013,,,
[x],education.hootsuite.com,"54.243.250.147, 35.169.200.225","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"socialmedia.thinkific.com, service-ingress-nlb-aa22054cc4e377d0.elb.us-east-1.amazonaws.com",,,,,,,
[x],email.careers.hootsuite.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u1912044.wl045.sendgrid.net,mx.sendgrid.net,,v=spf1 include:sendgrid.net ~all,,,,
[x],email.hootsuite.com,34.110.180.34,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,mailgun.org,"mxb.mailgun.org, mxa.mailgun.org","ns-133.awsdns-16.com, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-586.awsdns-09.net","v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, 8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA",,"digicert.com, letsencrypt.org, ;",,
[x],emails.hootsuite.com,"104.17.72.206, 104.17.74.206, 104.17.70.206, 104.17.73.206, 104.17.71.206","ns1.marketo.com, ops.localhost",NOERROR,True,cloudflare,mkto-sj130006.com,,"ns2.mktdns.com, ns1.marketo.com",,,,,
[x],enterprise.hootsuite.com,"54.145.190.61, 18.213.136.193, 34.193.24.75","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],feedback.hootsuite.com,"18.213.136.193, 34.193.24.75, 54.145.190.61","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],forum.hootsuite.com,"18.213.136.193, 54.145.190.61, 34.193.24.75","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],globalwebinarsregistration.hootsuite.com,"18.232.224.214, 52.45.71.49, 34.194.111.198, 18.211.126.100, 34.204.234.24, 54.146.232.143","ns-1517.awsdns-61.org, awsdns-hostmaster.amazon.com",NOERROR,,,hootsuite.registration.goldcast.io,,,,,,,
[x],gmb.hootsuite.com,"3.98.98.179, 99.79.133.113","ns-616.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,awseb-e-x-awsebloa-17cjel0jjy4sx-686588665.ca-central-1.elb.amazonaws.com,,,,,,,
[x],gr.ow.ly,,"ns-795.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,ow.ly,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","ns-133.awsdns-16.com, ns-1454.awsdns-53.org, ns-1603.awsdns-08.co.uk, ns-795.awsdns-35.net",v=spf1 ip4:69.90.101.232 a mx include:server.invokemedia.com include:mediatools.invokemedia.com -all,,,,
[x],graphite.ow.ly,54.215.63.11,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,"graphite1.ow.ly, ec2-54-215-63-11.us-west-1.compute.amazonaws.com",,"u1.amazonaws.com, u2.amazonaws.com, u3.amazonaws.com, u4.amazonaws.com, u5.amazonaws.com, u6.amazonaws.com, ns1.p31.dynect.net, ns2.p31.dynect.net, ns3.p31.dynect.net, ns4.p31.dynect.net, pdns1.ultradns.net, pdns3.ultradns.org, pdns5.ultradns.info, ns-133.awsdns-16.com, ns-1454.awsdns-53.org, ns-1603.awsdns-08.co.uk, ns-795.awsdns-35.net",,,,,
[x],graphite1.ow.ly,54.215.63.11,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,ec2-54-215-63-11.us-west-1.compute.amazonaws.com,,,,,,,
[x],gsemail.hootsuite.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u20183547.wl048.sendgrid.net,mx.sendgrid.net,,v=spf1 ip4:167.89.7.15 -all,,,,
[x],h.ow.ly,"3.228.57.190, 54.172.131.150, 34.195.145.0","ns-795.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,ow.ly,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","ns-133.awsdns-16.com, ns-1454.awsdns-53.org, ns-1603.awsdns-08.co.uk, ns-795.awsdns-35.net",v=spf1 ip4:69.90.101.232 a mx include:server.invokemedia.com include:mediatools.invokemedia.com -all,,,,
[x],healthcare.hootsuite.com,"18.213.136.193, 54.145.190.61, 34.193.24.75","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1154.awsdns-16.org, ns-1546.awsdns-01.co.uk, ns-492.awsdns-61.com, ns-877.awsdns-45.net",,,,,
[x],heyday.hootsuite.com,162.159.135.42,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,,,ca3-d129aa85f2454979abdfff941b06924e,,,,
[x],hootmailtest.hootsuite.com,"13.32.27.32, 13.32.27.109, 13.32.27.76, 13.32.27.80","ns-27.awsdns-03.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,dj27scj1wddj4.cloudfront.net,,"ns-1271.awsdns-30.org, ns-1678.awsdns-17.co.uk, ns-27.awsdns-03.com, ns-935.awsdns-52.net",,,,,
[x],hootsuite.com,"18.160.10.116, 18.160.10.25, 18.160.10.96, 18.160.10.101, 205.251.193.236, 205.251.195.109, 205.251.196.130, 205.251.198.10","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"alt1.aspmx.l.google.com, aspmx3.googlemail.com, aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com","ns-492.awsdns-61.com, ns-1154.awsdns-16.org, ns-877.awsdns-45.net, ns-1546.awsdns-01.co.uk","pendo-domain-verification=982b640c-494d-487f-9972-2dccee7e0f02, facebook-domain-verification=35hphhsn4jyqmnl8qwo23ueaiy742y, adobe-idp-site-verification=b2e6a69046947a884c67879d015ac98d7c7157d7d43e1ddec34c4989113425e7, proxy-ssl.webflow.com, hubspot-developer-verification=NzM1MjU1NDItODZkYS00NTViLWIwMzgtOTBhNmVjZTMzMGJi, docker-verification=3287867a-69cf-46a8-9aac-3c92a32d5931, mixpanel-domain-verify=007c418c-57b5-4cca-8f6a-69edd6c0c9cf, v=spf1 mx ip4:62.13.150.16 ip4:174.36.80.216 ip4:174.36.80.219 ip4:167.89.34.137 ip4:208.117.56.91 ip4:149.72.143.250 ip4:74.63.202.208 ip4:198.2.187.243 ,  ip4:198.37.159.181 ip4:167.89.63.49 ip4:168.245.23.173 ip4:185.25.32.0/22 include:_spf.google.com include:spf1.hootsuite.com ~all, miro-verification=c238eb19a3900f9022b2dd2cee65b3349c066da0, google-site-verification=TTJxyytJxoTs_D15KV_M2QxIPSaSnP8FEeFJq1yfwBc, MS=D8F5E4617F05614D8674B9BECB8617008F9FCE5F, drift-domain-verification=fa680538bbf6219a4e863967839197daecee409d4f0bc0490a5d8d0ba61f6977, wrike-verification=MTkyNzcwOjJiNmU1YjkxYTFiZjVjYTE0Mzg3OWQyZjQ3NGI2NzkyMmM0YTdkYWIxYjViNjc3OTg0NjI0NjY4MjI4MTU4NDA=, atlassian-domain-verification=o25iIe9Jr805+vUZ13KF3VgHHNejIxdx/y/sC+JI2Be9B1l1k2wFzIaUK5JZKi8D",,"amazontrust.com, pki.goog, awstrust.com, comodo.com, digicert.com, mailto:domains@hootsuite.com, starfieldtech.com, amazon.com, cloudflaressl.com, cloudflare.com, godaddy.com, letsencrypt.org, amazonaws.com",,
[x],hootsupport-staging.hootsuite.com,"52.7.98.28, 3.226.31.86, 54.152.164.122","ns-1222.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,hootsupport.staging.us-east-1.hootops.com,,,,,,,
[x],hootsupport.hootsuite.com,"107.21.99.19, 35.173.151.249, 44.209.34.60","ns-1222.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,hootsupport.us-east-1.hootops.com,,,,,,,
[x],i.hootsuite.com,"18.66.97.3, 18.66.97.26, 18.66.97.101, 18.66.97.108","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],images.hootsuite.com,"13.227.219.79, 13.227.219.89, 13.227.219.64, 13.227.219.60","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],imgssl.hootsuite.com,"13.32.121.47, 13.32.121.104, 13.32.121.32, 13.32.121.114","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],imp.hootsuite.com,184.72.253.170,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],impact.hootsuite.com,"3.226.211.217, 18.210.84.173","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],insights.hootsuite.com,,,NOERROR,,,"hootsuite.ubervu.com, app-wl.ubervu.com, ubervu-prod-app-1016346338.us-east-1.elb.amazonaws.com",,,,,,,
[x],lb2.ow.ly,54.241.242.79,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,ec2-54-241-242-79.us-west-1.compute.amazonaws.com,,,,,,,
[x],lb6.ow.ly,54.241.242.82,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,ec2-54-241-242-82.us-west-1.compute.amazonaws.com,,,,,,,
[x],lb7.ow.ly,54.241.71.41,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,ec2-54-241-71-41.us-west-1.compute.amazonaws.com,,,,,,,
[x],learn.hootsuite.com,"54.145.190.61, 18.213.136.193, 34.193.24.75","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],learning.hootsuite.com,"54.145.190.61, 18.213.136.193, 34.193.24.75","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],login.playground.birdie.hootsuite.com,,"ns-544.awsdns-04.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],logstash.hootsuite.com,,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],m.hootsuite.com,"65.9.55.12, 65.9.55.119, 65.9.55.114, 65.9.55.60","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],m1.hootmail.hootsuite.com,198.2.187.243,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],maint.hootsuite.com,"13.227.219.95, 13.227.219.81, 13.227.219.109, 13.227.219.124","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],mccsm.hootsuite.com,"104.18.71.233, 104.18.72.233","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"customer.litmos.com, customer.litmos.com.cdn.cloudflare.net",,,,"2606:4700::6812:48e9, 2606:4700::6812:47e9",,,
[x],measure.hootsuite.com,"13.227.219.46, 13.227.219.39, 13.227.219.121, 13.227.219.29","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],media.hootsuite.com,"18.213.136.193, 34.193.24.75, 54.145.190.61","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mi.hootsuite.com,"13.249.205.83, 13.249.205.112, 13.249.205.36, 13.249.205.74","ns-1164.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d2i9shar0axg51.cloudfront.net,,,,,,,
[x],new.ow.ly,"54.241.242.72, 54.241.254.20, 54.241.23.26, 54.241.242.79","ns-795.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],newhouse.hootsuite.com,"34.193.24.75, 18.213.136.193, 54.145.190.61","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],o1.hootmail.hootsuite.com,74.63.202.208,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],o2.hootmail.hootsuite.com,167.89.34.137,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],o3.hootmail.hootsuite.com,208.117.56.91,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],o32.track.careers.hootsuite.com,167.89.20.32,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],o4.hootmail.hootsuite.com,149.72.143.250,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],o44.track.hiring.hootsuite.com,167.89.49.231,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],old.ow.ly,"54.241.23.26, 54.241.254.20, 54.241.242.72, 54.241.242.79","ns-795.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],origin.hootsuite.com,"3.216.213.213, 52.86.171.134, 44.196.109.158","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],partnerportal.hootsuite.com,,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],payments-staging.hootsuite.com,"52.85.242.105, 52.85.242.118, 52.85.242.106, 52.85.242.99","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
