new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,txt,mx,ns,caa,has_internal_ips,internal_ips
[x],investmentuniversity.pl,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 a mx a:mx1.tms.pl a:mx2.tms.pl a:ml.tms.pl mx:poczta.tms.pl -all,"mx1.tms.pl, mx2.tms.pl","bonnie.ns.cloudflare.com, dilbert.ns.cloudflare.com","mailto:security@oanda.com, certum.pl, comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes",,
[x],jobs.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],labs-api.staging.oanda.com,"104.18.29.182, 104.18.28.182",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],labs-api.uat.oanda.com,"104.18.16.94, 104.18.17.94",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],labs-static.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],labs-static.staging.oanda.com,"104.18.29.182, 104.18.28.182",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],labs-static.uat.oanda.com,"104.18.16.94, 104.18.17.94",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],labs.oanda.com,216.12.138.242,oanda02.oanda.com,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],labs.uat.oanda.com,"104.18.16.94, 104.18.17.94",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],ldms-api.staging.oanda.com,"104.18.28.182, 104.18.29.182",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],ldms-api.uat.oanda.com,"104.18.16.94, 104.18.17.94",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],ldms.staging.oanda.com,"188.114.98.229, 188.114.99.229",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],ldms.uat.oanda.com,"104.18.16.94, 104.18.17.94",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],legal.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],legal.staging.oanda.com,"104.18.28.182, 104.18.29.182",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],legal.uat.oanda.com,"104.18.16.94, 104.18.17.94",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],link.tms.pl,"104.18.6.221, 104.18.7.221",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],live.oanda.com,"108.162.192.76, 172.64.32.76, 173.245.58.76, 108.162.193.155, 172.64.33.155, 173.245.59.155",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:50::adf5:3a4c, 2803:f800:50::6ca2:c04c, 2a06:98c1:50::ac40:204c, 2606:4700:58::adf5:3b9b, 2803:f800:50::6ca2:c19b, 2a06:98c1:50::ac40:219b",,,,,"bonnie.ns.cloudflare.com, dilbert.ns.cloudflare.com",,,
[x],lp.test.tms.pl,"104.18.25.207, 104.18.24.207",,"colette.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],lp.tms.pl,"104.18.6.221, 104.18.7.221",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,google-site-verification=cu3CTT9hvZmXsBrppkpE2YmRFgs9qGn__hSp_hfxgeE,,,,,
[x],lp.tmsbrokers.com,"104.18.15.64, 104.18.14.64",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,facebook-domain-verification=6kefui5s4x4xs1qtsykpubqxpx4fm0,,,,,
[x],m.fxmetropolis.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],m.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],mactrack.oanda.jp,"35.73.168.49, 54.150.8.68",,"ns-884.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-437.awsdns-54.com, ns-884.awsdns-46.net, ns-1160.awsdns-17.org, ns-1928.awsdns-49.co.uk",amazon.com,,
[x],mailer.tms.pl,85.232.253.250,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 a mx mx:mx1.mailer.tms.pl -all,mx1.mailer.tms.pl,"henrik.ns.cloudflare.com, may.ns.cloudflare.com",,,
[x],maintenance.oanda.jp,"104.16.248.60, 104.16.238.60",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],markets.tms.pl,"104.18.6.221, 104.18.7.221",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],metrics.oanda.com,"63.140.62.164, 63.140.62.135, 63.140.62.160",oanda.com.112.2o7.net,"ns201.adobe.net, dnsadmin.omniture.com, hostmaster.adobe.com",NOERROR,,,,,,,,,
[x],mfa.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],mfa.staging.oanda.com,"104.18.29.182, 104.18.28.182",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],mfa.uat.oanda.com,"104.18.16.94, 104.18.17.94",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],ml.tms.pl,85.232.253.240,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 a mx mx:mx1.ml.tms.pl -all,mx1.ml.tms.pl,"may.ns.cloudflare.com, henrik.ns.cloudflare.com",,,
[x],ml.tmsbrokers.com,"85.232.253.240, 108.162.192.135, 172.64.32.135, 173.245.58.135, 108.162.195.105, 162.159.44.105, 172.64.35.105",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:50::adf5:3a87, 2803:f800:50::6ca2:c087, 2a06:98c1:50::ac40:2087, 2606:4700:58::a29f:2c69, 2803:f800:50::6ca2:c369, 2a06:98c1:50::ac40:2369",,,v=spf1 a mx mx:mx1.ml.tms.pl -all,mx1.ml.tmsbrokers.com,"may.ns.cloudflare.com, henrik.ns.cloudflare.com",,,
[x],money-transfer-staging.oanda.com,198.168.95.120,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],money-transfer.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],mt4-gmt2-trade.oanda.com,198.105.26.114,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
