input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_issuer_org_,tls_wildcard_certificate,cdn_name,content_type,cdn,final_url,csp_domains_,tls_mismatched
cdn.cookielaw.org,,400,351,cdn.cookielaw.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-01T00:00:00Z,2024-03-31T23:59:59Z,"CN=cookielaw.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cookielaw.org,*.cookielaw.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,37ab0e71043c8086e3dd0c243ddc96a0,5d2949ef89a4f8bcb4cd2993b031af4344263b2d584da9f9139d2aae7c6cbed2,ctls,cdn.cookielaw.org,443,https://cdn.cookielaw.org:443,https,cloudflare,GET,104.19.188.97,/,-1763651043,2606:4700::6813:bc61,HSTS,3,False,"Cloudflare, Inc.","Cloudflare, Inc.",True,cloudflare,application/xml,True,,,
cdn.number26.de,,403,243,cdn.number26.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-03-27T23:59:59Z,CN=cdn.number26.de,cdn.number26.de,cdn.number26.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,5f78c99f1ea1d4ce0d31e7b74709c352,cdeddec735876001698d1c748658271af17c188e529ce986d2a20e68636e05ec,ctls,cdn.number26.de,443,https://cdn.number26.de:443,https,AmazonS3,GET,13.225.244.100,/,1914318119,13.225.244.27,HSTS,2,False,,Amazon,,cloudfront,application/xml,True,,,
cloud.us-email.n26.com,403 - Forbidden: Access is denied.,403,1233,,,,,,,,,,,,,,,,,80,http://cloud.us-email.n26.com:80,http,,GET,136.147.129.35,/,1631801191,136.147.129.35,,30,False,,,,,text/html,,,,
connect.facebook.net,Facebook - 登录或注册,200,62902,www.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-18T00:00:00Z,2023-05-19T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,63e07ca5d96aee3775b2c28046eff557,e76425a78a595dd7d06572359e47b21d1d20ab4527fac974be7b8748593eed6d,ctls,www.facebook.com,443,https://connect.facebook.net:443,https,,GET,157.240.251.9,/,142313513,2a03:2880:f084:d:face:b00c:0:3,HTTP/3,28,False,"Meta Platforms, Inc.",DigiCert Inc,True,,text/html,,https://www.facebook.com/,media.tenor.com,
docs.n26.com,,200,108,docs.n26.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2024-05-15T23:59:59Z,CN=n26.com,n26.com,*.n26.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,2c15227d0060f85b8f0ff5e834af1124,9f9c524cbdf7f2fd74c1f1349d02095b7d6d950d34a2a7ef3ec117164083bce4,ctls,docs.n26.com,443,https://docs.n26.com:443,https,AmazonS3,GET,18.66.147.80,/,488889990,18.66.147.63,Amazon Web Services,9,False,,Amazon,True,cloudfront,text/html,True,,,
esign-staging.tech26.de,,403,255,esign-staging.tech26.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-03T23:59:59Z,CN=esign-staging.tech26.de,esign-staging.tech26.de,esign-staging.tech26.de,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,235f284610bb6f6316f3bc72f38bf8b5,0a6af7b94e032a60f4f4348d1a095d6d7083c8d9c25cc6012dc0d8065555c6ba,ctls,esign-staging.tech26.de,443,https://esign-staging.tech26.de:443,https,AmazonS3,GET,52.222.236.57,/,1768657222,52.222.236.114,HSTS,2,False,,Amazon,,cloudfront,application/xml,True,,,
fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,f5e19b0c15918f4e4bcfa456133d1ad7,2d3b52058a876e74ebd8c6b8f539d46ff307058680fed77df5bfad75473dab9c,ctls,fonts.googleapis.com,443,https://fonts.googleapis.com:443,https,ESF,GET,142.250.186.106,/,-606046040,2a00:1450:4001:829::200a,HTTP/3,1,False,,Google Trust Services LLC,True,,text/html,,,,
fpt.tech26.de,,200,,fpt.tech26.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-03-27T23:59:59Z,"CN=api.tech26.de, O=N26 AG, L=Berlin, ST=Berlin, C=DE",api.tech26.de,fpt.tech26.de,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,d8a8f71fb424c59277581e17beb1bee3,2204747c3650a2d77ead161858e60f1c2b553012b5d48ec0b9b33eae2d11b264,ctls,fpt.tech26.de,80,http://fpt.tech26.de:80,http,awselb/2.0,GET,3.65.16.147,/,-1840324437,3.77.62.190,,1,False,N26 AG,DigiCert Inc,,,text/plain,,https://fpt.tech26.de:443/,,
get.n26.com,Open a bank account – Sign up,200,180588,get.n26.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-02T00:00:00Z,2024-06-01T23:59:59Z,"CN=n26.com, O=N26 AG, L=Berlin, ST=Berlin, C=DE",n26.com,app.n26.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,57cf228e25a320b0f206f7d685340ec9,6ae0331838b9285b544680f159f56ffd07545c127f4b4e69289bae9d8b7ef9b8,ctls,get.n26.com,443,https://get.n26.com:443,https,nginx,GET,128.65.211.162,/,940817434,128.65.211.162,Nginx,292,False,N26 AG,DigiCert Inc,,,text/html,,,connect.facebook.net,
https://spc.n26.com,,404,13,spc.n26.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=spc.n26.com,spc.n26.com,spc.n26.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,cb23cefb623fbc1d1e456d5313508a00,5aafb8f2b95f6c4e10e1bda0df0d22b67ab94cd1c5311a87bd9419582939aa2b,ctls,spc.n26.com,443,https://spc.n26.com:443,https,envoy,GET,3.77.220.145,/,-1420358624,52.28.1.238,Envoy,1,False,,Amazon,,,text/plain,,,,
image.email.n26.com,Access Denied,403,272,,,,,,,,,,,,,,,,,80,http://image.email.n26.com:80,http,AkamaiGHost,GET,23.32.238.155,/,-1821876030,23.32.238.137,,10,False,,,,,text/html,,,,
images.contentful.com,,404,109,images.ctfassets.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-16T23:59:59Z,CN=images.ctfassets.net,images.ctfassets.net,images.ctfassets.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,0fe1f56fad6c72aff7f3ea2d4cc4472a,5287ae8cf6fb5a88eebdd42e2e7da60dee3d89200c8362212fd46307318a24de,ctls,images.ctfassets.net,443,https://images.contentful.com:443,https,CloudFront,GET,18.155.145.119,/,-1759937580,18.155.145.71,Amazon Web Services,7,False,,Amazon,,cloudfront,application/json,True,https://images.ctfassets.net/,,
images.ctfassets.net,,404,109,images.ctfassets.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-16T23:59:59Z,CN=images.ctfassets.net,images.ctfassets.net,images.ctfassets.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,0fe1f56fad6c72aff7f3ea2d4cc4472a,5287ae8cf6fb5a88eebdd42e2e7da60dee3d89200c8362212fd46307318a24de,ctls,images.ctfassets.net,443,https://images.ctfassets.net:443,https,CloudFront,GET,13.32.27.18,/,-1759937580,2600:9000:25a2:ce00:12:94b3:c380:93a1,Amazon Web Services,7,False,,Amazon,,cloudfront,application/json,True,,,
mag-es.n26.com,N26 Magazine - España,200,209366,mag-es.n26.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-21T00:00:00Z,2023-12-21T23:59:59Z,CN=mag-es.n26.com,mag-es.n26.com,mag-es.n26.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,6c7cabb148d078386da9c8d5cc4916af,cc47e0b4bc1de46187655ef4c99f7ca6149368a5dad4d9082ac98f43c31fa22a,ctls,mag-es.n26.com,443,https://mag-es.n26.com:443,https,openresty,GET,52.1.147.205,/,-1485515534,52.4.225.124,PayPal,237,False,,Sectigo Limited,,,text/html,,https://mag-es.n26.com/?gi=b61bdfaa925e,https://*.gstatic.com,
mag-fr.n26.com,N26 Magazine - Édition française,200,123927,mag-fr.n26.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-28T00:00:00Z,2023-12-28T23:59:59Z,CN=mag-fr.n26.com,mag-fr.n26.com,mag-fr.n26.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,488e6aeeba1741fe505fcaa405a51313,b073f236423d89cd6e30c50702c7ede8f23fec2a87839040071bc94e15ebc453,ctls,mag-fr.n26.com,80,http://mag-fr.n26.com:80,http,openresty,GET,52.1.119.170,/,-1485515534,52.1.173.203,PayPal,237,False,,Sectigo Limited,,,text/html,,https://mag-fr.n26.com/?gi=59853cecb1cb,https://dnqgz544uhbo8.cloudfront.net,
message-templates-assets-staging.tech26.de,,403,243,message-templates-assets-staging.tech26.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-07-30T23:59:59Z,CN=message-templates-assets-staging.tech26.de,message-templates-assets-staging.tech26.de,message-templates-assets-staging.tech26.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,026d59fde235557a8e296a7d04527fc7,d84a598c941b79667ec346eb5e0cfe73286223be6c4f0200d115ad446af58a12,ctls,message-templates-assets-staging.tech26.de,443,https://message-templates-assets-staging.tech26.de:443,https,AmazonS3,GET,13.32.121.78,/,710345824,13.32.121.51,HSTS,2,False,,Amazon,,cloudfront,application/xml,True,,,
message-templates-assets.tech26.de,,403,255,message-templates-assets.tech26.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-08-21T23:59:59Z,CN=message-templates-assets.tech26.de,message-templates-assets.tech26.de,message-templates-assets.tech26.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,7a33a817d8ab67062f0e964a40a1dbd3,7e87a7f148c61bfb6bb2d3d9efce934eac15ae75175a9d3494eb34a0fea0d448,ctls,message-templates-assets.tech26.de,443,https://message-templates-assets.tech26.de:443,https,AmazonS3,GET,13.32.121.76,/,-116600812,13.32.121.123,HSTS,2,False,,Amazon,,cloudfront,application/xml,True,,,
n26.com,N26 The Mobile Bank | Voted 'Best bank in the world 2021',200,343628,n26.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-06-02T23:59:59Z,CN=n26.com,n26.com,www.n26.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,3bb6d9ecff8fecc13bc55d7c36e8ce37,c0c6449c61a94a58e691523349387d821b344c9ac5d3281d9fc67ba652ac8e26,ctls,n26.com,443,https://n26.com:443,https,nginx,GET,13.224.189.89,/,940817434,13.224.189.5,Nginx,405,False,,Amazon,,cloudfront,text/html,True,https://n26.com/en-de,cdn.number26.de,
n26.go2cloud.org,,404,,n26.go2cloud.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-03-21T23:59:59Z,CN=*.go2cloud.org,*.go2cloud.org,*.go2cloud.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,fb18e6678e3c0e13287a85b2682147bf,c32dcf3c05776da34107a0fdf0b4d3954d0ef85f93e2a544815c61eddf7318ae,ctls,n26.go2cloud.org,443,https://n26.go2cloud.org:443,https,nginx,GET,52.210.2.133,/,-1840324437,52.210.174.128,Nginx,1,False,,Amazon,True,,,,,,
pages.email.n26.com,403 - Forbidden: Access is denied.,403,1233,pages.email.n26.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-01T00:00:00Z,2024-03-31T23:59:59Z,"CN=pages.s7.exacttarget.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",pages.s7.exacttarget.com,pages.s7.exacttarget.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,ad0ce528e2e7d8e4b927915048aa3a0c,c5cc7a343c1eb8a37e9647a26a09c8fcd63898758614a805df34764945647c2c,ctls,pages.email.n26.com,443,https://pages.email.n26.com:443,https,,GET,136.147.129.25,/,-207424980,136.147.129.25,,30,False,"Salesforce.com, Inc.",DigiCert Inc,,,text/html,,,,True
pixel.mathtag.com,"Privacy Policy - Built for this moment, and the next.",200,122317,www.mediamath.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-27T00:00:00Z,2024-03-27T23:59:59Z,"CN=www.mediamath.com, O=MediaMath\, Inc., L=New York, ST=New York, C=US",www.mediamath.com,wildcard.mediamath.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,1f7c188af172572ad681f8954b426d93,1d1b028ae42b283027acbb883cba75b207a8cab4cec8e385e499e48df48a3eaa,ctls,www.mediamath.com,443,https://pixel.mathtag.com:443,https,Apache/2.4.39 (Debian),GET,184.30.20.207,/,-1840324437,184.30.20.207,wpBakery,1052,False,"MediaMath, Inc.",DigiCert Inc,,,text/html,,https://www.mediamath.com/privacy-policy/,,
s.ytimg.com,Error 404 (Not Found)!!1,404,1561,s.ytimg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,s.ytimg.com,443,https://s.ytimg.com:443,https,,GET,142.250.185.110,/,302920777,2a00:1450:4001:80f::200e,HTTP/3,12,False,,Google Trust Services LLC,True,,text/html,,,,True
sapi.tech26.de,,401,102,sapi.tech26.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-03-23T23:59:59Z,CN=sapi.tech26.de,sapi.tech26.de,sapi.tech26.de,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,19ac073bfefd5135d46750271cae7b33,734f40d8c68521eeaddd8db98c81e79de3d3500ff384f1a9340428052a3526f3,ctls,sapi.tech26.de,443,https://sapi.tech26.de:443,https,envoy,GET,18.192.188.220,/,-469146358,3.74.58.40,Envoy,1,False,,Amazon,,,application/json,,,,
tagmanager.google.com,Google Analytics,200,159350,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,443,https://tagmanager.google.com:443,https,ESF,GET,142.250.186.78,/,1349306309,2a00:1450:4001:803::200e,HTTP/3,124,False,,Google Trust Services LLC,True,,text/html,,https://accounts.google.com/v3/signin/identifier?dsh=S-771231183%3A1683827926683168&continue=https%3A%2F%2Ftagmanager.google.com%2F&followup=https%3A%2F%2Ftagmanager.google.com%2F&ifkv=Af_xneGUQ70QVwsRscqJ8--8Z8V4GfAdBFqiyag_vaxeqvH1RWwZnI41zEKI06bGAqWOEPvfHLE5dQ&passive=1209600&service=analytics&flowName=WebLiteSignIn&flowEntry=ServiceLogin,,
tr.snapchat.com,,200,68,tr.snapchat.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.snap.com, O=Snap Inc., L=Santa Monica, ST=California, C=US",*.snap.com,snapkit.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,99846614e6f290ca2e4054eb46d8caaf,7fed4a859fb65e62e8dbf986e24e9786c80556b894e3c833269217de69ce706c,ctls,tr.snapchat.com,443,https://tr.snapchat.com:443,https,API Gateway,GET,35.190.43.134,/,1572393028,35.190.43.134,HTTP/3,3,False,Snap Inc.,DigiCert Inc,True,google,,True,,,True
tutorials.n26.com,404 not found — N26,404,43690,support.n26.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-02T00:00:00Z,2024-06-01T23:59:59Z,"CN=n26.com, O=N26 AG, L=Berlin, ST=Berlin, C=DE",n26.com,app.n26.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,57cf228e25a320b0f206f7d685340ec9,6ae0331838b9285b544680f159f56ffd07545c127f4b4e69289bae9d8b7ef9b8,ctls,support.n26.com,80,http://tutorials.n26.com:80,http,nginx,GET,13.224.189.41,/,867645081,13.224.189.23,Nginx,120,False,N26 AG,DigiCert Inc,,cloudfront,text/html,True,https://support.n26.com/tutorials/,cdn.cookielaw.org,
