input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,final_url,tech_,tls_wildcard_certificate,cdn_name,cdn,tls_mismatched,tls_expired,tls_self_signed,location
a-www.ecb.europa.eu,401 Unauthorized,401,381,a-www.ecb.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-24T15:06:53Z,2023-11-23T15:06:52Z,"CN=a-www.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-www.ecb.europa.eu,European Central Bank,a-www.esrb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",51b8d9457b053f349d9559df849681e9,d412e53329ad775b173e5dd0a5727b9315dd5dde9be06ac3c6adbd434a11632c,ctls,a-www.ecb.europa.eu,443,https://a-www.ecb.europa.eu:443,https,myracloud,text/html,GET,185.5.82.217,/,-392200610,185.5.82.217,13,False,,https://a-www.ecb.europa.eu/home/html/index.en.html,HSTS,,,,,,,
a-www.esrb.europa.eu,401 Unauthorized,401,381,a-www.esrb.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-24T15:06:53Z,2023-11-23T15:06:52Z,"CN=a-www.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-www.ecb.europa.eu,European Central Bank,a-www.esrb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",51b8d9457b053f349d9559df849681e9,d412e53329ad775b173e5dd0a5727b9315dd5dde9be06ac3c6adbd434a11632c,ctls,a-www.esrb.europa.eu,443,https://a-www.esrb.europa.eu:443,https,myracloud,text/html,GET,185.5.82.217,/,-392200610,185.5.82.217,13,False,,https://a-www.esrb.europa.eu/home/html/index.en.html,HSTS,,,,,,,
ac.eda.europa.eu,EDA Annual Conference 2022 - Home,200,30232,ac.eda.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T11:00:55Z,2023-06-20T11:00:54Z,CN=ac.eda.europa.eu,ac.eda.europa.eu,,ac.eda.europa.eu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7e8a49e253c260b954ac1fe6c5c54348,2fa1862112005c03b1e8fdf6359dbdb7644dfc12222c1b2ee87c7d81044dc751,ctls,ac.eda.europa.eu,443,https://ac.eda.europa.eu:443,https,,text/html,GET,104.199.38.53,/,-1883288884,104.199.38.53,571,False,,,,,google,True,,,,
academy.europa.eu,EU Academy,200,310012,academy.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=academy.europa.eu,academy.europa.eu,,*.academy.europa.eu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7efbc45bad0949d5f10ab04ced538552,2a62096fc8fa08df4501e81f4b7297a8d5406d7850c75d42c5f437d2443da7f0,ctls,academy.europa.eu,443,https://academy.europa.eu:443,https,nginx,text/html,GET,108.138.7.41,/,1494302000,2600:9000:2490:f600:11:d868:4200:93a1,3774,False,,,jQuery,True,cloudfront,True,,,,
acanomcu01.cepol.europa.eu,IIS Windows Server,200,701,,,,,,,,,,,,,,,,,,,80,http://acanomcu01.cepol.europa.eu:80,http,Microsoft-IIS/8.5,text/html,GET,193.68.54.228,/,1631801191,193.68.54.228,32,False,,,Windows Server,,,,,,,
acc.nsl.consilium.europa.eu,403 - Forbidden: Access is denied.,403,1233,acc.nsl.consilium.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=acc.nsl.consilium.europa.eu, O=Council of the European Union, L=Bruxelles, C=BE",acc.nsl.consilium.europa.eu,Council of the European Union,www.acc.nsl.consilium.europa.eu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,20116237eb9b8cc1b6f32ef35d24c440,0036135479952e0a05217a9011de4f86041b6f66b67b3924ce12e9bab6b57966,ctls,acc.nsl.consilium.europa.eu,443,https://acc.nsl.consilium.europa.eu:443,https,,text/html,GET,195.137.215.134,/,1631801191,2001:67c:1870:1:80::d786,30,False,www.google.com,,HSTS,,,,,,,
access-request.int.upp.op.europa.eu,EU Login,200,20985,ecas.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-31T12:31:07Z,2023-07-02T12:31:06Z,"CN=*.ec.europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",*.ec.europa.eu,European Commission,ec.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f651b96da429c16f3ac23102facca952,c8b068586b6b4aae31abf213ea7c815e55988ac2010f3c94496884c6c2181114,ctls,ecas.ec.europa.eu,443,https://access-request.int.upp.op.europa.eu:443,https,Zeus,text/html,GET,13.107.237.45,/,773306417,2620:1ec:48:1::45,147,False,https://ecas.ec.testa.eu,https://ecas.ec.europa.eu/cas/oauth2/authorize?client_id=QdsBEgWyuBBPP8YaltjtrzazMBmOg2aJEUzNXzzsj3ULzzsQuowh3x6ZVNrxpFqGQFUBUsFZsluOmLFSMjXjuq4m-rS0vSrmBGYC1dGgcnQoJGG&redirect_uri=https%3A%2F%2Faccess-request.int.upp.op.europa.eu%2Fsignin-callback&response_type=code&scope=openid%20email%20profile%20phone%20hr%20authentication_factors&code_challenge=aQWcGlLxpa_pDwSyi5e7zUl-CzhuFKp3MG5Gcrmlu90&code_challenge_method=S256&response_mode=form_post&nonce=638195188646631792.OWM3NGI2NGItZjI0ZS00NDdjLThhYTYtOTgzYmY1OGI1MGI5ZDFiMzRhMzAtZjk3MS00MTA3LTg3ZWMtMjExY2FjNjcyY2Nh&state=CfDJ8Jj4On6bKUFHlvetmpbpG0kyH9YJp9i3GL51iADX1DNWXlL-gO-DusLCA1PGX9OAfNYAbhWa05M-ChMFUbiEzFTuepvt39oJHkqmMFeFkYihzGTxwWJcB1g56-WqKI7Xv37xVfr2lLkhzzy9wPUj_xhblxw7tzWUtUZXy7-LkdfSEMOCorjwGw2o16sVcSGbu23woIvkBKgCc695x2cYEfUOBxkuNdOeB4lHdUPhLC5eeHE-qYxxbBxZ6rNvoHGL0jopUzPEOkqTOnXGzFiBHNeCwSBsZx_68KQh03oNixoJAbHaY4WkO18fmij17vwrEIuETG0C9qNjyma35FNsk1lhl5G5ysD_JX953Ahvapm5woJaC5NjsJAGyLs_K1-8Pb4Xp_RUypjg7iMWZ9XHe0c&x-client-SKU=ID_NET6_0&x-client-ver=6.23.1.0,Bootstrap:3.4.1,True,,,,,,
access.ema.europa.eu,Eudranet Access - You have no cookie support - Please enable cookies in your browser,200,5058,access.ema.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=access.ema.europa.eu, O=European Medicines Agency, L=Amsterdam, ST=Noord-Holland, C=NL",access.ema.europa.eu,European Medicines Agency,access.ema.europa.eu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,95a83dcde3a37626513f7946dd3c34af,09ec1efd7c9af741d9219bc6ea514cdeb609ee278a4b739657d3d7e4e57f0494,ctls,access.ema.europa.eu,443,https://access.ema.europa.eu:443,https,CPWS,text/html,GET,195.144.19.28,/,-993165615,195.144.19.28,126,False,https:,https://access.ema.europa.eu/sslvpn/Login/Login?CheckCookieSupport=1,HSTS,,,,,,,
acer.europa.eu,Home | www.acer.europa.eu,200,194119,acer.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-03-22T23:59:59Z,"CN=*.acer.europa.eu, O=Agency for the Cooperation of Energy Regulators (ACER), L=Ljubljana, C=SI",*.acer.europa.eu,Agency for the Cooperation of Energy Regulators (ACER),acer.europa.eu,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,badd457ce3875070ab28ce5df9c6fc4a,432b93a42dabc84d628aec4783c89ede49fd96b07547d5dbfc160ece38ce63f6,ctls,acer.europa.eu,443,https://acer.europa.eu:443,https,nginx/1.22.1,text/html,GET,193.189.171.12,/,-253321811,193.189.171.12,2949,False,,,jQuery,True,,,,,,
activesync.eeas.europa.eu,Error,404,98,activesync.eeas.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-02T06:46:19Z,2023-09-03T06:46:18Z,"CN=*.eeas.europa.eu, O=European External Action Service, L=Brussels, ST=Brussels-Capital Region, C=BE",*.eeas.europa.eu,European External Action Service,eeas.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,e74c446ee16349add13574c4e73a160e,5dc3503d55ec7d6a0034866b7a58e4048b6fe0e5c38f3b36092f4531445eb3bd,ctls,activesync.eeas.europa.eu,443,https://activesync.eeas.europa.eu:443,https,,text/html,GET,185.239.100.21,/,-1466058842,185.239.100.21,1,False,,,,True,,,,,,
adfs.csirt.enisa.europa.eu,IIS Windows Server,200,703,adfs.csirt.enisa.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-12T09:40:15Z,2024-01-12T09:40:15Z,CN=adfs.csirt.enisa.europa.eu,adfs.csirt.enisa.europa.eu,,adfs.csirt.enisa.europa.eu,"CN=HARICA DV TLS RSA, O=Hellenic Academic and Research Institutions CA, C=GR",HARICA DV TLS RSA,Hellenic Academic and Research Institutions CA,fb30f53dd611bf65dce682bcfefd4530,d32c7f2c6abf099cbd7ce9a1f291c0f3c5ca47910ee15dcbcc90e9faccbe3f27,ctls,adfs.csirt.enisa.europa.eu,443,https://adfs.csirt.enisa.europa.eu:443,https,Microsoft-IIS/10.0,text/html,GET,139.91.221.55,/,1631801191,139.91.221.55,32,False,,,Windows Server,,,,,,,
adfs.echa.europa.eu,Not Found,404,315,adfs.echa.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-14T08:47:41Z,2023-11-14T08:47:41Z,"CN=*.echa.europa.eu, O=European Chemicals Agency, L=HELSINKI, C=FI",*.echa.europa.eu,European Chemicals Agency,echa.europa.eu,"CN=Telia Server CA v3, O=Telia Finland Oyj, C=FI",Telia Server CA v3,Telia Finland Oyj,8d531d9fe956169a6672a1217e32219c,86b5756e2248b77f8d59b12272c709668441646be02daab8fa165029d68109ce,ctls,adfs.echa.europa.eu,443,https://adfs.echa.europa.eu:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,194.187.232.216,/,225052475,194.187.232.216,7,False,,,Microsoft HTTPAPI:2.0,True,,,,,,
adfs.ema.europa.eu,,500,59,adfs.ema.europa.eu,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2023-02-17T00:00:00Z,2024-02-09T23:59:59Z,"CN=eudract-training.ema.europa.eu, O=European Medicines Agency, L=Amsterdam, ST=Noord-Holland, C=NL",eudract-training.ema.europa.eu,European Medicines Agency,eudract-training.ema.europa.eu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,608816e2ee58b332c52012c312676a0b,0ea100d1a55bbf1626a86d69809c77b9e20594457ce28142919dcb055f071833,ctls,adfs.ema.europa.eu,443,https://adfs.ema.europa.eu:443,https,,text/html,GET,195.144.18.88,/,-1553538376,195.144.18.88,1,False,,,,,,,True,,,
adfsdev.echa.europa.eu,Not Found,404,315,adfsdev.echa.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-14T08:47:41Z,2023-11-14T08:47:41Z,"CN=*.echa.europa.eu, O=European Chemicals Agency, L=HELSINKI, C=FI",*.echa.europa.eu,European Chemicals Agency,echa.europa.eu,"CN=Telia Server CA v3, O=Telia Finland Oyj, C=FI",Telia Server CA v3,Telia Finland Oyj,8d531d9fe956169a6672a1217e32219c,86b5756e2248b77f8d59b12272c709668441646be02daab8fa165029d68109ce,ctls,adfsdev.echa.europa.eu,443,https://adfsdev.echa.europa.eu:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,194.187.232.169,/,225052475,194.187.232.169,7,False,,,Microsoft HTTPAPI:2.0,True,,,,,,
admin.acc.upp.op.europa.eu,Admin Portal,200,7039,admin.acc.upp.op.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-10T00:00:00Z,2023-11-10T23:59:59Z,CN=admin.acc.upp.op.europa.eu,admin.acc.upp.op.europa.eu,,admin.acc.upp.op.europa.eu,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",da6ec9ae3c1788d29a99317f8bf92916,acd9401022da5f79d3764093aa6ab519d5090f338fe7f715d5936fe88b8de2f7,ctls,admin.acc.upp.op.europa.eu,443,https://admin.acc.upp.op.europa.eu:443,https,,text/html,GET,13.107.253.45,/,768450858,2620:1ec:4f:1::45,22,False,,,Microsoft ASP.NET,,,,,,,
admin.ew.scic.tech.ec.europa.eu,EU Login,200,21853,webgate.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-31T12:31:07Z,2023-07-02T12:31:06Z,"CN=*.ec.europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",*.ec.europa.eu,European Commission,ec.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f651b96da429c16f3ac23102facca952,c8b068586b6b4aae31abf213ea7c815e55988ac2010f3c94496884c6c2181114,ctls,webgate.ec.europa.eu,443,https://admin.ew.scic.tech.ec.europa.eu:443,https,Zeus,text/html,GET,13.107.237.45,/,-780928015,2620:1ec:4f:1::45,156,False,https://ecas.ec.europa.eu,https://webgate.ec.europa.eu/cas/login?loginRequestId=ECAS_LR-653620-wIeXhALXBd2FfhggYzLD8Nwd0iV9iADMrfMWDUXQ9LP57Sas6W6wTWUYdQdiLw3K6vgl0AOx8ejfxgrsWBt76q-jpJZscgsw0KJQasOo8Xtbq-6gtemyvaIbGhzsmf4FggfBdANWhujEpNksAKCApbCrFoW3mi4A4fVr7YNAg3XyhhqBCOq1j8ilRqszhGmxIFdR,Bootstrap:3.4.1,True,,,,,,
admin.ifado.consilium.europa.eu,Just a moment...,403,7244,www.consilium.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-01-22T23:59:59Z,"CN=consilium.europa.eu, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",consilium.europa.eu,"Cloudflare, Inc.",*.prado.consilium.europa.eu,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",481abbac5cd5a119436b9afdf20ff047,8f32e03347a29a7e3f837202cdaf7a8f211eb1aa2c9c30c9f74f9a3755076384,ctls,www.consilium.europa.eu,443,https://admin.ifado.consilium.europa.eu:443,https,cloudflare,text/html,GET,170.255.252.3,/,-2061924647,170.255.252.3,87,False,,https://www.consilium.europa.eu/ifado/ifadocontacts.htm,Cloudflare Bot Management,True,,,,,,
admin.int.upp.op.europa.eu,Admin Portal,200,7039,admin.int.upp.op.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-25T00:00:00Z,2023-10-25T23:59:59Z,CN=admin.int.upp.op.europa.eu,admin.int.upp.op.europa.eu,,admin.int.upp.op.europa.eu,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",411a2da029e0a7813142ad92dcd4ca5f,44781e420906abe2d090fb5a2c6079eb71d9229a21f94b2761d9dc3a01c19ba6,ctls,admin.int.upp.op.europa.eu,443,https://admin.int.upp.op.europa.eu:443,https,,text/html,GET,13.107.237.45,/,1640937744,2620:1ec:4f:1::45,22,False,,,Microsoft ASP.NET,,,,,,,
ag.enisa.europa.eu,AG Portal,200,9860,ag.enisa.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T12:22:02Z,2024-01-14T12:04:17Z,CN=*.enisa.europa.eu,*.enisa.europa.eu,,enisa.europa.eu,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,198523c289c537d1c8ce8deaa959df00,3aedec2411c2c10898fb80ce3640eaa928e950aa3fdedb3e6abe6169f1ae6306,ctls,ag.enisa.europa.eu,443,https://ag.enisa.europa.eu:443,https,waitress,text/html,GET,212.146.105.104,/,1482591128,212.146.105.104,182,False,,https://ag.enisa.europa.eu/login?came_from=/,Python,True,,,,,,
