new,host,a,aaaa,soa,status_code,cdn,cdn-name,txt,has_internal_ips,internal_ips,cname,caa,ns,mx
[x],es.usw2a1.rockset.com,"10.0.44.196, 10.0.93.77, 10.0.96.172",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=rs-usw2a1-rockset-com,external-dns/resource=ingress/elasticsearch/elasticsearch-ingress",True,"10.0.44.196, 10.0.93.77, 10.0.96.172",,,,
[x],kafka-manager.euc1a1.rockset.com,"10.5.42.235, 10.5.112.69, 10.5.88.76",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=rs-euc1a1-rockset-com,external-dns/resource=ingress/kafka/kafka-manager-ingress",True,"10.5.42.235, 10.5.112.69, 10.5.88.76",,,"ns-1088.awsdns-08.org, ns-1664.awsdns-16.co.uk, ns-17.awsdns-02.com, ns-638.awsdns-15.net",
[x],looker.euc1a1.rockset.com,3.64.130.114,,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],mail.rockset.com,142.250.203.211,2a00:1450:401b:810::2013,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,ghs.googlehosted.com,,,
[x],master-api.dev.rockset.com,"143.204.89.70, 143.204.89.19, 143.204.89.118, 143.204.89.107",,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,ManagedBy=Terraform,,,,,,
[x],prometheus.euc1a1.rockset.com,"10.5.42.235, 10.5.88.76, 10.5.112.69",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=rs-euc1a1-rockset-com,external-dns/resource=ingress/monitoring/pop-kube-prometheus-stack-prometheus",True,"10.5.42.235, 10.5.88.76, 10.5.112.69",,,,
[x],prometheus.rockset.com,"10.4.98.43, 10.4.45.252, 10.4.87.81",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=infra-use1a1-rockset-com,external-dns/resource=ingress/monitoring/pop-kube-prometheus-stack-prometheus",True,"10.4.98.43, 10.4.45.252, 10.4.87.81",,,,
[x],prometheus.use1a1.rockset.com,"10.3.60.215, 10.3.72.73, 10.3.108.254",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=rs-use1a1-rockset-com,external-dns/resource=ingress/monitoring/pop-kube-prometheus-stack-prometheus",True,"10.3.60.215, 10.3.72.73, 10.3.108.254",,,,
[x],prometheus.usw2a1.rockset.com,"10.0.93.77, 10.0.44.196, 10.0.96.172",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=rs-usw2a1-rockset-com,external-dns/resource=ingress/monitoring/pop-kube-prometheus-stack-prometheus",True,"10.0.93.77, 10.0.44.196, 10.0.96.172",,,,
[x],rockset.com,"108.156.60.43, 108.156.60.76, 108.156.60.129, 108.156.60.124","2600:9000:2394:c000:b:7736:f200:93a1, 2600:9000:2394:fa00:b:7736:f200:93a1, 2600:9000:2394:d400:b:7736:f200:93a1, 2600:9000:2394:2400:b:7736:f200:93a1, 2600:9000:2394:3600:b:7736:f200:93a1, 2600:9000:2394:5e00:b:7736:f200:93a1, 2600:9000:2394:8200:b:7736:f200:93a1, 2600:9000:2394:f000:b:7736:f200:93a1","ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"1password-site-verification=M4ILOUCXQBEBFFVAFFD445PGDI, CYobLcYklAZzWFqy5J5mnxoYhug, MS=ms96877276, ZOOM_verify_LyDzpy9l1tzqzZQnExK6nB, _github-challenge-rockset.rockset.com=f7237523b7, apple-domain-verification=QhzgoW8WZbr9KtuQ, google-site-verification=2N8bwoJYuye2Y9PxojmWrXoz5BgikJys7eV3yxWAZq0, google-site-verification=TYIPOsU7RgGfQdUKTmMultReehGDwhWPyXP8cDfLLzw, h1-domain-verification=5NnxczYVkK5VAqjKVXdyJT8T7dFFwJVr5fAPWSXfC5moDZ5o, onetrust-domain-verification=d805c0a1efdf492fa0b189eaf2c55afa, v=spf1 include:_spf.google.com include:u8808590.wl091.sendgrid.net ~all, 18AB8DFDD7",,,,,"ns-17.awsdns-02.com, ns-638.awsdns-15.net, ns-1088.awsdns-08.org, ns-1664.awsdns-16.co.uk","alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com"
[x],sqlordle.rockset.com,"65.9.55.14, 65.9.55.10, 65.9.55.62, 65.9.55.72","2600:9000:20fc:4200:c:dc78:bfc0:93a1, 2600:9000:20fc:ee00:c:dc78:bfc0:93a1, 2600:9000:20fc:2800:c:dc78:bfc0:93a1, 2600:9000:20fc:ce00:c:dc78:bfc0:93a1, 2600:9000:20fc:9c00:c:dc78:bfc0:93a1, 2600:9000:20fc:ea00:c:dc78:bfc0:93a1, 2600:9000:20fc:ec00:c:dc78:bfc0:93a1, 2600:9000:20fc:e200:c:dc78:bfc0:93a1","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,d3q84wnwks80zj.cloudfront.net,,"ns-353.awsdns-44.com, ns-673.awsdns-20.net, ns-1363.awsdns-42.org, ns-1836.awsdns-37.co.uk",
[x],status.rockset.com,52.215.192.131,,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,tdftmnyg4tcd.stspg-customer.com,"globalsign.com;, letsencrypt.org",,
[x],thanos.dev.rockset.com,"10.205.38.223, 10.205.119.138, 10.205.75.57",,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=infra-dev-rockset-com,external-dns/resource=ingress/monitoring/thanos-ingress",True,"10.205.38.223, 10.205.119.138, 10.205.75.57",,,,
[x],thanos.rockset.com,"10.4.87.81, 10.4.45.252, 10.4.98.43",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=infra-use1a1-rockset-com,external-dns/resource=ingress/monitoring/thanos-ingress",True,"10.4.87.81, 10.4.45.252, 10.4.98.43",,,"ns-1088.awsdns-08.org, ns-1664.awsdns-16.co.uk, ns-17.awsdns-02.com, ns-638.awsdns-15.net",
[x],v.rockset.com,52.25.193.39,,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],workshop.rockset.com,"104.18.3.117, 104.18.2.117","2606:4700::6812:275, 2606:4700::6812:375","dahlia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,c6ca239099-hosting.gitbook.io,"letsencrypt.org, digicert.com, pki.goog",,
