input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,webserver,final_url,tech_,cdn_name,cdn,tls_self_signed,tls_expired,location
4844db59f02844f1aeeaee8660714e20.waf.huaweicloud.com,未找到,404,2150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,4844db59f02844f1aeeaee8660714e20.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,4844db59f02844f1aeeaee8660714e20.waf.huaweicloud.com,443,https://4844db59f02844f1aeeaee8660714e20.waf.huaweicloud.com:443,https,text/html,GET,117.78.24.34,/,-684935588,117.78.24.43,1,False,,CloudWAF,,,,,True,,
4d4195eae6474e1cabcd27b9d633c1aa.waf.huaweicloud.com,未找到,404,2150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,4d4195eae6474e1cabcd27b9d633c1aa.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,4d4195eae6474e1cabcd27b9d633c1aa.waf.huaweicloud.com,443,https://4d4195eae6474e1cabcd27b9d633c1aa.waf.huaweicloud.com:443,https,text/html,GET,122.112.208.34,/,-684935588,122.112.208.33,1,False,,CloudWAF,,,,,True,,
502ddc066836401496cbb022a9cb92fb.waf.huaweicloud.com,未找到,404,2150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,502ddc066836401496cbb022a9cb92fb.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,502ddc066836401496cbb022a9cb92fb.waf.huaweicloud.com,443,https://502ddc066836401496cbb022a9cb92fb.waf.huaweicloud.com:443,https,text/html,GET,117.78.24.36,/,-684935588,117.78.24.40,1,False,,CloudWAF,,,,,True,,
5172c1884bd54d16a5643b0e109214d0.waf.huaweicloud.com,未找到,404,2150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,5172c1884bd54d16a5643b0e109214d0.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,5172c1884bd54d16a5643b0e109214d0.waf.huaweicloud.com,443,https://5172c1884bd54d16a5643b0e109214d0.waf.huaweicloud.com:443,https,text/html,GET,122.112.208.226,/,-684935588,122.112.208.224,1,False,,CloudWAF,,,,,True,,
584e67e0d2024673a52dcec82e4c2053.waf.huaweicloud.com,未找到,404,2150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,584e67e0d2024673a52dcec82e4c2053.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,584e67e0d2024673a52dcec82e4c2053.waf.huaweicloud.com,443,https://584e67e0d2024673a52dcec82e4c2053.waf.huaweicloud.com:443,https,text/html,GET,122.112.208.35,/,-684935588,2407:c080:803:1000::17,1,False,,CloudWAF,,,,,True,,
59502930503e4052bbea32bbccfc868f.apigw.cn-east-2.huaweicloud.com,,404,157,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,59502930503e4052bbea32bbccfc868f.apigw.cn-east-2.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-28T06:56:13Z,2024-04-28T06:56:12Z,"CN=*.apigw.cn-east-2.huaweicloud.com, O=Huawei Software Technologies Co.\, Ltd., L=Nanjing, ST=Jiangsu, C=CN",*.apigw.cn-east-2.huaweicloud.com,"Huawei Software Technologies Co., Ltd.",apigw.cn-east-2.huaweicloud.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6fac2b9a8c5292929615152fe971c227,841feff660898e6a3ce1fd288cefbeae0f237ba0f5cb53b08411a6e75d9ecaaf,True,ctls,59502930503e4052bbea32bbccfc868f.apigw.cn-east-2.huaweicloud.com,443,https://59502930503e4052bbea32bbccfc868f.apigw.cn-east-2.huaweicloud.com:443,https,application/json,GET,122.112.208.128,/,2038676897,122.112.208.128,2,False,,api-gateway,,,,,,,
5ebb082eee92495caf0de14792262221.apigw.cn-north-1.huaweicloud.com,,404,157,AS55990,HWCSNET Huawei Cloud Service data center,CN,43.254.0.0/22,5ebb082eee92495caf0de14792262221.apigw.cn-north-1.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-07T01:21:05Z,2024-03-10T01:21:04Z,"CN=*.apigw.cn-north-1.huaweicloud.com, O=Huawei Software Technologies Co.\, Ltd., L=Nanjing, ST=Jiangsu, C=CN",*.apigw.cn-north-1.huaweicloud.com,"Huawei Software Technologies Co., Ltd.",apigw.cn-north-1.huaweicloud.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,b37335443a2f1fa50f1bb9f29b0ff203,3d9bd0f352af21149bb15dbfedd7a2f7281c07d74830ecccbba7e6f85e08cd01,True,ctls,5ebb082eee92495caf0de14792262221.apigw.cn-north-1.huaweicloud.com,443,https://5ebb082eee92495caf0de14792262221.apigw.cn-north-1.huaweicloud.com:443,https,application/json,GET,43.254.0.94,/,2057243769,43.254.0.94,2,False,,api-gateway,,,,,,,
5f5985ca3639468aaee408ca6d10cc60.waf.huaweicloud.com,未找到,404,2150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,5f5985ca3639468aaee408ca6d10cc60.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,5f5985ca3639468aaee408ca6d10cc60.waf.huaweicloud.com,443,https://5f5985ca3639468aaee408ca6d10cc60.waf.huaweicloud.com:443,https,text/html,GET,117.78.24.37,/,-684935588,117.78.24.35,1,False,,CloudWAF,,,,,True,,
61688e4e92ec4cc099983bae6a3ef5d1.waf.huaweicloud.com,国民中医SaaS平台,200,5964,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,61688e4e92ec4cc099983bae6a3ef5d1.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2022-11-09T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.nhf.cn, O=天津国民健康技术有限公司, ST=天津市, C=CN",*.nhf.cn,天津国民健康技术有限公司,nhf.cn,"CN=GeoTrust RSA CN CA G2, O=DigiCert Inc, C=US",GeoTrust RSA CN CA G2,DigiCert Inc,a978d453c8de2744b7f144d28ea1de2f,5569f3ca0840e7bd4c813ce1909ada08011bd937f5728cf4cd49b9e022614c5f,True,ctls,61688e4e92ec4cc099983bae6a3ef5d1.waf.huaweicloud.com,443,https://61688e4e92ec4cc099983bae6a3ef5d1.waf.huaweicloud.com:443,https,text/html,GET,122.112.207.26,/,-224716795,122.112.207.26,170,False,,nginx/1.14.0,,Nginx:1.14.0,,,,,
630e26d0cf314811bb42ec6fdc05abcd.waf.huaweicloud.com,未找到,404,2150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,630e26d0cf314811bb42ec6fdc05abcd.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,630e26d0cf314811bb42ec6fdc05abcd.waf.huaweicloud.com,443,https://630e26d0cf314811bb42ec6fdc05abcd.waf.huaweicloud.com:443,https,text/html,GET,116.205.146.2,/,-684935588,139.159.208.106,1,False,,CloudWAF,,,,,True,,
68c22c99ad4f4171a18e55886c93c501.waf.huaweicloud.com,404 Not Found,404,147,AS55990,HWCSNET Huawei Cloud Service data center,CN,49.4.64.0/19,68c22c99ad4f4171a18e55886c93c501.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2022-03-30T00:00:00Z,2023-04-23T23:59:59Z,"CN=*.ouchn.cn, O=国家开放大学, ST=北京市, C=CN",*.ouchn.cn,国家开放大学,ouchn.cn,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,35c14e1f29c1361477925ec934b0402d,7911c0130c929d32c52251f382667397656438ba419e44ab4bb383c998a6105e,True,ctls,68c22c99ad4f4171a18e55886c93c501.waf.huaweicloud.com,443,https://68c22c99ad4f4171a18e55886c93c501.waf.huaweicloud.com:443,https,text/html,GET,49.4.53.200,/,-1888346270,49.4.53.200,2,False,,elb,,,,,,True,
6d8014b76c474555ab9fea9604637939.apigw.cn-north-4.huaweicloud.com,,404,157,AS55990,HWCSNET Huawei Cloud Service data center,CN,49.4.126.0/24,6d8014b76c474555ab9fea9604637939.apigw.cn-north-4.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-28T06:51:47Z,2024-04-28T06:51:46Z,"CN=*.apigw.cn-north-4.huaweicloud.com, O=Huawei Software Technologies Co.\, Ltd., L=Nanjing, ST=Jiangsu, C=CN",*.apigw.cn-north-4.huaweicloud.com,"Huawei Software Technologies Co., Ltd.",apigw.cn-north-4.huaweicloud.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6a7ee62111e0178f081c24ecb24bc097,436d5938685be23c82865cbeea2eb51134bdf8110b2988c0306e4ebbc09a9c88,True,ctls,6d8014b76c474555ab9fea9604637939.apigw.cn-north-4.huaweicloud.com,443,https://6d8014b76c474555ab9fea9604637939.apigw.cn-north-4.huaweicloud.com:443,https,application/json,GET,49.4.112.59,/,902695044,49.4.112.58,2,False,,api-gateway,,,,,,,
6f922018c6524f98a570bd8bba55b997.waf.huaweicloud.com,未找到,404,2150,AS55990,HWCSNET Huawei Cloud Service data center,CN,139.159.192.0/18,6f922018c6524f98a570bd8bba55b997.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,6f922018c6524f98a570bd8bba55b997.waf.huaweicloud.com,443,https://6f922018c6524f98a570bd8bba55b997.waf.huaweicloud.com:443,https,text/html,GET,139.159.208.100,/,-684935588,139.159.208.112,1,False,,CloudWAF,,,,,True,,
7204a7424776429b823d20ddbccfa2e7.waf.huaweicloud.com,未找到,404,2150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,7204a7424776429b823d20ddbccfa2e7.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,7204a7424776429b823d20ddbccfa2e7.waf.huaweicloud.com,443,https://7204a7424776429b823d20ddbccfa2e7.waf.huaweicloud.com:443,https,text/html,GET,117.78.24.41,/,-684935588,2407:c080:803:1000::3,1,False,,CloudWAF,,,,,True,,
7d0c8da262b84d50adf39300fcfde4eb.waf.huaweicloud.com,未找到,404,2150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,7d0c8da262b84d50adf39300fcfde4eb.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,7d0c8da262b84d50adf39300fcfde4eb.waf.huaweicloud.com,443,https://7d0c8da262b84d50adf39300fcfde4eb.waf.huaweicloud.com:443,https,text/html,GET,122.112.208.32,/,-684935588,122.112.208.36,1,False,,CloudWAF,,,,,True,,
896342d78b594fecb2990f3a8eab3b03.waf.huaweicloud.com,未找到,404,2150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,896342d78b594fecb2990f3a8eab3b03.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,896342d78b594fecb2990f3a8eab3b03.waf.huaweicloud.com,443,https://896342d78b594fecb2990f3a8eab3b03.waf.huaweicloud.com:443,https,text/html,GET,117.78.24.39,/,-684935588,117.78.24.38,1,False,,CloudWAF,,,,,True,,
