new,host,a,soa,status_code,cdn,cdn-name,cname,caa,aaaa,mx,txt,ns
,communication-uat.intigriti.com,"108.138.217.26, 108.138.217.29, 108.138.217.65, 108.138.217.6","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,"ns-1134.awsdns-13.org, ns-1927.awsdns-48.co.uk, ns-323.awsdns-40.com, ns-515.awsdns-00.net"
,communication.intigriti.com,"108.138.217.65, 108.138.217.6, 108.138.217.26, 108.138.217.29","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,"ns-1134.awsdns-13.org, ns-1927.awsdns-48.co.uk, ns-323.awsdns-40.com, ns-515.awsdns-00.net"
,go.intigriti.com,52.72.49.79,"ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,,,,letsencrypt.org,,,,
,hello.intigriti.com,"54.146.223.132, 34.200.75.180, 44.207.49.235","ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,,"f5a60d71-42fe-48e0-afab-5934d8869e40.outrch.com, app2c.outrch.com",letsencrypt.org,,,,"ns-1159.awsdns-16.org, ns-2.awsdns-00.com, ns-2024.awsdns-61.co.uk, ns-879.awsdns-45.net"
,intigriti.me,"108.138.7.68, 108.138.7.82, 108.138.7.19, 108.138.7.129","ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"amazonaws.com, amazontrust.com, awstrust.com, letsencrypt.org, sectigo.com, amazon.com",,"mail2.intigriti.me, mail1.intigriti.me","v=spf1 include:amazonses.com -all, 1password-site-verification=3SEPSKDLIBFDFNUDN3ZA2NQGZQ","ns-868.awsdns-44.net, ns-124.awsdns-15.com, ns-1348.awsdns-40.org, ns-1785.awsdns-31.co.uk"
,jobs-stage.intigriti.com,"13.226.153.93, 13.226.153.61, 13.226.153.111, 13.226.153.87","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,jobs-uat.intigriti.com,"13.226.153.93, 13.226.153.61, 13.226.153.87, 13.226.153.111","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,jobs.intigriti.com,"108.138.7.34, 108.138.7.28, 108.138.7.24, 108.138.7.48","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,kb.intigriti.com,"52.222.236.44, 52.222.236.72, 52.222.236.18, 52.222.236.11","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,login-demo.intigriti.com,"18.66.233.41, 18.66.233.100, 18.66.233.27, 18.66.233.57","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,login-stage.intigriti.com,"13.224.189.31, 13.224.189.96, 13.224.189.55, 13.224.189.19","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,login.intigriti.com,"13.224.189.19, 13.224.189.55, 13.224.189.96, 13.224.189.31","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,mail.intigriti.com,"199.60.103.29, 199.60.103.227","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"7473434.group34.sites.hubspot.net, group34.sites.hscoscdn30.net",,"2606:2c40::c73c:67e3, 2606:2c40::c73c:671d",,,
,mail1.intigriti.me,35.205.170.110,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
,mail1.test.intigriti.me,34.77.70.208,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=service/mail-forwarder/mail1",
,mail2.intigriti.me,35.189.246.54,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
,mail2.test.intigriti.me,35.205.205.140,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=service/mail-forwarder/mail2",
,mta-sts.intigriti.com,"99.86.4.84, 99.86.4.124, 99.86.4.17, 99.86.4.51","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,newsletter.intigriti.com,34.107.103.177,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,landing.subscribepage.com,,,,,
,status.intigriti.com,,"ns-1918.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,cname.uptime.com,,,,,
,swag.intigriti.com,23.227.38.74,"dns1.p06.nsone.net, hostmaster.nsone.net, ns1.dnsimple.com, admin.dnsimple.com",NOERROR,,,shops.myshopify.com,"digicert.com, letsencrypt.org, globalsign.com",,,,
,t.intigriti.com,,"ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,,,custom-tracking.salesloft.com,,,,,
,www-demo.intigriti.com,"18.66.248.5, 18.66.248.87, 18.66.248.83, 18.66.248.31","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,www-stage.intigriti.com,"52.222.236.109, 52.222.236.19, 52.222.236.104, 52.222.236.57","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,www-uat.intigriti.com,"52.222.236.109, 52.222.236.104, 52.222.236.19, 52.222.236.57","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
