new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,has_internal_ips,internal_ips,caa
,account.ct.casino.fanduel.com,"13.224.189.28, 13.224.189.109, 13.224.189.60, 13.224.189.114",,d2u46mcau1bi7r.cloudfront.net,"ns-1135.awsdns-13.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1135.awsdns-13.org, ns-1606.awsdns-08.co.uk, ns-410.awsdns-51.com, ns-616.awsdns-13.net",,,,,
,account.ct.sportsbook.fanduel.com,"65.9.66.117, 65.9.66.37, 65.9.66.26, 65.9.66.8",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.de.sportsbook.fanduel.com,"65.9.66.26, 65.9.66.37, 65.9.66.8, 65.9.66.117",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.faceoff.fanduel.com,"99.86.4.65, 99.86.4.50, 99.86.4.88, 99.86.4.60",,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.fanduel.com,"18.233.253.40, 34.195.77.35, 3.220.252.121",,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,account.fd.sportsbook.fanduel.com,"65.9.66.117, 65.9.66.8, 65.9.66.26, 65.9.66.37",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.ga.sportsbook.fanduel.com,,,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.ia.sportsbook.fanduel.com,"65.9.66.8, 65.9.66.37, 65.9.66.26, 65.9.66.117",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.id.sportsbook.fanduel.com,"18.244.155.5, 18.244.155.65, 18.244.155.35, 18.244.155.126",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1465.awsdns-55.org, ns-1863.awsdns-40.co.uk, ns-498.awsdns-62.com, ns-961.awsdns-56.net",,,,,
,account.il.sportsbook.fanduel.com,"65.9.66.26, 65.9.66.8, 65.9.66.117, 65.9.66.37",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.in.sportsbook.fanduel.com,"65.9.66.26, 65.9.66.117, 65.9.66.37, 65.9.66.8",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1465.awsdns-55.org, ns-1863.awsdns-40.co.uk, ns-498.awsdns-62.com, ns-961.awsdns-56.net",,,,,
,account.ks.sportsbook.fanduel.com,,,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.ky.sportsbook.fanduel.com,"18.154.63.104, 18.154.63.20, 18.154.63.72, 18.154.63.112",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.la.sportsbook.fanduel.com,"65.9.66.26, 65.9.66.117, 65.9.66.8, 65.9.66.37",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.ma.sportsbook.fanduel.com,"65.9.66.8, 65.9.66.37, 65.9.66.117, 65.9.66.26",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.md.sportsbook.fanduel.com,"65.9.66.26, 65.9.66.37, 65.9.66.117, 65.9.66.8",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.me.sportsbook.fanduel.com,"65.9.66.37, 65.9.66.117, 65.9.66.26, 65.9.66.8",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.mi.casino.fanduel.com,"13.224.189.60, 13.224.189.109, 13.224.189.114, 13.224.189.28",,d2u46mcau1bi7r.cloudfront.net,"ns-1135.awsdns-13.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-410.awsdns-51.com, ns-616.awsdns-13.net, ns-1135.awsdns-13.org, ns-1606.awsdns-08.co.uk",,,,,
,account.mi.sportsbook.fanduel.com,"18.160.46.21, 18.160.46.72, 18.160.46.65, 18.160.46.82",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.mn.sportsbook.fanduel.com,"65.9.66.37, 65.9.66.117, 65.9.66.8, 65.9.66.26",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.mo.sportsbook.fanduel.com,"65.9.86.91, 65.9.86.10, 65.9.86.82, 65.9.86.114",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.mr.sportsbook.fanduel.com,"108.156.172.39, 108.156.172.67, 108.156.172.77, 108.156.172.91",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.ms.sportsbook.fanduel.com,"108.156.172.91, 108.156.172.67, 108.156.172.39, 108.156.172.77",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.mt.sportsbook.fanduel.com,"65.9.66.26, 65.9.66.8, 65.9.66.37, 65.9.66.117",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.nc.sportsbook.fanduel.com,"108.139.29.48, 108.139.29.26, 108.139.29.19, 108.139.29.63",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1465.awsdns-55.org, ns-1863.awsdns-40.co.uk, ns-498.awsdns-62.com, ns-961.awsdns-56.net",,,,,
,account.nd.sportsbook.fanduel.com,"65.9.66.8, 65.9.66.117, 65.9.66.37, 65.9.66.26",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.ne.sportsbook.fanduel.com,"65.9.66.37, 65.9.66.8, 65.9.66.117, 65.9.66.26",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1465.awsdns-55.org, ns-1863.awsdns-40.co.uk, ns-498.awsdns-62.com, ns-961.awsdns-56.net",,,,,
,account.nh.sportsbook.fanduel.com,"65.9.66.8, 65.9.66.37, 65.9.66.117, 65.9.66.26",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.nj.casino.fanduel.com,"108.157.4.50, 108.157.4.62, 108.157.4.83, 108.157.4.41",,d2u46mcau1bi7r.cloudfront.net,"ns-1135.awsdns-13.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-410.awsdns-51.com, ns-616.awsdns-13.net, ns-1135.awsdns-13.org, ns-1606.awsdns-08.co.uk",,,,,
,account.nj.sportsbook.fanduel.com,"18.154.63.72, 18.154.63.112, 18.154.63.20, 18.154.63.104",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.nm.sportsbook.fanduel.com,"108.138.51.88, 108.138.51.5, 108.138.51.70, 108.138.51.121",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.ny.sportsbook.fanduel.com,"18.164.52.15, 18.164.52.44, 18.164.52.50, 18.164.52.87",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.oh.sportsbook.fanduel.com,"65.9.66.26, 65.9.66.8, 65.9.66.117, 65.9.66.37",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.ok.sportsbook.fanduel.com,"18.160.46.82, 18.160.46.65, 18.160.46.21, 18.160.46.72",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.or.sportsbook.fanduel.com,"65.9.86.10, 65.9.86.91, 65.9.86.82, 65.9.86.114",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.pa.casino.fanduel.com,"13.224.189.60, 13.224.189.114, 13.224.189.109, 13.224.189.28",,d2u46mcau1bi7r.cloudfront.net,"ns-1135.awsdns-13.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1135.awsdns-13.org, ns-1606.awsdns-08.co.uk, ns-410.awsdns-51.com, ns-616.awsdns-13.net",,,,,
,account.pa.sportsbook.fanduel.com,"108.156.172.39, 108.156.172.77, 108.156.172.67, 108.156.172.91",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.perftest.fdbox.net,,,,,NOERROR,,,,,,,,
,account.pr.sportsbook.fanduel.com,"52.85.49.105, 52.85.49.122, 52.85.49.56, 52.85.49.53",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.prelive.sportsbook.fanduel.com,,,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.racing.fanduel.com,"108.156.46.47, 108.156.46.22, 108.156.46.107, 108.156.46.67",,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1478.awsdns-56.org, ns-1777.awsdns-30.co.uk, ns-786.awsdns-34.net, ns-81.awsdns-10.com",,,,,
,account.ri.sportsbook.fanduel.com,"65.9.66.37, 65.9.66.117, 65.9.66.26, 65.9.66.8",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.sc.sportsbook.fanduel.com,"18.244.155.65, 18.244.155.126, 18.244.155.35, 18.244.155.5",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1465.awsdns-55.org, ns-1863.awsdns-40.co.uk, ns-498.awsdns-62.com, ns-961.awsdns-56.net",,,,,
,account.skillgames.fanduel.com,"143.204.89.106, 143.204.89.39, 143.204.89.27, 143.204.89.103",,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.sportsbook.fanduel.com,"108.138.51.5, 108.138.51.70, 108.138.51.88, 108.138.51.121",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.tx.sportsbook.fanduel.com,"18.164.52.87, 18.164.52.15, 18.164.52.50, 18.164.52.44",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.ut.sportsbook.fanduel.com,"65.9.66.37, 65.9.66.8, 65.9.66.26, 65.9.66.117",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.va.sportsbook.fanduel.com,"18.160.46.21, 18.160.46.65, 18.160.46.72, 18.160.46.82",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.vt.sportsbook.fanduel.com,"65.9.66.8, 65.9.66.26, 65.9.66.37, 65.9.66.117",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.wa.sportsbook.fanduel.com,"65.9.86.82, 65.9.86.10, 65.9.86.91, 65.9.86.114",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.wi.sportsbook.fanduel.com,"18.244.155.65, 18.244.155.5, 18.244.155.126, 18.244.155.35",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.wv.casino.fanduel.com,"13.224.189.109, 13.224.189.114, 13.224.189.28, 13.224.189.60",,d2u46mcau1bi7r.cloudfront.net,"ns-1135.awsdns-13.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-616.awsdns-13.net, ns-410.awsdns-51.com, ns-1135.awsdns-13.org, ns-1606.awsdns-08.co.uk",,,,,
,account.wv.sportsbook.fanduel.com,"65.9.66.37, 65.9.66.26, 65.9.66.8, 65.9.66.117",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.www.fanduel.com,"108.157.229.39, 108.157.229.2, 108.157.229.76, 108.157.229.33",,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.wy.sportsbook.fanduel.com,"108.139.29.48, 108.139.29.19, 108.139.29.26, 108.139.29.63",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1465.awsdns-55.org, ns-1863.awsdns-40.co.uk, ns-498.awsdns-62.com, ns-961.awsdns-56.net",,,,,
,admin.fanduel.com,"172.16.17.82, 172.16.7.127, 172.16.3.233",,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1478.awsdns-56.org, ns-1777.awsdns-30.co.uk, ns-786.awsdns-34.net, ns-81.awsdns-10.com",,,True,"172.16.17.82, 172.16.7.127, 172.16.3.233",
,affiliates.fanduel.com,20.67.211.142,,fanduelus1.iaoffers.com,"a1-92.akam.net, hostmaster.paysafe.com",NOERROR,,,,,,,,
,affiliates.sportsbook.fanduel.com,"54.225.111.29, 3.208.174.161, 34.196.112.84",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,android-update.casino.fanduel.com,"52.222.236.115, 52.222.236.30, 52.222.236.64, 52.222.236.11",,,"ns-534.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,api.fanduel.com,"108.138.7.18, 108.138.7.38, 108.138.7.76, 108.138.7.120",,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,api.use1.perftest.fdbox.net,"99.84.108.26, 99.84.108.43, 99.84.108.77, 99.84.108.91",,,"ns-2033.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,app-files.casino.fanduel.com,"13.225.78.118, 13.225.78.3, 13.225.78.39, 13.225.78.103",,,"ns-534.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,asa.east.fdbox.net,34.232.195.157,,,"ns-75.awsdns-09.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,assets.fanduel.com,,,,,NOERROR,,,,,,,,
,assets.sportsbook.fanduel.com,"13.32.99.9, 13.32.99.53, 13.32.99.4, 13.32.99.12",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,atr.fanduel.com,,"2600:9000:2475:6400:5:9ede:d2c0:93a1, 2600:9000:2475:de00:5:9ede:d2c0:93a1, 2600:9000:2475:1e00:5:9ede:d2c0:93a1, 2600:9000:2475:b600:5:9ede:d2c0:93a1, 2600:9000:2475:c00:5:9ede:d2c0:93a1, 2600:9000:2475:4200:5:9ede:d2c0:93a1, 2600:9000:2475:c400:5:9ede:d2c0:93a1, 2600:9000:2475:1400:5:9ede:d2c0:93a1",,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,authentication.ss.fdbox.net,52.89.73.16,,ct-auth-prod-82240897.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,autodiscover.fanduel.com,"52.97.170.40, 52.97.152.216, 52.97.201.88, 40.99.204.56","2603:1026:c03:3030::8, 2603:1026:200:3c::8, 2603:1026:c03:707d::8, 2603:1026:207:109::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,,,
,az.sportsbook.fanduel.com,"18.244.179.70, 18.244.179.83, 18.244.179.60, 18.244.179.84",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1465.awsdns-55.org, ns-1863.awsdns-40.co.uk, ns-498.awsdns-62.com, ns-961.awsdns-56.net",,,,,
,backend-1.east.fdbox.net,,,,"ns-75.awsdns-09.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1418.awsdns-49.org, ns-1885.awsdns-43.co.uk, ns-676.awsdns-20.net, ns-75.awsdns-09.com",,v=spf1 a:gw-1.east.fdbox.net a:gw-2.east.fdbox.net a:gw-3.east.fdbox.net a:gw-4.east.fdbox.net include:amazonses.com ~all,,,
,boapi.canada.sportsbook.fanduel.com,"172.64.146.82, 104.18.41.174",,,"cullen.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,boxscore.fanduel.com,"52.19.73.228, 34.249.25.194",,"fanduel.interactgo.com, eu-cell-011-lb-004.interactgo.com, eu-cell-011-lb-004-611978187.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,brand.fanduel.com,"52.22.29.35, 54.243.168.58",,c-2153bf97bce702fb8159d2447811f0f3.frontify.com,"ns-1322.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,branding-imgs.fanduel.com,"108.138.51.104, 108.138.51.61, 108.138.51.13, 108.138.51.80",,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,canada.casino.fanduel.com,"104.18.39.112, 172.64.148.144, 108.162.192.112, 172.64.32.112, 173.245.58.112, 108.162.193.121, 172.64.33.121, 173.245.59.121","2606:4700:50::adf5:3a70, 2803:f800:50::6ca2:c070, 2a06:98c1:50::ac40:2070, 2606:4700:58::adf5:3b79, 2803:f800:50::6ca2:c179, 2a06:98c1:50::ac40:2179",,"emma.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"jack.ns.cloudflare.com, emma.ns.cloudflare.com",,,,,
,canada.sportsbook.fanduel.com,"104.16.182.39, 104.16.224.38, 108.162.195.91, 162.159.44.91, 172.64.35.91, 108.162.194.67, 162.159.38.67, 172.64.34.67","2606:4700:58::a29f:2c5b, 2803:f800:50::6ca2:c35b, 2a06:98c1:50::ac40:235b, 2606:4700:50::a29f:2643, 2803:f800:50::6ca2:c243, 2a06:98c1:50::ac40:2243",,"cullen.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"cullen.ns.cloudflare.com, hadlee.ns.cloudflare.com",,,,,
,canada.support.fanduel.com,"85.222.140.6, 85.222.140.10, 85.222.140.11",,"canada.support.fanduel.com.00d5y000002uy4tuaw.live.siteforce.com, 1p.edge2.salesforce.com, europe.edge2.salesforce.com, fra.edge2.salesforce.com","dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
,casino.fanduel.com,"52.222.214.10, 52.222.214.41, 52.222.214.112, 52.222.214.126",,,"ns-534.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-115.awsdns-14.com, ns-534.awsdns-02.net, ns-1529.awsdns-63.org, ns-1623.awsdns-10.co.uk",,,,,
,cbbbracket.fanduel.com,,,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,cdn.ggn.mi.casino.fanduel.com,54.144.128.85,,,,NOERROR,,,,,,,,
,chat.east.fdbox.net,,,,"ns-75.awsdns-09.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,v=spf1 a:gw-1.east.fdbox.net a:gw-2.east.fdbox.net a:gw-3.east.fdbox.net a:gw-4.east.fdbox.net include:amazonses.com ~all,,,
,ci.fdbox.net,"205.251.192.11, 205.251.195.6, 205.251.196.143, 205.251.199.115",,,"ns-1907.awsdns-46.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-774.awsdns-32.net, ns-1167.awsdns-17.org, ns-1907.awsdns-46.co.uk, ns-11.awsdns-01.com",,,,,
,cms-marketing-dev.fanduel.com,3.94.67.196,,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,cms-marketing-staging.fanduel.com,3.94.67.196,,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,cms.sportsbook.fanduel.com,,,internal-usdfs-sportsbook-cms-be-alb-1599182172.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,cms.use1.perftest.fdbox.net,"18.161.6.74, 18.161.6.22, 18.161.6.21, 18.161.6.121",,,"ns-2033.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,cn.use1.dev.draft.fdbox.net,,,web.dev.draft.com,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
,co.sportsbook.fanduel.com,"18.244.179.84, 18.244.179.60, 18.244.179.70, 18.244.179.83",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1465.awsdns-55.org, ns-1863.awsdns-40.co.uk, ns-498.awsdns-62.com, ns-961.awsdns-56.net",,,,,
,companion.fanduel.com,"3.218.210.24, 54.81.89.67, 54.84.98.194",,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,connect.fanduel.com,"99.83.239.7, 75.2.120.178",,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1478.awsdns-56.org, ns-1777.awsdns-30.co.uk, ns-786.awsdns-34.net, ns-81.awsdns-10.com",,,,,
,ct.casino.fanduel.com,,,,"ns-235.awsdns-29.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1427.awsdns-50.org, ns-778.awsdns-33.net, ns-235.awsdns-29.com, ns-1887.awsdns-43.co.uk",,,,,
,ct.sportsbook.fanduel.com,"13.224.189.17, 13.224.189.104, 13.224.189.88, 13.224.189.6",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,ct.xsell.sportsbook.fanduel.com,"18.155.129.107, 18.155.129.68, 18.155.129.30, 18.155.129.74",,,"ns-231.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,dark.casino.fanduel.com,"13.227.219.122, 13.227.219.3, 13.227.219.37, 13.227.219.72",,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1303.awsdns-34.org, ns-1988.awsdns-56.co.uk, ns-453.awsdns-56.com, ns-785.awsdns-34.net",,,,,
