input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,final_url,tls_expired,csp_domains_,tls_self_signed,tls_emails_
9lives.dvp.telenet.be,,403,,AS6848,TELENET-AS,BE,195.162.192.0/19,,,,,,,,,,,,,,,,,,,80,http://9lives.dvp.telenet.be:80,http,BigIP,,GET,195.162.204.163,/,-1840324437,2a02:1800:1e1:6002::8,F5 BigIP,1,False,,,,,,,,,
a.yelo.be,Telenet TV Yelo,200,19605,AS6848,TELENET-AS,BE,213.224.0.0/16,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,ctls,yelo.telenet.tv,,443,https://a.yelo.be:443,https,,text/html,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,Telenet BV,,,https://yelo.telenet.tv/,,,,
aalborgmaskinudlejning.yelo.be,Telenet TV Yelo,200,19605,AS6848,TELENET-AS,BE,213.224.0.0/16,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,ctls,yelo.telenet.tv,,443,https://aalborgmaskinudlejning.yelo.be:443,https,,text/html,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,Telenet BV,,,https://yelo.telenet.tv/,,,,
aanrekening-info.prd.telenet.be,Maintenance - Telenet,200,11301,AS6848,TELENET-AS,BE,213.224.0.0/16,aanrekening-info.prd.telenet.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-16T11:24:02Z,2023-12-16T05:46:01Z,"CN=*.prd.telenet.be, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",*.prd.telenet.be,prd.telenet.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,62047dbe3679ece85a2aa7abfae7c0e6,7f24925f9be4070252f31ec7e5285f7c29cd8dd2a796845831a04d0974e7dc66,ctls,aanrekening-info.prd.telenet.be,,443,https://aanrekening-info.prd.telenet.be:443,https,,text/html,GET,213.224.232.1,/,1758106035,2a02:1800:100:6000::1,Svelte,64,False,,Telenet BV,True,,https://aanrekening-info.prd.telenet.be/404,,,,
aanrekening-info.telenet.be,,503,2503,AS6848,TELENET-AS,BE,213.224.0.0/16,aanrekening-info.telenet.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-16T11:24:02Z,2023-12-16T05:46:01Z,"CN=*.prd.telenet.be, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",*.prd.telenet.be,prd.telenet.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,62047dbe3679ece85a2aa7abfae7c0e6,7f24925f9be4070252f31ec7e5285f7c29cd8dd2a796845831a04d0974e7dc66,ctls,aanrekening-info.telenet.be,,443,https://aanrekening-info.telenet.be:443,https,,text/html,GET,213.224.232.1,/,1539244717,2a02:1800:100:6000::1,,94,False,,Telenet BV,True,True,,,,,
abuse.telenet.be,"Phishing of hacking, wat nu?",200,212382,AS6848,TELENET-AS,BE,195.162.192.0/19,www2.telenet.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-16T11:24:02Z,2023-12-16T05:46:01Z,"CN=*.prd.telenet.be, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",*.prd.telenet.be,prd.telenet.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,62047dbe3679ece85a2aa7abfae7c0e6,7f24925f9be4070252f31ec7e5285f7c29cd8dd2a796845831a04d0974e7dc66,ctls,www2.telenet.be,,443,https://abuse.telenet.be:443,https,,text/html,GET,195.162.197.140,/,-1543032638,2a02:1800:120:6002::3,Ookla Speedtest Custom,3393,False,,Telenet BV,True,True,https://www2.telenet.be/residential/nl/klantenservice/internet/veilig-surfen/phishing-hacking-melden/,,*.webgains.io,,
acacia.telenet.be,404 Not Found,404,612,AS6848,TELENET-AS,BE,195.130.128.0/19,,,,,,,,,,,,,,,,,,,80,http://acacia.telenet.be:80,http,Apache,text/html,GET,195.130.132.84,/,-896013687,195.130.132.84,Apache,14,False,,,,,,,,,
account.telenet.be,Klantenservice: beheer je Telenet-diensten via Mijn Telenet,200,475625,AS6848,TELENET-AS,BE,195.162.192.0/19,www2.telenet.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-16T11:24:02Z,2023-12-16T05:46:01Z,"CN=*.prd.telenet.be, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",*.prd.telenet.be,prd.telenet.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,62047dbe3679ece85a2aa7abfae7c0e6,7f24925f9be4070252f31ec7e5285f7c29cd8dd2a796845831a04d0974e7dc66,ctls,www2.telenet.be,,443,https://account.telenet.be:443,https,,text/html,GET,195.162.197.140,/,,2a02:1800:120:6002::3,Ookla Speedtest Custom,18037,False,,Telenet BV,True,True,https://www2.telenet.be/nl/klantenservice/#/menu=selfservice/%23MT1,,https://widget.euw1.chat.pega.digital,,
acp.yelo.be,Telenet TV Yelo,200,19605,AS6848,TELENET-AS,BE,213.224.0.0/16,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,ctls,yelo.telenet.tv,,443,https://acp.yelo.be:443,https,,text/html,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,Telenet BV,,,https://yelo.telenet.tv/,,,,
adcaemvip-4.int.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adcaemvip-4.int.telenet.be:80,http,BigIP,,GET,213.224.233.19,/,-1840324437,213.224.233.19,F5 BigIP,1,False,,,,,,,,,
adcaemvip-4.mre.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adcaemvip-4.mre.telenet.be:80,http,BigIP,,GET,213.224.233.20,/,-1840324437,213.224.233.20,F5 BigIP,1,False,,,,,,,,,
adcaemvip-4.prd.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,adcaemvip-4.prd.telenet.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-16T11:24:02Z,2023-12-16T05:46:01Z,"CN=*.prd.telenet.be, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",*.prd.telenet.be,prd.telenet.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,62047dbe3679ece85a2aa7abfae7c0e6,7f24925f9be4070252f31ec7e5285f7c29cd8dd2a796845831a04d0974e7dc66,ctls,adcaemvip-4.prd.telenet.be,,443,https://adcaemvip-4.prd.telenet.be:443,https,BigIP,,GET,213.224.232.4,/,-1840324437,213.224.232.4,F5 BigIP,1,False,,Telenet BV,True,,,,,,
adcaemvip-4.trg.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adcaemvip-4.trg.telenet.be:80,http,BigIP,,GET,213.224.233.196,/,-1840324437,213.224.233.196,F5 BigIP,1,False,,,,,,,,,
adcaemvip-4.uat.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adcaemvip-4.uat.telenet.be:80,http,BigIP,,GET,213.224.233.132,/,-1840324437,213.224.233.132,F5 BigIP,1,False,,,,,,,,,
adcaemvip.dvp.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adcaemvip.dvp.telenet.be:80,http,BigIP,,GET,213.224.233.15,/,-1840324437,2a02:1800:1e0:6003::26,F5 BigIP,1,False,,,,,,,,,
adcaemvip.mre.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adcaemvip.mre.telenet.be:80,http,BigIP,,GET,213.224.233.20,/,-1840324437,2a02:1800:1e0:6003::29,F5 BigIP,1,False,,,,,,,,,
adcaemvip.prd.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,adcaemvip.prd.telenet.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-16T11:24:02Z,2023-12-16T05:46:01Z,"CN=*.prd.telenet.be, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",*.prd.telenet.be,prd.telenet.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,62047dbe3679ece85a2aa7abfae7c0e6,7f24925f9be4070252f31ec7e5285f7c29cd8dd2a796845831a04d0974e7dc66,ctls,adcaemvip.prd.telenet.be,,443,https://adcaemvip.prd.telenet.be:443,https,BigIP,,GET,213.224.232.4,/,-1840324437,2a02:1800:100:6000::b,F5 BigIP,1,False,,Telenet BV,True,,,,,,
adcaemvip.trg.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adcaemvip.trg.telenet.be:80,http,BigIP,,GET,213.224.233.196,/,-1840324437,2a02:1800:1e0:6000::8,F5 BigIP,1,False,,,,,,,,,
adcaemvip.uat.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adcaemvip.uat.telenet.be:80,http,BigIP,,GET,213.224.233.132,/,-1840324437,2a02:1800:1e0:6002::c,F5 BigIP,1,False,,,,,,,,,
adcbasevip-4.prd.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,adcbasevip-4.prd.telenet.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-16T11:24:02Z,2023-12-16T05:46:01Z,"CN=*.prd.telenet.be, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",*.prd.telenet.be,prd.telenet.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,62047dbe3679ece85a2aa7abfae7c0e6,7f24925f9be4070252f31ec7e5285f7c29cd8dd2a796845831a04d0974e7dc66,ctls,adcbasevip-4.prd.telenet.be,,443,https://adcbasevip-4.prd.telenet.be:443,https,BigIP,,GET,213.224.232.10,/,-1840324437,213.224.232.10,F5 BigIP,1,False,,Telenet BV,True,,,,,,
adcbasevip-4.uat.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adcbasevip-4.uat.telenet.be:80,http,BigIP,,GET,213.224.233.138,/,-1840324437,213.224.233.138,F5 BigIP,1,False,,,,,,,,,
adcbasevip.int.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adcbasevip.int.telenet.be:80,http,BigIP,,GET,213.224.233.38,/,-1840324437,2a02:1800:1e0:6003::47,F5 BigIP,1,False,,,,,,,,,
adcbasevip.prd.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,adcbasevip.prd.telenet.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-16T11:24:02Z,2023-12-16T05:46:01Z,"CN=*.prd.telenet.be, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",*.prd.telenet.be,prd.telenet.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,62047dbe3679ece85a2aa7abfae7c0e6,7f24925f9be4070252f31ec7e5285f7c29cd8dd2a796845831a04d0974e7dc66,ctls,adcbasevip.prd.telenet.be,,443,https://adcbasevip.prd.telenet.be:443,https,BigIP,,GET,213.224.232.10,/,-1840324437,2a02:1800:100:6000::15,F5 BigIP,1,False,,Telenet BV,True,,,,,,
adccussafvip.dvp.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adccussafvip.dvp.telenet.be:80,http,BigIP,,GET,213.224.233.8,/,-1840324437,213.224.233.8,F5 BigIP,1,False,,,,,,,,,
adccussafvip.int.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adccussafvip.int.telenet.be:80,http,BigIP,,GET,213.224.233.10,/,-1840324437,213.224.233.10,F5 BigIP,1,False,,,,,,,,,
adccussafvip.lat.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adccussafvip.lat.telenet.be:80,http,BigIP,,GET,213.224.233.162,/,-1840324437,213.224.233.162,F5 BigIP,1,False,,,,,,,,,
adccussafvip.mre.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adccussafvip.mre.telenet.be:80,http,BigIP,,GET,213.224.233.6,/,-1840324437,213.224.233.6,F5 BigIP,1,False,,,,,,,,,
adccussafvip.prd.telenet.be,Self-Starter,200,6565,AS6848,TELENET-AS,BE,213.224.0.0/16,selfstarter.telenet.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-16T11:24:02Z,2023-12-16T05:46:01Z,"CN=*.prd.telenet.be, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",*.prd.telenet.be,prd.telenet.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,62047dbe3679ece85a2aa7abfae7c0e6,7f24925f9be4070252f31ec7e5285f7c29cd8dd2a796845831a04d0974e7dc66,ctls,selfstarter.telenet.be,,443,https://adccussafvip.prd.telenet.be:443,https,,text/html,GET,213.224.232.2,/,-1928838103,213.224.232.2,,12,False,,Telenet BV,True,True,https://selfstarter.telenet.be/selfstarter/,,,,
adccussafvip.sup.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adccussafvip.sup.telenet.be:80,http,BigIP,,GET,213.224.233.9,/,-1840324437,213.224.233.9,F5 BigIP,1,False,,,,,,,,,
adccussafvip.trg.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adccussafvip.trg.telenet.be:80,http,BigIP,,GET,213.224.233.194,/,-1840324437,213.224.233.194,F5 BigIP,1,False,,,,,,,,,
adccussafvip.uat.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adccussafvip.uat.telenet.be:80,http,BigIP,,GET,213.224.233.130,/,-1840324437,213.224.233.130,F5 BigIP,1,False,,,,,,,,,
adccusvip-4.edp.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adccusvip-4.edp.telenet.be:80,http,BigIP,,GET,213.224.233.2,/,-1840324437,213.224.233.2,F5 BigIP,1,False,,,,,,,,,
adccusvip-4.int.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adccusvip-4.int.telenet.be:80,http,BigIP,,GET,213.224.233.5,/,-1840324437,213.224.233.5,F5 BigIP,1,False,,,,,,,,,
adccusvip-4.lat.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adccusvip-4.lat.telenet.be:80,http,BigIP,,GET,213.224.233.161,/,-1840324437,213.224.233.161,F5 BigIP,1,False,,,,,,,,,
adccusvip-4.mre.telenet.be,,403,,AS6848,TELENET-AS,BE,213.224.0.0/16,,,,,,,,,,,,,,,,,,,80,http://adccusvip-4.mre.telenet.be:80,http,BigIP,,GET,213.224.233.1,/,-1840324437,213.224.233.1,F5 BigIP,1,False,,,,,,,,,
