new,host,a,aaaa,soa,status_code,ns,mx,txt,cname,cdn,cdn-name,caa,ptr,has_internal_ips,internal_ips
[x],92mmdedeci.yelo.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mmdedeci.yelo.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"ns2.telenet-ops.be, ns.telenet-ops.be","mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mmdedeci.yelo.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mmdedna.yelo.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mmdedna.yelo.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mmdedna.yelo.pst.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mmdedna.yelo.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mmdeeve.yelo.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mmdeeve.yelo.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mmdeeve.yelo.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mmdeeve.yelo.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mmdemgmt.yelo.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mmdemgmt.yelo.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mmdemgmt.yelo.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mmededeci.yelo.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mmededeci.yelo.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mmededeci.yelo.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mmededeci.yelo.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mmgmt.ybelt.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mmgmt.ybelt.pst.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mmgmt.ybelt.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"ns.telenet-ops.be, ns2.telenet-ops.be","mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mmgmt.ybelt.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mnorm-devel.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mnorm-vip.tst.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"ns.telenet-ops.be, ns2.telenet-ops.be","mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mnorm.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mnormapi-test.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mnormapi.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"ns2.telenet-ops.be, ns.telenet-ops.be","mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92moverwatch.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mpam.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mregistry.tv.lab.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92msnap.telenet.be,54.144.128.85,,,NOERROR,,,,,,,,,,
[x],92mstatic-a.telenet.be,,2602:fcbc:0:3::11,,NOERROR,,,,,,,,,,
[x],92mstdagpas-cms.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mvcenter.eng.lab.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],92mvoiceweb.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mvoiceweb.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],92mwatch.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],94-224-71-247.telenet.be,,,,NOERROR,,,,,,,,,,
[x],9lives.be,195.162.197.140,2a02:1800:120:6002::3,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,"ns.telenet-ops.be, ns2.telenet-ops.be",9lives-be.mail.protection.outlook.com,"_globalsign-domain-verification=ikD9piUsG7PWDtQKdnm7RHteBmfKVHWP6zhhZZu5-P, v=spf1 a:smtp-bulk-out.prd.telenet-ops.be include:spf.protection.outlook.com include:mkt.telenet.be include:comm.telenet.be -all",,,,,,,
[x],9lives.dvp.telenet.be,195.162.204.163,2a02:1800:1e1:6002::8,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,vrnmcevip.dvp.telenet.be,,,,,,
[x],a.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,,
[x],aalborgmaskinudlejning.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,,
[x],aanrekening-info.prd.telenet.be,213.224.232.1,2a02:1800:100:6000::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,"v=spf1, include:_spf.telenet-ops.be, ~all",adccusvip.prd.telenet.be,,,,,,
[x],aanrekening-info.telenet.be,213.224.232.1,2a02:1800:100:6000::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,"v=spf1, include:_spf.telenet-ops.be, ~all","aanrekening-info.prd.telenet.be, adccusvip.prd.telenet.be",,,,,,
[x],abuse.telenet.be,195.162.197.140,2a02:1800:120:6002::3,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,"ns.telenet-ops.be, ns2.telenet-ops.be",,,"redirect.prd.telenet.be, vrnmctrdrvip.prd.telenet.be",,,,,,
[x],acacia.telenet.be,195.130.132.84,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,smtp.telenet-ops.be,,,,,,,,
[x],access.centrex.telenet.be,84.199.227.129,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,,
[x],access.int.centrex.telenet.be,84.199.227.145,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,,
[x],access.sipint.int.centrex.telenet.be,78.29.196.177,2a02:1802:46:2::1,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,,
[x],access.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"ns2.telenet-ops.be, ns.telenet-ops.be",,,,,,,,,
[x],accessmgmt.ybelt.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],accessmgmt.ybelt.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"ns2.telenet-ops.be, ns.telenet-ops.be","mx2.telenet-ops.be, mx1.telenet-ops.be",,,,,,,,
[x],accessmgmt.yelo.edp.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],accessmgmt.yelo.fut.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],accessmgmt.yelo.prd.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"ns.telenet-ops.be, ns2.telenet-ops.be","mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],accessmgmt.yelo.pst.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],accessmgmt.yelo.sup.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],accessmgmt.yelo.uat.inet.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"mx1.telenet-ops.be, mx2.telenet-ops.be",,,,,,,,
[x],account.telenet.be,195.162.197.140,2a02:1800:120:6002::3,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,"redirect.prd.telenet.be, vrnmctrdrvip.prd.telenet.be",,,,,,
[x],acp.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,,
[x],adcaemvip-4.int.telenet.be,213.224.233.19,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,"ns2.telenet-ops.be, ns.telenet-ops.be",,,,,,,,,
[x],adcaemvip-4.mre.telenet.be,213.224.233.20,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adcaemvip-4.prd.telenet.be,213.224.232.4,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adcaemvip-4.trg.telenet.be,213.224.233.196,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adcaemvip-4.uat.telenet.be,213.224.233.132,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adcaemvip.dvp.telenet.be,213.224.233.15,2a02:1800:1e0:6003::26,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adcaemvip.mre.telenet.be,213.224.233.20,2a02:1800:1e0:6003::29,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adcaemvip.prd.telenet.be,213.224.232.4,2a02:1800:100:6000::b,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adcaemvip.trg.telenet.be,213.224.233.196,2a02:1800:1e0:6000::8,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adcaemvip.uat.telenet.be,213.224.233.132,2a02:1800:1e0:6002::c,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adcbasevip-4.prd.telenet.be,,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adcbasevip-4.uat.telenet.be,213.224.233.138,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adcbasevip.int.telenet.be,213.224.233.38,2a02:1800:1e0:6003::47,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adcbasevip.prd.telenet.be,213.224.232.10,2a02:1800:100:6000::15,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccussafvip.dvp.telenet.be,213.224.233.8,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccussafvip.int.telenet.be,213.224.233.10,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccussafvip.lat.telenet.be,213.224.233.162,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccussafvip.mre.telenet.be,213.224.233.6,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccussafvip.prd.telenet.be,213.224.232.2,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccussafvip.sup.telenet.be,213.224.233.9,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccussafvip.trg.telenet.be,213.224.233.194,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccussafvip.uat.telenet.be,213.224.233.130,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip-4.edp.telenet.be,213.224.233.2,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip-4.int.telenet.be,213.224.233.5,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip-4.lat.telenet.be,,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip-4.mre.telenet.be,,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip-4.prd.telenet.be,213.224.232.1,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip-4.sup.telenet.be,213.224.233.4,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip-4.trg.telenet.be,213.224.233.193,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip-4.uat.telenet.be,213.224.233.129,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip-6.int.telenet.be,,2a02:1800:1e0:6003::1d,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip-6.prd.telenet.be,,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip-6.trg.telenet.be,,2a02:1800:1e0:6000::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip-6.uat.telenet.be,,2a02:1800:1e0:6002::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip.dvp.telenet.be,213.224.233.3,2a02:1800:1e0:6003::f,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,,
[x],adccusvip.edp.telenet.be,213.224.233.2,2a02:1800:1e0:6003::8,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,"ns.telenet-ops.be, ns2.telenet-ops.be",,,,,,,,,
