input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,lines,tech_,tls_self_signed,tls_subject_org_,tls_expired,cdn
ans-stg-develop.k8s-stg.getaws.arubanetworks.com,403 Forbidden,,555,ans-stg-develop.k8s-stg.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-30T20:14:02Z,CN=ans-stg-develop.k8s-stg.getaws.arubanetworks.com,ans-stg-develop.k8s-stg.getaws.arubanetworks.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,ans-stg-develop.k8s-stg.getaws.arubanetworks.com,443,https://ans-stg-develop.k8s-stg.getaws.arubanetworks.com:443,https,nginx/1.19.1,text/html,GET,184.169.129.136,14,Nginx:1.19.1,,,,
ans-stg-devops-eks.k8s-prod.getaws.arubanetworks.com,,,21,ans-stg-devops-eks.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T12:38:57Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,ans-stg-devops-eks.k8s-prod.getaws.arubanetworks.com,443,https://ans-stg-devops-eks.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
ans-stg-devops.k8s-prod.getaws.arubanetworks.com,,,21,ans-stg-devops.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-05-01T08:25:35Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,ans-stg-devops.k8s-prod.getaws.arubanetworks.com,443,https://ans-stg-devops.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
ans-stg-hotfix-5-8-0.k8s-prod.getaws.arubanetworks.com,Aruba Notification System,,1127,ans-stg-hotfix-5-8-0.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-11T05:12:47Z,CN=ans-stg-hotfix-5-8-0.k8s-prod.getaws.arubanetworks.com,ans-stg-hotfix-5-8-0.k8s-prod.getaws.arubanetworks.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,ans-stg-hotfix-5-8-0.k8s-prod.getaws.arubanetworks.com,443,https://ans-stg-hotfix-5-8-0.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/html,GET,54.177.224.32,22,Nginx:1.21.6,,,,
ans-stg-load.develop.k8s-prod.getaws.arubanetworks.com,,,21,ans-stg-load.develop.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-05-01T08:35:54Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,ans-stg-load.develop.k8s-prod.getaws.arubanetworks.com,443,https://ans-stg-load.develop.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
ans-stg-load.develop.k8s-stg.getaws.arubanetworks.com,,,21,ans-stg-load.develop.k8s-stg.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T10:17:30Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,ans-stg-load.develop.k8s-stg.getaws.arubanetworks.com,443,https://ans-stg-load.develop.k8s-stg.getaws.arubanetworks.com:443,https,nginx/1.19.1,text/plain,GET,54.177.145.51,1,Nginx:1.19.1,True,Acme Co,,
ans-stg-nov-qe.k8s-prod.getaws.arubanetworks.com,,,21,ans-stg-nov-qe.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-05-01T08:35:54Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,ans-stg-nov-qe.k8s-prod.getaws.arubanetworks.com,443,https://ans-stg-nov-qe.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.177.224.32,1,Nginx:1.21.6,True,Acme Co,,
ans-stg-uat.k8s-prod.getaws.arubanetworks.com,,,21,ans-stg-uat.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-17T04:54:37Z,CN=ans-stg-uat.k8s-prod.getaws.arubanetworks.com,ans-stg-uat.k8s-prod.getaws.arubanetworks.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,ans-stg-uat.k8s-prod.getaws.arubanetworks.com,443,https://ans-stg-uat.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,,,,
ans-stg.dev-ops.k8s-stg.getaws.arubanetworks.com,,,21,ans-stg.dev-ops.k8s-stg.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T09:42:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,ans-stg.dev-ops.k8s-stg.getaws.arubanetworks.com,443,https://ans-stg.dev-ops.k8s-stg.getaws.arubanetworks.com:443,https,nginx/1.19.1,text/plain,GET,54.177.145.51,1,Nginx:1.19.1,True,Acme Co,,
ans-stg.develop.k8s-stg.getaws.arubanetworks.com,,,21,ans-stg.develop.k8s-stg.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T10:32:19Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,ans-stg.develop.k8s-stg.getaws.arubanetworks.com,443,https://ans-stg.develop.k8s-stg.getaws.arubanetworks.com:443,https,nginx/1.19.1,text/plain,GET,54.177.145.51,1,Nginx:1.19.1,True,Acme Co,,
ans-stg.multistage-build.k8s-stg.getaws.arubanetworks.com,403 Forbidden,,153,ans-stg.multistage-build.k8s-stg.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-07T05:52:27Z,CN=ans-stg.multistage-build.k8s-stg.getaws.arubanetworks.com,ans-stg.multistage-build.k8s-stg.getaws.arubanetworks.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,ans-stg.multistage-build.k8s-stg.getaws.arubanetworks.com,443,https://ans-stg.multistage-build.k8s-stg.getaws.arubanetworks.com:443,https,nginx/1.19.1,text/html,GET,184.169.129.136,8,Nginx:1.19.1,,,,
ap1.cloudguest.central.arubanetworks.com,,,24719,ap1.cloudguest.central.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-06-06T00:00:00Z,CN=*.cloudguest.central.arubanetworks.com,*.cloudguest.central.arubanetworks.com,"CN=COMODO RSA Domain Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,ctls,ap1.cloudguest.central.arubanetworks.com,443,https://ap1.cloudguest.central.arubanetworks.com:443,https,CloudGuest,text/html,GET,15.207.130.172,49,HSTS,,,,
apaceast.cloudops.arubanetworks.com,404 Not Found,,548,apaceast.cloudops.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,CN=*.cloudops.arubanetworks.com,*.cloudops.arubanetworks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,apaceast.cloudops.arubanetworks.com,443,https://apaceast.cloudops.arubanetworks.com:443,https,,text/html,GET,52.198.241.5,14,,,,,
apacsouth.cloudguest.central.arubanetworks.com,,,24723,apacsouth.cloudguest.central.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-06-06T00:00:00Z,CN=*.cloudguest.central.arubanetworks.com,*.cloudguest.central.arubanetworks.com,"CN=COMODO RSA Domain Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,ctls,apacsouth.cloudguest.central.arubanetworks.com,443,https://apacsouth.cloudguest.central.arubanetworks.com:443,https,CloudGuest,text/html,GET,54.253.197.67,49,HSTS,,,,
apacsouth.cloudops.arubanetworks.com,404 Not Found,,146,apacsouth.cloudops.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,CN=*.cloudops.arubanetworks.com,*.cloudops.arubanetworks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,apacsouth.cloudops.arubanetworks.com,443,https://apacsouth.cloudops.arubanetworks.com:443,https,,text/html,GET,13.238.244.221,8,,,,,
api-csp.central.arubanetworks.com,,,23,api-csp.central.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,CN=api-csp.central.arubanetworks.com,api-csp.central.arubanetworks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,api-csp.central.arubanetworks.com,443,https://api-csp.central.arubanetworks.com:443,https,,application/json,GET,54.213.253.50,1,,,,,
apigw-eucentral3.central.arubanetworks.com,,,78,apigw-eucentral3.central.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-11T00:00:00Z,CN=*.central.arubanetworks.com,*.central.arubanetworks.com,"CN=COMODO RSA Domain Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,ctls,apigw-eucentral3.central.arubanetworks.com,443,https://apigw-eucentral3.central.arubanetworks.com:443,https,kong/0.14.1,application/json,GET,18.195.144.22,2,,,,,
apistg.getaws.arubanetworks.com,403 - Forbidden: Access is denied.,,1233,apistg.getaws.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-20T08:23:59Z,"CN=apistg.getaws.arubanetworks.com, OU=Aruba, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",apistg.getaws.arubanetworks.com,"CN=Hewlett Packard Enterprise Private SSL CA, OU=Infrastructure Services, O=Hewlett Packard Enterprise Company, C=US",Hewlett Packard Enterprise Private SSL CA,Hewlett Packard Enterprise Company,ctls,apistg.getaws.arubanetworks.com,443,https://apistg.getaws.arubanetworks.com:443,https,Microsoft-IIS/10.0,text/html,GET,54.176.100.123,30,Windows Server,,Hewlett Packard Enterprise Company,,
apollo.app.arubanetworks.com,502 Bad Gateway,,568,apollo.app.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2020-04-24T00:00:00Z,"CN=login-poc.arubanetworks.com, OU=Digital Workspace, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",login-poc.arubanetworks.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,ctls,apollo.app.arubanetworks.com,443,https://apollo.app.arubanetworks.com:443,https,nginx,text/html,GET,104.36.248.246,14,Nginx,,Hewlett Packard Enterprise Company,True,
apollo.arubanetworks.com,502 Bad Gateway,,166,apollo.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2020-04-24T00:00:00Z,"CN=login-poc.arubanetworks.com, OU=Digital Workspace, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",login-poc.arubanetworks.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,ctls,apollo.arubanetworks.com,443,https://apollo.arubanetworks.com:443,https,nginx,text/html,GET,104.36.248.246,8,Nginx,,Hewlett Packard Enterprise Company,True,
app-apaceast.central.arubanetworks.com,HPE GreenLake,,697,common.cloud.hpe.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=console.greenlake.hpe.com,console.greenlake.hpe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,common.cloud.hpe.com,443,https://app-apaceast.central.arubanetworks.com:443,https,AmazonS3,text/html,GET,3.114.122.23,1,HSTS,,,,
app-apacsouth.central.arubanetworks.com,HPE GreenLake,,697,common.cloud.hpe.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=console.greenlake.hpe.com,console.greenlake.hpe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,common.cloud.hpe.com,80,http://app-apacsouth.central.arubanetworks.com:80,http,AmazonS3,text/html,GET,54.206.2.230,1,HSTS,,,,
app-ca-ui.central.arubanetworks.com,HPE GreenLake,,697,common.cloud.hpe.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=console.greenlake.hpe.com,console.greenlake.hpe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,common.cloud.hpe.com,443,https://app-ca-ui.central.arubanetworks.com:443,https,AmazonS3,text/html,GET,35.183.226.163,1,HSTS,,,,
app-ca.central.arubanetworks.com,HPE GreenLake,,697,common.cloud.hpe.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=console.greenlake.hpe.com,console.greenlake.hpe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,common.cloud.hpe.com,443,https://app-ca.central.arubanetworks.com:443,https,AmazonS3,text/html,GET,35.182.24.250,1,HSTS,,,,
app-eucentral3.central.arubanetworks.com,HPE GreenLake,,697,common.cloud.hpe.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=console.greenlake.hpe.com,console.greenlake.hpe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,common.cloud.hpe.com,443,https://app-eucentral3.central.arubanetworks.com:443,https,AmazonS3,text/html,GET,18.193.57.153,1,HSTS,,,,
app-gcpuswest1.central.arubanetworks.com,HPE GreenLake,,697,common.cloud.hpe.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=console.greenlake.hpe.com,console.greenlake.hpe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,common.cloud.hpe.com,443,https://app-gcpuswest1.central.arubanetworks.com:443,https,AmazonS3,text/html,GET,35.201.99.72,1,HSTS,,,,True
app-prod2-ui.central.arubanetworks.com,HPE GreenLake,,697,common.cloud.hpe.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=console.greenlake.hpe.com,console.greenlake.hpe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,common.cloud.hpe.com,443,https://app-prod2-ui.central.arubanetworks.com:443,https,AmazonS3,text/html,GET,54.190.196.253,1,HSTS,,,,
app-prod2.central.arubanetworks.com,HPE GreenLake,,697,common.cloud.hpe.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=console.greenlake.hpe.com,console.greenlake.hpe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,common.cloud.hpe.com,443,https://app-prod2.central.arubanetworks.com:443,https,AmazonS3,text/html,GET,35.166.8.191,1,HSTS,,,,
app-stgthdnaas.central.arubanetworks.com,HPE GreenLake,,697,common.cloud.hpe.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=console.greenlake.hpe.com,console.greenlake.hpe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,common.cloud.hpe.com,443,https://app-stgthdnaas.central.arubanetworks.com:443,https,AmazonS3,text/html,GET,20.69.139.33,1,HSTS,,,,
app-thdnaas.central.arubanetworks.com,HPE GreenLake,,697,common.cloud.hpe.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=console.greenlake.hpe.com,console.greenlake.hpe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,common.cloud.hpe.com,443,https://app-thdnaas.central.arubanetworks.com:443,https,AmazonS3,text/html,GET,20.72.193.26,1,HSTS,,,,
app-uaenorth1.central.arubanetworks.com,HPE GreenLake,,697,common.cloud.hpe.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=console.greenlake.hpe.com,console.greenlake.hpe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,common.cloud.hpe.com,443,https://app-uaenorth1.central.arubanetworks.com:443,https,AmazonS3,text/html,GET,20.46.192.103,1,HSTS,,,,True
app-uswest4.central.arubanetworks.com,HPE GreenLake,,697,common.cloud.hpe.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=console.greenlake.hpe.com,console.greenlake.hpe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,common.cloud.hpe.com,443,https://app-uswest4.central.arubanetworks.com:443,https,AmazonS3,text/html,GET,35.167.80.167,1,HSTS,,,,
app.central.arubanetworks.com,HPE GreenLake,,697,common.cloud.hpe.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,CN=console.greenlake.hpe.com,console.greenlake.hpe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,common.cloud.hpe.com,443,https://app.central.arubanetworks.com:443,https,AmazonS3,text/html,GET,52.89.92.205,1,HSTS,,,,
app.channel.arubanetworks.com,404 - Not found or no permission to access,,1330,app.channel.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-08T00:00:00Z,"CN=app.channel.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",app.channel.arubanetworks.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,app.channel.arubanetworks.com,443,https://app.channel.arubanetworks.com:443,https,,text/html,GET,142.0.173.42,33,Bootstrap,,Hewlett Packard Enterprise Company,,
app.connect.arubanetworks.com,404 - Not found or no permission to access,,1330,app.connect.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-14T00:00:00Z,"CN=app.connect.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",app.connect.arubanetworks.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,app.connect.arubanetworks.com,443,https://app.connect.arubanetworks.com:443,https,,text/html,GET,147.154.36.249,33,Bootstrap,,Hewlett Packard Enterprise Company,,True
app1-apigw.central.arubanetworks.com,,,78,app1-apigw.central.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-11T00:00:00Z,CN=*.central.arubanetworks.com,*.central.arubanetworks.com,"CN=COMODO RSA Domain Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,ctls,app1-apigw.central.arubanetworks.com,443,https://app1-apigw.central.arubanetworks.com:443,https,kong/0.14.1,application/json,GET,18.236.17.213,2,,,,,
