input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,cdn_name,tech_,cdn,tls_mismatched,webserver,final_url
events.portofantwerp.com,404: Project not found,404,5853,events.portofantwerp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T00:12:23Z,2023-06-22T00:12:22Z,CN=events.portofantwerp.com,events.portofantwerp.com,,events.portofantwerp.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2620223c261851cfad2c21d5a901762e,c321a25ae94c4a2c628381fa1e13a3e9af3ad1c251587cf077fe0a91b9ccabc6,,ctls,events.portofantwerp.com,443,https://events.portofantwerp.com:443,https,text/html,GET,52.51.215.23,/,566218143,52.51.215.23,141,False,fonts.googleapis.com,,Nginx,,,Caddy nginx,
future-acc.portofantwerp.com,Yambla | Login,200,14729,future-acc.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2023-09-21T23:59:59Z,CN=yamblastaging.com,yamblastaging.com,,future-acc.portofantwerp.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d72bbaa4119031a796bf9ddcc07b9b25,81c90e7d10749c282c09f844d401a4c95e93a2161ff06580e63a73f479cea9ff,True,ctls,future-acc.portofantwerp.com,443,https://future-acc.portofantwerp.com:443,https,text/html,GET,54.246.210.44,/,45119012,52.49.25.102,332,False,,,Typekit,,True,nginx,https://future-acc.portofantwerp.com/login
https://az416426.vo.msecnd.net/scripts/a/ai.0.js,,200,96705,az416426.vo.msecnd.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-11T00:00:00Z,2023-07-11T23:59:59Z,"CN=*.vo.msecnd.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",*.vo.msecnd.net,Microsoft Corporation,ec-cert-deploy-prod-default.cdn.azure.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5ab8d5bd4695ceeebc3e19d1f238f244,a1f95ad1a4cb395565c629a30c764112a83a7dd265ea691cc514b658a620bde7,True,ctls,az416426.vo.msecnd.net,443,https://az416426.vo.msecnd.net:443/scripts/a/ai.0.js,https,application/x-javascript,GET,152.199.19.161,/scripts/a/ai.0.js,-502130499,2606:2800:133:206e:1315:22a5:2006:24fd,2,False,,,Azure CDN,,,ECAcc (frc/4CD6),
https://consent.cookiebot.com/uc.js,,200,109647,consent.cookiebot.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-06T00:00:00Z,2024-04-06T23:59:59Z,"CN=consent.cookiebot.com, O=Usercentrics A/S, L=København, C=DK",consent.cookiebot.com,Usercentrics A/S,consent.cookiebot.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6e60b4996dc0098c027c4b5bc7852b03,3f4bfad4d2689862a119d87f75c95d3bea68de41e58b83e46019ca24238a1a84,,ctls,consent.cookiebot.com,443,https://consent.cookiebot.com:443/uc.js,https,application/javascript,GET,2.16.187.19,/uc.js,2009820289,2a02:26f0:1700:11::b856:6785,3,False,,,,,,,
https://consentcdn.cookiebot.com/,,404,10,consentcdn.cookiebot.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-17T00:00:00Z,2024-04-17T23:59:59Z,"CN=*.cookiebot.com, O=CYBOT A/S, L=København, C=DK",*.cookiebot.com,CYBOT A/S,cookiebot.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,bcc1224d73822aa90d09e2e87b20c7ec,f2bf4e1e3db27fcf086b1dc1c7045d5d1d298e42b7606f3e64b3ad71f372b18b,True,ctls,consentcdn.cookiebot.com,443,https://consentcdn.cookiebot.com:443,https,,GET,184.30.131.181,/,1864250944,2a02:26f0:3500:880::f09,2,False,,,,,,AkamaiNetStorage,
https://dc.services.visualstudio.com/v2/track,,405,18,dc.services.visualstudio.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T09:16:16Z,2024-04-14T09:16:16Z,"CN=in.applicationinsights.azure.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",in.applicationinsights.azure.com,Microsoft Corporation,dc.services.visualstudio.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,083f5e78a60897b4ded84c773b4d2530,037eeb432c49ffa2d3712705e49adb7c53e3bb27cd695b205b47bd15de8be265,True,ctls,dc.services.visualstudio.com,443,https://dc.services.visualstudio.com:443/v2/track,https,text/plain,GET,13.69.106.212,/v2/track,716467437,13.69.106.212,1,False,,azure,HSTS,True,,,
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=upload.video.google.com,upload.video.google.com,,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f5e19b0c15918f4e4bcfa456133d1ad7,2d3b52058a876e74ebd8c6b8f539d46ff307058680fed77df5bfad75473dab9c,True,ctls,fonts.googleapis.com,443,https://fonts.googleapis.com:443,https,text/html,GET,142.250.185.138,/,-606046040,2a00:1450:4001:82a::200a,1,False,,,HTTP/3,,,ESF,
https://fonts.gstatic.com/,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,fonts.gstatic.com,443,https://fonts.gstatic.com:443,https,text/html,GET,172.217.18.3,/,302920777,2a00:1450:4001:810::2003,12,False,,,HTTP/3,,,sffe,
https://i.ytimg.com/vi/YGJQpRT8Sf0/maxresdefault.jpg,,200,69754,i.ytimg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:03Z,2023-07-17T11:56:02Z,CN=edgestatic.com,edgestatic.com,,play-lh.googleusercontent.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,13c2b93b9755fde8dbf638234f42a28f,4dc91ccda8d94052f06407e6dccb447b5cd2f02d1afdab560863220945c44d23,True,ctls,i.ytimg.com,443,https://i.ytimg.com:443/vi/YGJQpRT8Sf0/maxresdefault.jpg,https,image/jpeg,GET,142.250.186.182,/vi/YGJQpRT8Sf0/maxresdefault.jpg,-774586154,2a00:1450:4001:801::2016,200,False,,,HTTP/3,,True,sffe,
https://jquery.com,jQuery,200,16542,jquery.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2024-04-30T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.jquery.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",adc9120def8d707aa69f64204d17c3e1,fab2883df080c99af8bbae371063b47001eaef50d2eab5366e2368f7161255e4,True,ctls,jquery.com,443,https://jquery.com:443,https,text/html,GET,104.18.213.12,/,299032747,104.18.212.12,368,False,,cloudflare,WordPress:4.5.2,True,,cloudflare,
https://ssl.google-analytics.com/,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,443,https://ssl.google-analytics.com:443,https,text/html,GET,172.217.16.136,/,302920777,2a00:1450:4001:829::2008,1831,False,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,HTTP/3,,,sffe,https://marketingplatform.google.com/about/analytics/
https://ssl.google-analytics.com/ga.js,,200,46274,ssl.google-analytics.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,True,ctls,ssl.google-analytics.com,443,https://ssl.google-analytics.com:443/ga.js,https,text/javascript,GET,172.217.16.136,/ga.js,302920777,2a00:1450:4001:829::2008,85,False,,,HTTP/3,,,Golfe2,
https://www.google.com/,Google,200,200227,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,443,https://www.google.com:443,https,text/html,GET,142.250.185.196,/,708578229,2a00:1450:4001:812::2004,132,False,https://csp.withgoogle.com/csp/gws/other-hp,,HTTP/3,,,gws,
https://www.google.com/recaptcha/api.js,,200,850,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,443,https://www.google.com:443/recaptcha/api.js,https,text/javascript,GET,142.250.185.196,/recaptcha/api.js,708578229,2a00:1450:4001:812::2004,1,False,,,OpenGSE,,,GSE,
https://www.googletagmanager.com/gtag/js,,200,102302,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,True,ctls,www.googletagmanager.com,443,https://www.googletagmanager.com:443/gtag/js,https,application/javascript,GET,142.250.186.72,/gtag/js,302920777,2a00:1450:4001:801::2008,260,False,,,HTTP/3,,True,Google Tag Manager,
https://www.googletagmanager.com/gtm.js,Error 400 (Bad Request)!!1,400,1555,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,True,ctls,www.googletagmanager.com,443,https://www.googletagmanager.com:443/gtm.js,https,text/html,GET,142.250.186.72,/gtm.js,302920777,2a00:1450:4001:801::2008,12,False,,,HTTP/3,,True,Google Tag Manager,
https://www.gstatic.com/,Error 404 (Not Found)!!1,404,1561,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,www.gstatic.com,443,https://www.gstatic.com:443,https,text/html,GET,142.250.184.195,/,302920777,2a00:1450:4001:809::2003,12,False,,,HTTP/3,,,sffe,
https://www.gstatic.com/recaptcha/releases/4rwLQsl5N_ccppoTAwwwMrEN/recaptcha__en.js,Error 404 (Not Found)!!1,404,1621,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,www.gstatic.com,443,https://www.gstatic.com:443/recaptcha/releases/4rwLQsl5N_ccppoTAwwwMrEN/recaptcha__en.js,https,text/html,GET,142.250.184.195,/recaptcha/releases/4rwLQsl5N_ccppoTAwwwMrEN/recaptcha__en.js,302920777,2a00:1450:4001:809::2003,12,False,,,HTTP/3,,,sffe,
lyncdiscover.portofantwerp.com,,200,370,lyncdiscover.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,True,ctls,lyncdiscover.portofantwerp.com,443,https://lyncdiscover.portofantwerp.com:443,https,application/json,GET,52.112.193.16,/,667063615,52.112.193.16,1,False,,,Azure,,True,,
mail.portofantwerp.com,Sign in to Outlook,200,196934,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,,ctls,login.microsoftonline.com,443,https://mail.portofantwerp.com:443,https,text/html,GET,188.118.8.29,/,-1249852061,188.118.8.29,174,False,,,HSTS,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=56343f1a-6326-414a-becf-19243e7b297f&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&nonce=638194151183928073.ddc5021d-f5dd-4b82-a2ba-5419bea2ee73&state=DctBFoAgCABRrNdxSAFJPA6GbVt2_Vz82U0CgH3ZllRWoF1i1CspkUlnK03OiFsLU-CjEViHMToPR63Ux3Ses0la75Hfz_MP
media.portofantwerp.com,Port of Antwerp Media,200,85139,media.portofantwerpbruges.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-05-24T23:59:59Z,CN=media.portofantwerpbruges.com,media.portofantwerpbruges.com,,media.portofantwerpbruges.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f0a4e24d5765aab757eb8b19d348a629,6ed0a4f36a1903042fb9867a7dfe02f0afceab257e4fafb51629f10a956c0afa,,ctls,media.portofantwerpbruges.com,443,https://media.portofantwerp.com:443,https,text/html,GET,94.107.237.236,/,-1840324437,94.107.237.236,1035,False,https://fonts.googleapis.com,,Nginx,,,nginx,https://media.portofantwerpbruges.com/login/
netmonitor.portofantwerp.com,Request Rejected,200,247,netmonitor.portofantwerp.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-01T11:58:07Z,2023-09-02T11:58:06Z,"CN=*.portofantwerp.com, O=Haven van Antwerpen - Brugge (Port of Antwerp - Bruges), L=Antwerpen, ST=Antwerpen, C=BE",*.portofantwerp.com,Haven van Antwerpen - Brugge (Port of Antwerp - Bruges),portofantwerp.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,d1f1ba665f5e87d81e0380e107f52490,eeb1cdc7a57a6911df06ff82db28620914322b0a0472a8b3e21b5490868a91a3,True,ctls,netmonitor.portofantwerp.com,443,https://netmonitor.portofantwerp.com:443,https,text/html,GET,188.118.8.7,/,-1878695317,188.118.8.7,1,False,,,,,,,
