new,host,a,mx,soa,ns,txt,caa,status_code,cdn,cdn-name,cname,aaaa
[x],geniebelt.letsbuild.com,"52.18.35.63, 34.242.142.238, 34.255.88.88","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com","ns-1517.awsdns-61.org, awsdns-hostmaster.amazon.com","ns-330.awsdns-41.com, ns-1517.awsdns-61.org, ns-1995.awsdns-57.co.uk, ns-701.awsdns-23.net","v=spf1 include:spf.mandrillapp.com ~all, google-site-verification=-BzkgAo_HQKiYChQ14R8rYavWjDGIge6L5nvyV3DGyA",,NOERROR,,,,
[x],help.letsbuild.com,"13.32.99.73, 13.32.99.47, 13.32.99.43, 13.32.99.9",,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com","ns-636.awsdns-15.net, ns-1204.awsdns-22.org, ns-1622.awsdns-10.co.uk, ns-337.awsdns-42.com",,,NOERROR,True,cloudfront,,
[x],info.letsbuild.com,"199.60.103.226, 199.60.103.30",,"jerry.ns.cloudflare.com, dns.cloudflare.com",,,,NOERROR,,,"2946656.group6.sites.hubspot.net, group6.sites.hscoscdn00.net","2606:2c40::c73c:671e, 2606:2c40::c73c:67e2"
[x],integrations.letsbuild.com,"52.85.242.24, 52.85.242.63, 52.85.242.59, 52.85.242.115",,"ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com",,,,NOERROR,True,cloudfront,,
[x],letsbuild.com,"141.193.213.11, 141.193.213.10","aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com","ns-1532.awsdns-63.org, ns-1605.awsdns-08.co.uk, ns-24.awsdns-03.com, ns-604.awsdns-11.net","MS=AB648CD24D4421222AF8510BE76840EBFCAE262E, MS=ms40249163, atlassian-domain-verification=GCVkCX1SVsVkXM+k0oHI1n9UaAwHazqnfcQCXwUSuqGGq14guLYzIPVrq8SZ5eFi, google-site-verification=9v18AC3WpAS-nL72eEFVmBDpWgPVCAgIZuFfoE9VDIM, google-site-verification=AocYgFb2NUvJ_Fz0201Vk66LvHzHNxhuUbjWKUSKKwo, google-site-verification=anxhs3dnzZNn8XhIEnPWutxNeJk818dbXHC4AbjfZDU, google-site-verification=bOtEZvBV8EOrLn2yD3Rbdzno5prFKVWxWVeDIptwpf4, google-site-verification=efVfcL4m5Wsswk0Fkqy7fz8Hnh_KimnzmHcGoseOZ8E, v=spf1 a include:_spf.google.com include:_spf.salesforce.com include:sendgrid.net include:spf.mail.intercom.io  -all","mailto:security+caa@letsbuild.com, amazon.com, digicert.com, letsencrypt.org",NOERROR,,,,
[x],mail.letsbuild.com,,,"ns-567.awsdns-06.net, awsdns-hostmaster.amazon.com",,"v=spf1 include:2946656.spf04.hubspotemail.net -all, google-site-verification=KqWo7yLVzCsB1r1SESMiZXcgA3XWGnucciRtW4kzsn0",,NOERROR,,,,
[x],myaccount.app.letsbuild.com,"54.74.184.246, 34.243.66.103, 52.215.151.93",,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/production/accounts",,NOERROR,,,,
[x],no-role.letsbuild.com,54.144.128.85,,,,,,NOERROR,,,,
[x],ns2.letsbuild.com,54.144.128.85,,,,,,NOERROR,,,,
[x],site-diary.letsbuild.com,,,"ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com","ns-1439.awsdns-51.org, ns-1805.awsdns-33.co.uk, ns-364.awsdns-45.com, ns-555.awsdns-05.net","firebase=site-diary-4ea9a, v=spf1 include:_spf.firebasemail.com ~all",,NOERROR,,,,
[x],status.letsbuild.com,,,"ns1.fastly.net, hostmaster.fastly.com","ns-1532.awsdns-63.org, ns-1605.awsdns-08.co.uk, ns-24.awsdns-03.com, ns-604.awsdns-11.net",,,NOERROR,True,fastly,"6274c4c6.sorryapp.com, n.sni.global.fastly.net",
[x],superset.letsbuild.com,"108.157.4.47, 108.157.4.83, 108.157.4.128, 108.157.4.125",,"ns-2035.awsdns-62.co.uk, awsdns-hostmaster.amazon.com","ns-863.awsdns-43.net, ns-1485.awsdns-57.org, ns-2035.awsdns-62.co.uk, ns-240.awsdns-30.com",,,NOERROR,True,cloudfront,,
[x],track.letsbuild.com,"54.72.106.117, 63.33.141.163, 63.35.2.208",,"ns-1847.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1847.awsdns-38.co.uk, ns-391.awsdns-48.com, ns-769.awsdns-32.net, ns-1240.awsdns-27.org","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/jitsu/jitsu-server",,NOERROR,,,,
[x],vpn.letsbuild.com,"52.218.40.196, 52.92.3.36, 52.218.89.84, 52.218.96.196, 52.218.28.164, 52.218.97.228, 52.218.100.140, 52.218.45.124",,"ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
[x],webconfenterpriseenrollment.info.letsbuild.com,54.144.128.85,,,,,,NOERROR,,,,
[x],webconfwww.superset.letsbuild.com,54.144.128.85,,,,,,NOERROR,,,,
[x],www.letsbuild.com,"141.193.213.10, 141.193.213.11","aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com","ns-1532.awsdns-63.org, ns-1605.awsdns-08.co.uk, ns-24.awsdns-03.com, ns-604.awsdns-11.net","MS=AB648CD24D4421222AF8510BE76840EBFCAE262E, MS=ms40249163, atlassian-domain-verification=GCVkCX1SVsVkXM+k0oHI1n9UaAwHazqnfcQCXwUSuqGGq14guLYzIPVrq8SZ5eFi, google-site-verification=9v18AC3WpAS-nL72eEFVmBDpWgPVCAgIZuFfoE9VDIM, google-site-verification=AocYgFb2NUvJ_Fz0201Vk66LvHzHNxhuUbjWKUSKKwo, google-site-verification=anxhs3dnzZNn8XhIEnPWutxNeJk818dbXHC4AbjfZDU, google-site-verification=bOtEZvBV8EOrLn2yD3Rbdzno5prFKVWxWVeDIptwpf4, google-site-verification=efVfcL4m5Wsswk0Fkqy7fz8Hnh_KimnzmHcGoseOZ8E, v=spf1 a include:_spf.google.com include:_spf.salesforce.com include:sendgrid.net include:spf.mail.intercom.io  -all","mailto:security+caa@letsbuild.com, amazon.com, digicert.com, letsencrypt.org",NOERROR,,,letsbuild.com,
