input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_wildcard_certificate,final_url,csp_domains_,tls_expired,cdn_name,cdn
1212.qq.com,403 Forbidden,403,564,1212.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-08T00:00:00Z,2024-02-08T23:59:59Z,"CN=1212.qq.com, O=Tencent Technology (Shenzhen) Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",1212.qq.com,Tencent Technology (Shenzhen) Company Limited,1212.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,9f89394eb0dcfde36d753f62983a47a3,793bbf7183dcd0b4f4a9aa3290277d38e106e8650fcbeec97fc9b76a16200d2c,ctls,1212.qq.com,443,https://1212.qq.com:443,https,nginx,text/html,GET,203.205.136.160,/,494670890,43.152.15.45,Nginx,14,False,,,,,,,
123.html5.qq.com,页面不存在,200,463,123.html5.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T23:01:11Z,2024-03-12T23:01:10Z,"CN=*.feb10-2023-1.ias.qq.com, O=Tencent Technology (Shenzhen) Company Limited, L=Shenzhen, ST=Guangdong, C=CN",*.feb10-2023-1.ias.qq.com,Tencent Technology (Shenzhen) Company Limited,feb10-2023-1.ias.qq.com,"CN=GlobalSign Organization Validation CA - SHA256 - G3, O=GlobalSign nv-sa, C=BE",GlobalSign Organization Validation CA - SHA256 - G3,GlobalSign nv-sa,11ce45a65f830e6f6e40ad457ac84114,d04c0c8544b0891d8d003a600a32a4242d3d504004b371cea55924bf95d224ec,ctls,123.html5.qq.com,443,https://123.html5.qq.com:443,https,,text/html,GET,43.135.106.42,/,244171488,43.135.106.212,,14,False,True,True,,,,,
1314.qq.com,玫瑰小镇,200,31968,1314.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-04T06:16:01Z,2023-08-05T06:16:00Z,"CN=*.baobao.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong, C=CN",*.baobao.qq.com,Shenzhen Tencent Computer Systems Company Limited,baobao.qq.com,"CN=GlobalSign Organization Validation CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",GlobalSign Organization Validation CA - SHA256 - G2,GlobalSign nv-sa,ce2093af18f0a8aae2bbe5aeb6a39e3a,7a9b7babdfee39e6ec549cc9b1f5633d26db25629a12e270c681fc8cd08e24a7,ctls,1314.qq.com,443,https://1314.qq.com:443,https,qhttpd,text/html,GET,129.226.106.200,/,-1103181502,129.226.106.200,,571,False,,True,,,,,
16261861750.mapps.tencent.com,会议签到,200,684,16261861750.mapps.tencent.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2024-04-16T23:59:59Z,"CN=apr15-2023-1.ias.tencent.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",apr15-2023-1.ias.tencent.com,Shenzhen Tencent Computer Systems Company Limited,mapps.tencent.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,4cea6d9a96c81356e90d50a4617454a7,65e4c5b16af2bf538d346379455600d9854daf7cb31e21907cfe22b9bc297249,ctls,16261861750.mapps.tencent.com,443,https://16261861750.mapps.tencent.com:443,https,nginx,text/html,GET,124.156.189.141,/,753776903,124.156.189.141,React,1,False,,,,,,,
17-121-114-37.gamebbs.qq.com,,200,58,17-121-114-37.gamebbs.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-25T00:00:00Z,2023-09-15T23:59:59Z,"CN=newgamebbs.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",newgamebbs.qq.com,Shenzhen Tencent Computer Systems Company Limited,zt.gamebbs.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,90e6830300ba686ffcf752c0faeb89d4,4b9330367885cc7907678ae44b2d2039a13e530ab6d8540ec6562b4a2d420cad,ctls,17-121-114-37.gamebbs.qq.com,443,https://17-121-114-37.gamebbs.qq.com:443,https,Apache,text/html,GET,220.196.153.79,/,1283912248,220.196.153.79,PHP:5.4.45,1,False,,True,https://17-121-114-37.gamebbs.qq.com/forum.php,,,,
17roco.gamebbs.qq.com,《洛克王国》官方论坛 -  Powered by Discuz!,200,15342,17roco.gamebbs.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-25T00:00:00Z,2023-09-15T23:59:59Z,"CN=newgamebbs.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",newgamebbs.qq.com,Shenzhen Tencent Computer Systems Company Limited,zt.gamebbs.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,90e6830300ba686ffcf752c0faeb89d4,4b9330367885cc7907678ae44b2d2039a13e530ab6d8540ec6562b4a2d420cad,ctls,17roco.gamebbs.qq.com,443,https://17roco.gamebbs.qq.com:443,https,Apache,text/html,GET,220.196.153.79,/,1283912248,220.196.153.79,PHP:5.4.45,274,False,,True,https://17roco.gamebbs.qq.com/forum.php,,,,
17roco.qq.com,洛克王国-Roco kingdom-官方网站-进化！我的快乐王国,200,30159,17roco.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-07T00:00:00Z,2023-07-08T23:59:59Z,"CN=*.17roco.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",*.17roco.qq.com,Shenzhen Tencent Computer Systems Company Limited,17roco.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,442fe91ba24d66ecde7d386e6ea8f8a1,a7e70ff8344fea83cec2df7f5910f1d1747166a3d03a3e766d4f0ea98657da50,ctls,17roco.qq.com,443,https://17roco.qq.com:443,https,Apache,text/html,GET,140.206.162.222,/,-2099108117,140.206.162.222,Apache,664,False,,True,,,,,
1q.qq.com,一拳超人正义执行手游-官方网站-腾讯游戏,200,727,1q.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-19T00:00:00Z,2023-11-19T23:59:59Z,"CN=yqcr.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",yqcr.qq.com,Shenzhen Tencent Computer Systems Company Limited,1q.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,a407d07c33a86e579d1e208d7ff38692,dfef5575e92904f981086954141b13ec47acb8243498acdefe5e5b4bcba089e8,ctls,1q.qq.com,443,https://1q.qq.com:443,https,nginx,text/html,GET,203.205.137.78,/,494670890,203.205.137.78,Nginx,16,False,,,,,,,
2.jxqy.qq.com,,200,1375,2.jxqy.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-17T00:00:00Z,2024-04-16T23:59:59Z,"CN=1.jxqy.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",1.jxqy.qq.com,Shenzhen Tencent Computer Systems Company Limited,3.jxqy.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,62d6df21f9b327bc1ab0aa85feecd25b,62bc658e8a9a57149a4138401de760686528f7d21bbe6ab5d92d82f2a1f41bb1,ctls,2.jxqy.qq.com,443,https://2.jxqy.qq.com:443,https,nginx,text/html,GET,203.205.234.24,/,1117835091,203.205.234.24,Nginx,43,False,,,,,,,
2.pvp.qq.com,王者荣耀官方网站-腾讯游戏,200,156353,2.pvp.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-18T00:00:00Z,2023-11-18T23:59:59Z,"CN=2.pvp.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",2.pvp.qq.com,Shenzhen Tencent Computer Systems Company Limited,3.pvp.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,110403dc22172f82e2057c725243cbd8,aeea7137d7491031e61dcfaea6430c8e1d070fd55be997435fd9e55259ccbbd0,ctls,2.pvp.qq.com,443,https://2.pvp.qq.com:443,https,nginx,text/html,GET,203.205.137.236,/,522182207,203.205.137.236,Nginx,2462,False,,,,,,,
2.qq.com,《二之国：交错世界》全平台预约开启，来一场动画电影大冒险！-腾讯游戏,200,18344,2.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-07T00:00:00Z,2023-12-08T23:59:59Z,"CN=2.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",2.qq.com,Shenzhen Tencent Computer Systems Company Limited,ezg.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,c7e76c21f3d4f1a658fc946c3fa8577b,622cd5bd92c32ce672b5d93ce1a5948b02b5cf3df5a1eb315efbb28350885805,ctls,2.qq.com,443,https://2.qq.com:443,https,nginx,text/html,GET,203.205.136.84,/,-2079298504,43.152.15.45,Nginx,448,False,,,,,,,
2.tv.ott.video.qq.com,403 Forbidden,403,547,2.tv.ott.video.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-09-09T23:59:59Z,"CN=1.tv.ott.video.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",1.tv.ott.video.qq.com,Shenzhen Tencent Computer Systems Company Limited,open.t.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,5ab36c1c4b6ef05db53a13afeb7e6f50,056d3113d5f6af3b8fa9340d12d20b43a34c340163a82b2353bf05e9cdf65d92,ctls,2.tv.ott.video.qq.com,443,https://2.tv.ott.video.qq.com:443,https,stgw,text/html,GET,180.101.246.15,/,-764326865,180.101.246.15,,14,False,,,,,,,
200003896.mapps.tencent.com,503 Service Temporarily Unavailable,503,591,200003896.mapps.tencent.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2024-04-16T23:59:59Z,"CN=apr15-2023-1.ias.tencent.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",apr15-2023-1.ias.tencent.com,Shenzhen Tencent Computer Systems Company Limited,mapps.tencent.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,4cea6d9a96c81356e90d50a4617454a7,65e4c5b16af2bf538d346379455600d9854daf7cb31e21907cfe22b9bc297249,ctls,200003896.mapps.tencent.com,443,https://200003896.mapps.tencent.com:443,https,stgw,text/html,GET,43.129.255.239,/,-258271298,43.129.255.211,,14,False,,,,,,,
2010.qq.com,404 Not Found,404,145,2010.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-27T17:31:03Z,2024-02-28T17:31:02Z,"CN=*.jan28-2023-1.ias.qq.com, O=Tencent Technology (Shenzhen) Company Limited, L=Shenzhen, ST=Guangdong, C=CN",*.jan28-2023-1.ias.qq.com,Tencent Technology (Shenzhen) Company Limited,jan28-2023-1.ias.qq.com,"CN=GlobalSign Organization Validation CA - SHA256 - G3, O=GlobalSign nv-sa, C=BE",GlobalSign Organization Validation CA - SHA256 - G3,GlobalSign nv-sa,6ae80f7922524074b5ce28acd9f258ac,01a6097e0ed1ab8a6b4df1b4927600e5f1a75400e38ef061ca4ea77cef802eed,ctls,2010.qq.com,443,https://2010.qq.com:443,https,stgw,text/html,GET,129.226.106.167,/,1017227723,129.226.102.190,,8,False,,True,,,,,
2014.qq.com,2014巴西世界杯_腾讯体育_腾讯网,200,498195,2014.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-04T18:46:03Z,2024-04-04T18:46:02Z,"CN=*.mar05-2023-1.ias.qq.com, O=Tencent Technology (Shenzhen) Company Limited, L=Shenzhen, ST=Guangdong, C=CN",*.mar05-2023-1.ias.qq.com,Tencent Technology (Shenzhen) Company Limited,mar05-2023-1.ias.qq.com,"CN=GlobalSign Organization Validation CA - SHA256 - G3, O=GlobalSign nv-sa, C=BE",GlobalSign Organization Validation CA - SHA256 - G3,GlobalSign nv-sa,c0283a2b42b8046c246257cc59bde4e5,0cb2520868ac8db0f9ad42f02956ac121f0942e21a82b5df799f7a568411f14a,ctls,2014.qq.com,443,https://2014.qq.com:443,https,squid/3.5.24,text/html,GET,129.226.106.167,/,104591641,129.226.102.190,,8591,False,,True,,https://*.idqqimg.com,,,
2016.qq.com,2016里约奥运会_腾讯体育_腾讯网,200,369833,2016.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-04T18:46:03Z,2024-04-04T18:46:02Z,"CN=*.mar05-2023-1.ias.qq.com, O=Tencent Technology (Shenzhen) Company Limited, L=Shenzhen, ST=Guangdong, C=CN",*.mar05-2023-1.ias.qq.com,Tencent Technology (Shenzhen) Company Limited,mar05-2023-1.ias.qq.com,"CN=GlobalSign Organization Validation CA - SHA256 - G3, O=GlobalSign nv-sa, C=BE",GlobalSign Organization Validation CA - SHA256 - G3,GlobalSign nv-sa,c0283a2b42b8046c246257cc59bde4e5,0cb2520868ac8db0f9ad42f02956ac121f0942e21a82b5df799f7a568411f14a,ctls,2016.qq.com,443,https://2016.qq.com:443,https,squid/3.5.24,text/html,GET,129.226.106.167,/,104591641,129.226.102.190,,6166,False,,True,,,,,
2019.qq.com,2019篮球世界杯,200,52389,sports.qq.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-19T00:00:00Z,2023-07-20T23:59:59Z,"CN=toma.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=SHENZHEN, ST=GUANGDONG PROVINCE, C=CN",toma.qq.com,Shenzhen Tencent Computer Systems Company Limited,auto.qq.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a54bba1b6b42e4299c9a75ff0e87784a,775a8a0213c4a43bc93b10b11b6902891dbce71ac1044a90e7e19b5a9750f39d,ctls,sports.qq.com,443,https://2019.qq.com:443,https,squid/3.5.24,text/html,GET,43.135.106.212,/,-1203874945,43.135.106.42,,1278,False,,,https://sports.qq.com/2019fbwc/index.htm,,,,
2020.qq.com,2020东京奥运会_腾讯体育_腾讯网,200,39248,2020.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-17T00:00:00Z,2024-03-19T23:59:59Z,"CN=mar18-2023-1.ias.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",mar18-2023-1.ias.qq.com,Shenzhen Tencent Computer Systems Company Limited,ups.s.map.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,8d74f48946d59a13d7face74e732b096,9a96b61ad44f78a60a69c6f1ae60cc842f6e6d14583156b65692b5a9738de9be,ctls,2020.qq.com,443,https://2020.qq.com:443,https,squid/3.5.24,text/html,GET,129.226.107.210,/,-1840324437,129.226.107.210,,569,False,,,,,,,
2022.qq.com,北京冬奥会_腾讯体育_腾讯新闻,200,36820,2022.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-23T00:00:00Z,2023-10-24T23:59:59Z,"CN=oct23-2022-1.ias.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",oct23-2022-1.ias.qq.com,Shenzhen Tencent Computer Systems Company Limited,xexcapi-sec.qa.lotus.sr.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,90b4f8c913422d3040989d99b4549995,1bdec3f74a6068e10ebcbeac480ccc667b51bbd7f0bc86169f7f64801670ae35,ctls,2022.qq.com,443,https://2022.qq.com:443,https,squid/3.5.24,text/html,GET,129.226.107.251,/,-1840324437,129.226.107.251,,821,False,,,,,,,
3.jxqy.qq.com,,200,1375,3.jxqy.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-17T00:00:00Z,2024-04-16T23:59:59Z,"CN=1.jxqy.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",1.jxqy.qq.com,Shenzhen Tencent Computer Systems Company Limited,3.jxqy.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,62d6df21f9b327bc1ab0aa85feecd25b,62bc658e8a9a57149a4138401de760686528f7d21bbe6ab5d92d82f2a1f41bb1,ctls,3.jxqy.qq.com,443,https://3.jxqy.qq.com:443,https,nginx,text/html,GET,203.205.234.24,/,1117835091,203.205.234.24,Nginx,43,False,,,,,,,
3.qq.com,诸侯争霸 一决天下-真龙霸业官方网站-腾讯游戏,200,48971,3.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-05-26T23:59:59Z,"CN=hyol.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",hyol.qq.com,Shenzhen Tencent Computer Systems Company Limited,yy.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,65663c831f3598de28a2c2d00aa0030c,1131f040a8234886718bfe991b1cd2f06af9ff9b818a6405787d6facf4681dc9,ctls,3.qq.com,443,https://3.qq.com:443,https,nginx,text/html,GET,203.205.234.24,/,-1664521370,203.205.234.24,Nginx,2197,False,,,,,,,
