input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,csp_domains_,final_url
apip.threema.ch,403 Forbidden,403,146,apip.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,apip.threema.ch,443,https://apip.threema.ch:443,https,nginx,text/html,GET,185.88.236.83,/,1494302000,212.103.68.14,Nginx,8,False,,,
blob-25.threema.ch,403 Forbidden,403,146,blob-25.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,blob-25.threema.ch,443,https://blob-25.threema.ch:443,https,nginx,text/html,GET,185.88.236.72,/,-1561873722,185.88.236.72,Nginx,8,False,True,,
blob-31.threema.ch,403 Forbidden,403,146,blob-31.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,blob-31.threema.ch,443,https://blob-31.threema.ch:443,https,nginx,text/html,GET,212.103.68.17,/,-1561873722,212.103.68.17,Nginx,8,False,True,,
blob-32.threema.ch,403 Forbidden,403,146,,,,,,,,,,,,,,,,,,,,80,http://blob-32.threema.ch:80,http,nginx,text/html,GET,212.103.68.25,/,-1561873722,212.103.68.25,Nginx,8,False,,,
blob-upload.threema.ch,404 Not Found,404,146,,,,,,,,,,,,,,,,,,,,80,http://blob-upload.threema.ch:80,http,nginx,text/html,GET,185.88.236.71,/,1494302000,212.103.68.13,Nginx,8,False,,,
blobp-22.threema.ch,403 Forbidden,403,146,blobp-22.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,blobp-22.threema.ch,443,https://blobp-22.threema.ch:443,https,nginx,text/html,GET,185.88.236.73,/,-1561873722,185.88.236.73,Nginx,8,False,,,
blobp-23.threema.ch,403 Forbidden,403,548,blobp-23.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,blobp-23.threema.ch,443,https://blobp-23.threema.ch:443,https,nginx,text/html,GET,185.88.236.102,/,586998417,185.88.236.102,Nginx,14,False,,,
bugs.threema.ch,403 Forbidden,403,548,bugs.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,bugs.threema.ch,443,https://bugs.threema.ch:443,https,nginx,text/html,GET,185.88.236.119,/,586998417,2a02:41b:300a:301::119,Nginx,14,False,,,
cms.threema.ch,403 Forbidden,403,548,cms.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,cms.threema.ch,443,https://cms.threema.ch:443,https,nginx,text/html,GET,185.88.236.85,/,586998417,185.88.236.85,Nginx,14,False,,,
ds-blobp-22.threema.ch,403 Forbidden,403,548,ds-blobp-22.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-22.threema.ch,443,https://ds-blobp-22.threema.ch:443,https,nginx,text/html,GET,185.88.236.73,/,586998417,2a02:41b:300a:301::73,Nginx,14,False,,,
ds-blobp-24.threema.ch,403 Forbidden,403,146,ds-blobp-24.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-24.threema.ch,443,https://ds-blobp-24.threema.ch:443,https,nginx,text/html,GET,185.88.236.106,/,-1561873722,2a02:41b:300a:301::106,Nginx,8,False,,,
ds-blobp-25.threema.ch,403 Forbidden,403,548,ds-blobp-25.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-25.threema.ch,443,https://ds-blobp-25.threema.ch:443,https,nginx,text/html,GET,185.88.236.72,/,586998417,2a02:41b:300a:301::72,Nginx,14,False,,,
ds-blobp-33.threema.ch,403 Forbidden,403,548,ds-blobp-33.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-33.threema.ch,443,https://ds-blobp-33.threema.ch:443,https,nginx,text/html,GET,212.103.68.29,/,586998417,2a00:c38:1fb:302::29,Nginx,14,False,,,
ds-blobp-34.threema.ch,403 Forbidden,403,146,ds-blobp-34.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-34.threema.ch,443,https://ds-blobp-34.threema.ch:443,https,nginx,text/html,GET,212.103.68.32,/,-1561873722,2a00:c38:1fb:302::32,Nginx,8,False,,,
ds-blobp-35.threema.ch,403 Forbidden,403,548,ds-blobp-35.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ds-blobp-35.threema.ch,443,https://ds-blobp-35.threema.ch:443,https,nginx,text/html,GET,212.103.68.24,/,586998417,2a00:c38:1fb:302::24,Nginx,14,False,,,
ds.api.threema.ch,403 Forbidden,403,146,ds.api.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:28:28Z,2024-10-19T12:28:28Z,"CN=api.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",api.threema.ch,Threema GmbH,ds.api.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,4e7728ff0fca12a03aaaeaebcd4dd131,560bfb9ff9aae5453f5baf94be0731bca18e3faceb4a8c8cff8140731cbe9c6e,,ctls,ds.api.threema.ch,443,https://ds.api.threema.ch:443,https,nginx,text/html,GET,185.88.236.83,/,1494302000,2a02:41b:300a:301::83,Nginx,8,False,,,
fs.threema.ch,403 Forbidden,403,199,fs.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,fs.threema.ch,443,https://fs.threema.ch:443,https,Apache,text/html,GET,185.88.236.97,/,-855688948,2a02:41b:300a:301::97,Apache,8,False,,,
go.threema.ch,Threema – The Secure Messenger For Individuals and Companies,200,72143,threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,threema.ch,443,https://go.threema.ch:443,https,nginx,text/html,GET,185.88.236.85,/,1494302000,2a02:41b:300a:301::85,Nginx,696,False,,,https://threema.ch/en
hcaptcha-assets.threema.ch,,200,9,hcaptcha-assets.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,hcaptcha-assets.threema.ch,443,https://hcaptcha-assets.threema.ch:443,https,nginx,text/html,GET,185.88.236.115,/,660453275,2a02:41b:300a:301::115,Nginx,2,False,,,
hcaptcha-broadcast.threema.ch,hCaptcha - Stop more bots. Start protecting privacy.,200,84587,hcaptcha-broadcast.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,hcaptcha-broadcast.threema.ch,443,https://hcaptcha-broadcast.threema.ch:443,https,nginx,text/html,GET,185.88.236.115,/,-635523938,2a02:41b:300a:301::115,hCaptcha,328,False,,static.cloudflareinsights.com,
map.threema.ch,403 Forbidden,403,564,map.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,map.threema.ch,443,https://map.threema.ch:443,https,nginx,text/html,GET,212.103.68.16,/,1201975693,2a00:c38:1fb:302::16,Nginx,14,False,,,
msgapi.threema.ch,,401,,msgapi.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,msgapi.threema.ch,443,https://msgapi.threema.ch:443,https,nginx,,GET,185.88.236.88,/,-1840324437,2a02:41b:300a:301::88,Nginx,1,False,,,
mta-sts.threema.ch,403 Forbidden,403,146,mta-sts.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,mta-sts.threema.ch,443,https://mta-sts.threema.ch:443,https,nginx,text/html,GET,185.88.236.85,/,1494302000,2a02:41b:300a:301::85,Nginx,8,False,,,
ns3.threema.ch,Threema System Status,200,1449,ns3.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,ns3.threema.ch,443,https://ns3.threema.ch:443,https,nginx,text/html,GET,188.126.81.131,/,-323071238,2a00:1a28:1410:2e::2,Nginx,37,False,,,
oss.threema.ch,,200,139,oss.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-05T13:28:29Z,2023-10-04T13:28:28Z,"CN=*.threema.ch, O=Threema GmbH, L=Pfäffikon, C=CH",*.threema.ch,Threema GmbH,threema.ch,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",155486c612d4d6e13e33723fc38d7d89,76180917cd956f43707e316338dafa87fd4769e72e5bda434fbf7c440f90fe36,True,ctls,oss.threema.ch,443,https://oss.threema.ch:443,https,Apache,text/html,GET,185.88.236.97,/,-780928015,2a02:41b:300a:301::97,Apache,9,False,,url=https://threema.ch/open-source/,
