new,host,a,soa,status_code,aaaa,txt,cname,has_internal_ips,internal_ips,mx,cdn,cdn-name,ns,caa
[x],webservices.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:480:22::1726:62c9, 2a02:26f0:480:22::1726:62eb",,,,,,,,,
[x],webshopprofiel.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:7100::687e:24d1, 2a02:26f0:7100::687e:2508",,,,,,,,,
[x],werkenbij.postnl.nl,,"ns4.sap-ag.de, dns.sap-ag.de",NOERROR,,,"postnl.jobs2web.com, RMK02.jobs2web.com, rmk02.jobs2web.com",,,,True,google,,
[x],wp.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.documentportaal.postnl.com,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.partners.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.postnl.com,,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"c86526.edgekey.net, e86526.dscb.akamaiedge.net",,,,,,,
[x],www.postnl.nl,,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],www.postnl.post,,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a91, 2a02:26f0:c900:9::5f65:4a95",,"c25570.edgekey.net, e25570.dscb.akamaiedge.net",,,,,,,
[x],www.webshopprofiel.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,v=spf1 -all,,,,,,,,
[x],www.www.account.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.api.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.checkout.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.ctaweb.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.dashboard.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.em.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.email.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.fat.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.jobs.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.lyncdiscover.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.notificatie.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.ns1.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.ns2.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.online.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.search.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.www.em.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.www.www.fat.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],www.xmpie.pcs.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],z.verpakkingen.postnl.nl,,"ns1.flowmailer.net, contact.flowmailer.net",NOERROR,,v=spf1 include:spf.flowmailer.net ~all,web.flowmailer.net,,,return.flowmailer.net,,,,"mailto:abuse@flowmailer.com, letsencrypt.org, quovadisglobal.com, digicert.com, entrust.net, sectigo.com"
[x],zegelws.dfs.pat.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],zegelws.waz.dfs.tst.postnl.nl,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,dfszegelgenws-tst-waz.cloudapp.net,,,,,,,
[x],zelfdoen.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],zvhs.postnl.nl,,,NOERROR,,,,,,,,,,
[x],zwijsen.mijnlogistiek-accp.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:7100::687e:24eb, 2a02:26f0:7100::687e:24f1",v=spf1 -all,,,,,,,,
[x],zwijsen.mijnlogistiek.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,v=spf1 -all,,,,,,,,
