input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,webserver,final_url,csp_domains_,cdn_name,cdn,location
autodiscover.events.postnl.nl,,200,1750,AS16509,AS16509,Unknown,3.144.0.0/13,autodiscover.events.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-09-26T08:15:52Z,2023-10-03T23:45:00Z,"CN=*.events.postnl.nl, O=Koninklijke PostNL B.V., L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.events.postnl.nl,Koninklijke PostNL B.V.,events.postnl.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,34d7148fc1a4cedfefed50ee3fd79a1d,e0a78825c7aad968b552901eedb6c82d0adfe83142d34eaf3a6448c239b4bfde,True,ctls,autodiscover.events.postnl.nl,443,https://autodiscover.events.postnl.nl:443,https,text/html,GET,3.126.106.228,/,1089686941,3.126.106.228,Plesk,15,False,nginx,,,,,
autodiscover.postnl.com,Redirecting,200,157001,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.105.196.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,,ctls,login.microsoftonline.com,80,http://autodiscover.postnl.com:80,http,text/html,GET,52.98.228.56,/,-1249852061,2603:1026:c0d:2a::8,HSTS,86,False,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=9a125edc-6eff-ee0c-7c7e-f967abf7d4ef&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=postnl.com&nonce=638193055724048998.1d077ab9-ed52-41f0-8ecd-b035227808a9&state=DctLDoMwDADRpL0Lu4Dzq-0F4iwhCVIlqBFQev1m8WY3Win1bB6NhhaFL0-WPcSILkAgZuptAcQ0s6klOhPsAoZqLmYGH51DAkqs29sN8kvDdNS0buMu5_VZ-yxbd5cxfS8p7zPLXY8_,,,,
bolah.mijnlogistiek.postnl.nl,Retour on Demand,200,64915,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,bolah.mijnlogistiek.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-30T07:36:58Z,2023-06-28T07:36:57Z,CN=prod01.postnl.nl,prod01.postnl.nl,,zwijsen.mijnlogistiek.postnl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,943cc668808ab9ecc79f5daf37cc94a5,a72c0d9bed4c91ae67ad53aeb84efcfe95bfb2a9eb3ceec319ce659956de702c,,ctls,bolah.mijnlogistiek.postnl.nl,443,https://bolah.mijnlogistiek.postnl.nl:443,https,text/html,GET,104.126.37.26,/,1908147121,2a02:26f0:ab00::5c7a:d718,Windows Server,164,False,Microsoft-IIS/10.0,,,,,
brandportal.staging.postnl.nl,403 Forbidden,403,520,AS16509,AS16509,Unknown,3.144.0.0/13,,,,,,,,,,,,,,,,,,,,,80,http://brandportal.staging.postnl.nl:80,http,text/html,GET,3.121.91.79,/,2095155567,18.184.171.74,,13,False,awselb/2.0,,,,,
clients.postnl.post,,200,17,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,clients.postnl.post,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-17T12:11:57Z,2023-07-16T12:11:56Z,CN=postnl.com,postnl.com,,www.spring-gds.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7ee27769cbb110e156b6064239067b50,672267d99e8cb2d6301dcbec3b07819d9860ce960c4882c0ff57ed9fd5645f96,,ctls,clients.postnl.post,443,https://clients.postnl.post:443,https,text/plain,GET,104.126.37.40,/,-1840324437,2a02:26f0:480:22::1726:62ed,HSTS,1,False,,,,,,
cpt.fat.postnl.nl,,404,23,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,cpt.fat.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-25T08:57:48Z,2023-07-24T08:57:47Z,CN=test01.postnl.nl,test01.postnl.nl,,webapp.fat.postnl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7a10aa5defe4f6be1633b5d92685aae9,3bbdfdc8d783910c5164728463a674123b6e096b311bde988ca03f274e0f169b,,ctls,cpt.fat.postnl.nl,443,https://cpt.fat.postnl.nl:443,https,application/json,GET,104.126.37.57,/,631524574,2a02:26f0:ab00::214:8e73,HSTS,1,False,,,,,,
d1l6p2sc9645hc.cloudfront.net,,403,275,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,d1l6p2sc9645hc.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,d1l6p2sc9645hc.cloudfront.net,443,https://d1l6p2sc9645hc.cloudfront.net:443,https,application/xml,GET,108.138.7.125,/,109619469,2600:9000:2490:ca00:f:fd8f:b000:93a1,HTTP/3,2,False,AmazonS3,,,cloudfront,True,
d3u9kj2t4eazrw.cloudfront.net,,403,243,AS16509,AMAZON-02,US,52.222.248.0/22,d3u9kj2t4eazrw.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,d3u9kj2t4eazrw.cloudfront.net,443,https://d3u9kj2t4eazrw.cloudfront.net:443,https,application/xml,GET,52.222.250.184,/,-387001823,52.222.250.133,Amazon Web Services,2,False,AmazonS3,,,cloudfront,True,
d5phz18u4wuww.cloudfront.net,,403,243,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,d5phz18u4wuww.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,d5phz18u4wuww.cloudfront.net,443,https://d5phz18u4wuww.cloudfront.net:443,https,application/xml,GET,108.138.2.41,/,-1388438431,108.138.2.76,HTTP/3,2,False,AmazonS3,,,cloudfront,True,
dev.supplychaincontrol.postnl.nl,DKS App,200,628,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,dev.supplychaincontrol.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-25T08:57:48Z,2023-07-24T08:57:47Z,CN=test01.postnl.nl,test01.postnl.nl,,webapp.fat.postnl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7a10aa5defe4f6be1633b5d92685aae9,3bbdfdc8d783910c5164728463a674123b6e096b311bde988ca03f274e0f169b,,ctls,dev.supplychaincontrol.postnl.nl,80,http://dev.supplychaincontrol.postnl.nl:80,http,text/html,GET,104.126.37.32,/,1130752818,2a02:26f0:ab00::5c7a:d731,HSTS,18,False,AmazonS3,https://dev.supplychaincontrol.postnl.nl/,,,,
dev.visualwebsiteoptimizer.com,,200,,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.98.128.0/21,dev.visualwebsiteoptimizer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-04T07:32:57Z,2023-08-05T07:32:57Z,CN=*.visualwebsiteoptimizer.com,*.visualwebsiteoptimizer.com,,visualwebsiteoptimizer.com,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",1d0cce48350144d814d9da37760563b9,9170675382f69c270d50814326267aaadd14dda14efff2978a37c3359543abbe,True,ctls,dev.visualwebsiteoptimizer.com,443,https://dev.visualwebsiteoptimizer.com:443,https,application/javascript,GET,34.96.102.137,/,-1840324437,34.96.102.137,HTTP/3,1,False,gfra1,,,google,True,
dfa.waz.pat.postnl.nl,PostNL | Digitale Postzegel - Zelf postzegels afdrukken is nog nooit zo eenvoudig geweest,200,53582,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.160.0.0/11,dfa.waz.pat.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-11T07:03:05Z,2023-10-11T06:58:00Z,"CN=dfa.waz.pat.postnl.nl, O=Koninklijke PostNL B.V., L='s-Gravenhage, ST=Zuid-Holland, C=NL",dfa.waz.pat.postnl.nl,Koninklijke PostNL B.V.,dfa.waz.pat.postnl.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,d50b469ee4eb6cb586f86328939cd991,f699add64285def6325b96b6056203fff3040adfc32c908db37b4ff2667ee1f5,,ctls,dfa.waz.pat.postnl.nl,443,https://dfa.waz.pat.postnl.nl:443,https,text/html,GET,52.178.39.128,/,1631801191,52.178.39.128,Windows Server,965,False,Microsoft-IIS/10.0,,,azure,True,
doorzenden.pat.postnl.nl,Not allowed,403,1490,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,doorzenden.pat.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-17T10:05:36Z,2023-05-18T10:05:35Z,CN=doorzenden.pat.postnl.nl,doorzenden.pat.postnl.nl,,webreporting.d31.cldsvc.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,53cb41881a625503b44154cee4b14268,fbe28797f3b7b7cd84d623e419fd80c4a24ff659d64970cbdbaf305fd371138d,,ctls,doorzenden.pat.postnl.nl,443,https://doorzenden.pat.postnl.nl:443,https,text/html,GET,104.126.37.27,/,-2072324519,2a02:26f0:ab00::214:8e52,HSTS,1,False,,,,,,
doorzenden.postnl.nl,Doorzendservice,200,1057,AS16509,AS16509,Unknown,54.220.0.0/16,doorzenden.postnl.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-01-23T09:49:15Z,2024-01-23T09:44:00Z,"CN=doorzenden.postnl.nl, O=Koninklijke PostNL B.V., L='s-Gravenhage, ST=Zuid-Holland, C=NL",doorzenden.postnl.nl,Koninklijke PostNL B.V.,doorzenden.postnl.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,359ec9a15510da60026f0c6ee178f4bc,fb6b770d4b99333b143edfefe7448904950517f093545f1954ecc29504759a37,,ctls,doorzenden.postnl.nl,80,http://doorzenden.postnl.nl:80,http,text/html,GET,54.216.187.106,/,-1129303139,54.77.174.20,Microsoft ASP.NET,16,False,,https://doorzenden.postnl.nl:443/,,,,
e.share.postnl.nl,"You received emails from this domain, didn't you?",200,15468,AS50018,FLOWMAILER,NL,185.136.64.0/23,e.share.postnl.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-31T14:37:15Z,2023-06-29T14:37:14Z,CN=e.share.postnl.nl,e.share.postnl.nl,,e.share.postnl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,606d8cc19e4bc9609077d0a28aab72f5,2a990a0a3149abe3279795aae2c39838a72db285faa6020ab363f3dbec1db5e8,,ctls,e.share.postnl.nl,443,https://e.share.postnl.nl:443,https,text/html,GET,185.136.65.6,/,-1812417198,185.136.64.7,Webflow,344,False,nginx,,,,,
em.events.postnl.nl,,200,1750,AS16509,AS16509,Unknown,3.144.0.0/13,em.events.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-09-26T08:15:52Z,2023-10-03T23:45:00Z,"CN=*.events.postnl.nl, O=Koninklijke PostNL B.V., L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.events.postnl.nl,Koninklijke PostNL B.V.,events.postnl.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,34d7148fc1a4cedfefed50ee3fd79a1d,e0a78825c7aad968b552901eedb6c82d0adfe83142d34eaf3a6448c239b4bfde,True,ctls,em.events.postnl.nl,443,https://em.events.postnl.nl:443,https,text/html,GET,3.126.106.228,/,1089686941,3.126.106.228,Plesk,15,False,nginx,,,,,
enterpriseenrollment.postnl.com,Microsoft Intune admin center,200,39775,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,,ctls,intune.microsoft.com,443,https://enterpriseenrollment.postnl.com:443,https,text/html,GET,20.91.147.72,/,1631801191,20.91.147.72,HSTS,4,False,,https://intune.microsoft.com/,,,,
enterpriseenrollment.postnl.nl,Microsoft Intune admin center,200,39775,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.64.0.0/11,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,,ctls,intune.microsoft.com,80,http://enterpriseenrollment.postnl.nl:80,http,text/html,GET,13.74.111.192,/,1631801191,13.74.111.192,HSTS,4,False,,https://intune.microsoft.com/,,azure,True,
enterpriseregistration.postnl.com,Service,404,1565,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.196.0.0/18,enterpriseregistration.postnl.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,True,ctls,enterpriseregistration.postnl.com,443,https://enterpriseregistration.postnl.com:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,,,,azure,True,
examvision.mijnlogistiek-accp.postnl.nl,Retour on Demand,200,76532,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,examvision.mijnlogistiek-accp.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-02T12:41:32Z,2023-05-31T12:41:31Z,CN=acc01.postnl.nl,acc01.postnl.nl,,zwijsen.mijnlogistiek-accp.postnl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ff454347754e24d4528ba02f72b09e19,d3249f8b0cf3eb378268b43c5618b4a551bd1ff1477a07b41affbb3791685c2d,,ctls,examvision.mijnlogistiek-accp.postnl.nl,443,https://examvision.mijnlogistiek-accp.postnl.nl:443,https,text/html,GET,104.126.37.33,/,1908147121,2a02:26f0:ab00::214:8e71,Windows Server,165,False,Microsoft-IIS/10.0,,,,,
fat.events.postnl.nl,,200,1750,AS16509,AS16509,Unknown,3.144.0.0/13,fat.events.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-09-26T08:15:52Z,2023-10-03T23:45:00Z,"CN=*.events.postnl.nl, O=Koninklijke PostNL B.V., L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.events.postnl.nl,Koninklijke PostNL B.V.,events.postnl.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,34d7148fc1a4cedfefed50ee3fd79a1d,e0a78825c7aad968b552901eedb6c82d0adfe83142d34eaf3a6448c239b4bfde,True,ctls,fat.events.postnl.nl,443,https://fat.events.postnl.nl:443,https,text/html,GET,3.126.106.228,/,1089686941,3.126.106.228,Plesk,15,False,nginx,,,,,
