input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_subject_org_,final_url,csp_domains_
01772.office-okta.container.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.office-okta.container.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.office-okta.container.mobilevikings.be,cloudfront,443,https://01772.office-okta.container.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.63,/,-1745063493,52.222.236.25,Amazon Web Services,20,False,True,,,,
01772.office-okta.design-bucket.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.office-okta.design-bucket.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.office-okta.design-bucket.mobilevikings.be,cloudfront,443,https://01772.office-okta.design-bucket.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.25,/,411095427,52.222.236.46,Amazon Web Services,20,False,True,,,,
01772.office-okta.hw.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.office-okta.hw.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.office-okta.hw.mobilevikings.be,cloudfront,443,https://01772.office-okta.hw.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.12,/,-974629173,52.222.236.63,Amazon Web Services,20,False,True,,,,
01772.office-okta.mirror.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.office-okta.mirror.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.office-okta.mirror.mobilevikings.be,cloudfront,443,https://01772.office-okta.mirror.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.46,/,-1652044449,52.222.236.12,Amazon Web Services,20,False,True,,,,
01772.secure-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.secure-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.secure-okta.mobilevikings.be,cloudfront,443,https://01772.secure-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.12,/,-58911358,52.222.236.25,Amazon Web Services,20,False,True,,,,
01772.skinsoffice-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.skinsoffice-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.skinsoffice-okta.mobilevikings.be,cloudfront,443,https://01772.skinsoffice-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.63,/,-639678416,52.222.236.46,Amazon Web Services,20,False,True,,,,
01772.v2-office-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.v2-office-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.v2-office-okta.mobilevikings.be,cloudfront,443,https://01772.v2-office-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.63,/,582954262,52.222.236.25,Amazon Web Services,20,False,True,,,,
01772.wfbdirectoffice-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.wfbdirectoffice-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.wfbdirectoffice-okta.mobilevikings.be,cloudfront,443,https://01772.wfbdirectoffice-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.12,/,624696863,52.222.236.63,Amazon Web Services,20,False,True,,,,
01772data.office-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772data.office-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772data.office-okta.mobilevikings.be,cloudfront,443,https://01772data.office-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.12,/,-734764206,52.222.236.63,Amazon Web Services,20,False,True,,,,
01772team.office-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772team.office-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772team.office-okta.mobilevikings.be,cloudfront,443,https://01772team.office-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.63,/,-1962793382,52.222.236.46,Amazon Web Services,20,False,True,,,,
01772v.office-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772v.office-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772v.office-okta.mobilevikings.be,cloudfront,443,https://01772v.office-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.25,/,1151248393,52.222.236.63,Amazon Web Services,20,False,True,,,,
01772v3.office-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772v3.office-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772v3.office-okta.mobilevikings.be,cloudfront,443,https://01772v3.office-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.46,/,-1057097717,52.222.236.63,Amazon Web Services,20,False,True,,,,
155-9-185-4.office-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,155-9-185-4.office-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,155-9-185-4.office-okta.mobilevikings.be,cloudfront,443,https://155-9-185-4.office-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.63,/,-791821418,52.222.236.46,Amazon Web Services,20,False,True,,,,
17-121-127-228.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,17-121-127-228.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,17-121-127-228.mobilevikings.be,cloudfront,443,https://17-121-127-228.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.12,/,-623435774,52.222.236.25,Amazon Web Services,20,False,True,,,,
2020-hosting.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,2020-hosting.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,2020-hosting.mobilevikings.be,cloudfront,443,https://2020-hosting.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.46,/,-305137928,52.222.236.63,Amazon Web Services,20,False,True,,,,
2020-sslvpnrings.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,2020-sslvpnrings.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,2020-sslvpnrings.mobilevikings.be,cloudfront,443,https://2020-sslvpnrings.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.12,/,-730576536,52.222.236.46,Amazon Web Services,20,False,True,,,,
2022-p4.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,2022-p4.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,2022-p4.mobilevikings.be,cloudfront,443,https://2022-p4.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.25,/,740885634,52.222.236.46,Amazon Web Services,20,False,True,,,,
2022-upload-api.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,2022-upload-api.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,2022-upload-api.mobilevikings.be,cloudfront,443,https://2022-upload-api.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.63,/,1809025511,52.222.236.46,Amazon Web Services,20,False,True,,,,
32brest.test.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,32brest.test.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,32brest.test.mobilevikings.be,cloudfront,443,https://32brest.test.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.63,/,1699301707,52.222.236.25,Amazon Web Services,20,False,True,,,,
a006bucgts.test.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,a006bucgts.test.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,a006bucgts.test.mobilevikings.be,cloudfront,443,https://a006bucgts.test.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.63,/,1413241901,52.222.236.25,Amazon Web Services,20,False,True,,,,
acc-nocdn-cloud.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,acc-nocdn-cloud.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,acc-nocdn-cloud.mobilevikings.be,cloudfront,443,https://acc-nocdn-cloud.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.46,/,556094265,52.222.236.25,Amazon Web Services,20,False,True,,,,
acc-nocdn.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,acc-nocdn.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,acc-nocdn.mobilevikings.be,cloudfront,443,https://acc-nocdn.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.12,/,497637896,52.222.236.46,Amazon Web Services,20,False,True,,,,
acc-shop.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,acc-shop.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,acc-shop.mobilevikings.be,cloudfront,443,https://acc-shop.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.25,/,-1245263001,52.222.236.46,Amazon Web Services,20,False,True,,,,
