new,host,a,cname,soa,status_code,cdn,cdn-name,ns,aaaa,has_internal_ips,internal_ips,mx,txt
[x],cloudops.cbre.com,20.186.84.67,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
[x],cloudpermissions-dev.cbre.com,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],cloudpermissions-nonprod.cbre.com,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],cloudpermissions.cbre.com,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],cmms-emea-gw-c-blue.serviceinsight.cbre.com,,,,NOERROR,,,,,,,,
[x],cmms-gw-c-blue.serviceinsight.cbre.com,,,"ns1-04.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,
[x],cmms-gw-c-green.serviceinsight.cbre.com,20.106.10.182,,"ns1-04.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,
[x],cmms-gw-e-blue.serviceinsight.cbre.com,20.75.62.229,,"ns1-04.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,
[x],cmms-gw-e-green.serviceinsight.cbre.com,20.75.62.210,,"ns1-04.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,
[x],cmms.serviceinsight.cbre.com,"13.107.253.45, 13.107.226.45","prod-sijarvis-fd.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net","ns1.fb-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,"2620:1ec:29:1::45, 2620:1ec:48:1::45",,,,
[x],cms.cbre.com,208.68.246.69,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],cms2.cbre.com,208.68.246.13,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],cmsauthoring.cbre.com,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],colombia.preview.cbre.com,,"www.cbre.trafficmanager.net, cbre-prod-centralus-cd.azurewebsites.net, waws-prod-dm1-197.sip.azurewebsites.windows.net, waws-prod-dm1-197-7b84.centralus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],columbus.cbre.com,208.68.244.134,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],com.journal.cbre.com,"165.160.15.20, 165.160.13.20",,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],compute.gcso.cbre.com,"52.39.194.211, 52.37.82.52, 44.231.43.54",alien-cert-alb-pub-1517049728.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],cort.cbre.com,178.128.255.152,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],costlab.cbre.com,45.223.164.170,go4apel.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],costlibrary.cbre.com,45.223.164.170,mt79vmq.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],crm.cbre.com,208.68.244.206,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],crmemea.cbre.com,208.68.247.10,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],crmemeauat.cbre.com,208.68.247.29,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],crmmix.cbre.com,208.68.247.10,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],crmmixuat.cbre.com,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],crmusuat.cbre.com,208.68.247.29,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],crystal-ball.serviceinsight.cbre.com,"13.107.226.45, 13.107.253.45","nonprod-sijarvis-fd.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.fb-t-msedge.net",NOERROR,,,,"2620:1ec:4f:1::45, 2620:1ec:4e:1::45",,,,
[x],csg.cbre.com,208.68.246.42,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],csg.trammellcrow.com,208.68.246.59,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],csgdr.cbre.com,208.68.244.32,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],csghi.cbre.com,66.175.65.63,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],cyprus-uat.cbre.com,45.223.164.170,khqoh7l.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
