input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_mismatched,tls_wildcard_certificate,tech_,cdn_name,cdn,final_url,csp_domains_,tls_expired,tls_self_signed
assetintel-qa.cbre.com,403 - Forbidden: Access is denied.,403,1233,assetintel-qa.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-19T00:00:00Z,2023-05-19T23:59:59Z,"CN=assetintel-qa.cbre.com, O=CBRE Inc., ST=Texas, C=US",assetintel-qa.cbre.com,CBRE Inc.,assetintel-uat.cbre.com,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,7736143c338ac3108f7edf4e96595c30,867ad92822224d6c474b4a6efdb57bbd9ba315648d2eb49c8e79c016f5189e18,ctls,assetintel-qa.cbre.com,80,http://assetintel-qa.cbre.com:80,http,Microsoft-IIS/10.0,text/html,GET,3.230.63.122,/,1631801191,18.214.12.92,30,False,,,Windows Server,,,https://assetintel-qa.cbre.com:443/,,,
assetintel-uat.cbre.com,403 - Forbidden: Access is denied.,403,1366,assetintel-uat.cbre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-30T15:01:21Z,2023-09-26T15:01:21Z,CN=imperva.com,imperva.com,,plans.cbre.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,e037dc3b33539e5ee72527eaf765260b,2ed973b78d29945d05cb3a9d1b1eeab2962a85de6744d61b58f88dc8702ec322,ctls,assetintel-uat.cbre.com,443,https://assetintel-uat.cbre.com:443,https,Microsoft-IIS/10.0,text/html,GET,45.223.164.170,/,1167207298,45.223.164.170,30,False,,,Windows Server,incapsula,True,,,,
assetintel.cbre.com,403 - Forbidden: Access is denied.,403,1233,assetintel.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=assetintel.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",assetintel.cbre.com,CBRE Group Inc.,assetintel.cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c8c0cac9fe1198caf0ac071ede6ceb3b,d13e90c293a95987730fe95d61a55a52b6e2a762557a2a3d20b3280a791d39c3,ctls,assetintel.cbre.com,80,http://assetintel.cbre.com:80,http,Microsoft-IIS/10.0,text/html,GET,44.193.163.9,/,1631801191,34.206.68.197,30,False,,,Windows Server,,,https://assetintel.cbre.com:443/,,,
bammapexportapi.cbre.com,,404,,bammapexportapi.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-30T00:00:00Z,2024-03-29T23:59:59Z,"CN=bam.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",bam.cbre.com,CBRE Group Inc.,poiapi.cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,7bf08134fa12f15f3068d9a4512e65d8,d4d34f616c022230ca9ffdaef4310db111bbd6a0385fc6e988b506f91c4ebbec,ctls,bammapexportapi.cbre.com,443,https://bammapexportapi.cbre.com:443,https,Kestrel,,GET,20.98.185.60,/,-1840324437,20.98.185.60,1,False,,,Microsoft ASP.NET,,,,,,
bammaplogoapi.cbre.com,,404,,bammaplogoapi.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-30T00:00:00Z,2024-03-29T23:59:59Z,"CN=bam.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",bam.cbre.com,CBRE Group Inc.,poiapi.cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,7bf08134fa12f15f3068d9a4512e65d8,d4d34f616c022230ca9ffdaef4310db111bbd6a0385fc6e988b506f91c4ebbec,ctls,bammaplogoapi.cbre.com,80,http://bammaplogoapi.cbre.com:80,http,Kestrel,,GET,20.98.185.60,/,-1840324437,20.98.185.60,1,False,,,Microsoft ASP.NET,,,https://bammaplogoapi.cbre.com,,,
bammapuserapi.cbre.com,,404,,bammapuserapi.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-30T00:00:00Z,2024-03-29T23:59:59Z,"CN=bam.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",bam.cbre.com,CBRE Group Inc.,poiapi.cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,7bf08134fa12f15f3068d9a4512e65d8,d4d34f616c022230ca9ffdaef4310db111bbd6a0385fc6e988b506f91c4ebbec,ctls,bammapuserapi.cbre.com,80,http://bammapuserapi.cbre.com:80,http,Kestrel,,GET,20.98.185.60,/,-1840324437,20.98.185.60,1,False,,,Microsoft ASP.NET,,,https://bammapuserapi.cbre.com,,,
bamuatmapexportapi.cbre.com,,404,,bamuatmapexportapi.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-22T00:00:00Z,2023-09-22T23:59:59Z,"CN=bamuat.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",bamuat.cbre.com,CBRE Group Inc.,poiapi-uat.cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1a1edb406135b3e3796b90b615ae42e6,55d5b4393c63b871ddd06d03c4b9f020c71f09971110ac676d0a51b37766875e,ctls,bamuatmapexportapi.cbre.com,443,https://bamuatmapexportapi.cbre.com:443,https,Kestrel,,GET,20.22.162.38,/,-1840324437,20.22.162.38,1,False,,,Microsoft ASP.NET,,,,,,
bamuatmapuserapi.cbre.com,,404,,bamuatmapuserapi.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-22T00:00:00Z,2023-09-22T23:59:59Z,"CN=bamuat.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",bamuat.cbre.com,CBRE Group Inc.,poiapi-uat.cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1a1edb406135b3e3796b90b615ae42e6,55d5b4393c63b871ddd06d03c4b9f020c71f09971110ac676d0a51b37766875e,ctls,bamuatmapuserapi.cbre.com,80,http://bamuatmapuserapi.cbre.com:80,http,Kestrel,,GET,20.22.162.38,/,-1840324437,20.22.162.38,1,False,,,Microsoft ASP.NET,,,https://bamuatmapuserapi.cbre.com,,,
bulgaria.preview.cbre.com,Microsoft Azure Web App - Error 404,404,2667,bulgaria.preview.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,ctls,bulgaria.preview.cbre.com,443,https://bulgaria.preview.cbre.com:443,https,,text/html,GET,20.105.224.7,/,387302845,20.105.224.7,87,False,True,True,,,,,,,
calc.cbre.com,CBRE Calc,200,3012,calc.cbre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=calc.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",calc.cbre.com,CBRE Group Inc.,www.calc.cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,fb9cf192311ff996ffbea5351c5f6e00,15b3a7f2680778c743f375935a17b9682376672299a7e956e0105c450ba6b072,ctls,calc.cbre.com,80,http://calc.cbre.com:80,http,AmazonS3,text/html,GET,13.32.121.53,/,-1320274789,2600:9000:236e:9000:1:47d6:df00:93a1,59,False,,,Amazon Web Services,cloudfront,True,https://calc.cbre.com/,,,
caproxyfte.cbre.com,Error 400 - Invalid Host,400,775,caproxyfte.cbre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-18T00:00:00Z,2024-01-18T23:59:59Z,"CN=*.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",*.cbre.com,CBRE Group Inc.,cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e9be1ec298c7e34ac089b5dada194c7f,c790ee9c42a6d050d34acaab544fa284a1082edad9462c875060013356a09103,ctls,caproxyfte.cbre.com,80,http://caproxyfte.cbre.com:80,http,,text/html,GET,208.68.246.115,/,-964384549,208.68.246.115,23,False,,True,,,,https://caproxyfte.cbre.com/,,,
capstonepipeline-test.cbre.com,Log in.,200,6615,capstonepipeline-test.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-13T00:00:00Z,2023-09-13T23:59:59Z,"CN=capstonepipeline-test.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",capstonepipeline-test.cbre.com,CBRE Group Inc.,www.capstonepipeline-test.cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9237599c09564027e20ecb8aae4a913d,d896ceb190aa0671d7c116bd74d3c47b8f754b2d22f3ed6b548324366dfeceac,ctls,capstonepipeline-test.cbre.com,443,https://capstonepipeline-test.cbre.com:443,https,,text/html,GET,13.77.96.119,/,1772087922,13.77.96.119,136,False,,,HSTS,azure,True,https://capstonepipeline-test.cbre.com/Authentication/Login?ReturnUrl=%2F,,,
capstonepipeline.cbre.com,Log in.,200,6615,capstonepipeline.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-13T00:00:00Z,2023-09-13T23:59:59Z,"CN=capstonepipeline.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",capstonepipeline.cbre.com,CBRE Group Inc.,www.capstonepipeline.cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1e0eca8e0528dbce31d9b02685bb3e52,2e14787cf742bc65fe66864ee918c331f8295a55ccec24b84c0aa010dcb1c7da,ctls,capstonepipeline.cbre.com,443,https://capstonepipeline.cbre.com:443,https,,text/html,GET,13.65.95.109,/,1772087922,13.65.95.109,136,False,,,HSTS,azure,True,https://capstonepipeline.cbre.com/Authentication/Login?ReturnUrl=%2F,,,
cdn.heapanalytics.com,,200,112549,cdn.heapanalytics.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-08-27T23:59:59Z,CN=cdn.heapanalytics.com,cdn.heapanalytics.com,,cdn.heapanalytics.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1bf815c1fbe0de90adc8bbd1502cc3b5,61aaeb6d6948b891986aab6a83e6ef5d4ec06bc04c992712f550229eaccf039d,ctls,cdn.heapanalytics.com,443,https://cdn.heapanalytics.com:443,https,nginx,application/javascript,GET,13.32.27.116,/,-1897361657,13.32.27.35,1,False,,,React,cloudfront,True,,,,
ckc-staging.cbre.com,BIG-IP logout page,200,5274,ckc-staging.cbre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-18T00:00:00Z,2024-01-18T23:59:59Z,"CN=*.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",*.cbre.com,CBRE Group Inc.,cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e9be1ec298c7e34ac089b5dada194c7f,c790ee9c42a6d050d34acaab544fa284a1082edad9462c875060013356a09103,ctls,ckc-staging.cbre.com,443,https://ckc-staging.cbre.com:443,https,BigIP,text/html,GET,208.68.245.44,/,878647854,208.68.245.44,131,False,,True,F5 BigIP,,,https://ckc-staging.cbre.com/my.logout.php3?errorcode=19,,,
com.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://com.journal.cbre.com:80,http,,,GET,165.160.15.20,/,820150424,165.160.13.20,2,False,,,,,,,,,
cort.cbre.com,,200,6520,cort.neuromobile.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-22T00:00:00Z,2023-09-22T23:59:59Z,CN=*.neuromobile.io,*.neuromobile.io,,neuromobile.io,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7eac7d17ab002296c46d18c079180b12,0e23a80db6085eec81e5201300eeb7979919f126d7c103fa8a99ede2c413d89f,ctls,cort.neuromobile.io,443,https://cort.cbre.com:443,https,nginx,text/html,GET,178.128.255.152,/,46944786,178.128.255.152,150,False,,True,Nginx,,,https://cort.neuromobile.io/webapp/,,,
crystal-ball.serviceinsight.cbre.com,SERVICE INSIGHT | Crystal Ball,200,31525,crystal-ball.serviceinsight.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-06T00:00:00Z,2023-12-06T23:59:59Z,"CN=crystal-ball.serviceinsight.cbre.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",crystal-ball.serviceinsight.cbre.com,Microsoft Corporation,crystal-ball.serviceinsight.cbre.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2e9f97570435d9c0aefa2fe4aa0cc3be,0fa07a863edf021987c112334da1befec95032966577b26711e5682f539d83a8,ctls,crystal-ball.serviceinsight.cbre.com,443,https://crystal-ball.serviceinsight.cbre.com:443,https,,text/html,GET,13.107.226.45,/,1185329514,2620:1ec:48:1::45,605,False,,,Envoy,,,,,,
cyprus.cbre.com,BIG-IP logout page,200,5306,cyprus.cbre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-30T15:01:21Z,2023-09-26T15:01:21Z,CN=imperva.com,imperva.com,,plans.cbre.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,e037dc3b33539e5ee72527eaf765260b,2ed973b78d29945d05cb3a9d1b1eeab2962a85de6744d61b58f88dc8702ec322,ctls,cyprus.cbre.com,443,https://cyprus.cbre.com:443,https,BigIP,text/html,GET,45.223.164.170,/,878647854,45.223.164.170,131,False,,,Imperva,incapsula,True,https://cyprus.cbre.com/my.logout.php3?errorcode=19,,,
dashboard.trammellcrow.com,403 - Forbidden: Access is denied.,403,1233,dashboard.trammellcrow.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-03T00:00:00Z,2024-02-03T23:59:59Z,"CN=cms2.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",cms2.cbre.com,CBRE Group Inc.,www.cms2.cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c90e931b927efe7f7b496ce039632f22,cf527d9f5ecf611dab92be6a7da2aa27137a2561492470415d61f094cf59de50,ctls,dashboard.trammellcrow.com,443,https://dashboard.trammellcrow.com:443,https,Microsoft-IIS/10.0,text/html,GET,208.68.246.13,/,1631801191,208.68.246.13,30,False,True,,Windows Server,,,,,,
dataroom.cbre.com,BIG-IP logout page,200,5171,dataroom.cbre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-18T00:00:00Z,2024-01-18T23:59:59Z,"CN=*.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",*.cbre.com,CBRE Group Inc.,cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e9be1ec298c7e34ac089b5dada194c7f,c790ee9c42a6d050d34acaab544fa284a1082edad9462c875060013356a09103,ctls,dataroom.cbre.com,443,https://dataroom.cbre.com:443,https,BigIP,text/html,GET,208.68.246.192,/,878647854,208.68.246.192,131,False,,True,F5 BigIP,,,https://dataroom.cbre.com/my.logout.php3?errorcode=19,,,
dealdata-jyusetsu.cbre.com,,401,13,dealdata-jyusetsu.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-22T00:00:00Z,2023-07-22T23:59:59Z,"CN=dealdata-jyusetsu.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",dealdata-jyusetsu.cbre.com,CBRE Group Inc.,www.dealdata-jyusetsu.cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,df157ca2b8db4e3c2f1a0584af26ed6a,249ec4a130669cfd938044f57ba29539a5e91b1bad857bd6d693168d193e8325,ctls,dealdata-jyusetsu.cbre.com,443,https://dealdata-jyusetsu.cbre.com:443,https,Kestrel,text/plain,GET,20.89.25.207,/,-1840324437,20.89.25.207,1,False,,,Microsoft ASP.NET,,,,,,
dealdata-oss-uat.cbre.com,Test,200,227,dealdata-oss-uat.cbre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-07T08:48:58Z,2023-10-04T08:48:58Z,CN=imperva.com,imperva.com,,staging.pipbuilder.cbrehotels.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,0b32bb9baaf0ff8ddb8a1581f5f5866b,2f626380b7afabb9ec1d2fd8be57a6af6a713bbb2619ec79d07df68bd38a9be9,ctls,dealdata-oss-uat.cbre.com,80,http://dealdata-oss-uat.cbre.com:80,http,,text/html,GET,45.223.167.4,/,1531685725,45.223.167.4,4,False,,,Imperva,incapsula,True,https://dealdata-oss-uat.cbre.com,,,
