input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,tech_,cdn_name,cdn,final_url,csp_domains_
1-spring-boot-security-saml-active-okta-application.airbnb.app,,404,67,443,https://1-spring-boot-security-saml-active-okta-application.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.98,/,1307429962,76.76.21.164,4,False,1-spring-boot-security-saml-active-okta-application.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,1-spring-boot-security-saml-active-okta-application.airbnb.app,Vercel,,,,
1-spring-boot-security-saml-active-okta-blog.h3.airbnb.app,,404,67,80,http://1-spring-boot-security-saml-active-okta-blog.h3.airbnb.app:80,http,Vercel,text/plain,GET,76.76.21.61,/,1307429962,76.76.21.9,4,False,,,,,,,,,,,,,,,,,,,,,Vercel,,,,
1-spring-boot-security-saml-active-okta-blog.h4-1da29743.airbnb.app,,404,67,80,http://1-spring-boot-security-saml-active-okta-blog.h4-1da29743.airbnb.app:80,http,Vercel,text/plain,GET,76.76.21.164,/,1307429962,76.76.21.22,4,False,,,,,,,,,,,,,,,,,,,,,Vercel,,,,
1-spring-boot-security-saml-active-okta-blog.orders-21700103893gj3000541.airbnb.app,,404,67,80,http://1-spring-boot-security-saml-active-okta-blog.orders-21700103893gj3000541.airbnb.app:80,http,Vercel,text/plain,GET,76.76.21.123,/,1307429962,76.76.21.164,4,False,,,,,,,,,,,,,,,,,,,,,Vercel,,,,
1-spring-boot-security-saml-active-okta-hubli24.airbnb.app,,404,67,443,https://1-spring-boot-security-saml-active-okta-hubli24.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.61,/,1307429962,76.76.21.142,4,False,1-spring-boot-security-saml-active-okta-hubli24.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,1-spring-boot-security-saml-active-okta-hubli24.airbnb.app,Vercel,,,,
1-spring-boot-security-saml-active-okta-smcpext.airbnb.app,,404,67,443,https://1-spring-boot-security-saml-active-okta-smcpext.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.9,/,1307429962,76.76.21.123,4,False,1-spring-boot-security-saml-active-okta-smcpext.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,1-spring-boot-security-saml-active-okta-smcpext.airbnb.app,Vercel,,,,
1-spring-boot-security-saml-active-okta-symposium.airbnb.app,,404,67,443,https://1-spring-boot-security-saml-active-okta-symposium.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.98,/,1307429962,76.76.21.123,4,False,1-spring-boot-security-saml-active-okta-symposium.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,1-spring-boot-security-saml-active-okta-symposium.airbnb.app,Vercel,,,,
1-spring-boot-security-saml-ku1720-okta.airbnb.app,,404,67,443,https://1-spring-boot-security-saml-ku1720-okta.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.9,/,1307429962,76.76.21.241,4,False,1-spring-boot-security-saml-ku1720-okta.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,1-spring-boot-security-saml-ku1720-okta.airbnb.app,Vercel,,,,
1-spring-boot-security-saml-nettop700-okta-blog.h4.airbnb.app,,404,67,80,http://1-spring-boot-security-saml-nettop700-okta-blog.h4.airbnb.app:80,http,Vercel,text/plain,GET,76.76.21.22,/,1307429962,76.76.21.123,4,False,,,,,,,,,,,,,,,,,,,,,Vercel,,,,
1-spring-boot-security-saml-web-okta.airbnb.app,,404,67,443,https://1-spring-boot-security-saml-web-okta.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.142,/,1307429962,76.76.21.9,4,False,1-spring-boot-security-saml-web-okta.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,1-spring-boot-security-saml-web-okta.airbnb.app,Vercel,,,,
1-testbed-boot-security-saml-active-okta.airbnb.app,,404,67,443,https://1-testbed-boot-security-saml-active-okta.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.9,/,1307429962,76.76.21.22,4,False,1-testbed-boot-security-saml-active-okta.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,1-testbed-boot-security-saml-active-okta.airbnb.app,Vercel,,,,
1.1-spring-boot-security-saml-web-okta.airbnb.app,,404,67,80,http://1.1-spring-boot-security-saml-web-okta.airbnb.app:80,http,Vercel,text/plain,GET,76.76.21.98,/,1307429962,76.76.21.123,4,False,,,,,,,,,,,,,,,,,,,,,Vercel,,,,
1.next.airbnb.com,Invalid URL,400,208,443,https://1.next.airbnb.com:443,https,AkamaiGHost,text/html,GET,2.16.187.115,/,1724117988,2.16.187.11,8,False,1.next.airbnb.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-08-18T00:00:00Z,2023-08-18T23:59:59Z,"CN=*.airbnb.com, O=Airbnb\, Inc., L=San Francisco, ST=California, C=US",*.airbnb.com,"Airbnb, Inc.",cfcdn.media.muscache.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d97fe9f41b03c4851daf3edb693ba435,7236681f796b4c963f93b2e339a4bfdfdfc7fd16fc5658ac5d500bca5119f4a7,True,ctls,1.next.airbnb.com,,,,,
10.covid19elasticbeanstalk-el.next.airbnb.com,Invalid URL,400,208,80,http://10.covid19elasticbeanstalk-el.next.airbnb.com:80,http,AkamaiGHost,text/html,GET,2.16.187.115,/,176463926,2.16.187.11,8,False,,,,,,,,,,,,,,,,,,,,,,,,,
10.el-covid19-service.next.airbnb.com,Invalid URL,400,208,80,http://10.el-covid19-service.next.airbnb.com:80,http,AkamaiGHost,text/html,GET,95.101.111.158,/,1151690523,95.101.111.163,8,False,,,,,,,,,,,,,,,,,,,,,,,,,
110-node-express-okta-idpnode-admin.airbnb.app,,404,67,443,https://110-node-express-okta-idpnode-admin.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.93,/,1307429962,76.76.21.98,4,False,110-node-express-okta-idpnode-admin.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,110-node-express-okta-idpnode-admin.airbnb.app,Vercel,,,,
14-0-boot-security-saml-demo-okta-wreesmann.airbnb.app,,404,67,443,https://14-0-boot-security-saml-demo-okta-wreesmann.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.22,/,1307429962,76.76.21.61,4,False,14-0-boot-security-saml-demo-okta-wreesmann.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,14-0-boot-security-saml-demo-okta-wreesmann.airbnb.app,Vercel,,,,
202-1-spring-boot-security-saml-ku1740-okta.airbnb.app,,404,67,443,https://202-1-spring-boot-security-saml-ku1740-okta.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.93,/,1307429962,76.76.21.9,4,False,202-1-spring-boot-security-saml-ku1740-okta.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,202-1-spring-boot-security-saml-ku1740-okta.airbnb.app,Vercel,,,,
3dadmin.moodle.next.airbnb.com,Invalid URL,400,208,80,http://3dadmin.moodle.next.airbnb.com:80,http,AkamaiGHost,text/html,GET,2.16.187.115,/,-114507135,2.16.187.11,8,False,,,,,,,,,,,,,,,,,,,,,,,,,
7-spring-boot-security-saml-active-okta-blog.h3.airbnb.app,,404,67,80,http://7-spring-boot-security-saml-active-okta-blog.h3.airbnb.app:80,http,Vercel,text/plain,GET,76.76.21.98,/,1307429962,76.76.21.142,4,False,,,,,,,,,,,,,,,,,,,,,Vercel,,,,
7.tl-covid19demo.next.airbnb.com,Invalid URL,400,208,80,http://7.tl-covid19demo.next.airbnb.com:80,http,AkamaiGHost,text/html,GET,95.101.111.163,/,-674131480,95.101.111.158,8,False,,,,,,,,,,,,,,,,,,,,,,,,,
7.tlcovid19-private.next.airbnb.com,Invalid URL,400,208,80,http://7.tlcovid19-private.next.airbnb.com:80,http,AkamaiGHost,text/html,GET,2.16.187.115,/,1901715188,2.16.187.11,8,False,,,,,,,,,,,,,,,,,,,,,,,,,
9covid19-el.next.airbnb.com,Invalid URL,400,208,443,https://9covid19-el.next.airbnb.com:443,https,AkamaiGHost,text/html,GET,2.16.187.115,/,1604668396,2.16.187.11,8,False,9covid19-el.next.airbnb.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-08-18T00:00:00Z,2023-08-18T23:59:59Z,"CN=*.airbnb.com, O=Airbnb\, Inc., L=San Francisco, ST=California, C=US",*.airbnb.com,"Airbnb, Inc.",cfcdn.media.muscache.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d97fe9f41b03c4851daf3edb693ba435,7236681f796b4c963f93b2e339a4bfdfdfc7fd16fc5658ac5d500bca5119f4a7,True,ctls,9covid19-el.next.airbnb.com,,,,,
a0.muscache.com,,403,243,443,https://a0.muscache.com:443,https,AmazonS3,application/xml,GET,2.16.187.106,/,-275363482,2.16.187.10,2,False,a0.muscache.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-22T00:00:00Z,2024-03-15T23:59:59Z,"CN=www.airbnb.com, O=Airbnb\, Inc., L=San Francisco, ST=California, C=US",www.airbnb.com,"Airbnb, Inc.",a0.muscache.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12cc9ad7b7662f3e7233c447526be4b2,b41e317e5b0e572d1a58e8d541d80b5636811fd4203bf64748e64700bd73f959,,ctls,a0.muscache.com,HTTP/3,,,,
a1.muscache.com,,403,243,443,https://a1.muscache.com:443,https,AmazonS3,application/xml,GET,95.101.111.163,/,-875287978,95.101.111.158,2,False,a1.muscache.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-08-18T00:00:00Z,2023-08-18T23:59:59Z,"CN=*.airbnb.com, O=Airbnb\, Inc., L=San Francisco, ST=California, C=US",*.airbnb.com,"Airbnb, Inc.",cfcdn.media.muscache.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d97fe9f41b03c4851daf3edb693ba435,7236681f796b4c963f93b2e339a4bfdfdfc7fd16fc5658ac5d500bca5119f4a7,True,ctls,a1.muscache.com,HTTP/3,,,,
a2.muscache.com,,403,275,443,https://a2.muscache.com:443,https,AmazonS3,application/xml,GET,95.101.111.163,/,-528739378,95.101.111.158,2,False,a2.muscache.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-08-18T00:00:00Z,2023-08-18T23:59:59Z,"CN=*.airbnb.com, O=Airbnb\, Inc., L=San Francisco, ST=California, C=US",*.airbnb.com,"Airbnb, Inc.",cfcdn.media.muscache.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d97fe9f41b03c4851daf3edb693ba435,7236681f796b4c963f93b2e339a4bfdfdfc7fd16fc5658ac5d500bca5119f4a7,True,ctls,a2.muscache.com,HTTP/3,,,,
abas.p2p.next.airbnb.com,Invalid URL,400,208,80,http://abas.p2p.next.airbnb.com:80,http,AkamaiGHost,text/html,GET,2.16.187.11,/,1386089754,2.16.187.115,8,False,,,,,,,,,,,,,,,,,,,,,,,,,
acapi.next.airbnb.com,Invalid URL,400,208,443,https://acapi.next.airbnb.com:443,https,AkamaiGHost,text/html,GET,95.101.111.158,/,-2036720776,95.101.111.163,8,False,acapi.next.airbnb.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-08-18T00:00:00Z,2023-08-18T23:59:59Z,"CN=*.airbnb.com, O=Airbnb\, Inc., L=San Francisco, ST=California, C=US",*.airbnb.com,"Airbnb, Inc.",cfcdn.media.muscache.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d97fe9f41b03c4851daf3edb693ba435,7236681f796b4c963f93b2e339a4bfdfdfc7fd16fc5658ac5d500bca5119f4a7,True,ctls,acapi.next.airbnb.com,,,,,
accounts.google.com,Sign in - Google Accounts,200,563992,443,https://accounts.google.com:443,https,ESF,text/html,GET,142.250.185.77,/,708578229,2a00:1450:4001:812::200d,46,False,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,HTTP/3,,,https://accounts.google.com/v3/signin/identifier?dsh=S-1241416551%3A1683920886214735&continue=https%3A%2F%2Faccounts.google.com%2F&followup=https%3A%2F%2Faccounts.google.com%2F&ifkv=Af_xneF1_JuHoLCv-KGnqX7HKNNIQkgB1iiomBsOJV1-IjYqDiz_iKwMrVCnaJ2OXGjyAWxApxhL&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin,https://www.google-analytics.com
aces.hoteltonight-test.com,HT Pros,200,2862,443,https://aces.hoteltonight-test.com:443,https,,text/html,GET,151.101.2.217,/,1834796069,151.101.194.217,7,False,pros.hoteltonight-test.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-11-01T14:42:14Z,2023-12-03T14:42:13Z,CN=*.hoteltonight-test.com,*.hoteltonight-test.com,,*.hoteltonight-test.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,fd08dd99082f98a51107528795bebf17,0d792cd2b9c79074c46921488ef1543c31f9d0eac6441678ad541256e78ffd82,True,ctls,pros.hoteltonight-test.com,Varnish,fastly,True,https://pros.hoteltonight-test.com/login,
actnow.airbnbcitizen.com,Access Denied,403,300,443,https://actnow.airbnbcitizen.com:443,https,AkamaiGHost,text/html,GET,104.26.6.193,/,1606311396,172.67.69.234,10,False,news.airbnb.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-18T00:00:00Z,2023-08-18T23:59:59Z,"CN=*.airbnb.com, O=Airbnb\, Inc., L=San Francisco, ST=California, C=US",*.airbnb.com,"Airbnb, Inc.",cfcdn.media.muscache.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d97fe9f41b03c4851daf3edb693ba435,7236681f796b4c963f93b2e339a4bfdfdfc7fd16fc5658ac5d500bca5119f4a7,True,ctls,news.airbnb.com,,cloudflare,True,https://news.airbnb.com/category/public-policy/,
ad-innosence-xsrvjp.apiwww.next.airbnb.com,Invalid URL,400,208,80,http://ad-innosence-xsrvjp.apiwww.next.airbnb.com:80,http,AkamaiGHost,text/html,GET,2.16.187.115,/,1678569640,2.16.187.11,8,False,,,,,,,,,,,,,,,,,,,,,,,,,
adithya.optustvnow.next.airbnb.com,Invalid URL,400,208,80,http://adithya.optustvnow.next.airbnb.com:80,http,AkamaiGHost,text/html,GET,95.101.111.158,/,2102149976,95.101.111.163,8,False,,,,,,,,,,,,,,,,,,,,,,,,,
