input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_mismatched,tls_subject_org_,tech_,final_url,cdn_name,cdn,tls_wildcard_certificate,tls_expired,tls_emails_
open.e.driveuconnect.com,Page not Found,200,769,,,,,,,,,,,,,,,,,,443,https://open.e.driveuconnect.com:443,https,Apache,text/html,GET,23.21.150.130,/,1699662630,23.21.150.130,28,False,,,Apache,http://contentz.rm02.net/lp/static/notfound.html,,,,,
pre-connectedservices.driveuconnect.eu,,200,,pre-connectedservices.driveuconnect.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-04-28T00:00:00Z,2023-05-29T23:59:59Z,"CN=pre-connectedservices.driveuconnect.eu, O=Fiat Group Automobiles S.p.A., L=Torino, C=IT",pre-connectedservices.driveuconnect.eu,pre-connectedservices.driveuconnect.eu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,13ad1412956e858314717fe264bd51b8,f848fe71ec4811a756a5932a7c8b82b8ca3ef66b2b1e3e500440a101f1a4d988,ctls,pre-connectedservices.driveuconnect.eu,443,https://pre-connectedservices.driveuconnect.eu:443,https,Apache,text/html,GET,82.112.205.251,/,-780928015,82.112.205.251,1,False,,Fiat Group Automobiles S.p.A.,HSTS,,,,,,
test-aem-origin.driveuconnect.com,401 Unauthorized,401,381,test-aem-origin.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-04T23:59:59Z,CN=*.adobecqms.net,*.adobecqms.net,*.adobecqms.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,83a82afea5b34a4c1a5ddfed075174fb,368e69d19345c43cfc47934790617d95d16a5ceaa2a7d77eb9a5cb1406abfba2,ctls,test-aem-origin.driveuconnect.com,443,https://test-aem-origin.driveuconnect.com:443,https,Apache,text/html,GET,52.40.25.180,/,-392200610,54.148.238.249,13,False,True,,Basic,,,,True,,
test-aem.driveuconnect.com,Access Denied,403,278,test-aem.driveuconnect.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:28:33Z,2023-08-10T07:28:32Z,CN=uat3.alfaromeousa.com,uat3.alfaromeousa.com,www-preview.ram.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b5a98679498e32fe81c122851ea7e854,ab70f6f7a52df781d0f2115a95a6d7a9e91d84cfb6fddb6e18302bafd6ef5896,ctls,test-aem.driveuconnect.com,443,https://test-aem.driveuconnect.com:443,https,AkamaiGHost,text/html,GET,23.50.57.49,/,1547084100,2600:1407:21::1732:3420,10,False,,,,,,,,,
test.driveuconnect.com,Access Denied,403,272,test.driveuconnect.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-11T19:38:17Z,2023-08-09T19:38:16Z,CN=uat-sdp.chrysler.com,uat-sdp.chrysler.com,www.leavenodoubt.today,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b60635e1095bd9d54aa6c0601a5e7648,16737b967b831df02ded26a8f134b6d5fba6dec99738bd28dc21fdafe1f45c9c,ctls,test.driveuconnect.com,443,https://test.driveuconnect.com:443,https,AkamaiGHost,text/html,GET,2.16.187.155,/,-1542771188,2a02:26f0:3500:1b::1724:a389,10,False,,,,,,,,,
test2-aem-origin.driveuconnect.com,401 Unauthorized,401,381,test2-aem-origin.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-04T23:59:59Z,CN=*.adobecqms.net,*.adobecqms.net,*.adobecqms.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,83a82afea5b34a4c1a5ddfed075174fb,368e69d19345c43cfc47934790617d95d16a5ceaa2a7d77eb9a5cb1406abfba2,ctls,test2-aem-origin.driveuconnect.com,443,https://test2-aem-origin.driveuconnect.com:443,https,Apache,text/html,GET,44.226.135.213,/,-392200610,52.11.138.61,13,False,True,,Basic,,,,True,,
test2.driveuconnect.com,Access Denied,403,271,test2.driveuconnect.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-11T09:47:49Z,2023-08-09T09:47:48Z,CN=uat3.chrysler.com,uat3.chrysler.com,www.chryslerb2c.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,68b7a769909f5ae75aeb70607a3d7126,a84baa2a56812ca873aeffa1afbbd96bae2582e7b945d32ddfc71213eea9d5ed,ctls,test2.driveuconnect.com,443,https://test2.driveuconnect.com:443,https,AkamaiGHost,text/html,GET,23.50.57.43,/,1677905499,2600:1407:21::1732:3429,10,False,,,,,,,,,
uat-aem-origin.driveuconnect.com,401 Unauthorized,401,381,uat-aem-origin.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,2023-08-07T23:59:59Z,CN=*.adobecqms.net,*.adobecqms.net,*.adobecqms.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8fabeb013733ca202cc8286c75a99638,c60c22366e8943f317a6b97256cef6f7843e5ff29607d1e2a4317f76fb47f940,ctls,uat-aem-origin.driveuconnect.com,443,https://uat-aem-origin.driveuconnect.com:443,https,Apache,text/html,GET,54.211.178.204,/,-392200610,52.200.175.13,13,False,True,,Basic,,,,True,,
uat-aem.driveuconnect.com,Access Denied,403,278,uat-aem.driveuconnect.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:28:33Z,2023-08-10T07:28:32Z,CN=uat3.alfaromeousa.com,uat3.alfaromeousa.com,www-preview.ram.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b5a98679498e32fe81c122851ea7e854,ab70f6f7a52df781d0f2115a95a6d7a9e91d84cfb6fddb6e18302bafd6ef5896,ctls,uat-aem.driveuconnect.com,443,https://uat-aem.driveuconnect.com:443,https,AkamaiGHost,text/html,GET,2.16.187.146,/,-2052845440,2a02:26f0:3500:1b::1724:a389,10,False,,,,,,,,,
uat-preview-origin.driveuconnect.com,401 Unauthorized,401,381,uat-preview-origin.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,2023-08-07T23:59:59Z,CN=*.adobecqms.net,*.adobecqms.net,*.adobecqms.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8fabeb013733ca202cc8286c75a99638,c60c22366e8943f317a6b97256cef6f7843e5ff29607d1e2a4317f76fb47f940,ctls,uat-preview-origin.driveuconnect.com,443,https://uat-preview-origin.driveuconnect.com:443,https,Apache,text/html,GET,34.203.86.165,/,-392200610,52.45.211.179,13,False,True,,Basic,,,,True,,
uat-preview.driveuconnect.com,Access Denied,403,281,uat-preview.driveuconnect.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:28:33Z,2023-08-10T07:28:32Z,CN=uat3.alfaromeousa.com,uat3.alfaromeousa.com,www-preview.ram.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b5a98679498e32fe81c122851ea7e854,ab70f6f7a52df781d0f2115a95a6d7a9e91d84cfb6fddb6e18302bafd6ef5896,ctls,uat-preview.driveuconnect.com,443,https://uat-preview.driveuconnect.com:443,https,AkamaiGHost,text/html,GET,23.50.57.50,/,1340605474,2a02:26f0:e0::1732:3620,10,False,,,,,,,,,
uat.driveuconnect.com,Access Denied,403,270,uat.driveuconnect.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-11T19:38:17Z,2023-08-09T19:38:16Z,CN=uat-sdp.chrysler.com,uat-sdp.chrysler.com,www.leavenodoubt.today,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b60635e1095bd9d54aa6c0601a5e7648,16737b967b831df02ded26a8f134b6d5fba6dec99738bd28dc21fdafe1f45c9c,ctls,uat.driveuconnect.com,443,https://uat.driveuconnect.com:443,https,AkamaiGHost,text/html,GET,2.23.209.153,/,-204355199,2a02:26f0:480:22::1726:62d7,10,False,,,,,,,,,
www-b2caem654-origin.driveuconnect.com,401 Unauthorized,401,381,www-b2caem654-origin.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-04T23:59:59Z,CN=*.adobecqms.net,*.adobecqms.net,*.adobecqms.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d6a2ad05a9e6f5b12bbbb928d14ff0c6,7b9dcc2ceb236f9d34d068334053b9e0170329d7e5a2541a97eeadaac1e86a74,ctls,www-b2caem654-origin.driveuconnect.com,443,https://www-b2caem654-origin.driveuconnect.com:443,https,Apache,text/html,GET,13.57.109.204,/,-392200610,52.52.95.30,13,False,True,,Basic,,,,True,,
www-b2caem654-preview-origin.driveuconnect.com,401 Unauthorized,401,381,www-b2caem654-preview-origin.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,2023-08-07T23:59:59Z,CN=*.adobecqms.net,*.adobecqms.net,*.adobecqms.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8fabeb013733ca202cc8286c75a99638,c60c22366e8943f317a6b97256cef6f7843e5ff29607d1e2a4317f76fb47f940,ctls,www-b2caem654-preview-origin.driveuconnect.com,443,https://www-b2caem654-preview-origin.driveuconnect.com:443,https,Apache,text/html,GET,54.84.24.253,/,-392200610,52.21.95.13,13,False,True,,Basic,,,,True,,
www.driveuconnect.com,Access Denied,403,270,www.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-01T17:43:56Z,2023-07-30T17:43:55Z,CN=www.chrysler.com,www.chrysler.com,www.trader-ram.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c64bb1a58ff9556566b5113095c7395d,ce3873b90ba056c5d0670336d8513ff60cf0292a310874211499cd23b485fa8f,ctls,www.driveuconnect.com,443,https://www.driveuconnect.com:443,https,AkamaiGHost,text/html,GET,2.16.187.88,/,-577425899,2a02:26f0:3500:1b::1724:a398,10,False,,,,,,,,,
www.driveuconnect.eu,App store,200,7548,www.driveuconnect.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-06T00:00:00Z,2024-05-06T23:59:59Z,"CN=www.driveuconnect.eu, O=Fiat Group Automobiles S.p.A., L=Torino, C=IT",www.driveuconnect.eu,driveuconnect.eu,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,175678e9c85495d6859fff42a33968d5,7d5fd6d1322f5cbdf8064f518bcb2daa478542bdadfe2f8ea514695e32721233,ctls,www.driveuconnect.eu,443,https://www.driveuconnect.eu:443,https,Apache,text/html,GET,82.112.205.252,/,-1101028928,82.112.205.252,171,False,,Fiat Group Automobiles S.p.A.,HSTS,https://www.driveuconnect.eu/UserPortal/?t=landing.app&app-theme=mopar,,,,,
www.e.driveuconnect.com,Invalid URL,400,208,,,,,,,,,,,,,,,,,,80,http://www.e.driveuconnect.com:80,http,AkamaiGHost,text/html,GET,2.16.187.88,/,-793174954,2a02:26f0:3500:1b::1724:a398,8,False,,,,,,,,,
