new,host,a,soa,status_code,ns,mx,txt,caa,cname,aaaa,cdn,cdn-name,has_internal_ips,internal_ips
[x],beta-research.danskebank.com,"212.93.59.175, 212.93.61.175","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],beta.danskebank.com,"212.93.59.102, 212.93.61.102","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],beta.danskebank.dk,"212.93.61.104, 212.93.59.104","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],bff-distfin.danskebank.dk,"212.93.38.69, 212.93.47.69","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],bff-forberedelse.danskebank.dk,"212.93.59.240, 212.93.61.240","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],bo-proxy.danskebank.dk,212.93.36.181,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],bo-proxy2.danskebank.dk,212.93.36.181,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],bo.danskebank.dk,194.182.245.51,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],brandhub.danskebank.com,91.201.201.11,"ns1.hyp.net, hostmaster.domeneshop.no",NOERROR,,,,,danskebank.papirfly.com,,,,,
[x],business.danskebank.com,"212.93.38.43, 212.93.47.43","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],business2.danskebank.com,"212.93.61.40, 212.93.59.40","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],business2.danskebank.dk,"212.93.61.41, 212.93.59.41","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],cardadm.danskebank.com,"212.93.47.70, 212.93.38.70","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],carvendor.danskebank.com,"212.93.49.34, 212.93.45.34","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],cdn.sunday.dk,"18.165.227.97, 18.165.227.82, 18.165.227.53, 18.165.227.34","ns-689.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1451.awsdns-53.org, ns-1638.awsdns-12.co.uk, ns-53.awsdns-06.com, ns-689.awsdns-22.net",,,,d2r5o1lanpjvco.cloudfront.net,,True,cloudfront,,
[x],cel.danskebank.dk,"212.93.61.26, 212.93.59.26","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],celeb-lb-prod.danskebank.com,"212.93.38.112, 212.93.47.112","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],cem.danskebank.com,216.119.218.188,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,"sdg2.danskebankcom.mastercard.com, sdvanity3.mastercard.com, vanity.smartdata.mastercard.com",,,,,
[x],cemdemo.danskebank.com,216.119.218.187,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,"sdg2demo.danskebankcom.mastercard.com, sdvanity3demo.mastercard.com, demo.vanity.smartdata.mastercard.com",2607:3c00:6404:5::3a,,,,
[x],cemdemo.danskebank.dk,216.119.218.187,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,"B8BF-3A1F-A8A4-29B7-6526-FDDE-9D93-28F1, 7477-6224-4024-913A-487D-038E-3B02-F09D, 36A6-1A7F-DBBE-469A-BD09-ADC6-F523-48E9, 6546-AB77-3285-44A4-84DF-B67D-121B-5FCA, 785D-883A-9BCD-2ED7-ACF1-0E6E-A8BD-EC97, 0BD9-8169-3964-8C7E-456C-10BB-9D47-6AA2, 3872-C203-9B63-E614-5857-E49E-7088-C354, 52DE-528A-B9F5-2EB6-95F2-6361-23FC-1817, 9D86-EA5E-4D70-5FFC-14E4-EDBB-B708-C9D1, 5DE4-8598-7C3E-74C7-C512-1359-8502-B762, C773-9E54-1FCD-D7F0-D089-662A-421D-055A, 1D16-3828-061C-05BD-47BF-CCB8-61CA-252F, 39BE-6052-BBD1-D3A1-2AA5-86C2-E05F-9BC4, 3FDE-B00C-C2A0-3E7B-B249-954D-6189-241A, 2C0B-16B5-F550-CA21-9C38-0BF9-4E64-A563, EE64-4208-6CD8-7C17-0DDE-5D5F-9713-3590, 170E-BB10-8815-3E9D-934A-5341-DDB2-115F, 7B83-34C0-A871-CA61-6BA4-F599-D24A-BD7F, 8045-3EBB-B5FC-AEF3-14D1-AC67-1088-D900, 59D5-D2BC-CF54-7288-81E0-1798-5AA7-897C, F88D-7D39-A356-D846-841A-6E56-AD55-7113, F9F2-E3D7-0EF4-0A1C-0A87-6C16-5C37-95E4, 525D-2644-B5B1-9B20-4E46-DC90-64F1-7C7D, CD14-DFD5-9CD4-34FD-1070-6E20-B709-9AE7, DF9F-5166-EAC3-A8A1-3E79-A886-3900-E1E6, DB05-4184-4644-27DF-00A2-B882-9F4F-7C69, 20B3-D218-CF90-8DC3-C6E0-6703-42E5-CF63, 0F60-3EF8-FB1C-8C3D-7CEF-C656-A71F-E124, 61FD-79FF-7FEC-FA4D-89A3-CC90-4F24-CA14, 75C9-7636-9C8E-6126-43C5-3102-78B2-86FA, FF27-D5C9-5D0F-8711-F154-4F22-E8F2-CB20, 9359-2961-65BC-7A36-0296-6044-7B63-CB91, 084F-CC4D-FA08-C97D-8652-2D1A-92B8-A502, 10C9-0F14-C39E-78DB-12D0-9862-0691-B266, 7520-7B1D-E5EE-67AC-3795-0936-06A8-D364, 6CFB-2403-F957-5D12-0F22-CFF2-A480-4456, D00F-DA07-44CA-03A6-D4BF-7BF9-FB09-7EA7",,"sdg2demo.danskebank.mastercard.com, sdngdemo.mastercard.com, demo.vanity.smartdata.mastercard.com",2607:3c00:6404:5::3a,,,,
[x],certauth.fs1.danskebank.com,212.93.49.138,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],certauth.syst-fs1.danskebank.com,212.93.49.136,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],christmas.danskebank.com,185.126.153.87,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],cl1.danskebank.com,212.93.34.165,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],cl1.danskebank.dk,212.93.34.165,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],cl2.danskebank.dk,212.93.34.166,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],cl3.danskebank.com,212.93.34.167,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],cl4.danskebank.dk,212.93.34.168,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],cl5.danskebank.com,212.93.34.173,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],cl5.danskebank.dk,212.93.34.173,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],cl8.danskebank.dk,"212.93.61.171, 212.93.59.171","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],client-account-opening-panel.danskebank.dk,"212.93.61.243, 212.93.59.243","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],com-surveillance.danskebank.com,"10.133.132.15, 10.133.133.103, 10.133.132.214","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,internal-danskebank-dashboard-lb-439378086.eu-central-1.elb.amazonaws.com,,,,True,"10.133.132.15, 10.133.133.103, 10.133.132.214"
[x],connect-acts01.danskebank.com,185.218.228.42,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],connect-acts02.danskebank.com,185.218.228.43,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],connect.danskebank.com,"212.93.61.134, 212.93.59.134","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],connect01.danskebank.com,185.218.228.15,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],connect02.danskebank.com,185.218.228.16,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],connect03.danskebank.com,185.218.228.17,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],contact.danskebank.com,212.93.51.105,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],contact.danskebank.dk,212.93.51.100,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],content-ci360.danskebank.dk,"23.53.43.65, 23.53.43.89","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,"cdn.aimatch.com, sas-360-match.edgekey.net, e84239.b.akamaiedge.net",,,,,
[x],corporates-institutions.danskebank.com,159.135.149.37,"ns-100.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,mx.anpdm.com,v=spf1 mx include:_spf.anpdm.com -all,,customlink.anpdm.com,,,,,
[x],csplus-district-screens.danskebank.com,"212.93.59.37, 212.93.61.37","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],csplus-district-screens.danskebank.dk,"212.93.59.37, 212.93.61.37","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],danskebank.dk,"212.93.59.104, 212.93.61.104, 156.154.66.109, 156.154.64.109, 156.154.65.109, 156.154.67.109","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.biz, pdns109.ultradns.org, pdns109.ultradns.net","mailin2.danskebank.com, mailin1.danskebank.com","_globalsign-domain-verification=GXcv5KuAaYHNGMW18403uqK6zzuWeYln1XHrgSYod2, BUKTEssM55t4Hn7sr5kBFNhXnx+ltae+vqPNINFnbLz+vHkrhxpdVZpjf/90/6Hr//hjZ5pvwnGM1mI3CPgO8Q==, _globalsign-domain-verification=j-IAREzvBdcUuKfLBynGQ23PTkX-3xQahYOwFfAovq, _globalsign-domain-verification=VzIAHCcEDduDVCqzEJey3zfftSOPMpAcz2LKOvlaQF, globalsign-domain-verification=jrGQh49ckK8-xuiBEQLpjwwNTsTEHxdaLZI15f_GEE, _globalsign-domain-verification=-CjjpBWxV-yIpQAQaJDqmju2AsuDrkedRMv4RfLqhi, C8jaOQ+e0UC0UqHcTsR36FlOr7AfFO3bY3tvN0m6OYY=, v=spf1 include:danskebank.com -all, globalsign-domain-verification=Rskxk0C-hWPjyx5ggUFBGvRUtmCnukHxBPxq3e956w, 0244-3721-AADF-0A09-AFEE-EC36-B4B0-C3F8, globalsign-domain-verification=Mtoy_brzyWXmjZCQNEwDEODGGefOsv8l6EUGgCd-TB, workplace-domain-verification=3faf1702-9048-432a-8501-0a32a5f88747, cisco-ci-domain-verification=4e28541c390ab6e80174bc1ad31fed897333ffea04d06db7636b869a31a570af, google-site-verification=KZD18IKeol_ktpZ4McOS4Jvk17HE8PKI5LTza3syFqg","letsencrypt.org, globalsign.com, entrust.net, amazon.com, mailto:security.administration@danskebank.dk, ;, comodoca.com, digicert.com",,"2001:502:f3ff::91, 2610:a1:1014::91",,,,
[x],danskemarketsresearch.danskebank.com,"212.93.61.201, 212.93.59.201","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],dbinsights.danskebank.dk,87.53.121.46,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],dci.danskebank.com,212.93.39.181,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],debtregisternorway.danskebank.com,"212.93.38.44, 212.93.47.44","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],delivery-ci360.test.danskebank.com,"52.208.62.119, 54.78.32.231, 52.50.12.60","ns-959.awsdns-55.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"tngcidankeu-ia.aimatch.com, tngcidankeu-ia.aimatch.net, ci-euw1.ireland.delivery.aimatch.net",,,,,
[x],democl1.danskebank.com,212.93.34.165,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],democl2.danskebank.com,212.93.34.166,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],democl3.danskebank.com,212.93.34.167,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],democl4.danskebank.com,212.93.34.168,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],demofindash.danskebank.com,212.93.36.81,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],demofindash.danskebank.dk,212.93.36.81,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],demoonetrader.danskebank.com,212.93.36.86,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],developers.danskebank.com,"212.93.61.143, 212.93.59.143","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],digitalsignering.danskebank.dk,"212.93.61.47, 212.93.59.47","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],district.danskebank.com,"212.93.61.9, 212.93.59.9","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],dmo.danskebank.com,212.93.35.20,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],dmo.danskebank.dk,212.93.35.89,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],doit.danskebank.com,159.135.149.37,"ns-100.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,mx.anpdm.com,v=spf1 mx include:_spf.anpdm.com -all,,customlink.anpdm.com,,,,,
[x],download.danskebank.dk,"212.93.38.30, 212.93.47.30","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ebank.danskebank.dk,"212.93.59.223, 212.93.61.223","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],ebanking.danskebank.dk,"212.93.38.20, 212.93.47.20","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],emm.danskebank.com,185.218.228.26,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],english.danskebank.dk,"212.93.61.195, 212.93.59.195","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],eum.danskebank.com,"212.93.59.245, 212.93.61.245","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],events.danskebank.com,"3.212.245.166, 3.208.75.151","ns-805.awsdns-36.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,events.danskebank.com.micros.etouches.com,,,,,
[x],execution-ci360.danskebank.dk,"13.32.121.39, 13.32.121.32, 13.32.121.51, 13.32.121.119","ns-860.awsdns-43.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1623.awsdns-10.co.uk, ns-860.awsdns-43.net, ns-380.awsdns-47.com, ns-1446.awsdns-52.org",,,,"execution-cidaskeu.ci360.marketing, d2b155sn07jsgi.cloudfront.net","2600:9000:236e:d200:15:c0fb:7480:93a1, 2600:9000:236e:9600:15:c0fb:7480:93a1, 2600:9000:2240:8c00:15:c0fb:7480:93a1, 2600:9000:236e:b600:15:c0fb:7480:93a1, 2600:9000:236e:a800:15:c0fb:7480:93a1, 2600:9000:236e:fa00:15:c0fb:7480:93a1, 2600:9000:2240:ac00:15:c0fb:7480:93a1, 2600:9000:236e:6400:15:c0fb:7480:93a1",True,cloudfront,,
[x],execution-ci360.test.danskebank.com,"108.157.214.31, 108.157.214.14, 108.157.214.56, 108.157.214.39","ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1982.awsdns-55.co.uk, ns-54.awsdns-06.com, ns-920.awsdns-51.net, ns-1053.awsdns-03.org",,,,"execution-cidankeu.ci360.marketing, dw9quo01yxiot.cloudfront.net","2600:9000:2334:8800:1d:3178:b740:93a1, 2600:9000:2334:a800:1d:3178:b740:93a1, 2600:9000:2334:7e00:1d:3178:b740:93a1, 2600:9000:2334:5e00:1d:3178:b740:93a1, 2600:9000:2334:5c00:1d:3178:b740:93a1, 2600:9000:2334:ec00:1d:3178:b740:93a1, 2600:9000:2334:b800:1d:3178:b740:93a1, 2600:9000:2334:dc00:1d:3178:b740:93a1",True,cloudfront,,
[x],exp-integration-zem.danskebank.com,"212.93.61.227, 212.93.59.227","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],expe4.video.danskebank.com,185.218.228.124,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],expe6.video.danskebank.com,185.218.228.126,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],feedback.danskebank.dk,13.69.13.134,,NOERROR,,,,,,,True,azure,,
[x],financialdashboard.danskebank.com,212.93.36.181,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],financialdashboard.danskebank.dk,212.93.36.181,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],financing.danskebank.dk,"212.93.61.29, 212.93.59.29","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],findash.danskebank.com,212.93.36.81,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],foldermanagement.danskebank.com,"212.93.61.186, 212.93.59.186","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],foldermanagement.danskebank.dk,"212.93.61.186, 212.93.59.186","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],forberedelse.danskebank.dk,"212.93.61.215, 212.93.59.215","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],foreninger.danskebank.dk,"212.93.59.197, 212.93.61.197","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],fs.danskebank.com,212.93.55.181,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],fs1.danskebank.com,"212.93.61.151, 212.93.59.151","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ftpg1.danskebank.com,212.93.39.187,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ftpg2.danskebank.com,212.93.39.186,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],gw-internet-test.danskebank.com,212.93.49.131,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],gw.danskebank.com,212.93.49.132,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],housing-sentry.danskebank.com,"212.93.59.137, 212.93.61.137","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],idupload-syst.danskebank.com,"212.93.59.130, 212.93.61.130","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],idupload.danskebank.com,"212.93.59.242, 212.93.61.242","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],june.dk,"212.93.38.100, 212.93.47.100","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.biz, pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.org","aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","mDQM0jsK2tbAaH4pdj8fzm4IDpkuoCfAUVsng4Yh1/M=, mkHl//C08zOhklI7MtZvRPjrny3yM3o1ZlR0AUsb6iM=, google-site-verification=aR510cV9WEfK8kfsTuQbON0Uj57-JAmk-QVUuRQwRj0, _globalsign-domain-verification=0ZkivOnf8Xya0Ie7cPkMGJH_bTtqOjhtWKmTnD9eFA, _globalsign-domain-verification=FT1tMLVGuJ0b6R4rlaiL4SkhtoGhEVP1TKjAHoFqvV, v=spf1 include:_spf.google.com include:spf.ubivox.com include:amazonses.com -all","mailto:security.administration@danskebank.dk, globalsign.com, ;",,,,,,
[x],kyc-api.danskebank.com,"212.93.61.165, 212.93.59.165",,NOERROR,,,,,,,,,,
[x],link.commail.danskebank.dk,"54.171.7.69, 99.80.229.78, 54.154.39.204","ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,sas.et.e.sparkpost.com,,,,,
[x],login-kyc.danskebank.com,"212.93.61.167, 212.93.59.167","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],logon.danskebank.com,212.93.34.175,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],loke-pci-syst.danskebank.dk,212.93.49.148,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],loke-pci.danskebank.dk,212.93.49.149,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],lyncweb.danskebank.dk,212.93.34.110,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],lyncweb02.danskebank.dk,212.93.34.110,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],m.danskebank.com,"212.93.59.102, 212.93.61.102","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],m.onetrader.danskebank.com,"212.93.47.56, 212.93.38.56","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],m.onetrader.danskebank.dk,"212.93.38.56, 212.93.47.56","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
