input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,final_url,csp_domains_,tls_mismatched,tls_wildcard_certificate,location,tls_expired
api.june.dk,404 Not Found,404,206,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,api.june.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-03T03:17:08Z,2024-02-04T03:02:40Z,"CN=june.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",june.dk,Danske Bank A/S,www.tilmeld.junespara.se,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,63e3488c95c5e4cf75b8b2424e40cb5d,bfebe7fad6a1242f93c158396812259ee1d4d96512e11ef9935335a51204a656,ctls,api.june.dk,80,http://api.june.dk:80,http,nginx,text/html,GET,212.93.38.100,/,-639606179,212.93.47.100,Nginx,14,False,,,https://api.june.dk/,,,,,
api1-district.danskebank.com,,404,,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,api1-district.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-14T16:57:10Z,2024-01-15T16:47:49Z,"CN=bff-distfin.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",bff-distfin.danskebank.dk,Danske Bank A/S,bff-distfin.danskenet.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,fbc38e2f26d8a3f36ea21e7aa2510fc4,1a54dffadd54d4c483501dc955e1aa2edefa88ed7241ba952211f6e6d4d213a5,ctls,api1-district.danskebank.com,443,https://api1-district.danskebank.com:443,https,,,GET,212.93.47.69,/,-1840324437,212.93.38.69,,1,False,,,,,True,,,
api1-district.danskebank.dk,,404,,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,api1-district.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-14T17:12:06Z,2024-01-15T16:47:49Z,"CN=bff-distfin.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",bff-distfin.danskebank.dk,Danske Bank A/S,bff-distfin.danskenet.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,73f3aed95ca94ebc8be334c63f151d96,4dc7f2cdcc48ddf980a28d971ac95fd7dd235a5710e9d561c6e60a32784332e4,ctls,api1-district.danskebank.dk,443,https://api1-district.danskebank.dk:443,https,,,GET,212.93.38.69,/,-1840324437,212.93.47.69,,1,False,,,,,True,,,
api2.danskebank.com,,404,24,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,api2.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2020-06-04T10:26:08Z,2022-07-12T13:01:13Z,"CN=api2.danskebank.com, O=Danske Bank A/S, street=Holmens Kanal 2, L=Copenhagen K, ST=Copenhagen, C=DK, jurisdictionCountry=DK, serialNumber=61126228, businessCategory=Private Organization, jurisdictionCountry=DK, businessCategory=Private Organization",api2.danskebank.com,Danske Bank A/S,api2.danskebank.com,"CN=GlobalSign Extended Validation CA - SHA256 - G3, O=GlobalSign nv-sa, C=BE",GlobalSign Extended Validation CA - SHA256 - G3,GlobalSign nv-sa,93b250b1a0f4c3f79d825edf66c76b53,cc9c01c455efe9d99d026ce1ea28096d41b68cbfd73bc3fde000f47926b16fa6,ctls,api2.danskebank.com,80,http://api2.danskebank.com:80,http,,application/json,GET,212.93.59.111,/,-400609354,212.93.61.111,HSTS,1,False,,,https://api2.danskebank.com/,,,,,True
api3.danskebank.com,,404,111,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,api3.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-18T02:52:06Z,2023-09-19T02:32:22Z,"CN=api3.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",api3.danskebank.com,Danske Bank A/S,api3.danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,e9bd51c1149bbe3f6fbe46a110432d80,9a5951fbad275c41ccf4532d4f30493711f71427a9d605f5820f073066ad51b3,ctls,api3.danskebank.com,443,https://api3.danskebank.com:443,https,,application/json,GET,212.93.38.115,/,-1175407147,212.93.47.115,HSTS,1,False,,,,,,,,
api4.danskebank.com,,404,111,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,api4.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-12T02:32:05Z,2023-09-13T02:10:07Z,"CN=api4.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",api4.danskebank.com,Danske Bank A/S,api4.danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,e85758c648357ecd722a5607c3295836,2fc8120ae71287295be104ebab082a63d1b7d03254895d30a1453c3d42de7203,ctls,api4.danskebank.com,443,https://api4.danskebank.com:443,https,,application/json,GET,212.93.38.119,/,-1175407147,212.93.47.119,HSTS,1,False,,,,,,,,
apiebank.danskebank.com,,404,21,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,apiebank.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-14T01:17:06Z,2023-08-08T11:46:08Z,"CN=apiebank3.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",apiebank3.danskebank.com,Danske Bank A/S,apiebank3.danskebank.se,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a894c4f30c8c142597baf6c5479f0ec2,129f69a70e256806ee24dcd65ee9eb019a5a323a76a3f19050cdbfb831da6217,ctls,apiebank.danskebank.com,443,https://apiebank.danskebank.com:443,https,,text/plain,GET,212.93.59.224,/,-1669793162,212.93.61.224,HSTS,1,False,,,,,,,,
apiebank3.danskebank.com,,404,21,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,apiebank3.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-14T01:22:02Z,2023-08-08T11:46:08Z,"CN=apiebank3.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",apiebank3.danskebank.com,Danske Bank A/S,apiebank3.danskebank.se,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,fcb4cfab2694a4596c82bbd98cbcd547,17810010a16d14a44e35e2ddd898139608c0ecf202f43e3e699f2883d21be84d,ctls,apiebank3.danskebank.com,443,https://apiebank3.danskebank.com:443,https,,text/plain,GET,212.93.59.224,/,-1669793162,212.93.61.224,HSTS,1,False,,,,,,,,
apiebank3.danskebank.dk,,404,21,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,apiebank3.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-14T01:22:02Z,2023-08-08T11:46:08Z,"CN=apiebank3.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",apiebank3.danskebank.com,Danske Bank A/S,apiebank3.danskebank.se,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,fcb4cfab2694a4596c82bbd98cbcd547,17810010a16d14a44e35e2ddd898139608c0ecf202f43e3e699f2883d21be84d,ctls,apiebank3.danskebank.dk,443,https://apiebank3.danskebank.dk:443,https,,text/plain,GET,212.93.59.224,/,-1669793162,212.93.61.224,HSTS,1,False,,,,,,,,
app.danskebank.com,,404,,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,app.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-17T19:27:07Z,2023-12-19T19:14:37Z,"CN=www.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",www.danskebank.com,Danske Bank A/S,danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,2e772f59fca0c792b15298f36076f8c8,e543690c445f715736ad4ead97759143670899ca6a1da831eb0fa14d79ad7fd5,ctls,app.danskebank.com,443,https://app.danskebank.com:443,https,,,GET,212.93.59.102,/,-1840324437,212.93.61.102,HSTS,1,False,,,,,,,,
appointment.danskebank.dk,‎,200,2038,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,appointment.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T04:27:08Z,2024-01-09T04:10:29Z,"CN=appointment.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",appointment.danskebank.dk,Danske Bank A/S,appointment.rd.dk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,e9a39201112148aecba799a2f4b26900,c79aa6bd2bf3fb22630e1a57da1f34c11333dc5dd89c8de0b403b3d9e092bf63,ctls,appointment.danskebank.dk,443,https://appointment.danskebank.dk:443,https,,text/html,GET,212.93.38.72,/,-227844610,212.93.47.72,Node.js,1,False,,,,,,,,
auth.june.dk,June Login,200,6197,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,auth.june.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-03T03:27:06Z,2024-02-04T03:02:40Z,"CN=june.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",june.dk,Danske Bank A/S,www.tilmeld.junespara.se,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,72439bfd8eca05d94647467618dafb5b,be5a9b08fd10cb7a29a126a1c14db799902685730abe961fdc84f0ea72467a3d,ctls,auth.june.dk,443,https://auth.june.dk:443,https,nginx,text/html,GET,212.93.38.100,/,-1984102921,212.93.47.100,Nginx,15,False,,,,,,,,
beta-research.danskebank.com,Danske Bank Research,200,3678,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,beta-research.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T17:32:11Z,2024-03-23T17:20:37Z,"CN=beta-research.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",beta-research.danskebank.com,Danske Bank A/S,beta-research.danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,1bdcb9abcaa3a9410fe3f16e3a3bd2de,ef25df4a5f20c93cda240a09be8d66d34684b08d4a668eba4da69bf15deb59e7,ctls,beta-research.danskebank.com,443,https://beta-research.danskebank.com:443,https,Microsoft-IIS/10.0,text/html,GET,212.93.59.175,/,-2032142087,212.93.61.175,Windows Server,1,False,,,https://beta-research.danskebank.com/research/,,,,,
beta.danskebank.dk,Privatkunde | Danske Bank,200,214656,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T01:12:09Z,2023-12-20T00:48:11Z,"CN=www.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",www.danskebank.dk,Danske Bank A/S,danskebank.dk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,cbeb8243ade727e582bd900c7ba025c1,c843d43f2e9238d631c479917465182e747106cb68b8aefa8f05a6e40823b7c5,ctls,danskebank.dk,443,https://beta.danskebank.dk:443,https,,text/html,GET,212.93.61.104,/,355682820,212.93.59.104,ZURB Foundation,2870,False,,,https://danskebank.dk/privat,https://eu.mouseflow.com,,,,
bff-distfin.danskebank.dk,,401,28,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,bff-distfin.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-14T17:07:15Z,2024-01-15T16:47:49Z,"CN=bff-distfin.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",bff-distfin.danskebank.dk,Danske Bank A/S,bff-distfin.danskenet.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,c29311efb56fb25a33f82a374f1e18e7,83f5660a8e79c733c30920477fc747bd45d3f87f1bd80e289a5eb03397a4b9a6,ctls,bff-distfin.danskebank.dk,443,https://bff-distfin.danskebank.dk:443,https,Kestrel,,GET,212.93.38.69,/,307200890,212.93.47.69,Microsoft ASP.NET,1,False,,,,,,,,
bff-forberedelse.danskebank.dk,,404,82,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,bff-forberedelse.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T07:22:05Z,2023-06-11T07:07:21Z,"CN=bff-forberedelse.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",bff-forberedelse.danskebank.dk,Danske Bank A/S,bff-forberedelse.danskenet.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,af9b1c084d4113cc301139a59e3205d5,1358f85394dd2b1f0a3aa6069700797e0771f51f65f2986df0e246e0bb5512ef,ctls,bff-forberedelse.danskebank.dk,443,https://bff-forberedelse.danskebank.dk:443,https,,,GET,212.93.59.240,/,988455984,212.93.61.240,HSTS,1,False,,,,,,,,
brandhub.danskebank.com,Danske Bank Brand Portal,200,15055,AS8896,XFIBER-AS,NO,91.201.201.0/24,brandhub.danskebank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-24T07:01:05Z,2023-06-25T07:01:04Z,"CN=brandhub.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",brandhub.danskebank.com,Danske Bank A/S,brandhub.danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,d6383527dee35bb8308413aa2fb64ad3,6172c601522894f8bb80d7e0dcaba3ea85d04195998f88e8153a2c1b5b93defe,ctls,brandhub.danskebank.com,80,http://brandhub.danskebank.com:80,http,,text/html,GET,91.201.201.11,/,-199166261,91.201.201.11,Microsoft ASP.NET,98,False,,,https://brandhub.danskebank.com/login/login.aspx?returnurl=%2fportal,,,,,
business.danskebank.com,403 Forbidden,403,202,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,business.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-29T08:26:18Z,2023-07-31T08:26:17Z,"CN=business.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",business.danskebank.dk,Danske Bank A/S,business.sampopankki.fi,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,38dbeedab9f69e1beb0f13d5523d01f5,5e3c037c995c8048357c55072f7b1b9041e16ecf2cbe1068fbcd4925c7fb6800,ctls,business.danskebank.com,80,http://business.danskebank.com:80,http,,text/html,GET,212.93.38.43,/,-366337701,212.93.47.43,HSTS,9,False,,,https://business.danskebank.com/,,,,,
business2.danskebank.com,Danske Bank,200,89499,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-17T19:22:10Z,2023-12-19T19:14:37Z,"CN=www.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",www.danskebank.com,Danske Bank A/S,danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,13c047b42fa19ea87123098897a9be2e,2312a0da539d52107f1e037451e5fdac5cc822a5ee30d767281da1fa785bf498,ctls,danskebank.com,443,https://business2.danskebank.com:443,https,,text/html,GET,212.93.59.40,/,-1004515962,212.93.61.40,Vue.js,1137,False,,,https://danskebank.com/,https://danskebank.demdex.net,,,,
business2.danskebank.dk,Privatkunde | Danske Bank,200,214656,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T01:12:09Z,2023-12-20T00:48:11Z,"CN=www.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",www.danskebank.dk,Danske Bank A/S,danskebank.dk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,cbeb8243ade727e582bd900c7ba025c1,c843d43f2e9238d631c479917465182e747106cb68b8aefa8f05a6e40823b7c5,ctls,danskebank.dk,443,https://business2.danskebank.dk:443,https,,text/html,GET,212.93.59.41,/,-1004515962,212.93.61.41,ZURB Foundation,2870,False,,,https://danskebank.dk/privat,imasdk.googleapis.com,,,,
