input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,cdn_name,cdn,csp_domains_,tls_mismatched,location
blogassets.evernote.com,Best Note Taking App - Organize Your Notes with Evernote,200,82106,AS15169,GOOGLE,US,35.190.0.0/17,blogassets.evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-17T00:00:00Z,2023-11-01T23:59:59Z,"CN=*.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.evernote.com,Evernote Corporation,evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,239a5382573c71bf645958fc85a8a0fc,bce3ca8be39b946ccadc1447533aafd3a9ab773641e661c420c65700d9960796,True,ctls,blogassets.evernote.com,443,https://blogassets.evernote.com:443,https,Google Frontend,text/html,GET,35.190.29.187,/,1637080272,35.190.29.187,HTTP/3,2405,False,,google,True,,,
brand.evernote.com,Evernote Brand Assets (Public),200,7292,AS15169,GOOGLE,US,35.186.192.0/18,www.evernote.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-22T00:00:00Z,2024-01-23T23:59:59Z,"CN=*.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.evernote.com,Evernote Corporation,evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,98ebfde89bcc623d2bbe589dc02ace15,2637630ede658430d643ec7e6543d831907340959cbbef08bde124bcc9f16e17,True,ctls,www.evernote.com,443,https://brand.evernote.com:443,https,Evernote/1.0,text/html,GET,35.186.237.46,/,,35.186.237.46,HSTS,5,False,https://www.evernote.com/shard/s308/client/snv?isnewsnv=true&noteGuid=dd9403f7-0e70-493c-91bd-42b61eb41f0a&noteKey=6e75b3d742987af2&sn=https%3A%2F%2Fwww.evernote.com%2Fshard%2Fs308%2Fsh%2Fdd9403f7-0e70-493c-91bd-42b61eb41f0a%2F6e75b3d742987af2&title=Evernote%2BBrand%2BAssets%2B%2528Public%2529,google,True,*.appspot.com,,
calendar.evernote.com,OneLogin,200,2608,AS15169,GOOGLE,US,142.250.0.0/15,evernote.onelogin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"OneLogin, Inc.",onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c1952a341e37e60484119d18f4b2051d,f78c96dac6d76696f3eecae6e0f5f543d6e4c6aafc8d2dfb1168a08860b6419b,True,ctls,evernote.onelogin.com,80,http://calendar.evernote.com:80,http,AmazonS3,text/html,GET,142.250.185.147,/,-1301046665,2a00:1450:4001:810::2013,HSTS,52,False,https://evernote.onelogin.com/login2/?return=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1cmkiOiJodHRwczovL2V2ZXJub3RlLm9uZWxvZ2luLmNvbS9sb2dpbiIsImlzcyI6Ik1PTk9SQUlMIiwiYnJhbmRfaWQiOiJtYXN0ZXIiLCJhdWQiOiJBQ0NFU1MiLCJleHAiOjE2ODM3NDY0MjcsInBhcmFtcyI6e30sImZmX211bHRpcGxlX2JyYW5kcyI6ZmFsc2UsIm1ldGhvZCI6ImdldCJ9.z6pNWi6HDr7udcCYY-rPWA5U48-R9RUdkTUOnPrgW0o#app=,,,,,
cdn1.evernote.com,,403,243,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,cdn1.evernote.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-22T00:00:00Z,2024-01-23T23:59:59Z,"CN=*.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.evernote.com,Evernote Corporation,evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,98ebfde89bcc623d2bbe589dc02ace15,2637630ede658430d643ec7e6543d831907340959cbbef08bde124bcc9f16e17,True,ctls,cdn1.evernote.com,443,https://cdn1.evernote.com:443,https,AmazonS3,application/xml,GET,2.18.161.190,/,1385405409,2.18.161.190,Amazon Web Services,2,False,,,,,,
cdn2.evernote.com,,200,231111,AS15169,GOOGLE,US,35.190.0.0/17,cdn2.evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-17T00:00:00Z,2023-11-01T23:59:59Z,"CN=*.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.evernote.com,Evernote Corporation,evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,239a5382573c71bf645958fc85a8a0fc,bce3ca8be39b946ccadc1447533aafd3a9ab773641e661c420c65700d9960796,True,ctls,cdn2.evernote.com,443,https://cdn2.evernote.com:443,https,UploadServer,application/xml,GET,35.190.29.114,/,2028370544,35.190.29.114,HTTP/3,1,False,,google,True,,,
cdn2.stage.evernote.com,,200,232963,AS15169,GOOGLE,US,130.211.32.0/20,cdn2.stage.evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.stage.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.stage.evernote.com,Evernote Corporation,stage.evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a5f3122ff4a10bcf2e409c406ca5808e,a2148590df1dfe40708f1be1e7bb6dc8e5717074ebaf71e7e23ff0eef0cae65e,True,ctls,cdn2.stage.evernote.com,443,https://cdn2.stage.evernote.com:443,https,UploadServer,application/xml,GET,130.211.36.36,/,2028370544,130.211.36.36,HTTP/3,1,False,,google,True,,,
cec.svc.evernote.com,,404,89,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.120.0.0/14,cec.svc.evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-20T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.svc.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.svc.evernote.com,Evernote Corporation,svc.evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b919ac9bdd23a55f879c0d07842249fc,67a8acfc33a7c55e135042c55922254a3c359920678f746e5e28bb73c971c70f,True,ctls,cec.svc.evernote.com,443,https://cec.svc.evernote.com:443,https,Google Frontend,application/json,GET,34.120.228.45,/,462830578,2600:1901:0:1e3d::,HTTP/3,1,False,,google,True,,,
commerce.svc.evernote.com,HTTP Status 404 – Not Found,404,751,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.80.0.0/12,commerce.svc.evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-20T00:00:00Z,2023-10-25T23:59:59Z,"CN=*.svc.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.svc.evernote.com,Evernote Corporation,svc.evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b919ac9bdd23a55f879c0d07842249fc,67a8acfc33a7c55e135042c55922254a3c359920678f746e5e28bb73c971c70f,True,ctls,commerce.svc.evernote.com,443,https://commerce.svc.evernote.com:443,https,istio-envoy,text/html,GET,34.82.194.210,/,1288456975,34.82.194.210,Envoy,1,False,,google,True,,,
content.evernote.com,Best Note Taking App - Organize Your Notes with Evernote,200,82106,AS16625,AKAMAI-AS,US,88.221.168.0/22,evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-17T00:00:00Z,2023-11-01T23:59:59Z,"CN=*.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.evernote.com,Evernote Corporation,evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,239a5382573c71bf645958fc85a8a0fc,bce3ca8be39b946ccadc1447533aafd3a9ab773641e661c420c65700d9960796,True,ctls,evernote.com,443,https://content.evernote.com:443,https,Google Frontend,text/html,GET,88.221.168.234,/,-1545075354,88.221.168.234,HTTP/3,2405,False,https://evernote.com/,,,,,
corpassets.evernote.com,Best Note Taking App - Organize Your Notes with Evernote,200,82106,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,corpassets.evernote.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-22T00:00:00Z,2024-01-23T23:59:59Z,"CN=*.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.evernote.com,Evernote Corporation,evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,98ebfde89bcc623d2bbe589dc02ace15,2637630ede658430d643ec7e6543d831907340959cbbef08bde124bcc9f16e17,True,ctls,corpassets.evernote.com,443,https://corpassets.evernote.com:443,https,Google Frontend,text/html,GET,2.19.228.218,/,1637080272,2.19.228.218,HSTS,2405,False,,,,,,
cscan.evernote.com,HTTP Status 404 – Not Found,404,704,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.110.0.0/19,cscan.evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-17T00:00:00Z,2023-11-01T23:59:59Z,"CN=*.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.evernote.com,Evernote Corporation,evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,239a5382573c71bf645958fc85a8a0fc,bce3ca8be39b946ccadc1447533aafd3a9ab773641e661c420c65700d9960796,True,ctls,cscan.evernote.com,443,https://cscan.evernote.com:443,https,Apache-Coyote,text/html,GET,34.107.249.239,/,1350389696,34.107.249.239,Java,1,False,,google,True,,,
cscan.stage.evernote.com,HTTP Status 404 – Not Found,404,704,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.102.0.0/15,cscan.stage.evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.stage.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.stage.evernote.com,Evernote Corporation,stage.evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a5f3122ff4a10bcf2e409c406ca5808e,a2148590df1dfe40708f1be1e7bb6dc8e5717074ebaf71e7e23ff0eef0cae65e,True,ctls,cscan.stage.evernote.com,443,https://cscan.stage.evernote.com:443,https,Apache-Coyote,text/html,GET,34.102.214.28,/,1350389696,34.102.214.28,Java,1,False,,google,True,,,
d5qdo4-preprod3.evernote.com,Best Note Taking App - Organize Your Notes with Evernote,200,83162,AS15169,GOOGLE,US,34.149.0.0/16,preprod3.evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-17T00:00:00Z,2023-10-23T23:59:59Z,"CN=preprod3.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",preprod3.evernote.com,Evernote Corporation,app6.preprod3.evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b53baa06a95e6ff94d75237abc3cf6ee,6c556d8c3575312bc67e34ccb258f1aef51de91623ff549af4077ddf3db2ca47,,ctls,preprod3.evernote.com,443,https://d5qdo4-preprod3.evernote.com:443,https,Google Frontend,text/html,GET,34.149.28.231,/,-1545075354,34.149.28.231,HTTP/3,2141,False,https://preprod3.evernote.com/,google,True,,,
dashboard.svc.www.evernote.com,,403,111,AS15169,GOOGLE,US,35.190.0.0/17,dashboard.svc.www.evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-02-02T23:59:59Z,"CN=*.svc.www.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.svc.www.evernote.com,Evernote Corporation,svc.www.evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,873d27db78df14a85280ee9fe26c4bfb,e895491aeb66a7c02b09b2e2f240466a86577ce0ce84453f8cdc732a4e6c8ab2,True,ctls,dashboard.svc.www.evernote.com,443,https://dashboard.svc.www.evernote.com:443,https,UploadServer,application/xml,GET,35.190.3.250,/,1343071695,35.190.3.250,HTTP/3,1,False,,google,True,,,
dev.evernote.com,Home - Evernote Developers,200,21973,AS15169,GOOGLE,US,130.211.32.0/20,dev.evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-17T00:00:00Z,2023-11-01T23:59:59Z,"CN=*.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.evernote.com,Evernote Corporation,evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,239a5382573c71bf645958fc85a8a0fc,bce3ca8be39b946ccadc1447533aafd3a9ab773641e661c420c65700d9960796,True,ctls,dev.evernote.com,443,https://dev.evernote.com:443,https,Apache,text/html,GET,130.211.40.58,/,1637080272,130.211.40.58,ZURB Foundation,487,False,,google,True,,,
discussion.evernote.com,Evernote Community - Evernote User Forum,200,95562,AS16509,AMAZON-02,US,18.66.116.0/23,discussion.evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-01T23:59:59Z,"CN=discussion.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",discussion.evernote.com,Evernote Corporation,discussion.evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0b0d261ff4d45aedc9d5947d18a980d2,529b507757c773bf78e63e4d8b3179db9242ee4f61cb302dd586e4deabcf27a4,,ctls,discussion.evernote.com,443,https://discussion.evernote.com:443,https,Apache,text/html,GET,18.66.112.33,/,-524025707,18.66.112.61,Stimulus,2303,False,,cloudfront,True,,,
docs.evernote.com,OneLogin,200,2608,AS15169,GOOGLE,US,142.250.0.0/15,evernote.onelogin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"OneLogin, Inc.",onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c1952a341e37e60484119d18f4b2051d,f78c96dac6d76696f3eecae6e0f5f543d6e4c6aafc8d2dfb1168a08860b6419b,True,ctls,evernote.onelogin.com,80,http://docs.evernote.com:80,http,AmazonS3,text/html,GET,142.250.185.147,/,-1301046665,2a00:1450:4001:810::2013,HSTS,52,False,https://evernote.onelogin.com/login2/?return=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmkiOiJodHRwczovL2V2ZXJub3RlLm9uZWxvZ2luLmNvbS9sb2dpbiIsImlzcyI6Ik1PTk9SQUlMIiwiYnJhbmRfaWQiOiJtYXN0ZXIiLCJhdWQiOiJBQ0NFU1MiLCJleHAiOjE2ODM3NDY0MjcsInBhcmFtcyI6e30sImZmX211bHRpcGxlX2JyYW5kcyI6ZmFsc2UsIm1ldGhvZCI6ImdldCJ9.iBjuvYRGhM7cpCQf96wYWWhISz0Gdpv2za9p0Dm8lQY#app=,,,,,
dots.evernote.com,Best Note Taking App - Organize Your Notes with Evernote,200,82106,AS15169,GOOGLE,US,35.186.192.0/18,evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-17T00:00:00Z,2023-11-01T23:59:59Z,"CN=*.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.evernote.com,Evernote Corporation,evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,239a5382573c71bf645958fc85a8a0fc,bce3ca8be39b946ccadc1447533aafd3a9ab773641e661c420c65700d9960796,True,ctls,evernote.com,443,https://dots.evernote.com:443,https,Google Frontend,text/html,GET,35.186.237.46,/,-1304024864,35.186.237.46,HTTP/3,2405,False,https://evernote.com/,google,True,,,
email-assets.evernote.com,,200,85,AS15169,GOOGLE,US,35.241.0.0/18,email-assets.evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T05:27:11Z,2023-06-14T06:18:44Z,CN=email-assets.evernote.com,email-assets.evernote.com,,email-assets.evernote.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,fa92a3a981f051aa0422d57fdc5832e5,82e3a271dbcbc88122cf03078360684fefa9f947cf79e94e101c04253e2ef99f,,ctls,email-assets.evernote.com,443,https://email-assets.evernote.com:443,https,UploadServer,text/html,GET,35.241.31.129,/,1637080272,35.241.31.129,HTTP/3,5,False,,google,True,,,
etc.evernote.com,Best Note Taking App - Organize Your Notes with Evernote,200,82106,AS15169,GOOGLE,US,35.186.192.0/18,evernote.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-17T00:00:00Z,2023-11-01T23:59:59Z,"CN=*.evernote.com, O=Evernote Corporation, L=Redwood City, ST=California, C=US",*.evernote.com,Evernote Corporation,evernote.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,239a5382573c71bf645958fc85a8a0fc,bce3ca8be39b946ccadc1447533aafd3a9ab773641e661c420c65700d9960796,True,ctls,evernote.com,443,https://etc.evernote.com:443,https,Google Frontend,text/html,GET,35.186.237.46,/,-1304024864,35.186.237.46,HTTP/3,2405,False,https://evernote.com/,google,True,,,
