new,host,a,aaaa,cname,soa,caa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx,txt
[x],api.beam.nutanix.com,104.88.23.153,"2001:2030:4e:97::181c, 2001:2030:4e:99::181c","beam.nutanix.com.edgekey.net, e6172.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],api.console.nutanix.com,"2.17.100.147, 2.17.100.251","2a02:26f0:ab00::5c7a:d76a, 2a02:26f0:ab00::5c7a:d718","console.nutanix.com.edgekey.net, e28784.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],api.cycode.eng.nutanix.com,192.146.154.83,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],api.cycode.nutanix.com,192.146.154.83,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-109.awsdns-13.com, ns-1511.awsdns-60.org, ns-1902.awsdns-45.co.uk, ns-742.awsdns-28.net",,,,
[x],api.frame.nutanix.com,"52.200.151.81, 44.215.82.39, 54.81.63.74",,,"ns-335.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-1125.awsdns-12.org, ns-2043.awsdns-63.co.uk, ns-335.awsdns-41.com, ns-628.awsdns-14.net",,,,
[x],apidelmarcollege.xi.nutanix.com,"2.16.187.105, 2.16.187.56","2a02:26f0:3100::1735:2b70, 2a02:26f0:3100::1735:2b61","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],app.cycode.eng.nutanix.com,192.146.154.83,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],app.cycode.nutanix.com,192.146.154.83,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],ares.epoch.nutanix.com,35.244.137.189,,prod-cloud.epoch.nutanix.com,"ns-1660.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,google,,,,,
[x],artifactory.cloud-internal.nutanix.com,10.246.1.143,,,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,10.246.1.143,,
[x],asset.xi.nutanix.com,"23.213.161.208, 23.213.161.207",,"xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net",,,NOERROR,,,,,,,
[x],assets-staging.cloud.nutanix.com,23.222.45.209,"2a02:26f0:c900:28b::181c, 2a02:26f0:c900:291::181c","cloud.nutanix.com.edgekey.net, e6172.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],assets-staging.console.nutanix.com,"95.101.74.149, 95.101.74.143","2a02:26f0:c900:9::5f65:4a8f, 2a02:26f0:c900:9::5f65:4a95","staging.console.nutanix.com.edgekey.net, e28941.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],assets.beam.nutanix.com,"18.154.227.86, 18.154.227.81, 18.154.227.59, 18.154.227.114, 205.251.192.141, 205.251.194.40, 205.251.197.227, 205.251.198.77","2600:9000:2501:1e00:e:6a9:a200:93a1, 2600:9000:2501:2200:e:6a9:a200:93a1, 2600:9000:2501:2400:e:6a9:a200:93a1, 2600:9000:2501:2600:e:6a9:a200:93a1, 2600:9000:2501:2a00:e:6a9:a200:93a1, 2600:9000:2501:9000:e:6a9:a200:93a1, 2600:9000:2501:a200:e:6a9:a200:93a1, 2600:9000:2501:ac00:e:6a9:a200:93a1",d3l3dchf1mb7uw.cloudfront.net,"ns-141.awsdns-17.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"ns-1613.awsdns-09.co.uk, ns-141.awsdns-17.com, ns-552.awsdns-05.net, ns-1507.awsdns-60.org",,,,
[x],assets.cloud.nutanix.com,104.96.249.206,"2600:1408:7400:2aa::181c, 2600:1408:7400:2a6::181c","cloud.nutanix.com.edgekey.net, e6172.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],assets.console.nutanix.com,"2.17.100.147, 2.17.100.251","2a02:26f0:ab00::5c7a:d718, 2a02:26f0:ab00::5c7a:d76a","console.nutanix.com.edgekey.net, e28784.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],assets.nutanix.com,"13.32.121.29, 13.32.121.53, 13.32.121.81, 13.32.121.128","2600:9000:236e:da00:1e:bb71:480:93a1, 2600:9000:236e:fa00:1e:bb71:480:93a1, 2600:9000:2240:1c00:1e:bb71:480:93a1, 2600:9000:2240:2200:1e:bb71:480:93a1, 2600:9000:2240:2e00:1e:bb71:480:93a1, 2600:9000:2240:8400:1e:bb71:480:93a1, 2600:9000:2240:9200:1e:bb71:480:93a1, 2600:9000:236e:1400:1e:bb71:480:93a1",d39wmw2c4xh4wi.cloudfront.net,"ns-1048.awsdns-03.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"ns-260.awsdns-32.com, ns-876.awsdns-45.net, ns-1048.awsdns-03.org, ns-1629.awsdns-11.co.uk",,,,
[x],authcmsinternal.xi.nutanix.com,"2.20.143.80, 2.20.142.17","2a02:26f0:e8::6856:6ec2, 2a02:26f0:e8::6856:6ec1","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],backend-dev.test-xi-leap-readiness.nutanix.com,"10.197.28.16, 10.197.28.166",,,"ns-881.awsdns-46.net, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-1140.awsdns-14.org, ns-1811.awsdns-34.co.uk, ns-343.awsdns-42.com, ns-881.awsdns-46.net",True,"10.197.28.16, 10.197.28.166",,
[x],backend-dev.xi-leap-test-failover.nutanix.com,"10.197.28.16, 10.197.28.166",,,"ns-579.awsdns-08.net, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-1125.awsdns-12.org, ns-1951.awsdns-51.co.uk, ns-292.awsdns-36.com, ns-579.awsdns-08.net",True,"10.197.28.16, 10.197.28.166",,
[x],backupsgit.xi.nutanix.com,"95.101.111.147, 95.101.111.146","2a02:26f0:3500:14::1724:a247, 2a02:26f0:3500:14::1724:a24a","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],bas2-7-prd.xi.nutanix.com,"95.101.111.147, 95.101.111.146","2a02:26f0:480:23::1726:62b1, 2a02:26f0:480:23::1726:6297","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],bastion.cloud-internal.nutanix.com,"10.246.2.30, 10.246.1.254",,internal-security-bastion-elb-1879085767.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,"10.246.2.30, 10.246.1.254",,
[x],bcg3dw.xi-leap-test-failover.nutanix.com,"52.52.121.211, 52.8.154.250",,,"ns-1207.awsdns-22.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],beam.nutanix.com,"52.85.132.61, 52.85.132.107, 52.85.132.29, 52.85.132.38, 205.251.193.210, 205.251.194.81, 205.251.197.115, 205.251.199.109",,,"ns-1901.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"ns-1395.awsdns-46.org, ns-466.awsdns-58.com, ns-593.awsdns-10.net, ns-1901.awsdns-45.co.uk",,,"30283356.in2.mandrillapp.com, 30283356.in1.mandrillapp.com","v=spf1 include:spf.mandrillapp.com -all, _globalsign-domain-verification=_hARNXVggszyYnuPxgfXcEh1sJpzkfeVYQMP9uzV0V"
[x],bee-stg-origin.saas.nutanix.com,"2.17.100.152, 2.17.100.224",,"saas.nutanix.com.edgekey.net, e26240.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],bid463l.xi.nutanix.com,"95.101.74.137, 95.101.74.158","2a02:26f0:c900:9::5f65:4a89, 2a02:26f0:c900:9::5f65:4a9e","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],bid47zl.xi.nutanix.com,"2.16.187.105, 2.16.187.56","2a02:26f0:3100::1735:2b61, 2a02:26f0:3100::1735:2b70","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],billing.nutanix.com,104.88.29.162,,"billing.nutanix.com.edgekey.net, e14191.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],bizftp.nutanix.com,192.146.155.26,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],blr-ras.xlabs.nutanix.com,115.110.205.92,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],blr-vpn.xlabs.nutanix.com,115.110.205.93,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],blr2gp.nutanix.com,106.51.254.158,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],blrgp.nutanix.com,103.68.105.254,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],blrsa.nutanix.com,14.141.153.97,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],bootcamp.nutanix.com,"2.17.100.152, 2.17.100.224",,"bootcamp.nutanix.com.edgekey.net, e26240.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],bootcamps.nutanix.com,192.146.154.94,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],bootstrap-eng-412903.dev.dev-iam.xi.nutanix.com,"2.20.143.80, 2.20.142.17","2a02:26f0:e8::6856:6ec2, 2a02:26f0:e8::6856:6ec1","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],brand.nutanix.com,"34.236.39.139, 34.200.96.170",,c-d4cbda21d487e15e67a2fd89ab073043.frontify.com,"ns-1322.awsdns-37.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],ca.beam.nutanix.com,23.36.239.36,"2a02:26f0:1700:18f::181c, 2a02:26f0:1700:19d::181c","beam.nutanix.com.edgekey.net, e6172.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],calendar.nutanix.com,192.146.155.35,,redirect.nutanix.com,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],calm.nutanix.com,,,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,"ns-cloud-e2.googledomains.com, ns-cloud-e4.googledomains.com, ns-cloud-e1.googledomains.com, ns-cloud-e3.googledomains.com",,,,
[x],case-service.saas.nutanix.com,"92.123.189.49, 92.123.189.67",,"case-service.saas.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],cch-external-staging.staging.frame.nutanix.com,"35.168.79.180, 54.173.144.13, 3.208.239.1",,,"ns-625.awsdns-14.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],cch-staging.console.nutanix.com,2.17.100.241,"2a02:26f0:ab00::214:8e72, 2a02:26f0:ab00::214:8e79","staging.console.nutanix.com.edgekey.net, e28941.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],cch-staging.staging.frame.nutanix.com,"35.168.79.180, 3.208.239.1, 54.173.144.13",,cch-external-staging.staging.frame.nutanix.com,"ns-625.awsdns-14.net, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-1302.awsdns-34.org, ns-1801.awsdns-33.co.uk, ns-427.awsdns-53.com, ns-625.awsdns-14.net",,,,
[x],ccpdb-po-13p.xi.nutanix.com,"95.101.111.147, 95.101.111.146","2a02:26f0:3500:14::1724:a24a, 2a02:26f0:3500:14::1724:a247","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],cdn.beam.nutanix.com,"18.66.122.104, 18.66.122.60, 18.66.122.30, 18.66.122.99",,,"ns-1901.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,
[x],chefv3.xi.nutanix.com,"92.123.189.67, 92.123.189.49",,"xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],citrixready.nutanix.com,66.151.134.245,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],cloud-emmanuel.xi.nutanix.com,"23.61.11.184, 23.61.11.175","2600:1408:7400::17de:4fa9, 2600:1408:7400::17de:4ff3","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],cloud-internal.nutanix.com,"54.85.30.249, 54.211.58.51, 44.193.107.184",,,"ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-310.awsdns-38.com, ns-1001.awsdns-61.net, ns-1502.awsdns-59.org, ns-1750.awsdns-26.co.uk",,,,
[x],cloud.nutanix.com,23.221.248.95,"2a02:26f0:c900:291::181c, 2a02:26f0:c900:28b::181c","cloud.nutanix.com.edgekey.net, e6172.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],cm.epoch.nutanix.com,"216.239.38.53, 216.239.32.53, 216.239.34.53, 216.239.36.53","2001:4860:4802:34::35, 2001:4860:4802:38::35, 2001:4860:4802:36::35, 2001:4860:4802:32::35",node-server-2o43ku7jda-uc.a.run.app,"ns1.google.com, dns-admin.google.com",,NOERROR,,,,,,,
[x],codereview.nutanix.com,142.250.186.211,,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",,NOERROR,,,,,,,
[x],collector-blue.nutanix.com,95.100.66.77,,"collector-blue.nutanix.com.edgekey.net, e14191.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],collector-green.nutanix.com,23.197.143.49,,"collector-green.nutanix.com.edgekey.net, e14191.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],common.nutanix.com,64.233.164.121,2a00:1450:4010:c07::79,ghs.google.com,"ns1.google.com, dns-admin.google.com",,NOERROR,,,,,,,
[x],confluence.eng.nutanix.com,192.146.155.44,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],connect.nutanix.com,"104.17.74.206, 104.17.72.206, 104.17.73.206, 104.17.71.206, 104.17.70.206",,"nutanix.mktoweb.com, sjh.mktossl.com","bart.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,
[x],console.nutanix.com,"2.16.187.67, 2.16.187.33","2a02:26f0:3100::1735:2b70, 2a02:26f0:3100::1735:2b99","console.nutanix.com.edgekey.net, e28784.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],cookie.user-authn-testingbranch7-2.dev.dev-iam.xi.nutanix.com,"95.101.74.158, 95.101.74.137","2a02:26f0:c900:9::5f65:4a9e, 2a02:26f0:c900:9::5f65:4a89","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],cpanel-auth-prod.cloud-internal.nutanix.com,"54.85.30.249, 44.193.107.184, 54.211.58.51",,prod-cpanel-elb-1410090682.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],cpanel-auth-staging.staging.frame.nutanix.com,"54.84.138.1, 3.220.113.27, 54.197.59.113",,staging-cpanel-elb-675982204.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],cpanel-backend-devtest.dev.frame.nutanix.com,54.83.58.104,,,"ns-1036.awsdns-01.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],cpanel-backend-prod.frame.nutanix.com,"44.215.82.39, 54.81.63.74, 52.200.151.81",,prod-cpanel-elb-908440340.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],cpanel-backend-staging.console.nutanix.com,"2.16.187.107, 2.16.187.155","2a02:26f0:3100::1735:2bb0, 2a02:26f0:3100::1725:e253","staging.console.nutanix.com.edgekey.net, e28941.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],cpanel-backend-staging.staging.frame.nutanix.com,"54.197.59.113, 3.220.113.27, 54.84.138.1",,staging-cpanel-elb-675982204.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],cpanel-backend-sysanjasis.dev.frame.nutanix.com,52.71.88.231,,,"ns-1036.awsdns-01.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],cpanel-backend.cloud.nutanix.com,"44.193.107.184, 54.85.30.249, 54.211.58.51",,prod-cpanel-elb-1410090682.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],cpanel-frontend-prod.cloud-internal.nutanix.com,"44.193.107.184, 54.85.30.249, 54.211.58.51",,prod-cpanel-elb-1410090682.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],cpanel-frontend-prod.frame.nutanix.com,"54.81.63.74, 44.215.82.39, 52.200.151.81",,prod-cpanel-elb-908440340.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],cpanel-frontend-staging.staging.frame.nutanix.com,"54.84.138.1, 3.220.113.27, 54.197.59.113",,staging-cpanel-elb-675982204.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],cpanel-messaging-prod.frame.nutanix.com,"52.200.151.81, 54.81.63.74, 44.215.82.39",,prod-cpanel-elb-908440340.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],crm-service.nutanix.com,35.196.4.145,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,google,,,,,
[x],data-v3-devenvexchangedns.xi.nutanix.com,"2.17.100.152, 2.17.100.224","2a02:26f0:ab00::214:8e48, 2a02:26f0:ab00::214:8e70","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],datalens-dev.nutanix.com,23.199.211.98,,"datalens.nutanix.com.edgekey.net, e9966.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],datalens-qa.nutanix.com,23.199.211.98,,"datalens.nutanix.com.edgekey.net, e9966.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],datalens-scale.nutanix.com,104.102.35.93,,"datalens.nutanix.com.edgekey.net, e9966.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],datalens-stage.nutanix.com,104.102.35.93,,"datalens.nutanix.com.edgekey.net, e9966.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],datalens.nutanix.com,23.199.211.98,,"datalens.nutanix.com.edgekey.net, e9966.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],dataportal-green.ds.nutanix.com,"52.205.39.78, 35.153.165.89, 54.210.214.199",,,"ns-1968.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],dataportal.nutanix.com,"52.205.39.78, 54.210.214.199, 35.153.165.89",,"dataportal.ds.nutanix.com, dataportal-green.ds.nutanix.com","ns-1968.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],demo-beta.nutanix.com,"80.239.150.51, 80.239.150.65",,"demo-beta.nutanix.com.edgekey.net, e26240.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],demo-billing-api.nutanix.com,"2.17.100.152, 2.17.100.224",,"demo-billing-api.nutanix.com.edgekey.net, e26240.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],demo-billing-jobs.nutanix.com,"2.17.100.224, 2.17.100.152",,"demo-billing-jobs.nutanix.com.edgekey.net, e26240.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],demo-licensing.nutanix.com,95.100.66.77,,"demo-licensing.nutanix.com.edgekey.net, e14191.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],demo-my.nutanix.com,"2.16.187.56, 2.16.187.105",,"demo-my.nutanix.com.edgekey.net, e26240.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],demo-origin.nutanix.com,192.146.154.38,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],demo-portal.nutanix.com,104.81.239.107,,"demo-portal.nutanix.com.edgekey.net, e9966.b.akamaiedge.net",,,NOERROR,,,,,,,
[x],demo-stage.nutanix.com,192.146.154.37,,,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],demo.nutanix.com,"2.17.100.224, 2.17.100.152",,"demo.nutanix.com.edgekey.net, e26240.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],deployment-2-9-siddhant.dev.dev-iam.xi.nutanix.com,"95.101.74.137, 95.101.74.158","2a02:26f0:c900:9::5f65:4a9e, 2a02:26f0:c900:9::5f65:4a89","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],deployment-aws-iam.dev.stage-iam.xi.nutanix.com,,,,"ns-1676.awsdns-17.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],dev-analytics-api-green.nutanix.com,2.23.143.137,,"dev-analytics-api-green.nutanix.com.edgekey.net, e9966.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],dev-api.saas.nutanix.com,34.75.58.31,,,"ns-608.awsdns-12.net, awsdns-hostmaster.amazon.com",,NOERROR,True,google,,,,,
[x],dev-billing-api.nutanix.com,"2.17.100.152, 2.17.100.224",,"dev-billing-api.nutanix.com.edgekey.net, e26240.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],dev-feedback-api-blue.nutanix.com,104.102.35.93,,"dev-feedback-api-blue.nutanix.com.edgekey.net, e9966.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],dev-feedback-api-green.nutanix.com,23.199.211.98,,"dev-feedback-api-green.nutanix.com.edgekey.net, e9966.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
