new,host,soa,txt,status_code,a,mx,ns,caa,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips
[x],asnbank.nl,"a1-161.akam.net, networkservices.sns.nl","v=spf1 include:_spf.devolksbank.nl -all, 5wBsjDCNLonTd2kds69iZQLn+I1srgRIdi6gvRt7cMA=, bJp7JV93f0/HTkm3EeRk2S425mQAQVeahgxvnIcONdQ=, MS=ms53453788, QuoVadis=07e3567c-83ea-419b-b354-bcf9ef24337b, atlassian-domain-verification=LBbd4yiPz2vYHdpZZqs8ATvDIyPHio1hziQRGb2UvwAacoi3UiCuspZ+uyEqM3r4, docusign=a7dd4d3c-83c9-4c4b-9bbf-4c78094a3bac, nn9hsn4ycgnjf35w55dsmftn2ml600n1, adobe-idp-site-verification=f7521df53fc988a4f348fdc72e5d722d1fdf1f8211960f5fda74e0e2886783fd, 7y8pcnfv5zy18jmhyhbh2qv2nzgrjv1s, +1haUaVAIHmx6RWJCosQmZJQfz4Eoa8nearTvmO50D/Z9uzk3lMMAM6kjLuLli9v9qIDqAK59eo75x56xSIwvA==, docusign=beb96446-7240-449b-bba9-1fd495cb7c15",NOERROR,194.53.208.80,asnbank-nl.mail.protection.outlook.com,"a4-65.akam.net, a1-161.akam.net, a8-66.akam.net, a9-65.akam.net, a3-66.akam.net, a2-65.akam.net","mailto:networkservices@devolksbank.nl, ;, mailto:soc@devolksbank.nl, quovadisglobal.com, digicert.com, globalsign.com",,,,,,
[x],autodiscover.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,"194.53.210.21, 194.53.211.21",,,,,,,,,
[x],banksparen.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],bb-ota.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.182,,,,,,,,,
[x],bb.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.208.226,,,,,,,,,
[x],beeldbellen.blgwonen.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],beleggen.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],beleggingsfondsen.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.208.80,,,,,,,,,
[x],bouwstenen.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],broker.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],bsp-merchant2acquirer-prod01.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],buckaroo.sign-outbound-acc.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],buckaroo.sign-outbound-prod.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],captive-login.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],d1.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,213.206.118.84,,,,,,,,,
[x],data-r1.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.129,,,,,,,,,
[x],data-r1.blgwonen.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.130,,,,,,,,,
[x],data-r1.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.132,,,,,,,,,
[x],data-r1.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.131,,,,,,,,,
[x],data.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.208.220,,,,,,,,,
[x],data.blgwonen.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.208.222,,,,,,,,,
[x],data.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.208.216,,,,,,,,,
[x],dataroom.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,,,,,,,,,,
[x],developer-ssg.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],developer.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.208.156,,,,,,,,,
[x],devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl","MS=ms57524235, k8dp7ppwy3kmpd49hzmdfk3z50fgmz3y, v=spf1 include:_spf.devolksbank.nl -all, FquYj8H9DvzkKtGGBOuUHTUFmRnZsks7Y+i3U0ul9RY=, mXbETCqfnSaUba3nErSTLHxfvT4d3FDXnb6pSCVHmm8=, nNOXghQTDNjG+ImbSEqPpO3AX4kwrWDZqYmr025PC+o=, QuoVadis=994eb400-3178-459c-8b03-659e4da2b120, docusign=36b0be5b-4a07-42ac-9366-9d73c295587b, docusign=ebcc0f99-49c1-4dcb-b8e2-3f7eb9ccfe67, O8IK2ItP+4sh6vmKekE6eR6hgZJoIf9TfdoMZk06LTYVfp3IrpxhudYvm5CsEe8paGLcNRkN+gfQfwkrJX4rsg==, adobe-idp-site-verification=f7521df53fc988a4f348fdc72e5d722d1fdf1f8211960f5fda74e0e2886783fd, atlassian-domain-verification=LBbd4yiPz2vYHdpZZqs8ATvDIyPHio1hziQRGb2UvwAacoi3UiCuspZ+uyEqM3r4",NOERROR,213.206.118.84,devolksbank-nl.mail.protection.outlook.com,"a2-65.akam.net, a3-66.akam.net, a4-65.akam.net, a8-66.akam.net, a9-65.akam.net, a1-161.akam.net","mailto:networkservices@devolksbank.nl, mailto:soc@devolksbank.nl, digicert.com, globalsign.com, quovadisglobal.com, ;",2001:898:2000:15::84,,,,,
[x],diensten.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.208.112,,,,,,,,,
[x],diensten.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.208.112,,,,,,,,,
[x],digitaalondertekenen-acc.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.131,,,,,,,,,
[x],e-mail.asnbank.nl,"ns-435.awsdns-54.com, awsdns-hostmaster.amazon.com",,NOERROR,192.243.228.1,inbound.campaign.adobe.com,,,,e-mail.asnbank.nl.cname.campaign.adobe.com,,,,
[x],e-mail.blgwonen.nl,"ns-435.awsdns-54.com, awsdns-hostmaster.amazon.com",,NOERROR,192.243.228.1,,,,,e-mail.blgwonen.nl.cname.campaign.adobe.com,,,,
[x],e.devolksbank.nl,"ns1.flowmailer.net, contact.flowmailer.net",v=spf1 include:spf.flowmailer.net ~all,NOERROR,"185.136.65.6, 185.136.65.7, 185.136.64.6, 185.136.64.7",return.flowmailer.net,,"digicert.com, quovadisglobal.com, entrust.net, mailto:abuse@flowmailer.com, letsencrypt.org, sectigo.com",,web.flowmailer.net,,,,
[x],e.email.asnbank.nl,"ns1.flowmailer.net, contact.flowmailer.net",v=spf1 include:spf.flowmailer.net ~all,NOERROR,"185.136.65.6, 185.136.65.7, 185.136.64.6, 185.136.64.7",return.flowmailer.net,,"mailto:abuse@flowmailer.com, digicert.com, entrust.net, letsencrypt.org, quovadisglobal.com, sectigo.com",,web.flowmailer.net,,,,
[x],e.goedgeld.asnbank.nl,"ns1.flowmailer.net, contact.flowmailer.net",v=spf1 include:spf.flowmailer.net ~all,NOERROR,"185.136.65.6, 185.136.65.7, 185.136.64.6, 185.136.64.7",return.flowmailer.net,,"mailto:abuse@flowmailer.com, digicert.com, entrust.net, letsencrypt.org, quovadisglobal.com, sectigo.com",,web.flowmailer.net,,,,
[x],e.mail.devolksbank.nl,"ns1.flowmailer.net, contact.flowmailer.net",v=spf1 include:spf.flowmailer.net ~all,NOERROR,"185.136.65.6, 185.136.64.6, 185.136.64.7, 185.136.65.7",return.flowmailer.net,,"entrust.net, mailto:abuse@flowmailer.com, quovadisglobal.com, letsencrypt.org, sectigo.com, digicert.com",,web.flowmailer.net,,,,
[x],e.regiobank.nl,"ns1.flowmailer.net, contact.flowmailer.net",v=spf1 include:spf.flowmailer.net ~all,NOERROR,"185.136.65.7, 185.136.64.7, 185.136.64.6, 185.136.65.6",return.flowmailer.net,,"letsencrypt.org, sectigo.com, digicert.com, entrust.net, mailto:abuse@flowmailer.com, quovadisglobal.com",,web.flowmailer.net,,,,
[x],e.screenen.devolksbank.nl,"ns1.flowmailer.net, contact.flowmailer.net",v=spf1 include:spf.flowmailer.net ~all,NOERROR,,return.flowmailer.net,,"mailto:abuse@flowmailer.com, quovadisglobal.com, entrust.net, sectigo.com, digicert.com, letsencrypt.org",,web.flowmailer.net,,,,
[x],e.ssm-tls.devolksbank.nl,"ns1.flowmailer.net, contact.flowmailer.net",v=spf1 include:spf.flowmailer.net ~all,NOERROR,"185.136.64.6, 185.136.65.6, 185.136.65.7, 185.136.64.7",return.flowmailer.net,,"mailto:abuse@flowmailer.com, quovadisglobal.com, entrust.net, sectigo.com, digicert.com, letsencrypt.org",,web.flowmailer.net,,,,
[x],email.devolksbank.nl,"ns1.as51514.net, operations.spotler.services",v=spf1 include:mailplus.nl -all,NOERROR,"46.31.51.36, 46.31.51.38, 46.31.51.37, 46.31.51.35",,,"digicert.com, entrust.net, letsencrypt.org, mailto:caa@spotler.services","2a02:23e8:200::49:154, 2a02:23e8:200::49:153",clicks.mailplus.nl,,,,
[x],enterpriseenrollment.asnbank.nl,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,52.236.189.96,,,,,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com",,,,
[x],enterpriseenrollment.devolksbank.nl,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,52.236.189.96,,,,,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com",True,azure,,
[x],enterpriseenrollment.regiobank.nl,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,13.74.111.192,,,,,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com",True,azure,,
[x],enterpriseregistration.regiobank.nl,"internal.akadns.net, hostmaster.akamai.com, tm1.dns-tm.com, hostmaster.trafficmanager.net",,NOERROR,20.190.137.40,,,,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net, www.tm.prd.adrs.akadns.net",True,azure,,
[x],extranet-pp1.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.151,,,,2a03:a8e0:feff:ffff::199,gw-pp.devolksbank.nl,,,,
[x],extranet-qfx1.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,,,,,,gw-qfx.devolksbank.nl,,,,
[x],extranet-r1.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.150,,,,,gw-r1.devolksbank.nl,,,,
[x],extranet-t2.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],extranet.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",V=SPF1 -all,NOERROR,194.53.208.96,,,,,,,,,
[x],fb.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.210.104,,,,,,,,,
[x],fototool.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.210.102,,,,2a03:a8e0:efff:2873::ad0:d466,,,,,
[x],ftponesource.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],generiek.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,,,,,2a03:a8e0:ff00:1000::96,,,,,
[x],goedgeld.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 include:_spf.devolksbank.nl include:mailplus.nl -all,NOERROR,,goedgeld-asnbank-nl.mail.protection.outlook.com,,,,,,,,
[x],goedgeldtest.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],gw-diensten.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.208.112,,,,,,,,,
[x],gw-pp.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.151,,,,2a03:a8e0:feff:ffff::199,,,,,
[x],gw-qfx.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.149,,,,,,,,,
[x],gw-r1.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.150,,,,,,,,,
[x],gw-t1.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,,,,,2a03:a8e0:feff:ffff::196,,,,,
[x],hdn-ams.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.210.12,,,,,,,,,
[x],hdn-zwl.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.12,,,,,,,,,
[x],hypotheken.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],hypotheken.r1.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],ideaal.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],ideal.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],ideal.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],idealsigning-prod01.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],idealsigning-prod01.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],img.zakelijkfinancieren-a1.blgwonen.nl,"jim.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"104.17.102.89, 104.17.104.89, 104.17.105.89, 104.17.106.89, 104.17.103.89",,,"comodoca.com, letsencrypt.org, entrust.net, digicert.com, globalsign.com",,img.mailin.fr,True,cloudflare,,
[x],img.zakelijkfinancieren.regiobank.nl,"jim.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"104.17.106.89, 104.17.105.89, 104.17.104.89, 104.17.102.89, 104.17.103.89",,,"letsencrypt.org, comodoca.com, digicert.com, entrust.net, globalsign.com",,img.mailin.fr,True,cloudflare,,
[x],impactfestival.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1  ip4:37.97.169.10 -all,NOERROR,,,,,2a01:7c8:aac0:10d:5054:ff:fe14:ac48,,,,,
[x],innovatie.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],insite.devolksbank.nl,"ns0.leaseweb.nl, postmaster.leaseweb.nl",,NOERROR,185.46.182.62,,,,,87220.afasinsite.nl,,,,
[x],jaarverslag.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,,,,,,,,,,
[x],jubileum.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,64.227.72.21,,,,,,,,,
[x],lyncdiscover.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],lyncdiscover.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],lyncdiscover.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],m-o1.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,,,,,,,,,,
[x],m-pp.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],m-pre.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.151,,,,2a03:a8e0:feff:ffff::199,gw-pp.devolksbank.nl,,,,
[x],m-qfx.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],m-qfx.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.149,,,,,gw-qfx.devolksbank.nl,,,,
[x],m-r1.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.150,,,,,gw-r1.devolksbank.nl,,,,
[x],m-r1.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],m-t1.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],m-t1.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.148,,,,2a03:a8e0:feff:ffff::196,gw-t1.devolksbank.nl,,,,
[x],m-t1.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],m-t2.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.148,,,,2a03:a8e0:feff:ffff::196,gw-t1.devolksbank.nl,,,,
[x],m-t2.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],m-t3.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],m-t3.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.142,,,,,gw-t2.devolksbank.nl,,,,
[x],m-t3.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],m.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,194.53.208.104,,,,2a03:a8e0:ff00:1000::104,,,,,
[x],m.e-mail.asnbank.nl,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",,NOERROR,"54.220.165.89, 52.212.70.142",,,,,"m.e-mail.asnbank.nl.cname.campaign.adobe.com, snsbank-mkt-prod1-0xeyh-2130811636.eu-west-1.elb.amazonaws.com",,,,
[x],m.e-mail.blgwonen.nl,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,"m.e-mail.blgwonen.nl.cname.campaign.adobe.com, snsbank-mkt-prod1-sqfrg-1610848158.eu-west-1.elb.amazonaws.com",,,,
[x],m.e-mail.regiobank.nl,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",,NOERROR,"34.253.84.13, 52.209.13.142",,,,,"m.e-mail.regiobank.nl.cname.campaign.adobe.com, snsbank-mkt-prod1-uq8xb-1491737979.eu-west-1.elb.amazonaws.com",,,,
[x],mail.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,,,,,,,,,,
[x],mail.internal.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,"10.208.136.31, 10.192.136.31",,,,,,,,True,"10.208.136.31, 10.192.136.31"
[x],mail01.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.210.60,,,,,,,,,
[x],mail02.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.60,,,,,,,,,
[x],mail03.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,,,,,,,,,,
[x],mail04.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.32,,,,,,,,,
[x],marktonderzoek.asnbank.nl,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"143.204.231.69, 143.204.231.40, 143.204.231.6, 143.204.231.36",marktonderzoek-asnbank-nl.mail.protection.outlook.com,,,,marktonderzoekasnbanknl.customdomain.chkmkt.com,True,cloudfront,,
[x],marktonderzoek.regiobank.nl,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com","amazonses:1GRTaXe0gM6DV0khHV/WtbZXscD8fFkcZAFpHutrXnQ=, v=spf1 include:chkmkt.com include:spf.protection.outlook.com -all",NOERROR,"18.160.41.129, 18.160.41.58, 18.160.41.18, 18.160.41.120",marktonderzoek-regiobank-nl.mail.protection.outlook.com,,amazonaws.com,"2600:9000:24f2:a600:12:fa7a:5c40:93a1, 2600:9000:24f2:7600:12:fa7a:5c40:93a1, 2600:9000:24f2:2400:12:fa7a:5c40:93a1, 2600:9000:24f2:d000:12:fa7a:5c40:93a1, 2600:9000:24f2:7200:12:fa7a:5c40:93a1, 2600:9000:24f2:3800:12:fa7a:5c40:93a1, 2600:9000:24f2:c600:12:fa7a:5c40:93a1, 2600:9000:24f2:a800:12:fa7a:5c40:93a1",marktonderzoekregiobanknl.customdomain.chkmkt.com,True,cloudfront,,
[x],messaging.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,87.233.203.183,,,,2001:9a8:a6:0:87:233:203:183,,,,,
[x],mijn.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],mijnkantoor-ota.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],mijnkantoor-qfx.blgwonen.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.149,,,,,gw-qfx.devolksbank.nl,,,,
[x],mijnkantoor-qfx.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.149,,,,,gw-qfx.devolksbank.nl,,,,
[x],mijnkantoor-r1.blgwonen.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.150,,,,,gw-r1.devolksbank.nl,,,,
[x],mijnkantoor-r1.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.150,,,,,gw-r1.devolksbank.nl,,,,
[x],mijnkantoor-t1.blgwonen.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.148,,,,2a03:a8e0:feff:ffff::196,gw-t1.devolksbank.nl,,,,
[x],mijnkantoor-t2.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.148,,,,2a03:a8e0:feff:ffff::196,gw-t1.devolksbank.nl,,,,
[x],mijnkantoor.blgwonen.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,194.53.208.96,,,,2a03:a8e0:ff00:1000::96,generiek.devolksbank.nl,,,,
[x],mijnkantoor.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.208.96,,,,,,,,,
[x],mx1.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,,,,,,,,,,
[x],nieuws.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,,,,,,,,,,
