input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,csp_domains_,final_url,tls_mismatched
https://cdn.mxpnl.com,Page not found - Mixpanel | Product Analytics,404,3310,AS15169,GOOGLE,US,130.211.32.0/20,cdn.mxpnl.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-11T00:00:00Z,2023-07-28T23:59:59Z,CN=*.mxpnl.com,*.mxpnl.com,mxpnl.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",44850e2537d45b41ce620b2ebad2674c,3546f8014e0506436a5bfe879ff2c89f868b92da2e63590e25c67e3a1013149f,True,ctls,cdn.mxpnl.com,google,443,https://cdn.mxpnl.com:443,https,UploadServer,text/html,GET,130.211.5.208,/,-1155933505,2600:1901:0:498c::,HTTP/3,105,False,True,,,,
https://chat.fuguchat.com,Help Center,200,1259,AS16509,AS16509,Unknown,54.248.0.0/13,chat.fuguchat.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-13T00:00:00Z,2023-05-17T23:59:59Z,CN=*.fuguchat.com,*.fuguchat.com,fuguchat.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,24497ad2277af3db70430109ed0d81fd,28886e92d2b7bca93602c094682b5b7f07ad0dc1636c3cf304d0aa696d729a08,True,ctls,chat.fuguchat.com,,443,https://chat.fuguchat.com:443,https,nginx/1.18.0,text/html,GET,54.245.158.62,/,-1255347784,54.245.158.62,Nginx:1.18.0,1,False,,,,,
https://cimg.smallcase.com,,200,5040,AS16509,AMAZON-02,US,18.66.102.0/24,cimg.smallcase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-10T23:59:59Z,CN=smallcase.com,smallcase.com,*.smallcase.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0befa8a2e89673702452f72ddc1ac324,3f3088b71a65e544889a01329aa3c0807383892641bf66a216417a08ccd4eaef,True,ctls,cimg.smallcase.com,cloudfront,443,https://cimg.smallcase.com:443,https,AmazonS3,image/png,GET,18.66.97.108,/,681087627,18.66.97.18,Amazon Web Services,17,False,True,,,https://cimg.smallcase.com/adhoc.png,
https://cms.smallcase.com,Welcome to your Strapi app,200,3487,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,cms.smallcase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,2024-02-26T23:59:59Z,CN=*.smallcase.com,*.smallcase.com,*.smallcase.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7195dd4b46dc0825b7c5346635b57c16,c1cfcc21d915eeb4fa54e54e81e2d5b561ace3d1fd9109473f73cba27d415379,True,ctls,cms.smallcase.com,cloudfront,443,https://cms.smallcase.com:443,https,,text/html,GET,108.138.17.98,/,-1587809317,108.138.17.22,Strapi,37,False,True,,,,
https://config.smallcase.com,,403,243,AS16509,AMAZON-02,US,18.66.144.0/22,config.smallcase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,2024-02-26T23:59:59Z,CN=*.smallcase.com,*.smallcase.com,*.smallcase.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7195dd4b46dc0825b7c5346635b57c16,c1cfcc21d915eeb4fa54e54e81e2d5b561ace3d1fd9109473f73cba27d415379,True,ctls,config.smallcase.com,cloudfront,443,https://config.smallcase.com:443,https,AmazonS3,application/xml,GET,18.66.147.116,/,1601427437,18.66.147.114,Amazon Web Services,2,False,True,,,,
https://googleads.g.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,AS15169,GOOGLE,US,142.250.0.0/15,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,,443,https://googleads.g.doubleclick.net:443,https,sffe,text/html,GET,142.250.186.34,/,-1184133586,2a00:1450:4001:827::2002,HTTP/3,2179,False,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/enterprise/,
https://pagead2.googlesyndication.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,216.58.192.0/19,pagead2.googlesyndication.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:03Z,2023-07-17T11:56:02Z,CN=*.g.doubleclick.net,*.g.doubleclick.net,media.admob.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7537813f9cec62d62aeeb713a1d681b1,60265b3d3be43ac96f8f845506ba2d564b975a23d4b654ac18c63f2efaac49d0,True,ctls,pagead2.googlesyndication.com,,443,https://pagead2.googlesyndication.com:443,https,sffe,text/html,GET,216.58.212.130,/,-1184133586,2a00:1450:4001:806::2002,HTTP/3,12,False,,,,,True
https://sentry.smallcase.com,Login | Sentry,200,4481,AS16509,AS16509,Unknown,13.232.0.0/13,sentry.smallcase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-12T00:00:00Z,2024-03-13T23:59:59Z,CN=*.smallcase.com,*.smallcase.com,smallcase.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e7b09149e9ed8e1bfbab4a4933a6ccfb,590ff4f13f6068fca7020ec597fcd3af5644306ae49e7a2b01374a0ab5c841c3,True,ctls,sentry.smallcase.com,,443,https://sentry.smallcase.com:443,https,nginx,text/html,GET,13.234.206.111,/,-1840324437,35.154.133.127,Python,141,False,,,,https://sentry.smallcase.com/auth/login/smallcase/,
https://sentry.smallcase.com/api/16/security/?sentry_key=aeb9400f194b4c61926366dae1e607c9,,404,22,AS16509,AS16509,Unknown,13.232.0.0/13,sentry.smallcase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-12T00:00:00Z,2024-03-13T23:59:59Z,CN=*.smallcase.com,*.smallcase.com,smallcase.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e7b09149e9ed8e1bfbab4a4933a6ccfb,590ff4f13f6068fca7020ec597fcd3af5644306ae49e7a2b01374a0ab5c841c3,True,ctls,sentry.smallcase.com,,443,https://sentry.smallcase.com:443/api/16/security/?sentry_key=aeb9400f194b4c61926366dae1e607c9,https,nginx,application/json,GET,13.234.206.111,/api/16/security/?sentry_key=aeb9400f194b4c61926366dae1e607c9,-1840324437,35.154.133.127,Nginx,1,False,,,,,
https://www.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,AS15169,GOOGLE,US,172.217.0.0/19,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,,443,https://www.google-analytics.com:443,https,sffe,text/html,GET,172.217.16.206,/,302920777,2001:4860:4802:32::178,HTTP/3,1831,False,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,
https://www.googleadservices.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,www.googleadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:50Z,2023-07-17T12:00:49Z,CN=www.googleadservices.com,www.googleadservices.com,www.googleadservices.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,8f1dbd8a3af112f94f4265d9061b6cf8,627ad86ad5f417259b4442761f58f6de69a622f4f34d2f64412100ca00274524,,ctls,www.googleadservices.com,,443,https://www.googleadservices.com:443,https,sffe,text/html,GET,142.250.185.226,/,302920777,142.250.185.226,HTTP/3,12,False,,,,,
https://www.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,AS15169,GOOGLE,US,172.217.0.0/19,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,True,ctls,www.googletagmanager.com,,443,https://www.googletagmanager.com:443,https,Google Tag Manager,text/html,GET,172.217.16.200,/,302920777,2a00:1450:4001:831::2008,HTTP/3,12,False,,,,,True
kite.zerodha.com,Kite - Zerodha's fast and elegant flagship trading platform,200,5377,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,kite.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a19a806a7b1d7d449ea874d771a5476,c95154c535e3cba44cacf725920939558b87777c7012a55d9a954a8954e4e4a6,True,ctls,kite.zerodha.com,cloudflare,443,https://kite.zerodha.com:443,https,cloudflare,text/html,GET,104.17.217.15,/,-515958762,2606:4700::6811:da0f,HTTP/3,9,False,True,"Cloudflare, Inc.",https://microapps.google.com/,,
m.zerodha.com,,403,,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,m.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a19a806a7b1d7d449ea874d771a5476,c95154c535e3cba44cacf725920939558b87777c7012a55d9a954a8954e4e4a6,True,ctls,m.zerodha.com,cloudflare,443,https://m.zerodha.com:443,https,cloudflare,text/plain,GET,104.17.217.15,/,-1840324437,2606:4700::6811:da0f,HTTP/3,1,False,True,"Cloudflare, Inc.",,,
mail.zerodha.com,ETS Securities,200,9140,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,mail.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a19a806a7b1d7d449ea874d771a5476,c95154c535e3cba44cacf725920939558b87777c7012a55d9a954a8954e4e4a6,True,ctls,mail.zerodha.com,cloudflare,443,https://mail.zerodha.com:443,https,cloudflare,text/html,GET,104.17.218.15,/,566218143,2606:4700::6811:da0f,HTTP/3,172,False,True,"Cloudflare, Inc.",,,
mf.zerodha.com,Just a moment...,429,6095,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,,,,,,,,,,,,,,,,,,cloudflare,80,http://mf.zerodha.com:80,http,cloudflare,text/html,GET,104.17.217.15,/,-1916299508,2606:4700::6811:d90f,HTTP/3,87,False,True,,,,
partner.zerodha.com,Partner Portal,200,4521,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,partner.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a19a806a7b1d7d449ea874d771a5476,c95154c535e3cba44cacf725920939558b87777c7012a55d9a954a8954e4e4a6,True,ctls,partner.zerodha.com,cloudflare,443,https://partner.zerodha.com:443,https,cloudflare,text/html,GET,104.17.217.15,/,-909858089,2606:4700::6811:d90f,HTTP/3,147,False,True,"Cloudflare, Inc.",,,
pulse.zerodha.com,Pulse by Zerodha - Latest financial and market news from all major Indian news sources aggregated in one place - Pulse,200,518605,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,pulse.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a19a806a7b1d7d449ea874d771a5476,c95154c535e3cba44cacf725920939558b87777c7012a55d9a954a8954e4e4a6,True,ctls,pulse.zerodha.com,cloudflare,443,https://pulse.zerodha.com:443,https,cloudflare,text/html,GET,104.17.218.15,/,-1740510976,2606:4700::6811:d90f,PHP,3822,False,True,"Cloudflare, Inc.",,,
sensibull.zerodha.com,Sensibull | India's first Option Trading Platform,200,10499,AS16509,AS16509,Unknown,35.160.0.0/13,sensibull.zerodha.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-19T07:30:55Z,2023-07-18T07:30:54Z,CN=sensibull.zerodha.com,sensibull.zerodha.com,sensibull.zerodha.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8a37bed4fb44721aebdff72d2b8032ef,d43fa5e56dccd85320dc69dd595d2677d48d832b8b183342f226e748d39802eb,,ctls,sensibull.zerodha.com,,443,https://sensibull.zerodha.com:443,https,nginx,text/html,GET,35.154.235.167,/,10979745,35.154.235.167,Nginx,1,False,,,https://7eae552da389ebb083bedadbd9428ed2.report-uri.com/r/d/csp/reportOnly,,
smallcase.zerodha.com,Invest in ideas | smallcases on Zerodha,200,29007,AS16509,AMAZON-02,US,18.66.116.0/23,smallcase.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-25T00:00:00Z,2023-06-17T23:59:59Z,CN=smallcase.zerodha.com,smallcase.zerodha.com,www.smallcase.zerodha.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b9524d0e456ee412e14b1e616133895,59b6bc7b9ba2df9830e736acb6a651f78c69b2d41458ddd2a51a40ed3da177a9,,ctls,smallcase.zerodha.com,cloudfront,443,https://smallcase.zerodha.com:443,https,AmazonS3,text/html,GET,18.66.112.67,/,573475626,18.66.112.89,React,5,False,True,,https://www.google-analytics.com,,
staticassets.zerodha.com,,403,255,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,staticassets.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a19a806a7b1d7d449ea874d771a5476,c95154c535e3cba44cacf725920939558b87777c7012a55d9a954a8954e4e4a6,True,ctls,staticassets.zerodha.com,cloudflare,443,https://staticassets.zerodha.com:443,https,cloudflare,application/xml,GET,104.17.218.15,/,-847877140,2606:4700::6811:da0f,HTTP/3,2,False,True,"Cloudflare, Inc.",,,
stockreports.zerodha.com,Does Zerodha support Stockreports+?,200,25490,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,support.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a19a806a7b1d7d449ea874d771a5476,c95154c535e3cba44cacf725920939558b87777c7012a55d9a954a8954e4e4a6,True,ctls,support.zerodha.com,cloudflare,443,https://stockreports.zerodha.com:443,https,cloudflare,text/html,GET,104.17.218.15,/,312098049,2606:4700::6811:d90f,HTTP/3,752,False,True,"Cloudflare, Inc.",,https://support.zerodha.com/category/trading-and-markets/other-platforms/pi-and-other-platforms/articles/subscription-stockreports,
