new,host,a,soa,has_internal_ips,internal_ips,status_code,cdn,cdn-name,ns,cname,aaaa,caa,mx,txt
,auth.trint.com,"13.227.219.48, 13.227.219.109, 13.227.219.94, 13.227.219.38","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,beta.eu.trint.com,"13.227.219.36, 13.227.219.20, 13.227.219.55, 13.227.219.49","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,beta.trint.com,"13.225.34.72, 13.225.34.29, 13.225.34.47, 13.225.34.33","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,"2600:9000:219c:c000:17:3906:ca00:93a1, 2600:9000:219c:6200:17:3906:ca00:93a1, 2600:9000:219c:9000:17:3906:ca00:93a1, 2600:9000:219c:3400:17:3906:ca00:93a1, 2600:9000:219c:a800:17:3906:ca00:93a1, 2600:9000:219c:3a00:17:3906:ca00:93a1, 2600:9000:219c:cc00:17:3906:ca00:93a1, 2600:9000:219c:1800:17:3906:ca00:93a1",,,
,blog.trint.com,,"jerry.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,"3918477g27.secure0158.hubspot.net, 3918477.group27.sites.hubspot.net, group27.sites.hscoscdn20.net",,,,
,cdn.fs.trint.com,,"ns1.fastly.net, hostmaster.fastly.com",,,NOERROR,True,fastly,,a2.shared.us-eu.fastly.net,,,,
,core-api.trint.com,"3.209.119.222, 3.224.91.5, 54.86.64.14, 3.214.179.123, 52.0.71.141, 3.223.189.226","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,embed.eu.trint.com,"13.225.78.46, 13.225.78.118, 13.225.78.31, 13.225.78.108","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,embed.trint.com,"13.224.222.113, 13.224.222.26, 13.224.222.25, 13.224.222.65","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,"ns-1229.awsdns-25.org, ns-2031.awsdns-61.co.uk, ns-806.awsdns-36.net, ns-83.awsdns-10.com",,,,,
,eu.trint.com,,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,"ns-1077.awsdns-06.org, ns-1817.awsdns-35.co.uk, ns-48.awsdns-06.com, ns-737.awsdns-28.net",,,"amazon.com, amazonaws.com, amazontrust.com, awstrust.com, digicert.com, letsencrypt.org","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com",
,graphql2.eu.trint.com,"108.128.1.38, 52.210.227.64, 54.72.185.163","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,graphql2.trint.com,"52.0.71.141, 3.214.179.123, 3.224.91.5, 54.86.64.14, 3.223.189.226, 3.209.119.222","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,hello.trint.com,"3.231.172.52, 18.213.68.172, 34.197.7.112","ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,"b3998eba-1daa-4d09-beaa-c1b00c411679.outrch.com, app2b.outrch.com",,letsencrypt.org,,
,hooks.eu.trint.com,"63.32.239.251, 63.35.173.41, 34.248.28.244","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,info.trint.com,"199.60.103.254, 199.60.103.2","jerry.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,"3918477g27.secure0158.hubspot.net, 3918477.group27.sites.hubspot.net, group27.sites.hscoscdn20.net","2606:2c40::c73c:6702, 2606:2c40::c73c:67fe",,,
,k8s.trint.com,,"ns-253.awsdns-31.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,"ns-1645.awsdns-13.co.uk, ns-253.awsdns-31.com, ns-583.awsdns-08.net, ns-1364.awsdns-42.org",,,"amazon.com, amazonaws.com, amazontrust.com, awstrust.com, digicert.com, letsencrypt.org","alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com",
,legacy.eu.trint.com,"13.32.99.43, 13.32.99.56, 13.32.99.82, 13.32.99.25","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,legacy.trint.com,"18.160.18.98, 18.160.18.55, 18.160.18.15, 18.160.18.103","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,"2600:9000:250b:a200:17:3906:ca00:93a1, 2600:9000:250b:ee00:17:3906:ca00:93a1, 2600:9000:250b:9a00:17:3906:ca00:93a1, 2600:9000:250b:ce00:17:3906:ca00:93a1, 2600:9000:250b:5a00:17:3906:ca00:93a1, 2600:9000:250b:9e00:17:3906:ca00:93a1, 2600:9000:250b:d200:17:3906:ca00:93a1, 2600:9000:250b:7e00:17:3906:ca00:93a1",,,
,maintenance.trint.com,"13.32.151.27, 13.32.151.21, 13.32.151.24, 13.32.151.29","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,media.eu.trint.com,"108.138.7.95, 108.138.7.124, 108.138.7.15, 108.138.7.42","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,media.trint.com,"13.227.219.78, 13.227.219.2, 13.227.219.59, 13.227.219.118","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,new.trint.com,"44.193.44.159, 52.204.186.38, 3.222.142.226","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,"cname.announcekit.app, a2db7bd319f99489885f91832d67808d-1437035704.us-east-1.elb.amazonaws.com",,,,
,next.trint.com,"52.222.236.49, 52.222.236.48, 52.222.236.91, 52.222.236.101","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,orchestrator.trint.com,"10.6.27.113, 10.6.50.234, 10.6.42.79, 10.6.3.240, 10.6.89.123, 10.6.65.46","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",True,"10.6.27.113, 10.6.50.234, 10.6.42.79, 10.6.3.240, 10.6.89.123, 10.6.65.46",NOERROR,,,,,,,,
,otc.eu.trint.com,"108.128.1.38, 54.72.185.163, 52.210.227.64","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,otc.trint.com,"52.0.71.141, 3.209.119.222, 3.214.179.123, 3.223.189.226, 3.224.91.5, 54.86.64.14","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,player.trint.com,"65.8.158.110, 65.8.158.87, 65.8.158.75, 65.8.158.96","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,preview.eu.trint.com,"108.157.214.9, 108.157.214.28, 108.157.214.123, 108.157.214.34","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,preview.trint.com,"143.204.89.86, 143.204.89.58, 143.204.89.90, 143.204.89.60","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,"2600:9000:2156:4400:17:3906:ca00:93a1, 2600:9000:2156:7400:17:3906:ca00:93a1, 2600:9000:2156:bc00:17:3906:ca00:93a1, 2600:9000:2156:800:17:3906:ca00:93a1, 2600:9000:2156:d200:17:3906:ca00:93a1, 2600:9000:2156:e800:17:3906:ca00:93a1, 2600:9000:2156:b800:17:3906:ca00:93a1, 2600:9000:2156:400:17:3906:ca00:93a1",,,
,scim.eu.trint.com,"63.32.11.106, 18.202.193.191","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,scim.trint.com,"52.72.23.77, 34.194.47.191","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,"ns-1229.awsdns-25.org, ns-2031.awsdns-61.co.uk, ns-806.awsdns-36.net, ns-83.awsdns-10.com",,,,,
,story.eu.trint.com,"52.210.227.64, 54.72.185.163, 108.128.1.38","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,story.trint.com,"3.209.119.222, 54.86.64.14, 3.214.179.123, 3.223.189.226, 3.224.91.5, 52.0.71.141","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,stream.eu.trint.com,"3.248.165.207, 99.81.47.120","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,stream.trint.com,"3.230.106.200, 52.0.80.16","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,styleguide.trint.com,,"ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,support.eu.trint.com,"18.160.18.68, 18.160.18.3, 18.160.18.17, 18.160.18.89","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,support.trint.com,"52.222.214.22, 52.222.214.53, 52.222.214.56, 52.222.214.18","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,trint.com,"18.65.39.23, 18.65.39.90, 18.65.39.51, 18.65.39.111","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,"ns-1229.awsdns-25.org, ns-2031.awsdns-61.co.uk, ns-806.awsdns-36.net, ns-83.awsdns-10.com",,,"awstrust.com, digicert.com, letsencrypt.org, amazon.com, amazonaws.com, amazontrust.com","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","mixpanel-domain-verify=ece4cded-e2ef-4c93-97ad-0f8cd3bc5e01, segment-site-verification=xqBr3XTzCzHbMBxOpDN1TQVM8TPvAy0N, v=spf1 include:_spf.google.com include:servers.mcsv.net include:spf.mandrillapp.com include:3918477.spf06.hubspotemail.net include:_spf.psm.knowbe4.com include:_spf.salesforce.com -all, 1password-site-verification=IT242V3DFNBYVDENDQNTNTXO5Q, fastly-domain-delegation-tinzaH30bqA-28-Oct-2020, google-site-verification=5hh4KbQH9KbAg7jRwi1xo073hS_yqmyqiDP4gAJLoVc, google-site-verification=ELvvi6BAOmplaFQc4JyqsRavo_Rz6F9_22G3zwBgm-Q, google-site-verification=jBVVY67VIMx_q2b8StpQ804_lbKu8SMjk9AxH_AEKr0"
,ts.trint.com,52.58.31.23,"ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,upload.eu.trint.com,"54.72.185.163, 108.128.1.38, 52.210.227.64","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,upload.trint.com,"35.176.143.233, 18.132.44.48, 18.130.139.43","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,www.trint.com,"18.66.97.15, 18.66.97.4, 18.66.97.95, 18.66.97.116","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,xn--cckb1i8d.trint.com,,"ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,xn--w8ty7f82v.trint.com,,"ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,ycollab.eu.trint.com,"54.194.236.48, 54.229.48.23, 99.81.180.74","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,ycollab.trint.com,"52.3.142.25, 3.211.39.32, 54.159.202.13, 3.228.139.166, 34.199.80.198, 54.205.219.197","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,zardoz.trint.com,"10.6.61.43, 10.6.21.250","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",True,"10.6.61.43, 10.6.21.250",NOERROR,,,,,,,,
