new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,txt,has_internal_ips,internal_ips,mx
[x],signup.socialsecurity.gov,137.200.39.19,2001:1930:d07::aaaa,vanities.ssa.gov,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtmu2.ssa.gov, gtmu1.ssa.gov, gtms1.ssa.gov, gtms2.ssa.gov",,,,
[x],signup.ssa.gov,137.200.4.16,2001:1930:e03::aaaa,vanities.ssa.gov,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtms1.ssa.gov, gtmu1.ssa.gov, gtmu2.ssa.gov, gtms2.ssa.gov",,,,
[x],socialsecurity.gov,"137.200.39.19, 137.200.4.16","2001:1930:d07::aaaa, 2001:1930:e03::aaaa",,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,"dns2.ssa.gov, dns6.ssa.gov, dns1.ssa.gov, dns5.ssa.gov",v=spf1 -all,,,
[x],srt.ssa.gov,,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],ssa.gov,"137.200.4.16, 137.200.39.19","2001:1930:e03::aaaa, 2001:1930:d07::aaaa",,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,"mailin1b-ssc.ssa.gov, mailin1b-nsc.ssa.gov, mailin2b-nsc.ssa.gov, mailin2b-ssc.ssa.gov, mailin1.ssa.gov, mailin3.ssa.gov, mailin4.ssa.gov, mailin2.ssa.gov"
[x],ssadscfw.ssa.gov,137.200.0.103,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],ssavpn.ssa.gov,137.200.2.7,,,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtmu1.ssa.gov, gtms2.ssa.gov, gtmu2.ssa.gov, gtms1.ssa.gov",,,,
[x],sscbulk11.ssa.gov,137.200.19.31,2001:1930:e09:2::1f,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],sscbulk12.ssa.gov,"137.200.43.8, 137.200.43.9, 137.200.4.30","2001:1930:e09:2::20, 2001:1930:d07:1::8, 2001:1930:d07:1::9, 2001:1930:e03::c",,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,"dns2.ssa.gov, dns5.ssa.gov, dns6.ssa.gov, dns1.ssa.gov",,,,
[x],sscbulk13.ssa.gov,137.200.19.33,2001:1930:e09:2::21,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],sscbulk14.ssa.gov,"137.200.43.8, 137.200.43.9, 137.200.4.30","2001:1930:e09:2::22, 2001:1930:d07:1::8, 2001:1930:d07:1::9, 2001:1930:e03::c",,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,"dns6.ssa.gov, dns2.ssa.gov, dns1.ssa.gov, dns5.ssa.gov",,,,
[x],sscbulk17.ssa.gov,137.200.19.37,2001:1930:e09:2::25,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],sscbulk18.ssa.gov,137.200.19.38,2001:1930:e09:2::26,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],sscbulk2.ssa.gov,137.200.19.22,2001:1930:e09:2::16,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],sscbulk20.ssa.gov,137.200.19.40,2001:1930:e09:2::28,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],sscbulk21.ssa.gov,137.200.19.41,2001:1930:e09:2::29,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],sscbulk22.ssa.gov,137.200.19.42,2001:1930:e09:2::2a,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],sscbulk23.ssa.gov,137.200.19.43,2001:1930:e09:2::2b,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],sscbulk24.ssa.gov,137.200.19.44,2001:1930:e09:2::2c,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],sscbulk5.ssa.gov,137.200.19.25,2001:1930:e09:2::19,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],sscbulk6.ssa.gov,"137.200.19.26, 137.200.43.8, 137.200.43.9, 137.200.4.30, 137.200.4.31","2001:1930:d07:1::8, 2001:1930:d07:1::9, 2001:1930:e03::c, 2001:1930:e03::d, 2001:1930:e09:2::1a",,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,"dns6.ssa.gov, dns5.ssa.gov, dns1.ssa.gov, dns2.ssa.gov",,,,
[x],sscbulk7.ssa.gov,"137.200.43.8, 137.200.43.9, 137.200.4.30, 137.200.4.31","2001:1930:e09:2::1b, 2001:1930:d07:1::8, 2001:1930:d07:1::9, 2001:1930:e03::c, 2001:1930:e03::d",,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,"dns1.ssa.gov, dns5.ssa.gov, dns2.ssa.gov, dns6.ssa.gov",,,,
[x],sscbulk8.ssa.gov,137.200.19.28,2001:1930:e09:2::1b,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],sscbulk9.ssa.gov,"137.200.19.29, 137.200.43.8, 137.200.43.9, 137.200.4.30","2001:1930:d07:1::8, 2001:1930:d07:1::9, 2001:1930:e03::c, 2001:1930:e09:2::1d",,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,"dns2.ssa.gov, dns1.ssa.gov, dns6.ssa.gov, dns5.ssa.gov",,,,
[x],support.srt.ssa.gov,137.200.47.7,,,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtmu2.ssa.gov, gtms2.ssa.gov, gtmu1.ssa.gov, gtms1.ssa.gov",,,,
[x],sys0vpn.ssa.gov,"137.200.228.154, 137.200.228.155",,,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtms2.ssa.gov, gtmu1.ssa.gov, gtmu2.ssa.gov, gtms1.ssa.gov",,,,
[x],test.sys0.ssa.gov,137.200.228.195,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],valws.ssa.gov,137.200.42.7,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],vcsx2.sys0.ssa.gov,137.200.228.201,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],vdi.ssa.gov,137.200.42.20,,,"gtmu1.ssa.gov, hostmaster.ssa.gov",NOERROR,,,"gtms2.ssa.gov, gtmu2.ssa.gov, gtms1.ssa.gov, gtmu1.ssa.gov",,,,
[x],video.ssa.gov,"137.200.10.7, 137.200.35.131, 137.200.10.6, 137.200.35.130",,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],vtc.ssa.gov,"137.200.35.131, 137.200.35.130, 137.200.10.6, 137.200.10.7, 137.200.43.8, 137.200.43.9, 137.200.4.30","2001:1930:d07:1::8, 2001:1930:d07:1::9, 2001:1930:e03::c",,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,"dns1.ssa.gov, dns2.ssa.gov, dns5.ssa.gov, dns6.ssa.gov",,,,
[x],wac.sys0.ssa.gov,137.200.228.214,2001:1930:3c10:1::e,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],wc.sys0.ssa.gov,137.200.228.206,2001:1930:3c10:1::c,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],ws.sys0.ssa.gov,137.200.228.214,2001:1930:3c10:1::e,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],ws2.ssa.gov,137.200.6.35,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],wsd.sys0.ssa.gov,137.200.228.214,2001:1930:3c10:1::e,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],wsf.sys0.ssa.gov,137.200.228.214,2001:1930:3c10:1::e,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],www-origin.ssa.gov,137.200.39.19,2001:1930:e03::aaaa,,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtms1.ssa.gov, gtms2.ssa.gov, gtmu1.ssa.gov, gtmu2.ssa.gov",,,,
[x],www.choosework.ssa.gov,52.227.183.58,,choosework.ssa.cognosante.com,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,"ns4.cognosante.com, ns1.cognosante.com, ns0.cognosante.com, ns3.cognosante.com, ns2.cognosante.com","v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov; fo=1; adkim=r; aspf=r; pct=100; ri=86400; sp=reject, 0ed1fe018ac0dbff146641443a81177cd9f0fafeeb, MS=ms88628294, v=spf1 include:us._netblocks.mimecast.com -all",,,"us-smtp-inbound-2.mimecast.com, us-smtp-inbound-1.mimecast.com"
[x],www.myaccount.socialsecurity.gov,137.200.4.16,2001:1930:e03::aaaa,vanities.ssa.gov,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtmu2.ssa.gov, gtms2.ssa.gov, gtmu1.ssa.gov, gtms1.ssa.gov",,,,
[x],www.open.socialsecurity.gov,137.200.39.19,2001:1930:d07::aaaa,vanities.ssa.gov,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtms1.ssa.gov, gtmu2.ssa.gov, gtmu1.ssa.gov, gtms2.ssa.gov",,,,
[x],www.open.ssa.gov,137.200.39.19,2001:1930:e03::aaaa,vanities.ssa.gov,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtms2.ssa.gov, gtms1.ssa.gov, gtmu1.ssa.gov, gtmu2.ssa.gov",,,,
[x],www.segurosocial.gov,137.200.4.16,2001:1930:e03::aaaa,vanities.ssa.gov,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtms2.ssa.gov, gtms1.ssa.gov, gtmu2.ssa.gov, gtmu1.ssa.gov",,,,
[x],www.signup.socialsecurity.gov,137.200.39.19,2001:1930:e03::aaaa,vanities.ssa.gov,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtmu2.ssa.gov, gtmu1.ssa.gov, gtms1.ssa.gov, gtms2.ssa.gov",,,,
[x],www.socialsecurity.gov,137.200.39.19,2001:1930:d07::aaaa,vanities.ssa.gov,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtmu2.ssa.gov, gtms1.ssa.gov, gtms2.ssa.gov, gtmu1.ssa.gov",,,,
[x],www.ssa.gov,"80.239.137.169, 62.115.252.58","2001:2030:21::3e73:fc3a, 2001:2030:21::50ef:89a9","www.ssa.gov.edgekey.net, e82396.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
[x],www.yourtickettowork.ssa.gov,52.227.183.58,,yourtickettowork.ssa.cognosante.com,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,"ns2.cognosante.com, ns3.cognosante.com, ns1.cognosante.com, ns0.cognosante.com, ns4.cognosante.com","MS=ms48926301, v=spf1 include:us._netblocks.mimecast.com -all, 0ed1fe018a1970a89981df41bd9ee01fb77b0427e7, v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov; fo=1; adkim=r; aspf=r; pct=100; ri=86400; sp=reject",,,"us-smtp-inbound-1.mimecast.com, us-smtp-inbound-2.mimecast.com"
[x],wwwtest-origin.ssa.gov,137.200.4.97,2001:1930:d07::34,,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtmu2.ssa.gov, gtms2.ssa.gov, gtmu1.ssa.gov, gtms1.ssa.gov",,,,
[x],wwwtest.ssa.gov,"2.20.132.134, 2.20.132.133","2a02:26f0:7100::687e:25ab, 2a02:26f0:7100::687e:2580","wwwtest.ssa.gov.edgekey.net, e82396.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
[x],xp.srt.ssa.gov,137.200.47.7,,,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtmu1.ssa.gov, gtmu2.ssa.gov, gtms1.ssa.gov, gtms2.ssa.gov",,,,
[x],yourtickettowork.ssa.gov,52.227.183.58,,yourtickettowork.ssa.cognosante.com,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,"ns3.cognosante.com, ns1.cognosante.com, ns4.cognosante.com, ns0.cognosante.com, ns2.cognosante.com","0ed1fe018a1970a89981df41bd9ee01fb77b0427e7, v=spf1 include:us._netblocks.mimecast.com -all, v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov; fo=1; adkim=r; aspf=r; pct=100; ri=86400; sp=reject, MS=ms48926301",,,"us-smtp-inbound-1.mimecast.com, us-smtp-inbound-2.mimecast.com"
