input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,tech_,tls_subject_org_,tls_wildcard_certificate,cdn_name,cdn,tls_mismatched,final_url,tls_self_signed,csp_domains_,location,tls_expired
opx.opera.com.turbo-5.beta.opera-mini.net,,200,,80,http://opx.opera.com.turbo-5.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.209.253,/,-21967118,82.145.209.253,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.global-4-lvs-turing-1.opera-mini.net,,200,,80,http://org.global-4-lvs-turing-1.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,141.0.11.241,/,-21967118,141.0.11.241,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osp-gw-am3-01.osp.opera.software,500 Internal Server Error,500,177,443,https://osp-gw-am3-01.osp.opera.software:443,https,nginx/1.22.0,text/html,GET,82.145.213.78,/,-433997324,82.145.213.78,8,False,osp-gw-am3-01.osp.opera.software,443,True,tls12,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,2022-12-05T00:00:00Z,2024-01-02T23:59:59Z,"CN=*.osp.opera.software, O=Opera Norway AS, L=Oslo, ST=Oslo, C=NO",*.osp.opera.software,osp.opera.software,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,bab9ff15eba8b378a307be5eb4de3f49,46c9f7c726c610bcddbfa155096f9bb5c1782777b88aaae875bd73f3bded36a4,ctls,osp-gw-am3-01.osp.opera.software,Nginx:1.22.0,Opera Norway AS,True,,,,,,,,
osp-help.opera.com,Service Management,200,28202,443,https://osp-help.opera.com:443,https,Apache/2.4.25 (Debian),application/octet-stream,GET,185.26.183.131,/,-1615945114,185.26.183.131,34,False,bugs.opera.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-20T00:00:00Z,2023-11-10T23:59:59Z,"CN=bugs.opera.com, O=Opera Norway AS, L=Oslo, ST=Oslo, C=NO",bugs.opera.com,osp-help.opera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,feb96cd739a26d903a77d4d88165837e,4f450cd7139788da3f63390b08bcc2ef891a9dc5059734f944a32acbeca3754e,ctls,bugs.opera.com,Java,Opera Norway AS,,,,,https://bugs.opera.com/servicedesk/customer/portal/4/user/login?destination=portal%2F4,,,,
ospstatus.osp.opera.software,Sign in - Google Accounts,200,612554,443,https://ospstatus.osp.opera.software:443,https,ESF,text/html,GET,82.145.213.77,/,,2001:4c28:4000:767::10fa,53,False,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,HTTP/3,,True,,,,https://accounts.google.com/v3/signin/identifier?dsh=S805393198%3A1683940081431726&client_id=104795197127-8brsrmq4c3s5vggu1prqs7v69k41bshj.apps.googleusercontent.com&o2v=1&prompt=select_account&redirect_uri=https%3A%2F%2Fospstatus.osp.opera.software%2Foauth%2Fauthorized&response_type=code&scope=profile+email&service=lso&state=076741651153d2383016be8662f7600a14feaf53a1a97d3366da056805e5a6e72023-05-13+01%3A08%3A01.319667&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hANlmPpn0rGroSkM4Al4PwRJ2R1Iw3H3xqiFfi8BhgC3Q_AR6D4Q-YMuxdQhtAkpXFCtVR522qssBZtsUTf2gF54kTV9oXEkkVI7qQeJMzEOlJeO5IaajKW_cAZtKhVaSSenrqEczni_HUgRfcXDLyO61ikyB7OtkBueS9_-5BRvVbss5ObYPa-fYx2chAfalJqN8biYpxUs2xm1mXNGa-hZmwXYwQwXS-kgZq8_6wD5gdhYn6ooHvxOS-TaiLW0ANMCTjG_NERmMnRvGqAoVO3AtCQfod4SbQTojCmB8Ak3yEn50If6VD3kvfGGcbpxN5hT71Y6c5hekTYZ61SS0BmUBE7JLHvDD7HxxGARaI3fxWBHgXTIm-U3jL6s3aGXt-vGUOoHBKVRKOxRDwMnf8Vt1ZtcwWPxh93-Vt-31xS3Rw0EOlTTbvHz01lVUMEMN4jQ4UicChbCZLEd6kUK46SMpn75NTe6xIfzzp9LWkyBrORdhu4%26as%3DS805393198%253A1683940081431726%26client_id%3D104795197127-8brsrmq4c3s5vggu1prqs7v69k41bshj.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fospstatus.osp.opera.software&rart=ANgoxcf7FANiVm4RROD6ZMM2LvuYJOx2yoD0ox6YyN-N60l6cVO6Lohmohl5K-mv3j3V3XB_roXMoK3nm14UUKJJ2vNx9N5W3Q,,http:,,
ospsubmit-ash-10.mini5-1.opera-mini.net,,200,,80,http://ospsubmit-ash-10.mini5-1.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.211.253,/,-21967118,82.145.211.253,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ospsubmit-ash-11.beta.opera-mini.net,,200,,80,http://ospsubmit-ash-11.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.211.254,/,-21967118,82.145.211.254,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ospsubmit-ash-12.beta.opera-mini.net,,200,,80,http://ospsubmit-ash-12.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.212.253,/,-21967118,82.145.212.253,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ospsubmit-production-ams-10.beta.opera-mini.net,,200,,80,http://ospsubmit-production-ams-10.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.211.253,/,-21967118,82.145.211.253,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ospsubmit-production-ams-10.mini5-1.opera-mini.net,,200,,80,http://ospsubmit-production-ams-10.mini5-1.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.211.253,/,-21967118,82.145.211.253,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ospsubmit-production-ams-12.beta.opera-mini.net,,200,,80,http://ospsubmit-production-ams-12.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.212.253,/,-21967118,82.145.212.253,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
