new,host,a,ns,status_code,soa,aaaa,cname,txt,cdn,cdn-name,mx,has_internal_ips,internal_ips,caa
[x],155-9-192-6.mini5-1.opera-mini.net,82.145.211.249,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-192-7.mini5-1.opera-mini.net,82.145.211.250,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-197-2.beta.opera-mini.net,82.145.209.242,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-198-11.beta.opera-mini.net,82.145.211.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-198-11.mini5-1.opera-mini.net,82.145.211.254,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-202-7.beta.opera-mini.net,82.145.211.250,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-202-7.mini5-1.opera-mini.net,82.145.211.250,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-204-56.dnsecho.opera.com,45.136.153.213,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-206-12.beta.opera-mini.net,82.145.212.253,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-208-8.beta.opera-mini.net,82.145.211.251,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-209-5.beta.opera-mini.net,82.145.209.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-210-88.dnsecho.opera.com,172.253.2.132,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-211-51.dnsecho.opera.com,84.200.70.40,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-211-8.beta.opera-mini.net,82.145.211.251,"n14-10-08.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-211-8.mini5-1.opera-mini.net,82.145.211.251,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-212-12.dnsecho.opera.com,"70.34.248.202, 82.145.209.69, 82.145.210.27, 82.145.222.220","h14-04-06.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-215-6.mini5-1.opera-mini.net,185.26.181.235,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-217-12.beta.opera-mini.net,"82.145.212.253, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h14-04-06.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-217-9.beta.opera-mini.net,82.145.211.252,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-219-3.beta.opera-mini.net,82.145.209.243,"n15-10-07.opera-mini.net, n14-10-08.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-219-3.mini5-1.opera-mini.net,82.145.209.243,"n14-10-08.opera-mini.net, h14-04-06.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-225-59.dnsecho.opera.com,84.200.70.40,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-226-7.mini5-1.opera-mini.net,82.145.211.250,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-226-80.dnsecho.opera.com,140.82.39.20,"n14-10-08.opera-mini.net, h14-04-06.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-227-2.beta.opera-mini.net,"82.145.209.242, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-240-6.beta.opera-mini.net,82.145.211.249,"h14-04-06.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-240-6.mini5-1.opera-mini.net,82.145.211.249,"n14-10-08.opera-mini.net, h14-04-06.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-243-5.mini5-1.opera-mini.net,82.145.209.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-243-8.mini5-1.opera-mini.net,82.145.211.251,,NOERROR,,,,,,,,,,
[x],155-9-51-2.mini5-1.opera-mini.net,"82.145.209.242, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","n14-10-08.opera-mini.net, h14-04-06.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-51-5.mini5-1.opera-mini.net,82.145.209.254,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-51-6.mini5-1.opera-mini.net,82.145.211.249,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-52-8.mini5-1.opera-mini.net,185.26.181.237,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-52-95.dnsecho.opera.com,45.32.158.47,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-57-7.mini5-1.opera-mini.net,82.145.211.250,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-60-11.mini5-1.opera-mini.net,82.145.211.254,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-60-34.dnsecho.opera.com,176.56.185.248,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-60-7.mini5-1.opera-mini.net,82.145.211.250,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-61-10.mini5-1.opera-mini.net,82.145.211.253,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-71-11.beta.opera-mini.net,82.145.211.254,"h11-09-08.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-71-4.beta.opera-mini.net,82.145.209.244,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-71-4.mini5-1.opera-mini.net,"82.145.209.244, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-72-32.dnsecho.opera.com,192.29.200.168,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],155-9-77-37.dnsecho.opera.com,93.158.164.67,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],158-7-251-4.beta.opera-mini.net,82.145.209.244,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],158-7-251-4.mini5-1.opera-mini.net,82.145.209.244,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],158-7-251-8.beta.opera-mini.net,82.145.211.251,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],16-12.beta.opera-mini.net,82.145.212.253,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-112-1.beta.opera-mini.net,"82.145.209.241, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-112-18.dnsecho.opera.com,"205.171.9.234, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-112-2.beta.opera-mini.net,82.145.209.242,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-112-3.beta.opera-mini.net,82.145.209.243,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-112-4.beta.opera-mini.net,82.145.209.244,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-112-6.beta.opera-mini.net,82.145.211.249,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-112-65.dnsecho.opera.com,93.158.164.123,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-113-10.beta.opera-mini.net,82.145.211.253,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-113-2.beta.opera-mini.net,82.145.209.242,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-113-3.mini5-1.opera-mini.net,82.145.209.243,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-113-4.beta.opera-mini.net,82.145.209.244,"h14-04-06.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-113-5.mini5-1.opera-mini.net,82.145.209.254,"n14-10-08.opera-mini.net, h14-04-06.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-113-6.mini5-1.opera-mini.net,185.26.181.235,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-114-1.beta.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-114-5.beta.opera-mini.net,"82.145.209.254, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h14-04-06.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-114-54.dnsecho.opera.com,208.69.33.71,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-114-6.mini5-1.opera-mini.net,82.145.211.249,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-114-98.dnsecho.opera.com,203.23.178.131,"n15-10-07.opera-mini.net, n14-10-08.opera-mini.net, h14-04-06.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-115-2.beta.opera-mini.net,82.145.209.242,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-115-3.mini5-1.opera-mini.net,82.145.209.243,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-115-4.beta.opera-mini.net,82.145.209.244,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-115-4.mini5-1.opera-mini.net,82.145.209.244,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-116-10.beta.opera-mini.net,82.145.211.253,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-116-14.dnsecho.opera.com,"70.34.248.202, 82.145.209.69, 82.145.210.27, 82.145.222.220","h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-116-25.dnsecho.opera.com,"205.171.30.238, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h11-09-08.opera-mini.net, n14-10-08.opera-mini.net, h14-04-06.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-116-5.beta.opera-mini.net,82.145.209.254,"h11-09-08.opera-mini.net, n14-10-08.opera-mini.net, h14-04-06.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-116-5.mini5-1.opera-mini.net,82.145.209.254,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-116-8.beta.opera-mini.net,82.145.211.251,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-117-11.beta.opera-mini.net,82.145.211.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-117-3.mini5-1.opera-mini.net,82.145.209.243,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-117-5.mini5-1.opera-mini.net,82.145.209.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-117-53.dnsecho.opera.com,95.179.253.118,,NOERROR,,,,,,,,,,
[x],17-121-117-6.beta.opera-mini.net,82.145.211.249,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-117-6.mini5-1.opera-mini.net,"82.145.211.249, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","n15-10-07.opera-mini.net, n14-10-08.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-118-12.mini5-1.opera-mini.net,82.145.212.253,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-118-25.dnsecho.opera.com,70.34.248.7,,NOERROR,,,,,,,,,,
[x],17-121-118-3.beta.opera-mini.net,82.145.209.243,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-118-5.mini5-1.opera-mini.net,185.26.181.254,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-118-6.beta.opera-mini.net,82.145.211.249,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-118-64.dnsecho.opera.com,172.253.1.194,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-119-22.dnsecho.opera.com,84.200.70.40,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-119-7.beta.opera-mini.net,82.145.211.250,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h14-04-06.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-120-10.mini5-1.opera-mini.net,82.145.211.253,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-120-11.beta.opera-mini.net,82.145.211.254,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-120-11.mini5-1.opera-mini.net,82.145.211.254,,NOERROR,,,,,,,,,,
[x],17-121-120-12.mini5-1.opera-mini.net,"82.145.212.253, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h11-09-08.opera-mini.net, n15-10-07.opera-mini.net, n14-10-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-120-3.beta.opera-mini.net,82.145.209.243,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-120-36.dnsecho.opera.com,203.23.178.131,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-120-4.beta.opera-mini.net,185.26.181.244,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-120-5.mini5-1.opera-mini.net,82.145.209.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-120-8.mini5-1.opera-mini.net,"82.145.211.251, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h11-09-08.opera-mini.net, n14-10-08.opera-mini.net, h14-04-06.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-121-11.beta.opera-mini.net,185.26.181.240,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-121-12.beta.opera-mini.net,,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-121-5.beta.opera-mini.net,82.145.209.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-121-6.mini5-1.opera-mini.net,82.145.211.249,"h14-04-06.opera-mini.net, n15-10-07.opera-mini.net, n14-10-08.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-121-7.beta.opera-mini.net,82.145.211.250,"h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-121-7.mini5-1.opera-mini.net,"82.145.211.250, 82.145.209.69, 82.145.210.27, 82.145.222.157, 82.145.222.220","h14-04-06.opera-mini.net, h11-09-08.opera-mini.net, n15-10-07.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-121-8.dnsecho.opera.com,208.69.33.92,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-121-9.beta.opera-mini.net,82.145.211.252,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-122-10.mini5-1.opera-mini.net,82.145.211.253,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-122-2.mini5-1.opera-mini.net,82.145.209.242,,NOERROR,,,,,,,,,,
[x],17-121-122-4.beta.opera-mini.net,82.145.209.244,,NOERROR,,,,,,,,,,
[x],17-121-122-6.beta.opera-mini.net,82.145.211.249,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-123-1.beta.opera-mini.net,82.145.209.241,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n15-10-07.opera-mini.net, n14-10-08.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-123-5.beta.opera-mini.net,82.145.209.254,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-123-57.dnsecho.opera.com,192.29.200.168,"n14-10-08.opera-mini.net, n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-123-6.mini5-1.opera-mini.net,82.145.211.249,"h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n14-10-08.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-123-7.beta.opera-mini.net,82.145.211.250,"n15-10-07.opera-mini.net, h11-09-08.opera-mini.net, n14-10-08.opera-mini.net, h14-04-06.opera-mini.net",NOERROR,,,,,,,,,,
[x],17-121-123-9.beta.opera-mini.net,82.145.211.252,"n14-10-08.opera-mini.net, h11-09-08.opera-mini.net, h14-04-06.opera-mini.net, n15-10-07.opera-mini.net",NOERROR,,,,,,,,,,
