input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_mismatched,tls_self_signed,tls_expired
https://sbb-privacy.my.onetrust.com,DS Portal,200,1335,AS13335,CLOUDFLARENET,US,172.64.192.0/20,sbb-privacy.my.onetrust.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-18T00:00:00Z,2023-07-18T23:59:59Z,"CN=onetrust.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",onetrust.com,"Cloudflare, Inc.",*.my.onetrust.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1a84342da764f41ed453a7e702163b8a,db81d58d58ab340ec5b4ebccffa31bf1028f819fe5e5a5e0b9cd065df3286537,True,ctls,sbb-privacy.my.onetrust.com,cloudflare,443,https://sbb-privacy.my.onetrust.com:443,https,cloudflare,text/html,GET,172.64.144.98,/,378089815,2606:4700:4400::ac40:9062,HSTS,24,False,True,https://sbb-privacy.my.onetrust.com/ui/#/error,geolocation.onetrust.com,True,,
https://zug.sbb.ch,,200,35,AS16509,AS16509,Unknown,13.225.96.0/21,zug.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-14T14:12:46Z,2023-07-14T14:12:46Z,"CN=zug.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",zug.sbb.ch,Schweizerische Bundesbahnen SBB,www.zug.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,d4d09c0c6b341ad174547e7a953e235b,c61512b13b1b97f3fbb73e3d049c8827515938e1311cf23bd5c2579859b7f5c1,,ctls,zug.sbb.ch,cloudfront,443,https://zug.sbb.ch:443,https,,image/gif,GET,13.225.78.69,/,1857154093,13.225.78.75,HSTS,1,False,True,https://zug.sbb.ch/?Rdt=On,,,,
hwc-brugg-3.6.2023.event.sbb.ch,"SBB Handwerk-Challenge in Brugg, 3.6.2023",200,113211,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.80.0.0/12,hwc-brugg-3.6.2023.event.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T06:28:16Z,2023-07-23T06:28:15Z,CN=hwc-brugg-3.6.2023.event.sbb.ch,hwc-brugg-3.6.2023.event.sbb.ch,,hwc-brugg-3.6.2023.event.sbb.ch,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,cc9680cc5a7bde1fcf66bd10ceefe9ee,de3ffe1fe36b17946f2a774981a2672aeebf2de05c48ba44da673c3fa7f2a845,,ctls,hwc-brugg-3.6.2023.event.sbb.ch,google,443,https://hwc-brugg-3.6.2023.event.sbb.ch:443,https,,text/html,GET,34.65.78.110,/,-1840324437,34.65.78.110,,157,False,True,,,,,
icons.app.sbb.ch,Icon CDN,200,138,AS16509,AS16509,Unknown,18.200.0.0/14,icons.app.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-14T23:59:59Z,CN=*.app.sbb.ch,*.app.sbb.ch,,*.test.app.sbb.ch,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5e44b89aa5dd3f1199c3d0ba43b1df52,5085a6f4206c40ea19b433360f836aec3fcde70d698c81ae2280adbcf14ce846,True,ctls,icons.app.sbb.ch,,443,https://icons.app.sbb.ch:443,https,nginx/1.20.1,text/html,GET,18.194.68.34,/,951244451,52.57.26.73,Nginx:1.20.1,9,False,,,,,,
icspultx.event.sbb.ch,Online Berufsinfoveranstaltung Lokführer:in - 08.12.2022,200,42733,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.80.0.0/12,icspultx.event.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-26T01:47:01Z,2023-06-24T01:47:00Z,CN=icspultx.event.sbb.ch,icspultx.event.sbb.ch,,icspultx.event.sbb.ch,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,1f77c06b7f3879af1cc1b2351daa97e1,42aa3be288ba02d91edb11d2287cf3e0ff8f88085593b8b806dec15a19a50724,,ctls,icspultx.event.sbb.ch,google,443,https://icspultx.event.sbb.ch:443,https,,text/html,GET,34.65.78.110,/,-1840324437,34.65.78.110,,125,False,True,,,,,
ideenmanagement.sbb.ch,Sign in to your account,200,200300,AS16509,AS16509,Unknown,18.200.0.0/14,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,443,https://ideenmanagement.sbb.ch:443,https,,text/html,GET,18.196.74.196,/,1617201798,3.66.241.133,HSTS,174,False,,https://login.microsoftonline.com/2cda5d11-f0ac-46b3-967d-af1b2e1bd01a/saml2?SAMLRequest=jZJdb9owFIbvK%2FU%2FTLlP4jgJAQuQ2DptSAxYYbvYDTqxT8BabFMfU%2FXnL0CqbpVazb47Pu%2BHHnlMYNqjmJ3Cwd7jwwkp3N586M6TaS2Jy%2BskOnkrHJAmYcEgiSDFZvZtIXjCxNG74KRro9e692VAhD5oZ3vd%2FG4SrZafF6sv8%2BWuKgcjzKqMVwoBZdMMq4wpxAHyclRLlnPFgfFhr%2F2JnjqnSdQZ96O1d49aoV92wZPouwH%2FGwMlFsNzHtEJ55YC2NAJGc9jVsYZ27KhKHNRDH%2F1i3cdEm0hXAIOIRxJpGnr9tomRkvvyDXB2VZbTKQzKZcKSpVlccNAxsWgzuPRoFIxNFnNMasVyyA94%2BEvTS%2F8PmqrtN2%2FT62%2BLpH4ut2u4%2FVqs%2B1dZs84PzlLJ4N%2Bg%2F5RS%2Fxxv3hp3QFBa8DCHg3akFBdJ%2FKQErlroxQkpQ89qx0dd2VTNGVeIBZVPoqm16jxeVdc%2BPnpf1sbDKAgwNv%2B4%2FRv49ub873O%2Fv2f0z8%3D&RelayState=https%3A%2F%2Fideenmanagement.sbb.ch%2Fsso%2Fsaml2%2Fendpoint%2Fqmarkets_sp_5f4f534ee4739&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=DmcKmpmzcv5%2BZMzI%2BWQ0nrx0UGbMTndkbjtC03lngDOWs3yotFDz2WikUyaLbetOGiYLAnLha2Vmj0TscsmwT2uNvaXFJ6r6BOe%2B4LjG4qzqPJsjTHdMfgeeSZMJhqY3oX1RLj5SYdDTGwXKiBPOdBZFfw6FBme13jvcegGQwF3ydhwIcHa%2BGrankj6atSXD6EU8vtYgTzv0tdLrCPHI%2BCptbSNH44JErkpLGW4VBAj05pRF9%2BnmYcv8y3yMm8Ms0jVm5VVeW%2F5XPbmjHAwOLBkQaQhJEDjLWRROBndRBPBvJ9V6wHJC82hxeP3dnT0cOiW6l0Na8%2B%2BCqrqbVNshwA%3D%3D,,,,
ident.swisspass.ch,Maintenance Page,200,182,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,ident.swisspass.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-09T11:59:41Z,2024-01-09T11:59:41Z,"CN=www.swisspass.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",www.swisspass.ch,Schweizerische Bundesbahnen SBB,swisspass.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,c57c36815a4db5a39042e5482b3f3c7a,fa41402449888861eccd7b4edc738118d9571ae7cd87fb513c830e03017faa98,,ctls,ident.swisspass.ch,,443,https://ident.swisspass.ch:443,https,Apache,text/html,GET,193.203.120.166,/,1320863871,193.203.120.166,Apache,13,False,,,,,,
ihpt-i.sbb.ch,403 Forbidden,403,730,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,ihpt-i.sbb.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-25T12:37:13Z,2023-05-25T12:37:13Z,"CN=ihpt.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",ihpt.sbb.ch,Schweizerische Bundesbahnen SBB,ihpt-i.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,ff26ae74d644df310d9240567e334132,585e5f3e1dd5cae33c5e4ee45bdc8a3fbb33295f3471ad1f02ca942a890d1aa7,,ctls,ihpt-i.sbb.ch,,443,https://ihpt-i.sbb.ch:443,https,Apache,text/html,GET,193.203.121.111,/,-77165577,193.203.121.111,Apache,20,False,,,,,,
ihpt-t.sbb.ch,403 Forbidden,403,730,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,ihpt-t.sbb.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-25T12:37:13Z,2023-05-25T12:37:13Z,"CN=ihpt.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",ihpt.sbb.ch,Schweizerische Bundesbahnen SBB,ihpt-i.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,ff26ae74d644df310d9240567e334132,585e5f3e1dd5cae33c5e4ee45bdc8a3fbb33295f3471ad1f02ca942a890d1aa7,,ctls,ihpt-t.sbb.ch,,443,https://ihpt-t.sbb.ch:443,https,Apache,text/html,GET,193.203.121.41,/,1048161759,193.203.121.41,Apache,20,False,,,,,,
ihpt.sbb.ch,403 Forbidden,403,730,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,ihpt.sbb.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-25T12:37:13Z,2023-05-25T12:37:13Z,"CN=ihpt.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",ihpt.sbb.ch,Schweizerische Bundesbahnen SBB,ihpt-i.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,ff26ae74d644df310d9240567e334132,585e5f3e1dd5cae33c5e4ee45bdc8a3fbb33295f3471ad1f02ca942a890d1aa7,,ctls,ihpt.sbb.ch,,443,https://ihpt.sbb.ch:443,https,Apache,text/html,GET,193.203.121.161,/,2041360123,193.203.121.161,Apache,20,False,,,,,,
im.mailing.sbb.ch,Inxmail Server - professionelles E-Mail-Marketing,200,2338,AS47372,BIG3AS,DE,93.191.160.0/21,im.mailing.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T22:43:07Z,2023-07-31T22:43:06Z,CN=im.mailing.cff.ch,im.mailing.cff.ch,,im.mailing.sbb.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ac153a7b6e75d8777894223704b79b63,5911c1cb476a21a17a61f8b11911afab6031cd333e52ac8c0817f6d6f423206b,,ctls,im.mailing.sbb.ch,,443,https://im.mailing.sbb.ch:443,https,,text/html,GET,93.191.162.150,/,276475972,93.191.162.150,HSTS,59,False,,,,,,
infoportal.sbb.ch,Sign in to your account,200,200574,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,443,https://infoportal.sbb.ch:443,https,,text/html,GET,193.203.120.153,/,,193.203.120.153,HSTS,174,False,,https://login.microsoftonline.com/2cda5d11-f0ac-46b3-967d-af1b2e1bd01a/oauth2/v2.0/authorize?scope=openid&response_type=code&redirect_uri=https%3A%2F%2Fauth.sbb.ch%2Fsso-login%2Foauth2-client&state=FrDNWFCT7XTSfHufsb3KKj23VxUQJX&nonce=kf8w8j4e9V1npihNTiiKhMWsKXVwVgvexxb12ry9t5Au&client_id=32738ca7-e533-4dff-9f35-1b64c0dc1258,,,,
infra.sbb.ch,Introduction,200,48629,AS31004,SBB-CFF-FFS Telecom SBB,CH,194.150.244.0/23,www.bkms-system.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-23T10:34:32Z,2023-08-27T23:59:59Z,"CN=bkms-system.ch, O=EQS Group AG, L=Muenchen, ST=Bayern, C=DE, jurisdictionCountry=DE, jurisdictionStateOrProvince=Bayern, jurisdictionLocality=München, serialNumber=HRB 131048, businessCategory=Private Organization, jurisdictionCountry=DE, jurisdictionStateOrProvince=Bayern, jurisdictionLocality=München, businessCategory=Private Organization",bkms-system.ch,EQS Group AG,client.bkms-system.ch,"CN=TeleSec ServerPass Extended Validation Class 3 CA, street=Untere Industriestr. 20, L=Netphen, postalCode=57250, ST=Nordrhein Westfalen, OU=T-Systems Trust Center, O=T-Systems International GmbH, C=DE",TeleSec ServerPass Extended Validation Class 3 CA,T-Systems International GmbH,cffc9b762e89dd9db7e72b0602cdc67b,b2ed72e70d83eec591ec5703743dd26b18a0dcb902f16fb47965faf9ea258241,,ctls,www.bkms-system.ch,,443,https://infra.sbb.ch:443,https,web,text/html,GET,194.150.245.34,/,-1858280477,194.150.245.34,Java,652,False,,https://www.bkms-system.ch/bkwebanon/report/clientInfo?cin=19SBB2&language=fre,https:,,,
innovation.app.sbb.ch,Innovationsportfolio,200,22046,AS16509,AS16509,Unknown,3.144.0.0/13,innovation.app.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-14T23:59:59Z,CN=*.app.sbb.ch,*.app.sbb.ch,,*.test.app.sbb.ch,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5e44b89aa5dd3f1199c3d0ba43b1df52,5085a6f4206c40ea19b433360f836aec3fcde70d698c81ae2280adbcf14ce846,True,ctls,innovation.app.sbb.ch,,443,https://innovation.app.sbb.ch:443,https,nginx/1.20.1,text/html,GET,3.123.94.26,/,-1298480087,18.194.68.34,Nginx:1.20.1,34,False,,,,,,
innovationchallenge.sbb.ch,Browser not supported,200,2266,AS16276,OVH,FR,46.105.204.0/24,innovationchallenge.sbb.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-01T13:31:33Z,2023-07-30T13:31:32Z,CN=challenge-link.fr,challenge-link.fr,,www.openinnovation.tenexi.terega.fr,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,27819d8e09dd84d6b042f4d49ad5ff5d,7f9d71b959ef2ed7b3aae35fdf5322ee45dfffdb19efb4b40673f856a0c68fd8,,ctls,innovationchallenge.sbb.ch,,443,https://innovationchallenge.sbb.ch:443,https,Apache,text/html,GET,46.105.57.169,/,-780928015,46.105.57.169,Apache,52,False,,https://innovationchallenge.sbb.ch/browser.html,,,,
insa.sbb.ch,INSA,200,9271,AS24940,HETZNER-AS,DE,159.69.0.0/16,insa.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T10:09:35Z,2023-06-27T10:09:34Z,CN=insa.geops.ch,insa.geops.ch,,insa.sbb.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c1fe4d8feeed72ae4dc5d8ceeea7c2ac,32b14cf60849621503383aadaaed67bbac5ebd8ac6419b4e036e395a0816c8bf,,ctls,insa.sbb.ch,,443,https://insa.sbb.ch:443,https,nginx,text/html,GET,159.69.165.164,/,-1380756102,159.69.165.164,Nginx,1,False,,,,,,
instandhaltungsanlass.event.sbb.ch,Einblick hinter die Kulissen der Instandhaltung,200,49750,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.80.0.0/12,instandhaltungsanlass.event.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T10:19:07Z,2023-07-11T10:19:06Z,CN=instandhaltungsanlass.event.sbb.ch,instandhaltungsanlass.event.sbb.ch,,instandhaltungsanlass.event.sbb.ch,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,17d841ea7fa976ed36dde0d3bf37b940,a216e2dee00b6f6b55877bcdc3fb7b1f6b63ba61b162017a96e255b1f607840b,,ctls,instandhaltungsanlass.event.sbb.ch,google,443,https://instandhaltungsanlass.event.sbb.ch:443,https,,text/html,GET,34.65.78.110,/,-1840324437,34.65.78.110,,157,False,True,,,,,
int-bahninfrastruktur.sbb.ch,SBB Bahninfrastruktur: Das B2B-Portal der SBB | SBB,200,110794,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,int-bahninfrastruktur.sbb.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-09T08:47:35Z,2023-08-09T08:47:35Z,"CN=www.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",www.sbb.ch,Schweizerische Bundesbahnen SBB,sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,614a3b337a1a627a33ec96c5cf868ef6,37ac2a275b132a52dbb3a1e5e8416079d85765ac6c8d959de84b8ea906c697d9,,ctls,int-bahninfrastruktur.sbb.ch,,443,https://int-bahninfrastruktur.sbb.ch:443,https,Apache,text/html,GET,193.203.120.97,/,-491310996,193.203.120.97,Varnish,2178,False,,,,,,
int-beta.sbb.ch,,401,,AS16509,AMAZON-02,US,52.222.220.0/23,int-beta.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=int-beta.sbb.ch,int-beta.sbb.ch,,*.int-beta.sbb.ch,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,82765758ddda7056f2625866180c06dc,be19c16ef10caf8dcf66c1b20d6db58991a2764c5e211f7c3d2c9e2b1ef88ef2,True,ctls,int-beta.sbb.ch,cloudfront,443,https://int-beta.sbb.ch:443,https,none,,GET,52.222.214.110,/,-1840324437,52.222.214.78,HSTS,1,False,True,,,,,
int-bimchange.sbb.ch,Informationen zu BIM in der Schweiz | BIMCHange,200,66029,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,int-bimchange.sbb.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-31T12:45:02Z,2024-01-31T12:45:02Z,"CN=bimchange.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",bimchange.sbb.ch,Schweizerische Bundesbahnen SBB,dev-bimchange.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,de478220f31362955d1e2739bbd10ef7,3a8440b347451d9aeb58fd8c61e4a197f3b8ca8e7fb3e54d81859b6037db7293,,ctls,int-bimchange.sbb.ch,,443,https://int-bimchange.sbb.ch:443,https,Apache,text/html,GET,193.203.120.65,/,-491310996,193.203.120.65,HSTS,1460,False,,,,,,
int-business.sbb.ch,SBB Geschäftskunden: Ihr Business-Partner | SBB Geschäftskunden,200,188628,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,int-business.sbb.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-03T06:00:31Z,2024-04-03T06:00:31Z,"CN=business.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",business.sbb.ch,Schweizerische Bundesbahnen SBB,dev-business.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,b0f5b88ae51e2e2f53083da2115decca,969a39b44ec8ea76d157f36dbe45de341140d9c6e0d992722e90f503e24632c1,,ctls,int-business.sbb.ch,,443,https://int-business.sbb.ch:443,https,Apache,text/html,GET,193.203.121.98,/,-491310996,193.203.121.98,Varnish,2899,False,,,,,,
int-citrix.sbb.ch,Citrix Gateway,200,2808,AS5089,NTL,GB,91.224.0.0/11,int-citrix.sbb.ch,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-11-07T14:20:14Z,2023-11-07T14:20:14Z,"CN=citrix.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",citrix.sbb.ch,Schweizerische Bundesbahnen SBB,bn-netscalermas-01.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,9d4ce15db27b656dfd0345a7ecf3fc41,486be16a71e5d0d9a2b0f4945edefa7582a42023f5a67718149b9950fa555c79,,ctls,int-citrix.sbb.ch,,443,https://int-citrix.sbb.ch:443,https,Apache,text/html,GET,91.230.141.167,/,12023395,91.230.141.167,HSTS,63,False,,https://int-citrix.sbb.ch/vpn/index.html,,,,
int-community.sbb.ch,,500,285,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,int-community.sbb.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-07T09:13:26Z,2023-06-07T09:13:26Z,"CN=elazcloud-ws.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",elazcloud-ws.sbb.ch,Schweizerische Bundesbahnen SBB,elazcloud-int-ws.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,c93d8fe36237cb7ea95aaba2896f3852,5436236ae724c2723d73b30accc5263ea794a986fd3082e3c3634387ac5a07ae,,ctls,int-community.sbb.ch,,443,https://int-community.sbb.ch:443,https,,text/xml,GET,193.203.121.101,/,-1679719288,193.203.121.101,IBM DataPower,2,False,,,,True,,
int-company.sbb.ch,SBB Unternehmen | SBB,200,193670,AS31004,SBB-CFF-FFS Telecom SBB,CH,194.150.244.0/23,int-company.sbb.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-08T10:22:29Z,2023-12-08T10:22:29Z,"CN=company.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",company.sbb.ch,Schweizerische Bundesbahnen SBB,test-company.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,e8654746f8b3c7425af452833689fe9b,04280929bc7b97b9ea6b52ea046992b2cc0eed653865533777c971a627b1b04e,,ctls,int-company.sbb.ch,,443,https://int-company.sbb.ch:443,https,Apache,text/html,GET,194.150.244.198,/,-491310996,194.150.244.198,HSTS,3376,False,,,,,,
int-elearning.sbb.ch,,401,12,AS29222,INFOMANIAK-AS,CH,195.15.192.0/18,int-elearning.sbb.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-24T13:14:24Z,2024-02-24T13:14:24Z,"CN=int-elearning.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",int-elearning.sbb.ch,Schweizerische Bundesbahnen SBB,www.int-elearning.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,5dd0b8eba54ed008a06fc821958d6d97,66f2600da847b617cfdd77fcbf399411c72f137ddbda6657c5862799f4fd97c3,,ctls,int-elearning.sbb.ch,,443,https://int-elearning.sbb.ch:443,https,,text/html,GET,195.15.246.17,/,229361783,195.15.246.17,HSTS,1,False,,,https://api.qrserver.com,,,
int-espace.sbb.ch,,500,285,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,int-espace.sbb.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-07T09:13:26Z,2023-06-07T09:13:26Z,"CN=elazcloud-ws.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",elazcloud-ws.sbb.ch,Schweizerische Bundesbahnen SBB,elazcloud-int-ws.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,c93d8fe36237cb7ea95aaba2896f3852,5436236ae724c2723d73b30accc5263ea794a986fd3082e3c3634387ac5a07ae,,ctls,int-espace.sbb.ch,,443,https://int-espace.sbb.ch:443,https,,text/xml,GET,193.203.121.101,/,-1679719288,193.203.121.101,IBM DataPower,2,False,,,,True,,
int-join.sbb.ch,,401,12,AS29222,INFOMANIAK-AS,CH,195.15.192.0/18,int-join.sbb.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-08T10:44:02Z,2024-03-08T10:44:02Z,"CN=next-join.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",next-join.sbb.ch,Schweizerische Bundesbahnen SBB,int-join.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,fb4cb9b9dbcaaa310500e0199954b23e,552db3ad968e7fa352006dc235e26ec4b2f37c52531039c1a9012c1d1e1b603f,,ctls,int-join.sbb.ch,,443,https://int-join.sbb.ch:443,https,,text/html,GET,195.15.246.17,/,229361783,195.15.246.17,HSTS,1,False,,,https://sbbmedia.swisstxt.ch,,,
