input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,content_type,final_url,csp_domains_
film-staging.moviexchange.com,movieXchange,200,8764,film-staging.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,film-staging.moviexchange.com,cloudflare,443,https://film-staging.moviexchange.com:443,https,cloudflare,GET,104.16.201.18,/,-1255347784,2606:4700::6810:c912,Cloudflare,221,False,True,,text/html,,
https://fonts.googleapis.com/,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=upload.video.google.com,upload.video.google.com,,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f5e19b0c15918f4e4bcfa456133d1ad7,2d3b52058a876e74ebd8c6b8f539d46ff307058680fed77df5bfad75473dab9c,True,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,GET,172.217.16.138,/,-606046040,2a00:1450:4001:808::200a,HTTP/3,1,False,,,text/html,,
https://fonts.gstatic.com/,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,GET,142.250.184.195,/,302920777,2a00:1450:4001:830::2003,HTTP/3,12,False,,,text/html,,
https://www.google.com/recaptcha/,reCAPTCHA,200,80710,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,,443,https://www.google.com:443/recaptcha/,https,sffe,GET,142.250.186.164,/recaptcha/,708578229,2a00:1450:4001:809::2004,YouTube,2009,False,,,text/html,https://www.google.com/recaptcha/about/,https://csp.withgoogle.com/csp/recaptcha
https://www.gstatic.com/recaptcha/,Error 404 (Not Found)!!1,404,1571,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,www.gstatic.com,,443,https://www.gstatic.com:443/recaptcha/,https,sffe,GET,172.217.16.195,/recaptcha/,302920777,2a00:1450:4001:831::2003,HTTP/3,12,False,,,text/html,,
licensing.moviexchange.com,,404,,licensing.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,licensing.moviexchange.com,cloudflare,443,https://licensing.moviexchange.com:443,https,cloudflare,GET,104.16.201.18,/,-1017312850,2606:4700::6810:c912,Cloudflare,1,False,True,,,,
links.moviexchange.com,,404,128,,,,,,,,,,,,,,,,,,,,,80,http://links.moviexchange.com:80,http,openresty/1.21.4.1,GET,3.90.123.2,/,-535355920,52.71.250.148,OpenResty:1.21.4.1,7,False,,,application/json,,
lyncdiscover.moviexchange.com,,404,34,lyncdiscover.moviexchange.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,True,ctls,lyncdiscover.moviexchange.com,,443,https://lyncdiscover.moviexchange.com:443,https,,GET,52.112.192.14,/,561381128,2603:1027:0:48::21,Azure,1,False,,True,application/json,,
mxf-api.moviexchange.com,,404,103,,,,,,,,,,,,,,,,,,,,azure,80,http://mxf-api.moviexchange.com:80,http,Microsoft-IIS/10.0,GET,13.66.138.108,/,-20275242,13.66.138.108,Windows Server,1,False,True,,text/html,http://mxf-api.moviexchange.com//swagger,
ns1.moviexchange.com,,403,16,ns1.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,ns1.moviexchange.com,cloudflare,443,https://ns1.moviexchange.com:443,https,cloudflare,GET,162.159.8.96,/,,2400:cb00:2049:1::a29f:860,Cloudflare,1,False,True,,text/plain,,
ns2.moviexchange.com,,403,16,ns2.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,ns2.moviexchange.com,cloudflare,443,https://ns2.moviexchange.com:443,https,cloudflare,GET,162.159.9.238,/,,2400:cb00:2049:1::a29f:9ee,Cloudflare,1,False,True,,text/plain,,
slate.moviexchange.com,,400,198,slate.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,slate.moviexchange.com,cloudflare,443,https://slate.moviexchange.com:443,https,cloudflare,GET,104.16.201.18,/,2114210091,2606:4700::6810:c912,Cloudflare,1,False,True,,,,
staging-api.moviexchange.com,,404,19,staging-api.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,staging-api.moviexchange.com,cloudflare,443,https://staging-api.moviexchange.com:443,https,cloudflare,GET,104.16.200.18,/,-138391155,2606:4700::6810:c812,Cloudflare,2,False,True,,text/plain,,
staging-auth.moviexchange.com,movieXchange Authentication,200,1942,staging-auth.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,staging-auth.moviexchange.com,cloudflare,443,https://staging-auth.moviexchange.com:443,https,cloudflare,GET,104.16.200.18,/,-2005858064,2606:4700::6810:c912,Cloudflare,57,False,True,,text/html,,https://fonts.gstatic.com/
