input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn,tech_,csp_domains_,tls_mismatched,tls_wildcard_certificate,final_url
e.starlink.com,Sign In,200,211250,sso.secureserver.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-04T01:30:11Z,2023-11-05T01:30:11Z,"CN=*.secureserver.net, O=Special Domain Services\, LLC, L=Tempe, ST=Arizona, C=US",*.secureserver.net,"Special Domain Services, LLC",secureserver.net,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",75a208eec6aede64ae63b10a7697d857,2633df2f68a7928c16a85e52956a6055d0e6b36d9c33effef3c42234a2fdaa87,ctls,sso.secureserver.net,,443,https://e.starlink.com:443,https,,text/html,GET,173.201.193.133,/,-9375973,68.178.252.20,98,False,,React,,,True,https://sso.secureserver.net/login?app=o365&realm=pass
email.starlink.com,Sign In,200,211250,sso.secureserver.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-04T01:30:11Z,2023-11-05T01:30:11Z,"CN=*.secureserver.net, O=Special Domain Services\, LLC, L=Tempe, ST=Arizona, C=US",*.secureserver.net,"Special Domain Services, LLC",secureserver.net,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",75a208eec6aede64ae63b10a7697d857,2633df2f68a7928c16a85e52956a6055d0e6b36d9c33effef3c42234a2fdaa87,ctls,sso.secureserver.net,,443,https://email.starlink.com:443,https,,text/html,GET,173.201.193.133,/,-1294560289,68.178.252.20,98,False,,React,,,True,https://sso.secureserver.net/login?app=o365&realm=pass
france.starlink.com,,404,67,,,,,,,,,,,,,,,,,,,,80,http://france.starlink.com:80,http,Vercel,text/plain,GET,76.76.21.164,/,1307429962,76.76.21.98,4,False,,Vercel,,,,
geoip.starlinkisp.net,,200,109,geoip.starlinkisp.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-10T23:59:59Z,CN=geoip.starlinkisp.net,geoip.starlinkisp.net,,geoip.starlinkisp.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b8c22e8dea5675b6abf629ce7aeef132,d8331cd217f20513eccac89af36b652f48f14f165a61a2bbeeb143fefb75922f,ctls,geoip.starlinkisp.net,cloudfront,443,https://geoip.starlinkisp.net:443,https,AmazonS3,text/html,GET,99.86.4.77,/,1995629810,2600:9000:2057:ea00:1b:d5de:1900:93a1,9,False,True,HTTP/3,URL=/feed.csv,,,
germany.starlink.com,,404,67,,,,,,,,,,,,,,,,,,,,80,http://germany.starlink.com:80,http,Vercel,text/plain,GET,76.76.21.22,/,1307429962,76.76.21.93,4,False,,Vercel,,,,
hcaptcha.starlink.com,hCaptcha - Stop more bots. Start protecting privacy.,200,84587,hcaptcha.starlink.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-13T00:00:00Z,2023-11-13T23:59:59Z,"CN=hcaptcha.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",hcaptcha.starlink.com,Space Exploration Technologies Corp.,assets.hcaptcha.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab5b23e7533a029db7bf6cf493690456,fdcd3ae78bcd8eec5799d3783c1a69e46fcff6112c4ce95611fa400abad62d07,ctls,hcaptcha.starlink.com,google,443,https://hcaptcha.starlink.com:443,https,nginx/1.20.2,text/html,GET,34.111.246.71,/,-635523938,34.111.246.71,328,False,True,hCaptcha,accounts.hcaptcha.com,,,
https://analytics.starlink.com,502 Bad Gateway,502,430,analytics.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-06T00:00:00Z,2024-04-18T23:59:59Z,"CN=analytics.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",analytics.starlink.com,Space Exploration Technologies Corp.,www.analytics.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,89b9b369359ea21a51613a2e66cdfcb8,d61472ba9d58799e01700c0313aa339ef1f42b506837ffddf7a8679476c8dd39,ctls,analytics.starlink.com,fastly,443,https://analytics.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.2.133,/,478619674,151.101.194.133,18,False,True,HSTS,,,,
https://analytics.twitter.com,Twitter Analytics,200,6346,analytics.twitter.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-01T00:00:00Z,2023-10-01T23:59:59Z,"CN=*.twitter.com, O=Twitter\, Inc., L=San Francisco, ST=California, C=US",*.twitter.com,"Twitter, Inc.",twitter.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3a47bf19dcf3c39f2258bb6ae44eaaac,46fe842999eda1d32a2df40c28da7735bb58ddda34e2efc763475d0bb5de81e1,ctls,analytics.twitter.com,,443,https://analytics.twitter.com:443,https,tsa_f,text/html,GET,104.244.42.67,/,-1831547740,104.244.42.67,129,False,,HSTS,https://pay.twitter.com,,True,https://analytics.twitter.com/about
https://api.starlink.com,,404,,api.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-26T00:00:00Z,2023-06-26T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b0fa39fc3d9809008be417c7b81d0784,9a7de891d3b2b08d1e30af924274bfee04ec3c3bebe718114e4793bd19982864,ctls,api.starlink.com,fastly,443,https://api.starlink.com:443,https,whydoyoucare?,,GET,151.101.130.133,/,-1840324437,151.101.66.133,1,False,True,HSTS,,,,
https://cdn.cookielaw.org,,400,351,cdn.cookielaw.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-01T00:00:00Z,2024-03-31T23:59:59Z,"CN=cookielaw.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cookielaw.org,"Cloudflare, Inc.",*.cookielaw.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",37ab0e71043c8086e3dd0c243ddc96a0,5d2949ef89a4f8bcb4cd2993b031af4344263b2d584da9f9139d2aae7c6cbed2,ctls,cdn.cookielaw.org,cloudflare,443,https://cdn.cookielaw.org:443,https,cloudflare,application/xml,GET,104.19.188.97,/,-233174376,2606:4700::6813:bc61,3,False,True,HSTS,,,True,
https://checkoutshopper-live-us.adyen.com,,200,,checkoutshopper-live-us.adyen.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-31T00:00:00Z,2024-01-31T23:59:59Z,CN=adyen.com,adyen.com,,*.adyen.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",7c2c024a0ed59f341b283ee38f3bf083,0dd8c89bfa2a115124d39d8a607c31bc735087fb68f4cef17a5fd924a5a9a148,ctls,checkoutshopper-live-us.adyen.com,,443,https://checkoutshopper-live-us.adyen.com:443,https,nginx,text/html,GET,135.84.149.134,/,643264156,135.84.148.134,1,False,,Nginx,,,True,
https://geolocation.onetrust.com,Trust Intelligence Cloud Solutions | OneTrust,200,150241,www.onetrust.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-09T15:36:27Z,2023-08-07T16:35:17Z,CN=onetrust.com,onetrust.com,,oneaccess-dev.corp.onetrust.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,f9dd3411d05cd3973d510aa9d1b2da5f,ebd45342af01016e2f7c58a218258dbabfd3c101522fe4a1272169ff61730345,ctls,www.onetrust.com,cloudflare,443,https://geolocation.onetrust.com:443,https,cloudflare,text/html,GET,172.64.144.98,/,1677180993,2606:4700:4400::6812:2b9e,2430,False,True,Java,*.googleapis.com,,True,https://www.onetrust.com
https://hcaptcha.com,hCaptcha - Stop more bots. Start protecting privacy.,200,84587,www.hcaptcha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-04-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",76f1a09a9fc70f20b972707426b775ee,9218de85ef236a86c9984357602141f0e40794e8a07f4ccf91f1d229e7c828fc,ctls,www.hcaptcha.com,cloudflare,443,https://hcaptcha.com:443,https,cloudflare,text/html,GET,104.16.169.131,/,-635523938,104.16.168.131,328,False,True,hCaptcha,embed.typeform.com,,True,https://www.hcaptcha.com/
https://hcaptcha.starlink.com,hCaptcha - Stop more bots. Start protecting privacy.,200,84587,hcaptcha.starlink.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-13T00:00:00Z,2023-11-13T23:59:59Z,"CN=hcaptcha.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",hcaptcha.starlink.com,Space Exploration Technologies Corp.,assets.hcaptcha.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab5b23e7533a029db7bf6cf493690456,fdcd3ae78bcd8eec5799d3783c1a69e46fcff6112c4ce95611fa400abad62d07,ctls,hcaptcha.starlink.com,google,443,https://hcaptcha.starlink.com:443,https,nginx/1.20.2,text/html,GET,34.111.246.71,/,-635523938,34.111.246.71,328,False,True,hCaptcha,dashboard.hcaptcha.com,,,
https://securetoken.googleapis.com,Error 404 (Not Found)!!1,404,1561,securetoken.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=upload.video.google.com,upload.video.google.com,,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f5e19b0c15918f4e4bcfa456133d1ad7,2d3b52058a876e74ebd8c6b8f539d46ff307058680fed77df5bfad75473dab9c,ctls,securetoken.googleapis.com,,443,https://securetoken.googleapis.com:443,https,ESF,text/html,GET,142.250.186.170,/,302920777,2a00:1450:4001:80e::200a,12,False,,HTTP/3,,,True,
https://static.ads-twitter.com,,403,243,static.ads-twitter.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-22T00:00:00Z,2023-08-22T23:59:59Z,"CN=ads-twitter.com, O=Twitter\, Inc., L=San Francisco, ST=California, C=US",ads-twitter.com,"Twitter, Inc.",static.ads-twitter.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d0d5d940ca06e81785a2094394c4ce5a,d1f365935d2a75aee8d86b4eb4341b07fb0f48fb1b2c1be4bc7af3381aa5ca6c,ctls,static.ads-twitter.com,fastly,443,https://static.ads-twitter.com:443,https,,application/xml,GET,146.75.120.157,/,1565795696,146.75.120.157,2,False,True,,,,,
https://t.co,t.co / Twitter,200,3367,t.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-14T00:00:00Z,2023-11-14T23:59:59Z,"CN=t.co, O=Twitter\, Inc., L=San Francisco, ST=California, C=US",t.co,"Twitter, Inc.",www.t.co,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,91ecdcf673afaa5e0ccace9d7ea8e63e,8c871edfd9c6b13bbf9f1a8b14efcb5b43a01382a45e8632f98e6adf93f465f9,ctls,t.co,,443,https://t.co:443,https,tsa_f,text/html,GET,104.244.42.133,/,-1831547740,104.244.42.5,50,False,,HSTS,,,,
https://www.googleapis.com,Error 404 (Not Found)!!1,404,1561,www.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=upload.video.google.com,upload.video.google.com,,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f5e19b0c15918f4e4bcfa456133d1ad7,2d3b52058a876e74ebd8c6b8f539d46ff307058680fed77df5bfad75473dab9c,ctls,www.googleapis.com,,443,https://www.googleapis.com:443,https,,text/html,GET,142.250.185.202,/,302920777,2a00:1450:4001:812::200a,12,False,,HTTP/3,,,True,
https://www.starlink.com,Starlink,200,4493,www.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-26T00:00:00Z,2023-06-26T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b0fa39fc3d9809008be417c7b81d0784,9a7de891d3b2b08d1e30af924274bfee04ec3c3bebe718114e4793bd19982864,ctls,www.starlink.com,fastly,443,https://www.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.2.133,/,-1307621008,151.101.194.133,65,False,True,hCaptcha,https://fonts.googleapis.com,,,
imgs.hcaptcha.starlink.com,,404,,imgs.hcaptcha.starlink.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-13T00:00:00Z,2023-11-13T23:59:59Z,"CN=hcaptcha.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",hcaptcha.starlink.com,Space Exploration Technologies Corp.,assets.hcaptcha.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab5b23e7533a029db7bf6cf493690456,fdcd3ae78bcd8eec5799d3783c1a69e46fcff6112c4ce95611fa400abad62d07,ctls,imgs.hcaptcha.starlink.com,google,443,https://imgs.hcaptcha.starlink.com:443,https,nginx/1.20.2,,GET,34.111.246.71,/,-1840324437,34.111.246.71,1,False,True,Nginx:1.20.2,,,,
lyncdiscover.starlink.com,,200,362,lyncdiscover.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,ctls,lyncdiscover.starlink.com,,443,https://lyncdiscover.starlink.com:443,https,,application/json,GET,52.112.196.45,/,2021094248,2603:1027:0:48::21,1,False,,Azure,,True,True,
metabase.starlink.com,Sign in to your account,200,203986,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,azure,443,https://metabase.starlink.com:443,https,,text/html,GET,52.188.11.213,/,-1113338274,52.188.11.213,173,False,True,HSTS,,,,https://login.microsoftonline.com/ef182401-f482-4ecf-9209-b9e49675cff7/oauth2/authorize?response_type=code&client_id=b94e85eb-481f-4996-99ad-4a3b0844a78e&scope=openid&nonce=fa82dac6-138e-49dd-982b-452a8dbc24c0&redirect_uri=https%3a%2f%2fmetabase.starlink.com%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fmetabase.starlink.com%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22744d818e-f749-4b80-aaf8-b40c8c16441d%22%7d%23EndOfStateParam%23&client-request-id=744d818e-f749-4b80-aaf8-b40c8c16441d
