new,host,a,aaaa,soa,status_code,cdn,cdn-name,txt,cname,ns,caa,mx
[x],cdn-shop.adafruit.com,"104.20.39.240, 104.20.38.240","2606:4700:10::6814:26f0, 2606:4700:10::6814:27f0","ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],forums.adafruit.com,54.91.7.192,,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],i.adafruit.com,34.227.62.224,,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],io.adafruit.com,"52.54.110.50, 52.54.163.195",,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],jobs.adafruit.com,"104.20.39.240, 104.20.38.240","2606:4700:10::6814:26f0, 2606:4700:10::6814:27f0","ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],kim.adafruit.com,44.203.191.78,,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],learn.adafruit.com,,,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],makecode.adafruitdaily.com,,,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,adafruit.github.io,,,
[x],pxt.adafruit.com,20.49.104.33,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,pxt.io,"ns4-07.azure-dns.info, ns1-07.azure-dns.com, ns2-07.azure-dns.net, ns3-07.azure-dns.org","mailto:makecode@microsoft.com, digicert.com, microsoft.com",
[x],statsd.adafruit.com,52.7.124.212,,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],status.adafruit.com,"104.20.38.240, 104.20.39.240","2606:4700:10::6814:26f0, 2606:4700:10::6814:27f0","ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],status.vpn.adafruit.com,,,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 -all,,,,
[x],volcano.adafruit.com,44.203.191.78,,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,google-site-verification=foOL94rk6O2czMJZvsFuQtEp68huWlhb0_FBLqG9AX4,,,,
[x],wifitest.adafruit.com,52.207.219.136,,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.accounts.adafruit.com,"172.67.9.214, 104.22.66.249, 104.22.67.249","2606:4700:10::ac43:9d6, 2606:4700:10::6816:42f9, 2606:4700:10::6816:43f9","ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],www.adafruit.com,"104.20.39.240, 104.20.38.240","2606:4700:10::6814:27f0, 2606:4700:10::6814:26f0","ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],www.blog.adafruit.com,52.90.89.237,,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,blog.adafruit.com,,,
[x],www.jobs.adafruit.com,"54.163.166.28, 44.203.191.78",,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,jobs.adafruit.com,,,
