new,host,a,cname,mx,soa,ns,txt,caa,status_code,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,ptr
,blog.fig.co,"13.227.219.17, 13.227.219.107, 13.227.219.76, 13.227.219.13",,,"ns-175.awsdns-21.com, awsdns-hostmaster.amazon.com",,,,NOERROR,,True,cloudfront,,,
,bucket-config.comodo.bluesnap.com,141.226.142.181,bluesnap.com,bluesnap-com.mail.protection.outlook.com,"dns1.p01.nsone.net, hostmaster.nsone.net","ns02.myveryfastdns.com, ns03.myveryfastdns.com, ns04.myveryfastdns.com, dns1.p01.nsone.net, dns2.p01.nsone.net, dns3.p01.nsone.net, dns4.p01.nsone.net, ns01.myveryfastdns.com","v=spf1 ip4:132.145.253.172 ip4:141.226.140.59 ip4:141.226.142.59 include:mail.zendesk.com include:_spf.salesforce.com include:spf.protection.outlook.com include:454819.spf10.hubspotemail.net include:_ae.bluesnap.com include:_sws.bluesnap.com include:m.les, sonly.com include:spf.mandrillapp.com  ~all, ZOOM_verify_ZLHrtzxvMwICAzYenrnOJN, facebook-domain-verification=bqxxq5arjhpblcpcpps3joal49yjdg, twilio-domain-verification=f5160a172df04337393a8fcd38f73756, MS=ms83569957, TXT k=rsa; p=MHwwDQYJKoZIhvcNAQEBBQADawAwaAJhAKvJz5ye22PHdYTIuavCV0yjPh3rgdK9NFBH81uguQzlTPK9EZ32E3cTGQ/hcMIiPMJ4sYKmLBRUE+jGmm0QU84spQ/ZAqh86zh12Z9oN6SHXFEPlzlwBO5D9rWcg5rILwIDAQAB, atlassian-domain-verification=EEYuoYKwO4K9FFRytCkn7CLD7nXrnRZQ1TMJN2ycWWi0hTS7PpeIswvA1Ym24wqd, sapience-verification=00f5721e11531aeeed2992ec5329143c","letsencrypt.org, sectigo.com, mailto:it@bluesnap.com, digicert.com",NOERROR,,,,,,
,ccsp-config.comcast.com,"10.54.141.252, 172.24.68.246, 172.24.68.250, 10.54.190.252, 10.54.190.240, 10.54.190.244, 10.54.141.248, 10.54.141.242, 10.54.190.248, 10.54.190.242, 172.24.68.247, 10.54.190.251, 10.54.141.244, 172.24.68.252, 10.54.190.247, 10.54.141.250, 10.54.190.241, 10.54.141.246, 10.54.141.241, 172.24.68.248, 10.54.141.251, 172.24.68.251, 10.54.141.243, 10.54.141.240, 10.54.190.243, 10.54.141.245, 10.54.141.247, 10.54.190.245, 10.54.190.250, 10.54.190.246",ccsp-config-prd.g.app.cloud.comcast.net,,"gtd03-d.northlake.il.ndcchgo.comcast.net, hostmaster.gtd03-d.northlake.il.ndcchgo.comcast.net",,,,NOERROR,,,,True,"10.54.141.252, 172.24.68.246, 172.24.68.250, 10.54.190.252, 10.54.190.240, 10.54.190.244, 10.54.141.248, 10.54.141.242, 10.54.190.248, 10.54.190.242, 172.24.68.247, 10.54.190.251, 10.54.141.244, 172.24.68.252, 10.54.190.247, 10.54.141.250, 10.54.190.241, 10.54.141.246, 10.54.141.241, 172.24.68.248, 10.54.141.251, 172.24.68.251, 10.54.141.243, 10.54.141.240, 10.54.190.243, 10.54.141.245, 10.54.141.247, 10.54.190.245, 10.54.190.250, 10.54.190.246",
,ci-config.corp.google.com,142.250.27.129,uberproxy-with-cn.l.google.com,,"ns1.google.com, dns-admin.google.com",,,,NOERROR,2a00:1450:4025:401::81,,,,,
,config-coengvrapmssp01.nl-uk.deezer.com,208.91.197.27,,,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,,NOERROR,,,,,,ns1327.ztomy.com
,config-coengvrapmssp01.ppmail4.paddypower.com,81.92.115.142,,"smtp1.emv2.com, smtp2.emv2.com","a.ns.emailvision.net, domains.emailvision.com",,,,NOERROR,,,,,,
,config-coengvrapmssp01.stage.twilio.com,"13.249.205.10, 13.249.205.25, 13.249.205.78, 13.249.205.81",dvksptar9cd7z.cloudfront.net,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com","ns-111.awsdns-13.com, ns-616.awsdns-13.net, ns-1221.awsdns-24.org, ns-1903.awsdns-45.co.uk",,,NOERROR,,True,cloudfront,,,
,config-coengvrapmssp01.unified.seek.com,"104.18.22.53, 104.18.23.53",wildcard.unified.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,,True,cloudflare,,,
,config-config-internal.odoo.com,141.94.74.34,,,"ns0.odoo.com, admin.odoo.com",,,,NOERROR,,,,,,
,config-config-vip-svnusers.secproxy-dev.sc-corp.net,35.190.16.123,snapcrackleproxy.sc-corp.net,,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",,,,NOERROR,,True,google,,,
,config-config-vip-svnusers.sg-dev.seek.com,"104.18.0.110, 104.18.1.110",wildcard.sg-dev.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,"2606:4700::6812:16e, 2606:4700::6812:6e",True,cloudflare,,,
,config-config-vip-svnusers.stage.twilio.com,"13.227.219.24, 13.227.219.13, 13.227.219.81, 13.227.219.113",dvksptar9cd7z.cloudfront.net,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com","ns-111.awsdns-13.com, ns-1221.awsdns-24.org, ns-1903.awsdns-45.co.uk, ns-616.awsdns-13.net",,,NOERROR,,True,cloudfront,,,
,config-config-vip-svnusers.tianma-prd-in.vivo.com,129.227.254.190,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com","ns3.dnsv5.com, ns4.dnsv5.com",,,NOERROR,,,,,,
,config-config-vip-svnusers.websitebuilder.easyname.com,185.51.8.148,,,"nsi1.easyname.com, hostmaster.easyname.com",,,,NOERROR,,,,,,
,config-configconfig.odoo.com,141.94.74.34,,,"ns0.odoo.com, admin.odoo.com",,,,NOERROR,,,,,,
,config-configmijn-repository-postgresmx.runbot108.odoo.com,141.95.203.16,runbot108.odoo.com,,"ns0.odoo.com, admin.odoo.com",,,,NOERROR,,,,,,
,config-configmijn-repository-postgresmx.sandbox.directly.com,"54.208.171.77, 34.235.174.84, 34.200.99.14, 52.45.238.149",,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,,,
,config-configmijn-repository-postgresmx.sg-dev.seek.com,"104.18.0.110, 104.18.1.110",wildcard.sg-dev.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,"2606:4700::6812:6e, 2606:4700::6812:16e",True,cloudflare,,,
,config-configmijn-repository-postgresmx.staging-my.mtn.com,20.87.205.64,,,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",,,,NOERROR,,,,,,
,config-configmijn-repository-postgresmx.tianma-prd-in.vivo.com,129.227.254.190,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,,,NOERROR,,,,,,
,config-configvip-db-postgresgit.sg-dev.seek.com,"104.18.1.110, 104.18.0.110",wildcard.sg-dev.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,"2606:4700::6812:16e, 2606:4700::6812:6e",True,cloudflare,,,
,config-configvip-db-postgresgit.stage.twilio.com,"13.32.99.92, 13.32.99.111, 13.32.99.99, 13.32.99.43",dvksptar9cd7z.cloudfront.net,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,,True,cloudfront,,,
,config-configvip-db-postgresgit.tianma-prd-in.vivo.com,129.227.254.190,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,,,NOERROR,,,,,,
,config-configvip-db-postgresgit.unified.seek.com,"104.18.22.53, 104.18.23.53",wildcard.unified.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,,True,cloudflare,,,
,config-configvip-db-postgresgit.websitebuilder.easyname.com,185.51.8.148,,,"nsi1.easyname.com, hostmaster.easyname.com",,,,NOERROR,,,,,,
,config-confluence-liveaccept-domain.comodo.bluesnap.com,"141.226.140.63, 198.51.44.1, 198.51.45.1, 198.51.44.65, 198.51.45.65, 104.225.41.1, 104.225.41.65, 104.225.41.129, 104.225.41.193",bluesnap.com,bluesnap-com.mail.protection.outlook.com,"dns1.p01.nsone.net, hostmaster.nsone.net","dns1.p01.nsone.net, ns01.myveryfastdns.com, dns2.p01.nsone.net, ns02.myveryfastdns.com, dns3.p01.nsone.net, ns04.myveryfastdns.com, ns03.myveryfastdns.com, dns4.p01.nsone.net","twilio-domain-verification=f5160a172df04337393a8fcd38f73756, sapience-verification=00f5721e11531aeeed2992ec5329143c, ZOOM_verify_ZLHrtzxvMwICAzYenrnOJN, atlassian-domain-verification=EEYuoYKwO4K9FFRytCkn7CLD7nXrnRZQ1TMJN2ycWWi0hTS7PpeIswvA1Ym24wqd, MS=ms83569957, facebook-domain-verification=bqxxq5arjhpblcpcpps3joal49yjdg, TXT k=rsa; p=MHwwDQYJKoZIhvcNAQEBBQADawAwaAJhAKvJz5ye22PHdYTIuavCV0yjPh3rgdK9NFBH81uguQzlTPK9EZ32E3cTGQ/hcMIiPMJ4sYKmLBRUE+jGmm0QU84spQ/ZAqh86zh12Z9oN6SHXFEPlzlwBO5D9rWcg5rILwIDAQAB, v=spf1 ip4:132.145.253.172 ip4:141.226.140.59 ip4:141.226.142.59 include:mail.zendesk.com include:_spf.salesforce.com include:spf.protection.outlook.com include:454819.spf10.hubspotemail.net include:_ae.bluesnap.com include:_sws.bluesnap.com include:m.les, sonly.com include:spf.mandrillapp.com  ~all","letsencrypt.org, digicert.com, sectigo.com, mailto:it@bluesnap.com",NOERROR,"2620:4d:4000:6259:7:1:0:1, 2a00:edc0:6259:7:1::2, 2620:4d:4000:6259:7:1:0:3, 2a00:edc0:6259:7:1::4",,,,,
,config-confluence-liveaccept-domain.ppmail4.paddypower.com,81.92.115.142,,"smtp1.emv2.com, smtp2.emv2.com","a.ns.emailvision.net, domains.emailvision.com",,"v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all, spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all",,NOERROR,,,,,,
,config-confluence-liveaccept-domain.sg-dev.seek.com,"104.18.0.110, 104.18.1.110",wildcard.sg-dev.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,"2606:4700::6812:16e, 2606:4700::6812:6e",True,cloudflare,,,
,config-confluence-liveaccept-domain.stage.twilio.com,"13.227.219.113, 13.227.219.24, 13.227.219.13, 13.227.219.81",dvksptar9cd7z.cloudfront.net,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com","ns-1903.awsdns-45.co.uk, ns-616.awsdns-13.net, ns-111.awsdns-13.com, ns-1221.awsdns-24.org",,,NOERROR,,True,cloudfront,,,
,config-confluence-liveaccept-domain.tianma-prd-in.vivo.com,129.227.254.190,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,,,NOERROR,,,,,,
,config-confluence-liveaccept-domain.unified.seek.com,"104.18.23.53, 104.18.22.53",wildcard.unified.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,,True,cloudflare,,,
,config-confluence-repositoryerpalt.events.dewarmsteweek.be,86.39.65.98,"web0.tickoweb.net, peak.proxy.tickoweb.net",,"ns1.ethera.be, dns.tigron.net",,,,NOERROR,2a00:6ec0:101:1:0:98:0:1,,,,,
,config-confluence-repositoryerpalt.odoo.com,141.94.74.34,,,"ns0.odoo.com, admin.odoo.com",,,,NOERROR,,,,,,
,config-confluence-repositoryerpalt.ppmail4.paddypower.com,,,,"a.ns.emailvision.net, domains.emailvision.com",,"spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all, v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all",,NOERROR,,,,,,
,config-confluence-repositoryerpalt.stage.twilio.com,"13.32.99.111, 13.32.99.92, 13.32.99.43, 13.32.99.99",dvksptar9cd7z.cloudfront.net,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com","ns-1221.awsdns-24.org, ns-1903.awsdns-45.co.uk, ns-616.awsdns-13.net, ns-111.awsdns-13.com",,,NOERROR,,True,cloudfront,,,
,config-confluence-repositoryerpalt.tianma-prd-in.vivo.com,129.227.254.190,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,,,NOERROR,,,,,,
,config-confluence-repositoryerpalt.unified.seek.com,"104.18.23.53, 104.18.22.53",wildcard.unified.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,,True,cloudflare,,,
,config-confluence-stage-start-clients.events.dewarmsteweek.be,86.39.65.98,"web0.tickoweb.net, peak.proxy.tickoweb.net",,"ns1.ethera.be, dns.tigron.net",,,,NOERROR,2a00:6ec0:101:1:0:98:0:1,,,,,
,config-confluence-stage-start-clients.ppmail4.paddypower.com,81.92.115.142,,"smtp2.emv2.com, smtp1.emv2.com","a.ns.emailvision.net, domains.emailvision.com",,"spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all, v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all",,NOERROR,,,,,,
,config-confluence-stage-start-clients.qa.rivianservices.com,"108.138.51.18, 108.138.51.80, 108.138.51.55, 108.138.51.32",,,"ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",,,,NOERROR,,True,cloudfront,,,
,config-confluence-stage-start-clients.runbot108.odoo.com,141.95.203.16,runbot108.odoo.com,,"ns0.odoo.com, admin.odoo.com",,,,NOERROR,,,,,,
,config-confluence-stage-start-clients.sg-dev.seek.com,"104.18.1.110, 104.18.0.110",wildcard.sg-dev.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,"2606:4700::6812:6e, 2606:4700::6812:16e",True,cloudflare,,,
,config-confluence-stage-start-clients.stage.twilio.com,"18.160.18.31, 18.160.18.56, 18.160.18.15, 18.160.18.36, 205.251.192.111, 205.251.194.104, 205.251.196.197, 205.251.199.111",dvksptar9cd7z.cloudfront.net,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com","ns-1903.awsdns-45.co.uk, ns-1221.awsdns-24.org, ns-111.awsdns-13.com, ns-616.awsdns-13.net",,,NOERROR,,True,cloudfront,,,
,config-confluence-stage-start-clients.tianma-prd-in.vivo.com,129.227.254.190,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,,,NOERROR,,,,,,
,config-confluence-stage-start-clients.unified.seek.com,"104.18.22.53, 104.18.23.53",wildcard.unified.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,,True,cloudflare,,,
,config-confluence-stage-start-clients.websitebuilder.easyname.com,185.51.8.148,,,"nsi1.easyname.com, hostmaster.easyname.com",,,,NOERROR,,,,,,
,config-connect.odoo.com,141.94.74.34,,,"ns0.odoo.com, admin.odoo.com",,,,NOERROR,,,,,,
,config-container-www-test.alpha.eff.org,,priv.365m.eff.org,,"ns1.eff.org, hostmaster.eff.org",,v=spf1 a -all,,NOERROR,,,,,,
,config-container-www-test.ppmail2.paddypower.com,81.92.115.138,,"smtp1.emv2.com, smtp2.emv2.com","a.ns.emailvision.net, domains.emailvision.com",,"spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all, v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all",,NOERROR,,,,,,
,config-container-www-test.shopamerica.htc.com,208.184.176.105,,,"htctao1.htc.com, hostmaster.htc.com",,,,NOERROR,,,,,,
,config-container-www-test.stage.twilio.com,"13.227.219.24, 13.227.219.13, 13.227.219.81, 13.227.219.113",dvksptar9cd7z.cloudfront.net,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com","ns-111.awsdns-13.com, ns-1221.awsdns-24.org, ns-1903.awsdns-45.co.uk, ns-616.awsdns-13.net",,,NOERROR,,True,cloudfront,,,
,config-container-www-test.tianma-prd-in.vivo.com,129.227.254.190,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",,,,NOERROR,,,,,,
,config-container-www-test.unified.seek.com,"104.18.22.53, 104.18.23.53",wildcard.unified.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,,True,cloudflare,,,
,config-corpimgshare.blog.filezilla-project.org,49.12.121.47,filezilla-project.org,filezilla-project.org,"ns1.domaindiscount24.net, tech.key-systems.net","ns3.domaindiscount24.net, ns1.domaindiscount24.net, ns2.domaindiscount24.net","google-site-verification=VMSIrNYAVoMPTFK6VdS6swSnzPeV9u3oDl2KraQnLI8, v=spf1 mx ip4:49.12.121.47/32 ip6:2a01:4f8:242:52d0::2/64 -all",,NOERROR,"2a01:4f8:242:52d0::2, 2001:41d0:c:388:94:23:153:36, 2604:4500:c:3:66:206:3:125, 2607:5300:60:5e1c:144:217:35:18",,,,,
,config-corpimgshare.events.dewarmsteweek.be,86.39.65.98,"web0.tickoweb.net, peak.proxy.tickoweb.net",,"ns1.ethera.be, dns.tigron.net",,,,NOERROR,2a00:6ec0:101:1:0:98:0:1,,,,,
,config-corpimgshare.ppmail2.paddypower.com,81.92.115.138,,,"a.ns.emailvision.net, domains.emailvision.com",,"spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all, v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all",,NOERROR,,,,,,
,config-corpimgshare.ppmail4.paddypower.com,81.92.115.142,,"smtp1.emv2.com, smtp2.emv2.com","a.ns.emailvision.net, domains.emailvision.com",,"spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all, v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all",,NOERROR,,,,,,
,config-corpimgshare.psrunbot3.odoo.com,46.105.112.126,psrunbot3.odoo.com,,"ns0.odoo.com, admin.odoo.com",,,,NOERROR,,,,,,
,config-corpimgshare.runbot152.odoo.com,51.91.154.168,runbot152.odoo.com,,"ns0.odoo.com, admin.odoo.com",,,,NOERROR,,,,,,
,config-corpimgshare.sg-dev.seek.com,"104.18.0.110, 104.18.1.110",wildcard.sg-dev.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,"2606:4700::6812:6e, 2606:4700::6812:16e",True,cloudflare,,,
,config-corpimgshare.smtpmail.didichuxing.com,"123.207.209.134, 123.207.209.17, 123.207.209.16, 123.207.209.133",gz01.router.public.diditaxi.com.cn,,"ns1.didiwuxian.com, sys.didiwuxian.com",,,,NOERROR,,,,,,
,config-corpimgshare.stage.twilio.com,"13.224.245.71, 13.224.245.77, 13.224.245.16, 13.224.245.64",dvksptar9cd7z.cloudfront.net,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com","ns-1903.awsdns-45.co.uk, ns-1221.awsdns-24.org, ns-111.awsdns-13.com, ns-616.awsdns-13.net",,,NOERROR,,True,cloudfront,,,
,dataaccess-customers-backupconfig.comodo.bluesnap.com,141.226.142.181,bluesnap.com,bluesnap-com.mail.protection.outlook.com,"dns1.p01.nsone.net, hostmaster.nsone.net","ns04.myveryfastdns.com, dns1.p01.nsone.net, dns2.p01.nsone.net, dns3.p01.nsone.net, dns4.p01.nsone.net, ns01.myveryfastdns.com, ns02.myveryfastdns.com, ns03.myveryfastdns.com","facebook-domain-verification=bqxxq5arjhpblcpcpps3joal49yjdg, twilio-domain-verification=f5160a172df04337393a8fcd38f73756, MS=ms83569957, TXT k=rsa; p=MHwwDQYJKoZIhvcNAQEBBQADawAwaAJhAKvJz5ye22PHdYTIuavCV0yjPh3rgdK9NFBH81uguQzlTPK9EZ32E3cTGQ/hcMIiPMJ4sYKmLBRUE+jGmm0QU84spQ/ZAqh86zh12Z9oN6SHXFEPlzlwBO5D9rWcg5rILwIDAQAB, atlassian-domain-verification=EEYuoYKwO4K9FFRytCkn7CLD7nXrnRZQ1TMJN2ycWWi0hTS7PpeIswvA1Ym24wqd, sapience-verification=00f5721e11531aeeed2992ec5329143c, v=spf1 ip4:132.145.253.172 ip4:141.226.140.59 ip4:141.226.142.59 include:mail.zendesk.com include:_spf.salesforce.com include:spf.protection.outlook.com include:454819.spf10.hubspotemail.net include:_ae.bluesnap.com include:_sws.bluesnap.com include:m.les, sonly.com include:spf.mandrillapp.com  ~all, ZOOM_verify_ZLHrtzxvMwICAzYenrnOJN","mailto:it@bluesnap.com, digicert.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,
,demo-config-confluence.odoo.com,141.94.74.34,,,"ns0.odoo.com, admin.odoo.com",,,,NOERROR,,,,,,
,dev.cfig.compass.comcast.com,,,,"ns-6f-vs-01i.streamsage.com, cmp_hostmaster.cable.comcast.com",,,,NOERROR,,,,,,
,devconfig-configvip-db-postgresgit.ppmail4.paddypower.com,81.92.115.142,,"smtp2.emv2.com, smtp1.emv2.com","a.ns.emailvision.net, domains.emailvision.com",,"v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all, spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all",,NOERROR,,,,,,
,devconfig-configvip-db-postgresgit.sg-dev.seek.com,"104.18.0.110, 104.18.1.110",wildcard.sg-dev.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,"2606:4700::6812:6e, 2606:4700::6812:16e",True,cloudflare,,,
,devconfig-configvip-db-postgresgit.staging-my.mtn.com,20.87.205.64,,,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",,,,NOERROR,,,,,,
,devconfig-configvip-db-postgresgit.unified.seek.com,"104.18.23.53, 104.18.22.53",wildcard.unified.seek.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,,True,cloudflare,,,
,email.mg.fig.co,"52.222.236.30, 52.222.236.118, 52.222.236.109, 52.222.236.60",,,"ns-175.awsdns-21.com, awsdns-hostmaster.amazon.com",,,,NOERROR,,True,cloudfront,,,
,email.staging-mg.fig.co,"18.154.227.16, 18.154.227.55, 18.154.227.25, 18.154.227.17",,,"ns-175.awsdns-21.com, awsdns-hostmaster.amazon.com",,,,NOERROR,,True,cloudfront,,,
