new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,caa,mx,txt,has_internal_ips,internal_ips
[x],userdb.mapmyrun.com,69.64.78.242,"ns-1621.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1360.awsdns-42.org, ns-1621.awsdns-10.co.uk, ns-440.awsdns-55.com, ns-748.awsdns-29.net",,,,,
[x],wc102-vm6.mapmyride.com,,,NOERROR,,,,,,,,,,
[x],web-dev.myfitnesspal.com,"172.25.176.198, 172.25.170.231, 172.25.190.138, 172.25.187.239, 172.25.170.97, 172.25.178.40","ns-1849.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,web-dev-nginx-array.internal.us.mfp.dev,,,,,,,,True,"172.25.176.198, 172.25.170.231, 172.25.190.138, 172.25.187.239, 172.25.170.97, 172.25.178.40"
[x],webblue-stage.api.ua.com,,,NOERROR,,,,,,,,,,
[x],widget.mapmyfitness.com,54.144.128.85,,NOERROR,widget-1316627420.us-east-1.elb.amazonaws.com,,,,,,,,,
[x],women.ua.com,"96.45.82.161, 96.45.83.195, 96.45.83.103, 96.45.82.74","ns20.digicertdns.com, dns.digicertdns.com",NOERROR,,,,,,,,,,
[x],zendesk1.underarmour.com,"162.159.128.7, 162.159.138.6","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail1.zendesk.com,True,cloudflare,,,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,
[x],zendesk2.underarmour.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail2.zendesk.com,True,cloudflare,,,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,
,2021-auth-cms.underarmour.co.uk,204.74.99.103,"udns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,
,3awww.underarmour.co.uk,204.74.99.103,"udns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,
,abby.myfitnesspal.com,"104.18.27.189, 104.18.26.189","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,secure.pageserve.co,True,cloudflare,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,"digicert.com, letsencrypt.org, sectigo.com",,,,
,about.mapmyfitness.com,"13.226.153.105, 13.226.153.25, 13.226.153.126, 13.226.153.12","ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,mapmyfitness.com,True,cloudfront,,"ns-1855.awsdns-39.co.uk, ns-408.awsdns-51.com, ns-654.awsdns-17.net, ns-1108.awsdns-10.org",,"mx2.ua.iphmx.com, mx1.ua.iphmx.com","v=spf1 a mx include:sendgrid.net include:mailseat.com include:mail.zendesk.com include:spf.protection.outlook.com  ~all, MS=ms37790606, facebook-domain-verification=c3gbdfdjok9dh5lqbj38d3rz5irepr, google-site-verification=Q2epMmOxfdLgt5cIquPR7VyixmA7p_92IsLurJX21FU, include:_spf.google.com ip4:208.73.5.15 ip4:198.101.229.105 ?all, o3dRlQD190cP20HQ1wEDj22KvS55eknscjOSL5bIa7s4tbGBnAn8fd6koJFZA7wy96iNYThgeqNWX2od53JMmw==",,
,about.underarmour.com,"151.101.3.10, 151.101.67.10, 151.101.131.10, 151.101.195.10","ns1.fastly.net, hostmaster.fastly.com",NOERROR,"cdn.adobeaemcloud.com, adobe-aem.map.fastly.net",True,fastly,,,,,,,
,account.myfitnesspal.com,"3.221.25.239, 54.92.224.133, 34.236.195.40","ns-1752.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,prod-accountservices.external.us.mfp.dev,,,,,,,,,
,account.underarmour.com,"18.66.112.115, 18.66.112.17, 18.66.112.116, 18.66.112.68","ns-1778.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,d3pb4izm32m08z.cloudfront.net,True,cloudfront,,"ns-1433.awsdns-51.org, ns-1778.awsdns-30.co.uk, ns-383.awsdns-47.com, ns-548.awsdns-04.net",,,,,
,acp.myfitnesspal.com,"104.18.26.189, 104.18.27.189","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,secure.pageserve.co,True,cloudflare,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,"digicert.com, letsencrypt.org, sectigo.com",,,,
,activesync.underarmour.com,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,activesynceu.underarmour.com,46.34.71.253,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,activesynchk.underarmour.com,125.252.105.230,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,activesynchkdr.underarmour.com,204.29.197.86,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,admin.www.ua.com,173.203.25.68,"ns20.digicertdns.com, dns.digicertdns.com",NOERROR,,,,,,,,,,
,advice.myfitnesspal.com,"104.18.27.189, 104.18.26.189","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,secure.pageserve.co,True,cloudflare,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,"digicert.com, sectigo.com, letsencrypt.org",,,,
,aem.underarmour.com,,"ns-1643.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,author-under-armour-brand-prod.adobecqms.net,,,,,,,,,
,affiliateprogram.myfitnesspal.com,"104.18.27.189, 104.18.26.189","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,secure.pageserve.co,True,cloudflare,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,"digicert.com, letsencrypt.org, sectigo.com",,,,
,affiliateqa.myfitnesspal.com,"104.18.27.189, 104.18.26.189","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,secure.pageserve.co,True,cloudflare,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,"digicert.com, letsencrypt.org, sectigo.com",,,,
,am.underarmour.com,204.29.196.31,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,ams.guest.underarmour.com,10.4.7.64,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,True,10.4.7.64
,amsucvcse01.underarmour.com,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,amsucvcse02.underarmour.com,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,analytics.underarmour.com,"63.140.62.164, 63.140.62.135, 63.140.62.160","ns201.adobe.net, hostmaster.adobe.com",NOERROR,underarmour.com.ssl.sc.omtrdc.net,,,,,,,,,
,api-gw.underarmour.com,"52.205.125.181, 184.72.76.243","ns-1268.awsdns-30.org, awsdns-hostmaster.amazon.com",NOERROR,ua-mule-prod-dlb.lb.anypointdns.net,,,,,,,,,
,api.mapmyfitness.com,"99.86.4.59, 99.86.4.17, 99.86.4.111, 99.86.4.19","ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
,api.myfitnesspal.com,"13.225.78.28, 13.225.78.8, 13.225.78.18, 13.225.78.70","ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,frontend.myfitnesspal.com,True,cloudfront,"2600:9000:21f3:4000:1e:f4a8:3140:93a1, 2600:9000:21f3:4a00:1e:f4a8:3140:93a1, 2600:9000:21f3:8c00:1e:f4a8:3140:93a1, 2600:9000:21f3:3c00:1e:f4a8:3140:93a1, 2600:9000:21f3:d600:1e:f4a8:3140:93a1, 2600:9000:21f3:9a00:1e:f4a8:3140:93a1, 2600:9000:21f3:3800:1e:f4a8:3140:93a1, 2600:9000:21f3:2600:1e:f4a8:3140:93a1",,,,,,
,api.shop.ua.com,"54.91.24.177, 34.229.5.206, 3.208.235.86","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,ab46ffff0f5af49b1b345ba3c33e8d55-363347122.us-east-1.elb.amazonaws.com,,,,,,,,,
,api.shop.underarmour.com,"3.208.235.86, 34.229.5.206, 54.91.24.177","ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",NOERROR,*.ecm-external.us.ua.dev,,,,,,,,,
,api.ua.com,"65.9.86.49, 65.9.86.8, 65.9.86.111, 65.9.86.89",,NOERROR,,True,cloudfront,,,,,,,
,app2.underarmour.com,,,NOERROR,,,,,,,,,,
,apphouse.underarmour.com,204.29.196.135,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,apply.underarmour.com,64.106.245.226,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,apps.myfitnesspal.com,"54.231.198.125, 52.217.95.133, 52.216.139.146, 54.231.171.93, 52.217.82.155, 52.216.236.250, 54.231.161.213, 52.217.81.243","ns-437.awsdns-54.com, awsdns-hostmaster.amazon.com",NOERROR,"apps.myfitnesspal.com.s3-website-us-east-1.amazonaws.com, s3-website.us-east-1.amazonaws.com",,,,"ns-1286.awsdns-32.org, ns-1779.awsdns-30.co.uk, ns-437.awsdns-54.com, ns-611.awsdns-12.net",,,0479bac704ece97eba11f6143a258135,,
,apps.vaccinetemperature.underarmour.co.uk,204.74.99.103,"udns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,
,archives.underarmour.com,98.129.229.53,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,ariba.underarmour.com,204.29.196.139,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,aribad.underarmour.com,204.29.196.137,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,aribaq.underarmour.com,204.29.196.138,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,armourhouse.underarmour.com,35.241.48.201,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,gclb.gcp.ua-ecm.com,True,google,,,,,google-site-verification=POQQ_UuZC53idhyGS64Tw5l_m7QMB8dYEr8l4KAmmTQ,,
,armournet.underarmour.com,204.29.196.74,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,armournetlab.underarmour.com,204.29.196.94,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,armouru2.underarmour.com,20.119.8.27,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,"ua-lms.xceleratemedia.com, app-underarmour-prod.azurewebsites.net, waws-prod-blu-381.sip.azurewebsites.windows.net, waws-prod-blu-381-f3b3.eastus.cloudapp.azure.com",,,,,,,,,
,aseel.myfitnesspal.com,"104.18.27.189, 104.18.26.189","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,secure.pageserve.co,True,cloudflare,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,"letsencrypt.org, sectigo.com, digicert.com",,,,
,assets.mapmyfitness.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d3j6w498uhfgw9.cloudfront.net,,,,,,,,,
,assets.mapmywalk.com,"18.66.92.221, 18.66.92.208, 18.66.92.170, 18.66.92.116","ns-1420.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,d2i3r43q6ffvz8.cloudfront.net,True,cloudfront,,,,,,,
,assets.myfitnesspal.com,"13.225.78.28, 13.225.78.70, 13.225.78.18, 13.225.78.8","ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,"www.myfitnesspal.com, web.myfitnesspal.com",True,cloudfront,"2600:9000:21f3:8e00:1e:f4a8:3140:93a1, 2600:9000:21f3:7c00:1e:f4a8:3140:93a1, 2600:9000:21f3:2600:1e:f4a8:3140:93a1, 2600:9000:21f3:cc00:1e:f4a8:3140:93a1, 2600:9000:21f3:fc00:1e:f4a8:3140:93a1, 2600:9000:21f3:b000:1e:f4a8:3140:93a1, 2600:9000:21f3:8600:1e:f4a8:3140:93a1, 2600:9000:21f3:2c00:1e:f4a8:3140:93a1",,,,,,
,assets.ua.com,"108.138.64.86, 108.138.64.13, 108.138.64.47, 108.138.64.55, 205.251.193.135, 205.251.195.42, 205.251.197.198, 205.251.198.80","ns-1478.awsdns-56.org, awsdns-hostmaster.amazon.com",NOERROR,d1zvlyroipjq8s.cloudfront.net,True,cloudfront,"2600:9000:2508:dc00:1d:83a3:2700:93a1, 2600:9000:2508:7000:1d:83a3:2700:93a1, 2600:9000:2508:ec00:1d:83a3:2700:93a1, 2600:9000:2508:6800:1d:83a3:2700:93a1, 2600:9000:2508:5c00:1d:83a3:2700:93a1, 2600:9000:2508:cc00:1d:83a3:2700:93a1, 2600:9000:2508:e800:1d:83a3:2700:93a1, 2600:9000:2508:f600:1d:83a3:2700:93a1","ns-1616.awsdns-10.co.uk, ns-810.awsdns-37.net, ns-391.awsdns-48.com, ns-1478.awsdns-56.org",,,,,
,author-santander-uk-assets-stage-2.underarmour.co.uk,,"udns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,
,autodiscover.mapmyfitness.com,"52.98.243.8, 52.98.175.24, 52.98.152.248, 40.99.150.104","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,"2603:1026:c0d:c2f::8, 2603:1026:c0d:c1f::8, 2603:1026:c0d:82f::8, 2603:1026:c0d:81a::8",,,,,,
,autodiscover.mapmyrun.com,67.192.133.247,"pdns219.ultradns.com, postmaster.emailsrvr.com",NOERROR,autodiscoverredirect.mex07a.emailsrvr.com,,,2001:4800:7a01:1::203,"ns3.p256.dynect.net, pdns219.ultradns.com, ns1.p256.dynect.net, ns2.p256.dynect.net, pdns219.ultradns.net, ns4.p256.dynect.net, pdns219.ultradns.biz, pdns219.ultradns.org",,,,,
,autodiscover.ua.com,"40.99.150.56, 52.98.171.248, 40.99.150.8, 52.98.243.24","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,"2603:1026:c0d:c1f::8, 2603:1026:c0d:802::8, 2603:1026:c0d:c07::8, 2603:1026:c0d:82e::8",,,,,,
,autodiscover.underarmour.com,"52.98.243.24, 40.99.150.24, 40.99.214.40, 52.98.241.200","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,"2603:1026:c0d:c28::8, 2603:1026:c0d:807::8, 2603:1026:c0d:c03::8, 2603:1026:c0d:c07::8",,,,,,
,av.underarmour.com,204.29.196.87,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,b2b.underarmour.com,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,badges.myfitnesspal.com,"13.225.78.18, 13.225.78.8, 13.225.78.28, 13.225.78.70","ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,"api.myfitnesspal.com, frontend.myfitnesspal.com",True,cloudfront,"2600:9000:21f3:a400:1e:f4a8:3140:93a1, 2600:9000:21f3:3200:1e:f4a8:3140:93a1, 2600:9000:21f3:600:1e:f4a8:3140:93a1, 2600:9000:21f3:d800:1e:f4a8:3140:93a1, 2600:9000:21f3:2e00:1e:f4a8:3140:93a1, 2600:9000:21f3:9800:1e:f4a8:3140:93a1, 2600:9000:21f3:1000:1e:f4a8:3140:93a1, 2600:9000:21f3:b200:1e:f4a8:3140:93a1",,,,,,
,balanced.myfitnesspal.com,"104.18.26.189, 104.18.27.189","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,secure.pageserve.co,True,cloudflare,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,"digicert.com, letsencrypt.org, sectigo.com",,,,
,baseball.underarmour.com,104.130.47.83,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,baybayhay.myfitnesspal.com,"104.18.27.189, 104.18.26.189",,NOERROR,secure.pageserve.co,True,cloudflare,,,"sectigo.com, letsencrypt.org, digicert.com",,,,
,beatrice.myfitnesspal.com,"104.18.26.189, 104.18.27.189","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,secure.pageserve.co,True,cloudflare,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,"letsencrypt.org, sectigo.com, digicert.com",,,,
,benefits.underarmour.com,205.156.141.241,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,beta.ecm.underarmour.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,cname.vercel-dns.com,,,,,,,,,
,beta.mapmyfitness.com,,,NOERROR,,,,,,,,,,
,beta.underarmour.co.uk,"104.18.221.231, 104.18.222.231","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"commcloud.production-eu03-underarmour-co-uk.cc-ecdn.net, commcloud.production-eu03-underarmour-co-uk.cc-ecdn.net.cdn.cloudflare.net",True,cloudflare,,,,,,,
,beta.underarmour.com,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,beta.underarmour.com.cdn.cloudflare.net,,,,,,,,,
,billing.myfitnesspal.com,"104.18.43.204, 172.64.144.52","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"hosted-checkout.stripecdn.com, hosted-checkout.stripecdn.com.cdn.cloudflare.net",True,cloudflare,"2606:4700:4400::6812:2bcc, 2606:4700:4400::ac40:9034",,,,,,
,blackline.underarmour.com,204.29.196.83,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,blacklinedev.underarmour.com,204.29.196.61,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,blacklineqas.underarmour.com,204.29.196.62,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,,
,blog.myfitnesspal.com,"18.173.233.124, 18.173.233.40, 18.173.233.16, 18.173.233.127","ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,d1af18ykb21ral.cloudfront.net,True,cloudfront,,"ns-1344.awsdns-40.org, ns-1883.awsdns-43.co.uk, ns-968.awsdns-57.net, ns-124.awsdns-15.com",,,,,
,blog.underarmour.com,"18.66.248.13, 18.66.248.71, 18.66.248.15, 18.66.248.95","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,d29u5s8525jzx4.cloudfront.net,True,cloudfront,"2600:9000:224a:c400:5:983e:6600:93a1, 2600:9000:224a:6200:5:983e:6600:93a1, 2600:9000:224a:b800:5:983e:6600:93a1, 2600:9000:224a:8600:5:983e:6600:93a1, 2600:9000:224a:d600:5:983e:6600:93a1, 2600:9000:224a:cc00:5:983e:6600:93a1, 2600:9000:224a:8e00:5:983e:6600:93a1, 2600:9000:224a:fe00:5:983e:6600:93a1","ns-2028.awsdns-61.co.uk, ns-798.awsdns-35.net, ns-1139.awsdns-14.org, ns-136.awsdns-17.com",,,,,
,bots.api.ua.com,"13.224.189.22, 13.224.189.12, 13.224.189.129, 13.224.189.31","ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,d2hazghdfb6m8o.cloudfront.net,True,cloudfront,,"ns-552.awsdns-05.net, ns-130.awsdns-16.com, ns-1258.awsdns-29.org, ns-1895.awsdns-44.co.uk",,,,,
,brand.myfitnesspal.com,"34.236.39.139, 34.200.96.170","ns-1322.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,c-560c4a3d727fadae842275234c2da59d.frontify.com,,,,,,,,,
,brand.underarmour.com,,"ns-1643.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,under-armour-brand-prod.adobecqms.net,,,,,,,,,
,buffdudes.myfitnesspal.com,"104.18.26.189, 104.18.27.189","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,secure.pageserve.co,True,cloudflare,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,"digicert.com, letsencrypt.org, sectigo.com",,,,
,buybuybaby.underarmour.co.uk,,"udns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,
,buzzfeed.myfitnesspal.com,"104.18.27.189, 104.18.26.189","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,secure.pageserve.co,True,cloudflare,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,"digicert.com, sectigo.com, letsencrypt.org",,,,
,bwf.myfitnesspal.com,,"burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,secure.pageserve.co,True,cloudflare,,,,,,,
,c3login.underarmour.com,69.64.147.244,dns1.name-services.com,NOERROR,c3login-ua.totaltechresource.com,,,,,,,,,
,c3metrics.underarmour.com,69.64.147.244,dns1.name-services.com,NOERROR,c3metrics-ua.totaltechresource.com,,,,,,,,,
,c3tracker.underarmour.com,69.64.147.244,dns1.name-services.com,NOERROR,c3tracker-ua.totaltechresource.com,,,,,,,,,
,cdn.mapmyfitness.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d1urwkbvoybnu9.cloudfront.net,,,,,,,,,
,cdn02.mapmyfitness.com,"65.9.94.133, 65.9.94.148, 65.9.94.122, 65.9.94.217","ns-343.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,d1c3h53lgrf5sl.cloudfront.net,True,cloudfront,,"ns-1511.awsdns-60.org, ns-1620.awsdns-10.co.uk, ns-343.awsdns-42.com, ns-763.awsdns-31.net",,,,,
