input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,cdn_name,cdn,final_url
affiliateqa.myfitnesspal.com,Affiliate Partners,200,37513,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,affiliateqa.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T07:41:40Z,2023-06-11T07:41:39Z,CN=affiliateqa.myfitnesspal.com,affiliateqa.myfitnesspal.com,affiliateqa.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3f9ee3920e7e6108c3fff72ea8fc4292,1b248cc4ab74577141067b089076a893fabd3fb79c715c547c78297b0e8bddbe,ctls,affiliateqa.myfitnesspal.com,443,https://affiliateqa.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.27.189,/,-1468854848,2606:4700::6812:1bbd,HSTS,416,False,,,,cloudflare,True,
analytics.underarmour.com,,200,,AS15224,OMNITURE,US,63.140.60.0/22,,analytics.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-02T00:00:00Z,2023-12-03T23:59:59Z,"CN=analytics.underarmour.com, O=Adobe Systems Incorporated, L=San Jose, ST=California, C=US",analytics.underarmour.com,analytics.underarmour.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b14378bb9fb2a902d64d98c896b28207,f5c6d734f33306d46d1e07633696f9dcfce140be5a4a02899aac0fa906d1033f,ctls,analytics.underarmour.com,443,https://analytics.underarmour.com:443,https,jag,,GET,63.140.62.160,/,1936786007,63.140.62.135,HSTS,1,False,,Adobe Systems Incorporated,,,,
api-gw.underarmour.com,403 Forbidden,403,118,AS14618,AMAZON-AES,US,184.73.0.0/16,,,,,,,,,,,,,,,,,,,80,http://api-gw.underarmour.com:80,http,,text/html,GET,184.72.76.243,/,1828833911,52.205.125.181,HSTS,7,False,,,,,,
api.mapmyfitness.com,Map your runs,200,42887,AS0,Not routed,None,99.86.8.0/24,,api.mapmyfitness.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.uacf.io,*.uacf.io,*.mfpaws.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f59d672cefc6b7b99571046d7f555bf5,04a049c2d88f45e3ef08be5a54c5ba5f29d45119da981a31f375f4353a87e44d,ctls,api.mapmyfitness.com,443,https://api.mapmyfitness.com:443,https,,text/html,GET,99.86.4.111,/,566218143,99.86.4.17,HSTS,1123,False,True,,True,cloudfront,True,
api.myfitnesspal.com,MyFitnessPal | MyFitnessPal,200,492116,AS16509,AS16509,Unknown,13.225.96.0/21,https://csp-report.browser-intake-datadoghq.com/api/v2/logs?dd-api-key=pub6bacd8a3d2ff4a25d741e639b3320206&dd-evp-origin=content-security-policy&ddsource=csp-report&ddtags=env:nutrition-prod,www.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-12T23:59:59Z,CN=myfitnesspal.com,myfitnesspal.com,*.myfitnesspal.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e043ec437e382b9efee09821cb804d16,61159d332a5026841992ef53f4ceb7d2b69e1681ef174ae6ce3e7e7a0842129c,ctls,www.myfitnesspal.com,443,https://api.myfitnesspal.com:443,https,,text/html,GET,13.225.78.18,/,33983877,2600:9000:21f3:e800:1e:f4a8:3140:93a1,HSTS,1,False,,,True,cloudfront,True,https://www.myfitnesspal.com/
api.shop.underarmour.com,404 Not Found,404,146,AS14618,AMAZON-AES,US,34.232.160.0/23,,api.shop.underarmour.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-03T18:12:37Z,2023-08-01T18:12:36Z,CN=*.ecm-external.us.ua.dev,*.ecm-external.us.ua.dev,*.shop.underarmour.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c8110edb5e8aaf1a16b6d8bfcf69c22f,c1073f486761f8894bf756d0841bbc34e626b4c5e409929d8730626e9e665034,ctls,api.shop.underarmour.com,443,https://api.shop.underarmour.com:443,https,,text/html,GET,34.229.5.206,/,1494302000,54.91.24.177,HSTS,8,False,True,,True,,,
api.ua.com,Map your runs,404,33969,AS0,Not routed,None,99.86.8.0/24,,api.ua.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.uacf.io,*.uacf.io,*.mfpaws.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f59d672cefc6b7b99571046d7f555bf5,04a049c2d88f45e3ef08be5a54c5ba5f29d45119da981a31f375f4353a87e44d,ctls,api.ua.com,443,https://api.ua.com:443,https,,text/html,GET,99.86.4.111,/,566218143,99.86.4.17,HSTS,934,False,True,,True,cloudfront,True,https://api.ua.com/app?next=/
apphouse.underarmour.com,Citrix Gateway,200,2808,AS32525,UNDER-ARMOUR-PERFORMANCE-APPAREL,US,204.29.196.0/23,,apphouse.underarmour.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-02T00:00:00Z,2023-09-14T23:59:59Z,"CN=apphouse.underarmour.com, O=Under Armour\, Inc., L=Baltimore, ST=Maryland, C=US",apphouse.underarmour.com,citrix.underarmour.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7642b37c13acd236e40b240002669d49,cdd4261d209091bfb1c2ffb1ffa997b4af5c37d4f9ffd9495432afd80288b309,ctls,apphouse.underarmour.com,80,http://apphouse.underarmour.com:80,http,Apache,text/html,GET,204.29.196.135,/,12023395,204.29.196.135,HSTS,63,False,,"Under Armour, Inc.",,,,https://apphouse.underarmour.com/vpn/index.html
apps.myfitnesspal.com,Calorie Counter & Diet Tracker by MyFitnessPal on the App Store on iTunes,200,41147,AS16509,AMAZON-02,US,52.218.0.0/21,,,,,,,,,,,,,,,,,,,80,http://apps.myfitnesspal.com:80,http,AmazonS3,text/html,GET,52.217.118.245,/,-1161798931,52.217.126.37,Amazon Web Services,509,False,,,,,,
apps.vaccinetemperature.underarmour.co.uk,Under Armour,410,417799,AS397223,ULTRADNS,US,204.74.99.0/24,https://studio.production.ua.coremedia.cloud,www.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-02-14T23:59:59Z,"CN=www.underarmour.com, O=Under Armour\, Inc., L=Baltimore, ST=Maryland, C=US, serialNumber=D04444345, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US",www.underarmour.com,www.underarmour.ca,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,20150c72bc040ad0d612b777747786ab,120d7c57cd54d518f49c25170bd0b07c7a2daccc0cd224a57dab782d96383871,ctls,www.underarmour.com,80,http://apps.vaccinetemperature.underarmour.co.uk:80,http,cloudflare,text/html,GET,204.74.99.103,/,-680637362,204.74.99.103,Varnish,5942,False,,"Under Armour, Inc.",,,,https://www.underarmour.com/shop/uk/en/
archives.underarmour.com,Coming Soon page,200,201,AS53824,LIQUIDWEB,US,98.129.229.0/24,,,,,,,,,,,,,,,,,,,80,http://archives.underarmour.com:80,http,Apache/2.4,text/html,GET,98.129.229.53,/,-767709003,98.129.229.53,Apache:2.4,12,False,,,,,,
armourhouse.underarmour.com,Under Armour Wholesale,200,27701,AS15169,GOOGLE,US,35.241.0.0/18,,armourhouse.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T11:57:53Z,2023-07-27T11:57:52Z,CN=armourhouse.underarmour.com,armourhouse.underarmour.com,armourhouse.underarmour.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f7fe12abe74f35f505be8f00f4f1ebe6,99c49adf4057063c7a65d05c6bc8fdbf88a94c8ceb00ad9636bd87bc8f7369e8,ctls,armourhouse.underarmour.com,443,https://armourhouse.underarmour.com:443,https,,text/html,GET,35.241.48.201,/,-2105697600,35.241.48.201,HTTP/3,1,False,,,,google,True,
armouru2.underarmour.com,Armour U²,200,3613,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,,armouru2.underarmour.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-27T14:22:53Z,2024-01-04T12:16:42Z,CN=armouru2.underarmour.com,armouru2.underarmour.com,www.armouru2.underarmour.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d95310920f7aca464d0a1205c6cd38dd,290849b126dc386ce689776645f08f3019410ae19b644fdd5c73bf2668eda7d1,ctls,armouru2.underarmour.com,443,https://armouru2.underarmour.com:443,https,Microsoft-IIS/10.0,text/html,GET,20.119.8.27,/,-1840324437,20.119.8.27,Windows Server,83,False,,,,,,
aseel.myfitnesspal.com,MyFitnessPal X Aseel Soueid,200,38512,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,aseel.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T06:41:32Z,2023-08-08T06:41:31Z,CN=aseel.myfitnesspal.com,aseel.myfitnesspal.com,aseel.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dfd6e52aa25326b2de202e4f20a4980c,84980df15f7018ae9f2cb310c1722b2d44436929b6f556e428ee5bc7e9bb21a9,ctls,aseel.myfitnesspal.com,443,https://aseel.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.27.189,/,-1468854848,2606:4700::6812:1abd,YouTube,496,False,,,,cloudflare,True,
assets.mapmywalk.com,,404,21,AS16509,AMAZON-02,US,18.66.102.0/24,,assets.mapmywalk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,ctls,assets.mapmywalk.com,443,https://assets.mapmywalk.com:443,https,nginx/1.13.12,text/plain,GET,18.66.92.170,/,-1669793162,18.66.92.116,Nginx:1.13.12,1,False,True,,True,cloudfront,True,
assets.myfitnesspal.com,ERROR: The request could not be satisfied,403,915,AS16509,AS16509,Unknown,13.225.96.0/21,,,,,,,,,,,,,,,,,,,80,http://assets.myfitnesspal.com:80,http,CloudFront,text/html,GET,13.225.78.18,/,-436218834,2600:9000:21f3:a000:1e:f4a8:3140:93a1,Amazon Web Services,20,False,,,,cloudfront,True,
assets0.myfitnesspal.com,,403,243,AS16509,AMAZON-02,US,52.218.0.0/21,,assets0.myfitnesspal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-20T23:59:59Z,CN=s3.amazonaws.com,s3.amazonaws.com,s3-deprecated.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e6c74e7bcc0a301938b7a3509ca3ace,31494611b3e6659b4e9a3af805171907756aee7e37d017bcc27104768c785fbd,ctls,assets0.myfitnesspal.com,443,https://assets0.myfitnesspal.com:443,https,AmazonS3,application/xml,GET,52.217.120.176,/,1628883772,52.216.140.6,Amazon Web Services,2,False,True,,True,,,
author-santander-uk-assets-stage-2.underarmour.co.uk,Under Armour,410,417799,AS397223,ULTRADNS,US,204.74.99.0/24,https://preview.production.ua.coremedia.cloud,www.underarmour.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-02-14T23:59:59Z,"CN=www.underarmour.com, O=Under Armour\, Inc., L=Baltimore, ST=Maryland, C=US, serialNumber=D04444345, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Maryland, jurisdictionCountry=US",www.underarmour.com,www.underarmour.ca,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,20150c72bc040ad0d612b777747786ab,120d7c57cd54d518f49c25170bd0b07c7a2daccc0cd224a57dab782d96383871,ctls,www.underarmour.com,80,http://author-santander-uk-assets-stage-2.underarmour.co.uk:80,http,cloudflare,text/html,GET,204.74.99.103,/,-1585168608,204.74.99.103,Varnish,5939,False,,"Under Armour, Inc.",,,,https://www.underarmour.com/shop/uk/en/
autodiscover.underarmour.com,Sign in to Outlook,200,201394,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.105.196.0/23,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,80,http://autodiscover.underarmour.com:80,http,,text/html,GET,52.98.171.232,/,-1249852061,2603:1026:c0d:c30::8,HSTS,173,False,,Microsoft Corporation,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=753bcc36-906d-cc8a-7d3b-7af7267c4da7&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=underarmour.com&nonce=638193053749634736.d8036544-ecda-4384-9055-a50ba61b4511&state=Dcs9DsMgDEBhaO7SpSIB2eZniHIWBxgqlSK5Jb1-Gb63Pa2UWqbbpO2MCh6iS2AJAiYPGMCvJVrwhGhqLmwQIppkiQyTPdm7E8k5Pd_H1n-8HVL51fbxLlVYWh-y5t7uV9l5fHt5fnK_qvwB
badges.myfitnesspal.com,MyFitnessPal | MyFitnessPal,200,492122,AS16509,AS16509,Unknown,13.225.96.0/21,https://csp-report.browser-intake-datadoghq.com/api/v2/logs?dd-api-key=pub6bacd8a3d2ff4a25d741e639b3320206&dd-evp-origin=content-security-policy&ddsource=csp-report&ddtags=env:nutrition-prod,www.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-12T23:59:59Z,CN=myfitnesspal.com,myfitnesspal.com,*.myfitnesspal.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e043ec437e382b9efee09821cb804d16,61159d332a5026841992ef53f4ceb7d2b69e1681ef174ae6ce3e7e7a0842129c,ctls,www.myfitnesspal.com,443,https://badges.myfitnesspal.com:443,https,,text/html,GET,13.225.78.18,/,33983877,2600:9000:21f3:f800:1e:f4a8:3140:93a1,HSTS,1,False,,,True,cloudfront,True,https://www.myfitnesspal.com/
balanced.myfitnesspal.com,MyFitnessPal x Balanced Podcast,200,38417,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,balanced.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T04:54:16Z,2023-08-08T04:54:15Z,CN=balanced.myfitnesspal.com,balanced.myfitnesspal.com,balanced.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,abfa43da3368bbe16e283b63d35162a3,8b84e486dcc6a8779a5f6f783092e7cfdadbf1e7f88af3a55c8c55994d318dff,ctls,balanced.myfitnesspal.com,443,https://balanced.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.26.189,/,-1468854848,2606:4700::6812:1bbd,YouTube,496,False,,,,cloudflare,True,
baybayhay.myfitnesspal.com,MyFitnessPal X BayBayHay,200,38550,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,baybayhay.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T02:17:00Z,2023-08-08T02:16:59Z,CN=baybayhay.myfitnesspal.com,baybayhay.myfitnesspal.com,baybayhay.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,79fde6e4aeb47db3cb8d96ef5b4d4445,5e851808fa85d8a1ce1e6fb3caff00faa867bfd6b7914a2f87744aedb23c0ff8,ctls,baybayhay.myfitnesspal.com,443,https://baybayhay.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.27.189,/,-1468854848,2606:4700::6812:1abd,YouTube,496,False,,,,cloudflare,True,
beatrice.myfitnesspal.com,MyFitnessPal X Beatrice Caruso,200,38551,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,beatrice.myfitnesspal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T04:47:34Z,2023-08-08T04:47:33Z,CN=beatrice.myfitnesspal.com,beatrice.myfitnesspal.com,beatrice.myfitnesspal.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7cde8841f53e4b83c3afe88bbdf8dffa,dc52340ac95a050fc043e34f8e8a163accc4fb5244223e2f3c679c6ac0721f56,ctls,beatrice.myfitnesspal.com,443,https://beatrice.myfitnesspal.com:443,https,cloudflare,text/html,GET,104.18.27.189,/,-1468854848,2606:4700::6812:1bbd,YouTube,496,False,,,,cloudflare,True,
beta.ecm.underarmour.com,Authentication Required,401,9780,AS16509,AS16509,Unknown,76.76.21.0/24,,beta.ecm.underarmour.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-13T11:37:07Z,2023-06-11T11:37:06Z,CN=beta.ecm.underarmour.com,beta.ecm.underarmour.com,beta.ecm.underarmour.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f8d4ffd7f052c8d2ccdcf41cbcd9a5d5,9ac4ce21bb922b4f97acf7917858619e97f595726bb7843926c2ed4f52a78e54,ctls,beta.ecm.underarmour.com,443,https://beta.ecm.underarmour.com:443,https,Vercel,text/html,GET,76.76.21.142,/,515341074,76.76.21.61,Vercel,5,False,,,,,,
