input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,tls_issuer_org_,webserver,tech_,csp_domains_,tls_subject_org_,tls_wildcard_certificate,final_url,tls_expired
competenciesbackend.engelvoelkers.com,,500,,competenciesbackend.engelvoelkers.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-04-20T00:00:00Z,2024-04-19T23:59:59Z,CN=competenciesbackend.engelvoelkers.com,competenciesbackend.engelvoelkers.com,competenciesbackend.engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,436db47658600e649b73e80e2447a373,cbd23a95f6d97ba348ec54979dce3ff6aca83a221e6e99913a31b884d4ca3811,ctls,competenciesbackend.engelvoelkers.com,,443,https://competenciesbackend.engelvoelkers.com:443,https,text/html,GET,188.94.249.29,/,-1309951014,188.94.249.29,1,False,,DigiCert Inc,Apache,Apache,,,,,
consent.engelvoelkers.com,,401,,consent.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-13T14:54:49Z,2023-07-12T14:54:48Z,CN=consent.engelvoelkers.com,consent.engelvoelkers.com,consent.engelvoelkers.com,"CN=R3, O=Let's Encrypt, C=US",R3,64a880d35a66e0725182167b08468455,207300b339f88ef10c7987d17ab71118fa879472916a785616fac42de3c7c6ec,ctls,consent.engelvoelkers.com,google,443,https://consent.engelvoelkers.com:443,https,,GET,35.186.199.237,/,-1840324437,35.186.199.237,1,False,True,Let's Encrypt,,HSTS,,,,,
content-tools-solr.engelvoelkers.com,,404,19,content-tools-solr.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-11T16:09:50Z,2024-05-10T16:09:50Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,04dd6d09abbbb72d6ffb624efa8790ff.93239bfad3edecdf47a33606c04b2083.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,a1b2d325e9031a24b5afd18175b4c2a4,9ea83f9730d093ecea3a811adac4a54991c0a0c8e43d1188c34c534d059eb3d3,ctls,content-tools-solr.engelvoelkers.com,google,443,https://content-tools-solr.engelvoelkers.com:443,https,text/plain,GET,35.186.199.237,/,-138391155,35.186.199.237,2,False,True,,,,,,,,
content-tools.engelvoelkers.com,,404,19,content-tools.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-11T16:09:50Z,2024-05-10T16:09:50Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,9be987b88f80a778640ac17ccbf2f854.45f636d79f7e3029cd05c1d91ae34917.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,547780ff73e5c8b95846886f89b58bc9,ae89a0e6304337d2b223ac0a337afdcdeed0f729560e6af005c8445bf63f8f77,ctls,content-tools.engelvoelkers.com,google,443,https://content-tools.engelvoelkers.com:443,https,text/plain,GET,35.186.199.237,/,-138391155,35.186.199.237,2,False,True,,,,,,,,
delivery-dev.engelvoelkers.com,Engel & Völkers | Ihr Immobilienmakler an über 1.000 Standorten,200,193742,www.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-11-11T00:00:00Z,2023-12-12T23:59:59Z,CN=*.engelvoelkers.com,*.engelvoelkers.com,engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,c091bf481631609a52078b36a524d609,3348c70d3722d40bf2cf3e35bfec06ba54574b82e885c4a017a07053612339d1,ctls,www.engelvoelkers.com,google,443,https://delivery-dev.engelvoelkers.com:443,https,text/html,GET,130.211.18.191,/,-632867812,130.211.18.191,4601,False,True,DigiCert Inc,cloudflare,jQuery,,,True,https://www.engelvoelkers.com/de/?default,
delivery-stage.engelvoelkers.com,Engel & Völkers | Ihr Immobilienmakler an über 1.000 Standorten,200,194138,www.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-11-11T00:00:00Z,2023-12-12T23:59:59Z,CN=*.engelvoelkers.com,*.engelvoelkers.com,engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,c091bf481631609a52078b36a524d609,3348c70d3722d40bf2cf3e35bfec06ba54574b82e885c4a017a07053612339d1,ctls,www.engelvoelkers.com,google,443,https://delivery-stage.engelvoelkers.com:443,https,text/html,GET,35.190.43.115,/,1901477951,35.190.43.115,4601,False,True,DigiCert Inc,cloudflare,jQuery,,,True,https://www.engelvoelkers.com/de/?default,
delivery.engelvoelkers.com,,404,19,delivery.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-11T16:09:50Z,2024-05-10T16:09:50Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,04dd6d09abbbb72d6ffb624efa8790ff.93239bfad3edecdf47a33606c04b2083.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,a1b2d325e9031a24b5afd18175b4c2a4,9ea83f9730d093ecea3a811adac4a54991c0a0c8e43d1188c34c534d059eb3d3,ctls,delivery.engelvoelkers.com,google,443,https://delivery.engelvoelkers.com:443,https,text/plain,GET,35.186.199.237,/,-138391155,35.186.199.237,2,False,True,,,,,,,,
drive.engelvoelkers.com,Sign in to Engel & Völkers,200,3764,login.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-01-16T00:00:00Z,2024-02-16T23:59:59Z,CN=login.engelvoelkers.com,login.engelvoelkers.com,login.engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,39841e1f344d7901213e84571f3f44fd,2d6eb4b657382c53c8ab8273093ec3642706cd2b0c7bda0b6fd160ba56b4ea32,ctls,login.engelvoelkers.com,,80,http://drive.engelvoelkers.com:80,http,text/html,GET,172.217.18.19,/,,2a00:1450:4001:828::2013,89,False,,DigiCert Inc,,HTTP/3,,,,https://login.engelvoelkers.com/realms/ev/protocol/saml?SAMLRequest=fZJBT%2BMwEIXvSPwHy%2FckTVClldUEFRDaSuxuRMMeuLnJpLh1ZrIeJ4V%2Fj5uCgMNy8OV5PO9941lcPndWjODYEOYyjWdSANbUGNzm8qG6jX7Iy%2BL8bMG6s71aDv4J7%2BHfAOxFeImspotcDg4VaTasUHfAytdqvfx1p7J4pnpHnmqyUqxucmlr6roNtc1mD9ihsXuzo%2F3OhtO0Wu80tb1BjVL8fY%2BVHWOtmAdYIXuNPkiz7CKazaM0rbJUzTM1Tx%2BlKN%2BcrgyeCL6LtTkVsfpZVWVU%2FllXU4PRNOB%2Bh%2Bpcbom2FuIQ%2BGhfamYzBrnVlkGKJTM4HwJeE%2FLQgVuDG00ND%2Fd3uXzyvmeVJIfDIf5ok%2BgEcAt2JLD7QHfSapbFNGA1MbpPk%2F2eQL8nkMWHxyL51Kp4%2B7gjz%2BqmJGvqF7G0lg7XDrQPMN4NgeWWXKf9%2F93SOJ0U00TtVKoG5B5q0xpopEiKk%2BvXDQl78wo%3D&RelayState=https%3A%2F%2Fwww.google.com%2Fa%2Fengelvoelkers.com%2FServiceLogin%3Fservice%3Dwise%26passive%3Dtrue%26osid%3D1%26continue%3Dhttps%253A%252F%252Fdrive.google.com%252Fa%252Fengelvoelkers.com%252F%26followup%3Dhttps%253A%252F%252Fdrive.google.com%252Fa%252Fengelvoelkers.com%252F%26faa%3D1,
edeals.engelvoelkers.com,,404,9,edeals.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-03T10:55:51Z,2023-07-02T10:55:50Z,CN=edeals.engelvoelkers.com,edeals.engelvoelkers.com,edeals.engelvoelkers.com,"CN=R3, O=Let's Encrypt, C=US",R3,99800b6ca89256519b40389894ff4e18,18c0b4cd52cfc72cf7a23ddd6a0091c2fcd28fe7283d4d1375b9425dcdd7d356,ctls,edeals.engelvoelkers.com,google,443,https://edeals.engelvoelkers.com:443,https,text/plain,GET,35.186.199.237,/,-738705486,35.186.199.237,1,False,True,Let's Encrypt,,HSTS,,,,,
email.leadhub.engelvoelkers.com,,404,19,email.leadhub.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-08T22:57:45Z,2023-08-06T22:57:44Z,CN=email.leadhub.engelvoelkers.com,email.leadhub.engelvoelkers.com,email.leadhub.engelvoelkers.com,"CN=R3, O=Let's Encrypt, C=US",R3,4149041cffce02e9605a09ad174b79d0,edb6d58f0926b003b7857dce1b1b3840f21f8b2f659419ca2ec7f6b523b3994f,ctls,email.leadhub.engelvoelkers.com,google,443,https://email.leadhub.engelvoelkers.com:443,https,text/plain,GET,34.111.99.212,/,-138391155,34.111.99.212,2,False,True,Let's Encrypt,,,,,,,
email.t-box.engelvoelkers.com,T-Box,200,281,email.t-box.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-16T04:00:31Z,2023-06-14T04:54:04Z,CN=email.t-box.engelvoelkers.com,email.t-box.engelvoelkers.com,email.t-box.engelvoelkers.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,4310c429667759c98a5bcb354cdf1ef9,9196de3990b48aa213606b521d1395acfea85ae38921deb67fd99fa5fb777431,ctls,email.t-box.engelvoelkers.com,google,443,https://email.t-box.engelvoelkers.com:443,https,text/html,GET,34.149.222.154,/,1830275019,34.149.222.154,13,False,True,Google Trust Services LLC,UploadServer,HTTP/3,,,,,
emprego.engelvoelkers.com,EngelVoelkers Portugal,200,2909,emprego.engelvoelkers.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-03-29T09:39:55Z,2023-06-27T09:39:54Z,CN=emprego.engelvoelkers.com,emprego.engelvoelkers.com,emprego.engelvoelkers.com,"CN=R3, O=Let's Encrypt, C=US",R3,05e4718db3af822daaae5bf4a0a973a1,7bb6becab1759dfde17e75edce7dc28243490524e912dd78e1b0b022cb85a1e5,ctls,emprego.engelvoelkers.com,,443,https://emprego.engelvoelkers.com:443,https,text/html,GET,52.50.25.15,/,-1840324437,52.50.25.15,19,False,,Let's Encrypt,,Ruby on Rails,*.hotjar.com,,,https://emprego.engelvoelkers.com/jobs,
engelvoelkers.com,Engel & Völkers | Ihr Immobilienmakler an über 1.000 Standorten,200,194138,www.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-11-11T00:00:00Z,2023-12-12T23:59:59Z,CN=*.engelvoelkers.com,*.engelvoelkers.com,engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,c091bf481631609a52078b36a524d609,3348c70d3722d40bf2cf3e35bfec06ba54574b82e885c4a017a07053612339d1,ctls,www.engelvoelkers.com,google,443,https://engelvoelkers.com:443,https,text/html,GET,35.190.46.123,/,1041135803,35.190.46.123,4601,False,True,DigiCert Inc,cloudflare,jQuery,,,True,https://www.engelvoelkers.com/de/,
erlangen.engelvoelkers.com,Engel & Völkers | Ihr Immobilienmakler an über 1.000 Standorten,200,193742,www.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-11-11T00:00:00Z,2023-12-12T23:59:59Z,CN=*.engelvoelkers.com,*.engelvoelkers.com,engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,c091bf481631609a52078b36a524d609,3348c70d3722d40bf2cf3e35bfec06ba54574b82e885c4a017a07053612339d1,ctls,www.engelvoelkers.com,google,443,https://erlangen.engelvoelkers.com:443,https,text/html,GET,35.190.46.123,/,-632867812,35.190.46.123,4601,False,True,DigiCert Inc,cloudflare,jQuery,,,True,https://www.engelvoelkers.com/de/?default,
es.engelvoelkers.com,Engel & Völkers | Ihr Immobilienmakler an über 1.000 Standorten,200,193564,www.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-11-11T00:00:00Z,2023-12-12T23:59:59Z,CN=*.engelvoelkers.com,*.engelvoelkers.com,engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,c091bf481631609a52078b36a524d609,3348c70d3722d40bf2cf3e35bfec06ba54574b82e885c4a017a07053612339d1,ctls,www.engelvoelkers.com,google,443,https://es.engelvoelkers.com:443,https,text/html,GET,35.190.46.123,/,-667957671,35.190.46.123,4595,False,True,DigiCert Inc,cloudflare,jQuery,,,True,https://www.engelvoelkers.com/de/?default,
ev-udi.engelvoelkers.com,Engel & Voelkers UDI,200,3389,ev-udi.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-23T08:14:15Z,2023-06-21T08:14:14Z,CN=ev-udi.engelvoelkers.com,ev-udi.engelvoelkers.com,ev-udi.engelvoelkers.com,"CN=R3, O=Let's Encrypt, C=US",R3,a714b95118c01f79a92f233d5db9c896,a228678de042a41cff286dd6ec6cf8098b519b3b2902e8c05cec7cb25e00ec2e,ctls,ev-udi.engelvoelkers.com,google,443,https://ev-udi.engelvoelkers.com:443,https,text/html,GET,35.186.199.237,/,-716768132,35.186.199.237,1,False,True,Let's Encrypt,,webpack,,,,,
evaluation-tool.engelvoelkers.com,Immobilienbewertung: Immobilie bewerten kostenlos & online,200,83103,www.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-11-11T00:00:00Z,2023-12-12T23:59:59Z,CN=*.engelvoelkers.com,*.engelvoelkers.com,engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,c091bf481631609a52078b36a524d609,3348c70d3722d40bf2cf3e35bfec06ba54574b82e885c4a017a07053612339d1,ctls,www.engelvoelkers.com,google,443,https://evaluation-tool.engelvoelkers.com:443,https,text/html,GET,34.95.111.165,/,-1053232721,34.95.111.165,334,False,True,DigiCert Inc,cloudflare,webpack,,,True,https://www.engelvoelkers.com/de-de/immobilie-bewerten/,
export-data-provider.engelvoelkers.com,Anmelden – Google Konten,200,104912,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,google,443,https://export-data-provider.engelvoelkers.com:443,https,text/html,GET,34.110.224.143,/,,34.110.224.143,1885,False,True,Google Trust Services LLC,GSE,OpenGSE,http:,,True,https://accounts.google.com/InteractiveLogin?continue=https://accounts.google.com/signin/oauth/legacy/consent?authuser%3Dunknown%26part%3DAJi8hAP2MOgKJ3HB9iO3vIXilL7tKzU_fpIZo05OkoicFnKu-Opn7CFNZi_SDQlhuuZSe98aQvfSKhccAQ9pn4YaSEPPOJhmnyDvcbuyltwPT24RLYn3Y0qagFnmxI3zUKOjuqoagDilFJbXhXsPyeeF99XhF00i0kQ1pzy-llpqHGQnNDOY2kkExAGSHvg1_qEYpXrdK_rM9bMro8AnXvK7290YPfwVn_yYmvK2oVu5IB6OqE33-IHZdBYU4Zc6Bm0iGgf46Fko96HEMqAVcTNJbqcPGKWz3M5XmVsl4hqEO9xqXetJ7GRWJh5ZNzSr2AWezqCJdRpLcV3Whx3HB3WnauhwO3BxEtfwxSliq093O3SwEPnKxgOVnDYmbPqNg4BDYWeUjwT1s38Bfr553CthcRPg5p-HMDUOM-LUt-CCJqGJ1YCdUBL7Sus_kJf_3teZIn2DKkq35HpR6liwvc8x091V5iLjCQ%26as%3DS-569448719%253A1683841969651245%26client_id%3D953737261365-fj625ru8hje2n1n6mfmagniqosbpl8g7.apps.googleusercontent.com%23&oauth=1&rip=1&sacu=1&ifkv=Af_xneH5I72jsu5TfZVFdtmbaNJEBIZaYYlKKrB9uuF8tV1-GKl0J0IgLOlcxY-sGgLZiIbMIDXJig,
