new,host,a,aaaa,mx,soa,status_code,cdn,cdn-name,cname,txt,ns,caa
[x],dev2.buffer.com,,"2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],dev3.buffer.com,"104.16.140.52, 104.16.141.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],dev4.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],developers.buffer.com,"104.16.140.52, 104.16.141.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],discourse.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],email-links.buffer.com,35.227.225.220,,,"ns-1181.awsdns-19.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,"e.customeriomail.com, track.customer.io, edge-e-balw.customer.io, edge-east.customer.io",,,
[x],email.buffer.com,,,mx.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u21102.wl103.sendgrid.net,v=spf1 ip4:208.117.50.82 -all,,
[x],email.respond.buffer.com,,,mx.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u4717500.wl001.sendgrid.net,v=spf1 ip4:208.117.50.82 -all,,
[x],engage.buffer.com,"104.16.140.52, 104.16.141.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],faq.buffer.com,"104.16.140.52, 104.16.141.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],fastimage.buffer.com,"104.16.140.52, 104.16.141.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],gateway.dev.buffer.com,"104.16.140.52, 104.16.141.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],graph.dev.buffer.com,"3.227.114.229, 34.239.237.208, 52.203.119.74, 18.205.229.110",,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,k8s-nonprodgroup-897a7c3684-1981180021.us-east-1.elb.amazonaws.com,,,
[x],hello.buffer.com,"104.16.140.52, 104.16.141.52",,,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],hi.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],icons.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],images.dev.buffer.com,"34.239.237.208, 52.203.119.74, 18.205.229.110, 3.227.114.229",,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,k8s-nonprodgroup-897a7c3684-1981180021.us-east-1.elb.amazonaws.com,,,
[x],internal.buffer.com,,,,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],jobs.buffer.com,"104.16.140.52, 104.16.141.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],journey.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],links.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],login.buffer.com,,,,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],login.dev.buffer.com,,,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,k8s-nonprodgroup-897a7c3684-1981180021.us-east-1.elb.amazonaws.com,,,
[x],marketing.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],members.buffer.com,,,mx.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u9819194.wl195.sendgrid.net,v=spf1 ip4:192.254.115.172 ip4:168.245.19.107 -all,,
[x],mob.buffer.com,,,mx.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u9819194.wl195.sendgrid.net,v=spf1 ip4:192.254.115.172 ip4:168.245.19.107 -all,,
[x],mobile-faq.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],overflow.buffer.com,"104.16.140.52, 104.16.141.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],pablo.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],pablo.dev.buffer.com,"3.227.114.229, 52.203.119.74, 18.205.229.110, 34.239.237.208",,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,k8s-nonprodgroup-897a7c3684-1981180021.us-east-1.elb.amazonaws.com,,,
[x],publish-api.buffer.com,"104.16.140.52, 104.16.141.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],publish-cdn.buffer.com,,,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,dxgoesq69f2gt.cloudfront.net,,,
[x],publish.buffer.com,,,,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],publish.dev.buffer.com,"34.239.237.208, 18.205.229.110, 52.203.119.74, 3.227.114.229",,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,k8s-nonprodgroup-897a7c3684-1981180021.us-east-1.elb.amazonaws.com,,,
[x],redash.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],reply.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8c34, 2606:4700::6810:8d34","aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,v=spf1 include:sendgrid.net include:helpscoutemail.com include:_spf.google.com -all,,
[x],respond.buffer.com,,,"aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],scraper.dev.buffer.com,"3.227.114.229, 18.205.229.110, 34.239.237.208, 52.203.119.74",,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,k8s-nonprodgroup-897a7c3684-1981180021.us-east-1.elb.amazonaws.com,,,
[x],share.buffer.com,18.232.53.146,,,"ns-1640.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,custom.getcloudapp.com,,"ns-1022.awsdns-63.net, ns-1335.awsdns-38.org, ns-1640.awsdns-13.co.uk, ns-168.awsdns-21.com",
[x],start-page.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],start-page.dev.buffer.com,"18.205.229.110, 34.239.237.208, 52.203.119.74, 3.227.114.229",,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,k8s-nonprodgroup-897a7c3684-1981180021.us-east-1.elb.amazonaws.com,,,
[x],status.buffer.com,18.234.32.150,,,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,wzjh249z544q.stspg-customer.com,,,"letsencrypt.org, globalsign.com;"
[x],stories.buffer.com,"52.6.46.142, 52.1.147.205, 52.1.173.203, 52.4.145.119, 52.4.225.124, 52.4.38.70, 52.0.16.118, 52.4.240.221, 52.4.175.111, 52.1.119.170, 52.5.181.79, 52.6.3.192",,,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],support.buffer.com,"104.16.51.111, 104.16.53.111",,mail-pod-19.int.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,buffer.zendesk.com,"pod=19, v=spf1 include:mail.zendesk.com ~all",,
[x],suspender.buffer.com,"104.16.140.52, 104.16.141.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],systemcitemp-examplestunnel-mx.dev.buffer.com,"54.83.57.20, 54.196.169.28, 100.25.61.122, 44.208.178.86",,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,,,
[x],video.buffer.com,"104.16.140.52, 104.16.141.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],vpn-portal-sj.dev.buffer.com,"44.208.178.86, 54.83.57.20, 54.196.169.28, 100.25.61.122",,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",
[x],vpn.buffer.com,"52.55.205.15, 107.21.172.177",,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,dualstack.buffervpn-1802671786.us-east-1.elb.amazonaws.com,,,
[x],webhooks.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],zendesk1.buffer.com,"162.159.128.7, 162.159.138.6",,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail1.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,
[x],zendesk2.buffer.com,"162.159.128.7, 162.159.138.6",,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail2.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,,
