input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,content_type,final_url,cdn_name,cdn,csp_domains_,tls_expired,tls_self_signed,location
admin-api.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com,404 Not Found,404,146,admin-api.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-30T10:17:12Z,2023-06-28T10:17:11Z,CN=admin-api.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com,admin-api.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com,,admin-api.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,451a116b561ef9fabd33e68ddbcd97ad,0a1b10c4fc7b114d61a291785afa1c85c5568082146e28b991dca5342328e20a,,ctls,admin-api.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com,443,https://admin-api.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com:443,https,,GET,149.81.196.142,/,1494302000,149.81.196.142,HSTS,8,False,text/html,,,,,,,
admin-api.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com,404 Not Found,404,548,admin-api.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-09T22:43:12Z,2023-08-07T22:43:11Z,CN=admin-api.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com,admin-api.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com,,admin-api.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,24d87873bad218f794a299caf34975ca,0d8f209a85b09d180a5fa08baaa8960b736cf75c83e53a256d3cebbfc832463c,,ctls,admin-api.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com,443,https://admin-api.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com:443,https,,GET,159.122.94.91,/,566218143,159.122.94.91,HSTS,14,False,text/html,,,,,,,
admin-api.4826-bb6004f8.eu-de.ri.apiconnect.cloud.ibm.com,404 Not Found,404,548,admin-api.4826-bb6004f8.eu-de.ri.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-09T18:23:14Z,2023-08-07T18:23:13Z,CN=admin-api.4826-bb6004f8.eu-de.ri.apiconnect.cloud.ibm.com,admin-api.4826-bb6004f8.eu-de.ri.apiconnect.cloud.ibm.com,,admin-api.4826-bb6004f8.eu-de.ri.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,055339536a9eec5013243218a9f08419,cec4cbd4bad06b134f49ba3aa61634c128decf18236267dce6764a2f090594f2,,ctls,admin-api.4826-bb6004f8.eu-de.ri.apiconnect.cloud.ibm.com,443,https://admin-api.4826-bb6004f8.eu-de.ri.apiconnect.cloud.ibm.com:443,https,,GET,149.81.201.69,/,566218143,149.81.201.69,HSTS,14,False,text/html,,,,,,,
admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com,404 Not Found,404,548,admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-25T10:18:04Z,2023-07-24T10:18:03Z,CN=admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com,admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com,,admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,83f2e09690a9ca90d32f9c765fa26d5b,8617f06ef039f7278c90e23a153c5b2949434d8dd0b62c01c17c6d275f411e43,,ctls,admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com,443,https://admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com:443,https,,GET,141.125.76.142,/,566218143,141.125.76.142,HSTS,14,False,text/html,,,,,,,
admin-api.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com,404 Not Found,404,548,admin-api.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-04T08:55:46Z,2023-08-02T08:55:45Z,CN=admin-api.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com,admin-api.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com,,admin-api.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1ed7b9cc954d88597aff525ae38b7879,c52f8aa8f60bd51dc75efe438212c8003cfc7a9cafc99f79b7846a865e2a5902,,ctls,admin-api.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com,443,https://admin-api.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com:443,https,,GET,158.175.96.109,/,566218143,158.175.96.109,HSTS,14,False,text/html,,,,,,,
admin-api.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com,404 Not Found,404,146,admin-api.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-17T07:04:09Z,2023-07-16T07:04:08Z,CN=admin-api.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com,admin-api.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com,,admin-api.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0daa4b691484abe185eceaff49ba5fba,df53c95add6a4920920703b47829d6c5803344ca784e54c04e683c73cf4daea2,,ctls,admin-api.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com,443,https://admin-api.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com:443,https,,GET,149.81.80.195,/,1494302000,149.81.80.195,HSTS,8,False,text/html,,,,,,,
admin-api.831c-1ee97b99.eu-de.ri.apiconnect.cloud.ibm.com,404 Not Found,404,146,admin-api.831c-1ee97b99.eu-de.ri.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-30T09:11:14Z,2023-07-29T09:11:13Z,CN=admin-api.831c-1ee97b99.eu-de.ri.apiconnect.cloud.ibm.com,admin-api.831c-1ee97b99.eu-de.ri.apiconnect.cloud.ibm.com,,admin-api.831c-1ee97b99.eu-de.ri.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,171998d1bf806ca195ee49a983ae6369,f82ffc5e0a7f5446e84583f9abf02edb73bf61bac9dd152ada162a1d80527117,,ctls,admin-api.831c-1ee97b99.eu-de.ri.apiconnect.cloud.ibm.com,443,https://admin-api.831c-1ee97b99.eu-de.ri.apiconnect.cloud.ibm.com:443,https,,GET,161.156.98.102,/,1494302000,161.156.98.102,HSTS,8,False,text/html,,,,,,,
admin-api.8b6a-441cd40b.eu-de.apiconnect.cloud.ibm.com,404 Not Found,404,548,admin-api.8b6a-441cd40b.eu-de.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-24T01:18:58Z,2023-06-22T01:18:57Z,CN=admin-api.8b6a-441cd40b.eu-de.apiconnect.cloud.ibm.com,admin-api.8b6a-441cd40b.eu-de.apiconnect.cloud.ibm.com,,admin-api.8b6a-441cd40b.eu-de.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2c5a1ca7a084d643519458c2bc802e5d,b99af2359161b8f66bdc296f007fb847ed7cfc3beefb30e2f13b178690c34b8d,,ctls,admin-api.8b6a-441cd40b.eu-de.apiconnect.cloud.ibm.com,443,https://admin-api.8b6a-441cd40b.eu-de.apiconnect.cloud.ibm.com:443,https,,GET,161.156.145.131,/,566218143,161.156.145.131,HSTS,14,False,text/html,,,,,,,
admin-api.a959-86e4e29e.us-south.apiconnect.cloud.ibm.com,404 Not Found,404,146,admin-api.a959-86e4e29e.us-south.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-15T07:39:19Z,2023-06-13T07:39:18Z,CN=admin-api.a959-86e4e29e.us-south.apiconnect.cloud.ibm.com,admin-api.a959-86e4e29e.us-south.apiconnect.cloud.ibm.com,,admin-api.a959-86e4e29e.us-south.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d43e67951b7cdff89d644da13e5312d5,f72efa0eccbcc209002f39e963c0a36aa9042c3fd13e6bc4648f4fa65b25dc58,,ctls,admin-api.a959-86e4e29e.us-south.apiconnect.cloud.ibm.com,443,https://admin-api.a959-86e4e29e.us-south.apiconnect.cloud.ibm.com:443,https,,GET,169.48.234.170,/,1494302000,169.48.234.170,HSTS,8,False,text/html,,,,,,,
admin-api.ee2e-0c45534b.eu-de.apiconnect.cloud.ibm.com,404 Not Found,404,146,admin-api.ee2e-0c45534b.eu-de.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-08T12:46:40Z,2023-07-07T12:46:39Z,CN=admin-api.ee2e-0c45534b.eu-de.apiconnect.cloud.ibm.com,admin-api.ee2e-0c45534b.eu-de.apiconnect.cloud.ibm.com,,admin-api.ee2e-0c45534b.eu-de.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,10390dc36f816c32057dfe936f2b7de9,2bb39b19979e95e0e968b0372eda2f6ec579a96aae6efa35238dbc17d1fd769c,,ctls,admin-api.ee2e-0c45534b.eu-de.apiconnect.cloud.ibm.com,443,https://admin-api.ee2e-0c45534b.eu-de.apiconnect.cloud.ibm.com:443,https,,GET,169.50.13.44,/,1494302000,169.50.13.44,HSTS,8,False,text/html,,,,,,,
admin-stg.tools.ibm.com,,200,145,admin-stg.tools.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-06-30T00:00:00Z,2023-07-31T23:59:59Z,"CN=*.tools.ibm.com, O=International Business Machines Corporation, L=Armonk, ST=New York, C=US",*.tools.ibm.com,International Business Machines Corporation,tools.ibm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7aafdd62313b0c6b462c5e62a01c3e1a,00b86f4432e5f38cadf573570e1cf37dc9ae5a39a841ba8859f3bebe3cf9d6ff,True,ctls,admin-stg.tools.ibm.com,443,https://admin-stg.tools.ibm.com:443,https,envoy,GET,44.225.9.74,/,1755917424,54.245.176.219,HSTS,7,False,text/html,,,,*.tools.ibm.com,,,
admin.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com,API Connect,200,3279,admin.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-22T10:45:24Z,2023-07-21T10:45:23Z,CN=admin.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com,admin.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com,,admin.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5be2d2fd39f737578ba8ff60227bfc7c,4a8e06cb2f74fe22f72cbfd4f1676ee867f10142cedef7002456f804cc6a0ec3,,ctls,admin.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com,443,https://admin.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com:443,https,,GET,169.50.30.34,/,400630358,149.81.108.20,HSTS,40,False,text/html,https://admin.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com/admin,,,,,,
admin.0022-e310b58a.eu-de.apiconnect.cloud.ibm.com,API Connect,200,3279,admin.0022-e310b58a.eu-de.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-22T22:18:51Z,2023-07-21T22:18:50Z,CN=admin.0022-e310b58a.eu-de.apiconnect.cloud.ibm.com,admin.0022-e310b58a.eu-de.apiconnect.cloud.ibm.com,,admin.0022-e310b58a.eu-de.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,97e025ac1f6e49bd23f45a1e283ec698,fea2aef3193f98329c7eebf1283f6a42fb06d96558a4ef8fed418bec9fe0caca,,ctls,admin.0022-e310b58a.eu-de.apiconnect.cloud.ibm.com,443,https://admin.0022-e310b58a.eu-de.apiconnect.cloud.ibm.com:443,https,,GET,149.81.144.14,/,400630358,149.81.144.14,HSTS,40,False,text/html,https://admin.0022-e310b58a.eu-de.apiconnect.cloud.ibm.com/admin,,,,,,
admin.388f-e6421bad.eu-de.ri.apiconnect.cloud.ibm.com,API Connect,200,3279,admin.388f-e6421bad.eu-de.ri.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-03T14:20:02Z,2023-08-01T14:20:01Z,CN=admin.388f-e6421bad.eu-de.ri.apiconnect.cloud.ibm.com,admin.388f-e6421bad.eu-de.ri.apiconnect.cloud.ibm.com,,admin.388f-e6421bad.eu-de.ri.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,526a4ca6c73885b874ac731c81281636,0ec62c22931f56d3c180b0161d687b924f61fbe827a8b4b819b0cf519706bffa,,ctls,admin.388f-e6421bad.eu-de.ri.apiconnect.cloud.ibm.com,443,https://admin.388f-e6421bad.eu-de.ri.apiconnect.cloud.ibm.com:443,https,,GET,149.81.72.66,/,400630358,149.81.72.66,HSTS,40,False,text/html,https://admin.388f-e6421bad.eu-de.ri.apiconnect.cloud.ibm.com/admin,,,,,,
admin.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com,API Connect,200,3281,admin.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-30T10:16:06Z,2023-06-28T10:16:05Z,CN=admin.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com,admin.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com,,admin.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b169d4e698664d869c9c9c64df9873c9,2bdd3e6a620fd0d96cb8d671b3bfe5b66427da608e844f2bf86e9620b36bf9a5,,ctls,admin.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com,443,https://admin.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com:443,https,,GET,149.81.196.142,/,400630358,149.81.196.142,HSTS,40,False,text/html,https://admin.3c10-1ca316c5.eu-de.apiconnect.cloud.ibm.com/admin,,,,,,
admin.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com,API Connect,200,3281,admin.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-06T20:03:36Z,2023-08-04T20:03:35Z,CN=admin.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com,admin.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com,,admin.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fbcd6cdfb003a31ca7526b18e2069862,b75ee642f4a7f54f93f40c1f1da10cac971db12f549bc5e4af059db03b3cbb94,,ctls,admin.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com,443,https://admin.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com:443,https,,GET,159.122.94.91,/,400630358,159.122.94.91,HSTS,40,False,text/html,https://admin.3c10-7ab75791.eu-de.apiconnect.cloud.ibm.com/admin,,,,,,
admin.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com,API Connect,200,3281,admin.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-04T08:54:24Z,2023-08-02T08:54:23Z,CN=admin.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com,admin.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com,,admin.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b41dcd7f646b0b9c6fb6c69f6403f160,78ab28802692568f59ed4c727b2fbb9eb88a3a3dda441ef63419746c6dcb007d,,ctls,admin.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com,443,https://admin.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com:443,https,,GET,158.175.96.109,/,400630358,158.175.96.109,HSTS,40,False,text/html,https://admin.5878-e94b1c46.eu-gb.apiconnect.cloud.ibm.com/admin,,,,,,
admin.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com,API Connect,200,3281,admin.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-15T17:45:42Z,2023-07-14T17:45:41Z,CN=admin.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com,admin.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com,,admin.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3b9ceb5cfcfa40307cbd63b6c58e8d76,8622a9f162dcfac34ca77dc150cb88867be65f8f176bebb41d025fbe9fc83753,,ctls,admin.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com,443,https://admin.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com:443,https,,GET,149.81.80.195,/,400630358,149.81.80.195,HSTS,40,False,text/html,https://admin.5df4-be44a65d.eu-de.apiconnect.cloud.ibm.com/admin,,,,,,
