new,host,a,soa,has_internal_ips,internal_ips,status_code,cname,ns,mx,aaaa,cdn,cdn-name,txt,caa
[x],3dsi.stanford.edu,171.64.64.64,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,CS.stanford.edu,,"smtp2.CS.stanford.edu, smtp1.CS.stanford.edu, CS.stanford.edu",,,,"google-site-verification=YIH2F20_EHKOHisVDZe512ysZEOoBNYp1OXPWwNK8XM, v=spf1 mx a ip4:171.64.0.0/14 ip4:176.31.145.254 include:_spf.google.com include:_spf.elasticemail.com ip4:148.163.149.245 ip4:148.163.153.235 ip4:148.163.135.119 ip4:148.163.139.119 ~all",
[x],3dv.stanford.edu,171.64.64.64,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,CS.stanford.edu,,"CS.stanford.edu, smtp1.CS.stanford.edu, smtp2.CS.stanford.edu",,,,"google-site-verification=YIH2F20_EHKOHisVDZe512ysZEOoBNYp1OXPWwNK8XM, v=spf1 mx a ip4:171.64.0.0/14 ip4:176.31.145.254 include:_spf.google.com include:_spf.elasticemail.com ip4:148.163.149.245 ip4:148.163.153.235 ip4:148.163.135.119 ip4:148.163.139.119 ~all",
[x],3fpnbk3.stanford.edu,10.119.1.12,"argus.stanford.edu, hostmaster.stanford.edu",True,10.119.1.12,NOERROR,EXRE-3FPNBK3.stanford.edu,,,,,,,
[x],4you.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],5-8000.stanford.edu,171.65.104.14,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,med1.irt-dr.med.stanford.edu,,,,,,,
[x],550l-pr-01-b400.stanford.edu,10.129.252.40,"argus.stanford.edu, hostmaster.stanford.edu",True,10.129.252.40,NOERROR,,,,,,,,
[x],585broadway-805-amx-nx2200.stanford.edu,10.126.35.199,"argus.stanford.edu, hostmaster.stanford.edu",True,10.126.35.199,NOERROR,,,,,,,,
[x],5mmracialjustice.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],5threunioncampaign.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,"ns-1434.awsdns-51.org, ns-1861.awsdns-40.co.uk, ns-370.awsdns-46.com, ns-610.awsdns-12.net",,,,,,
[x],664-lomita-ap-200.stanford.edu,172.19.196.159,"argus.stanford.edu, hostmaster.stanford.edu",True,172.19.196.159,NOERROR,,,,,,,,
[x],680l-pr-01-b400.stanford.edu,128.12.42.44,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,,,,,,
[x],717d-pr-01-b400.stanford.edu,128.12.44.65,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,,,,,,
[x],a056-sensaphone-4000.stanford.edu,10.39.152.17,"argus.stanford.edu, hostmaster.stanford.edu",True,10.39.152.17,NOERROR,,,,,,,,
[x],a10.stanford.edu,10.126.18.188,"argus.stanford.edu, hostmaster.stanford.edu",True,10.126.18.188,NOERROR,,,,,,,,
[x],a2cf.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],a3c.stanford.edu,34.215.171.12,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,"a3cd8.cardinalsites.acsitefactory.com, cardinalsites01live.enterprise-g1.acquia-sites.com",,,,,,,
[x],a65lab.stanford.edu,34.215.171.12,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,"a65lab2.cardinalsites.acsitefactory.com, cardinalsites01live.enterprise-g1.acquia-sites.com",,,,,,,
[x],aa.stanford.edu,34.215.171.12,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,"aeroastrodrupal8.cardinalsites.acsitefactory.com, cardinalsites01live.enterprise-g1.acquia-sites.com",,,,,,,
[x],aa222.stanford.edu,,,,,NOERROR,stanford.reclaimhosting.com,,stanford.reclaimhosting.com,,,,,
[x],aa271a.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],aaas.stanford.edu,"198.185.159.144, 198.49.23.144, 198.49.23.145, 198.185.159.145","dns1.p06.nsone.net, dns-admin.squarespace.com",,,NOERROR,ext-cust.squarespace.com,,,,,,,
[x],aabs2018.stanford.edu,171.67.215.200,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,www-v6.stanford.edu,,,2607:f6d0:0:925a::ab43:d7c8,,,,
[x],aalab.stanford.edu,171.67.96.210,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,,,,,,
[x],aasa.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],abacus.stanford.edu,172.24.67.40,"argus.stanford.edu, hostmaster.stanford.edu",True,172.24.67.40,NOERROR,,,,,,,,
[x],abbasmilani.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],abm.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],ac2.stanford.edu,171.67.102.146,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,,,,,,
[x],academic-calendar.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],academicadvising.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],academiccomputing.stanford.edu,171.67.49.134,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,,,,,,
[x],academiccouncil.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],accademia.stanford.edu,171.67.77.69,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,,,,,,
[x],access-dev.stanford.edu,192.168.15.66,"argus.stanford.edu, hostmaster.stanford.edu",True,192.168.15.66,NOERROR,appsup-test.stanford.edu,,,,,,,
[x],access.stanford.edu,192.168.15.4,"argus.stanford.edu, hostmaster.stanford.edu",True,192.168.15.4,NOERROR,appsup.stanford.edu,,,,,,,
[x],accessibility.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],accessories-c3.stanford.edu,171.67.50.130,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,accessories-dev.stanford.edu,,,,,,,
[x],accessories-eeddev.stanford.edu,171.67.50.130,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,accessories-dev.stanford.edu,,,,,,,
[x],accessories.stanford.edu,171.67.50.6,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,,,,,,
[x],accounts-dev.stanford.edu,171.67.46.45,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,,,,,,
[x],accounts-test.stanford.edu,,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,,,,,,
[x],accounts-uat.stanford.edu,"52.26.198.255, 54.148.96.248, 52.12.71.228","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,alb-accounts-uat-844255540.us-west-2.elb.amazonaws.com,,,,,,,
[x],accounts1.stanford.edu,172.20.196.197,"argus.stanford.edu, hostmaster.stanford.edu",True,172.20.196.197,NOERROR,,,,,,,,
[x],ace.med.stanford.edu,171.67.213.155,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,,,
[x],ace.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],aceca.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],acedrive.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],acehub.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],aces-acp-03-300-01-0100.stanford.edu,10.20.48.197,"argus.stanford.edu, hostmaster.stanford.edu",True,10.20.48.197,NOERROR,,,,,,,,
[x],aces-panel-11-200.stanford.edu,,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,,,,,,
[x],acf-association.stanford.edu,171.65.104.14,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,med1.irt-dr.med.stanford.edu,,,,,,,
[x],achip.stanford.edu,34.215.171.12,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,"achip2022.cardinalsites.acsitefactory.com, cardinalsites01live.enterprise-g1.acquia-sites.com",,,,,,,
[x],acomp.stanford.edu,171.67.49.134,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,mx2.acomp.stanford.edu,,,,,
[x],acqspecform.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],acrp.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],act-stage.med.stanford.edu,34.117.40.72,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,True,google,,
[x],act.med.stanford.edu,34.111.183.179,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,act-prod.med.stanford.edu,,,,True,google,,
[x],act.stanford.edu,"13.110.64.96, 13.110.65.96, 13.110.68.96","ns1-ia5.salesforce.com, hostmaster.salesforce.com",,,NOERROR,"stanfordgsbapps.force.com, aka.na139.force.com, na139.force.com, na139-ia5.force.com, na139-ia5.ia5.r.force.com",,,,,,,
[x],action.cs.stanford.edu,"104.16.53.111, 104.16.51.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,,NOERROR,csstanford.zendesk.com,,mail-pod-13.int.zendesk.com,,True,cloudflare,"pod=13, v=spf1 include:mail.zendesk.com ~all",
[x],actions-api-dev.med.stanford.edu,34.117.199.166,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,True,google,,
[x],activism.stanford.edu,171.67.215.200,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,www-v6.stanford.edu,,,2607:f6d0:0:925a::ab43:d7c8,,,,
[x],adapt-sso.stanford.edu,"35.228.160.115, 34.88.227.219","dns1.p02.nsone.net, hostmaster.nsone.net",,,NOERROR,stanford.netlifyglobalcdn.com,,,"2a05:d014:275:cb00:701d:7ee5:59ed:394c, 2a05:d014:275:cb01:fc7b:9889:f71b:f9fa",,,,
[x],adc.stanford.edu,159.89.149.97,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.reclaimhosting.com,,stanford.reclaimhosting.com,,,,"google-site-verification=cAV9agp48wlwXaboyxjLPpnrJbTONZ-VqyF-Whbnwq4, v=spf1 ip4:159.89.149.97 ~all",
[x],addictionpolicy.stanford.edu,34.215.171.12,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,"addictionpolicy.cardinalsites.acsitefactory.com, cardinalsites01live.enterprise-g1.acquia-sites.com","ns-1123.awsdns-12.org, ns-1923.awsdns-48.co.uk, ns-24.awsdns-03.com, ns-821.awsdns-38.net",,,,,,
[x],ade.stanford.edu,172.24.65.150,"argus.stanford.edu, hostmaster.stanford.edu",True,172.24.65.150,NOERROR,das-fs.stanford.edu,,,,,,,
[x],adfs.slac.stanford.edu,134.79.138.45,"dnsmaster1.slac.stanford.edu, postmaster.slac.stanford.edu",,,NOERROR,,,,,,,,
[x],adl.stanford.edu,34.215.171.12,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,"adld9.cardinalsites.acsitefactory.com, cardinalsites01live.enterprise-g1.acquia-sites.com",,,,,,,
[x],adminchamps.stanford.edu,159.89.149.97,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.reclaimhosting.com,,,,,,,
[x],adminguide.stanford.edu,"95.101.74.206, 95.101.74.197","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"stanfordedu.edgesuite.net, a1662.b.akamai.net",,,,,,,
[x],admission.stanford.edu,159.89.149.97,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.reclaimhosting.com,,stanford.reclaimhosting.com,,,,"v=spf1 ip4:159.89.149.97 ~all, google-site-verification=cAV9agp48wlwXaboyxjLPpnrJbTONZ-VqyF-Whbnwq4",
[x],admissions.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],admit.stanford.edu,159.89.149.97,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.reclaimhosting.com,,stanford.reclaimhosting.com,,,,"v=spf1 ip4:159.89.149.97 ~all, google-site-verification=cAV9agp48wlwXaboyxjLPpnrJbTONZ-VqyF-Whbnwq4",
[x],adolescent.stanford.edu,171.65.104.14,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,med1.irt-dr.med.stanford.edu,,,,,,,
[x],adrc.stanford.edu,171.65.104.14,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,med1.irt-dr.med.stanford.edu,,,,,,,
[x],adultcardiac.stanford.edu,171.65.104.14,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,med1.irt-dr.med.stanford.edu,,,,,,,
[x],advance.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],advertising.stanford.edu,171.64.181.82,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,assu-web.stanford.edu,,,,,,,
[x],advising.stanford.edu,34.215.171.12,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,"advising.cardinalsites.acsitefactory.com, cardinalsites01live.enterprise-g1.acquia-sites.com",,,,,,,
[x],advisinghandbook.stanford.edu,34.215.171.12,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,"advisinghandbook2022.cardinalsites.acsitefactory.com, cardinalsites01live.enterprise-g1.acquia-sites.com",,,,,,,
[x],advisorportal.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],aed.stanford.edu,10.111.2.105,"argus.stanford.edu, hostmaster.stanford.edu",True,10.111.2.105,NOERROR,iso-punks.stanford.edu,,,,,,,
[x],aedtracker.stanford.edu,171.67.36.74,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,ctprdapp.stanford.edu,,,,,,,
[x],af1d.stanford.edu,171.64.68.24,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,ai-fs-1.stanford.edu,,,,,,,
[x],af4a.stanford.edu,171.64.69.19,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,ai-fs-4.stanford.edu,,,,,,,
[x],affordability.stanford.edu,34.215.171.12,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,"affordability.cardinalsites.acsitefactory.com, cardinalsites01live.enterprise-g1.acquia-sites.com","ns-1123.awsdns-12.org, ns-1923.awsdns-48.co.uk, ns-24.awsdns-03.com, ns-821.awsdns-38.net",,,,,,
[x],afs.stanford.edu,171.67.218.226,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,"filedrawers.best.stanford.edu, filedrawers1.stanford.edu, filedrawers2.stanford.edu",,,,,,,
[x],afsarchive.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],againsthate.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],aging.stanford.edu,35.185.223.236,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,newsmblogs.stanford.edu,,,,True,google,,
[x],agora.stanford.edu,171.67.215.200,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,www-v6.stanford.edu,,,2607:f6d0:0:925a::ab43:d7c8,,,,
[x],aha.stanford.edu,34.215.171.12,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,"ahad8.cardinalsites.acsitefactory.com, cardinalsites01live.enterprise-g1.acquia-sites.com",,,,,,,
[x],ahs-dev.stanford.edu,172.253.115.121,"ns1.google.com, dns-admin.google.com",,,NOERROR,ghs.googlehosted.com,,,2607:f8b0:4004:c06::79,,,,
[x],ai.stanford.edu,171.64.68.10,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,ai.stanford.edu,,,,,
[x],ai3.stanford.edu,171.64.68.10,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,ai.stanford.edu,,ai.stanford.edu,,,,,
[x],ai4aec.stanford.edu,171.64.64.64,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,CS.stanford.edu,,"smtp2.CS.stanford.edu, CS.stanford.edu, smtp1.CS.stanford.edu",,,,"v=spf1 mx a ip4:171.64.0.0/14 ip4:176.31.145.254 include:_spf.google.com include:_spf.elasticemail.com ip4:148.163.149.245 ip4:148.163.153.235 ip4:148.163.135.119 ip4:148.163.139.119 ~all, google-site-verification=YIH2F20_EHKOHisVDZe512ysZEOoBNYp1OXPWwNK8XM",
[x],ai4all.stanford.edu,171.64.64.64,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,CS.stanford.edu,,"smtp1.CS.stanford.edu, smtp2.CS.stanford.edu, CS.stanford.edu",,,,"v=spf1 mx a ip4:171.64.0.0/14 ip4:176.31.145.254 include:_spf.google.com include:_spf.elasticemail.com ip4:148.163.149.245 ip4:148.163.153.235 ip4:148.163.135.119 ip4:148.163.139.119 ~all, google-site-verification=YIH2F20_EHKOHisVDZe512ysZEOoBNYp1OXPWwNK8XM",
[x],ai5.stanford.edu,171.64.68.10,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,ai.stanford.edu,,ai.stanford.edu,,,,,
[x],aic.stanford.edu,171.67.37.3,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,swp.stanford.edu,,,,,,,
[x],aicare.stanford.edu,171.64.68.86,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,,,,,,
[x],aigroup.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],aihealth.stanford.edu,34.215.171.12,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,"aihealthd8.cardinalsites.acsitefactory.com, cardinalsites01live.enterprise-g1.acquia-sites.com",,,,,,,
[x],aiindex.stanford.edu,23.185.0.1,"ns-644.awsdns-16.net, awsdns-hostmaster.amazon.com",,,NOERROR,"live-hai-aiindex.pantheonsite.io, fe1.edge.pantheon.io",,,"2620:12a:8001::1, 2620:12a:8000::1",,,,
[x],aikido.stanford.edu,"198.49.23.144, 198.49.23.145, 198.185.159.144, 198.185.159.145","dns1.p06.nsone.net, dns-admin.squarespace.com",,,NOERROR,ext-cust.squarespace.com,,,,,,,
[x],aim.stanford.edu,171.65.176.50,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,eth-prd-ext-vip01.stanford.edu,,,,,,,
[x],aimedv.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],aimi.stanford.edu,34.215.171.12,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,"aimi2021.cardinalsites.acsitefactory.com, cardinalsites01live.enterprise-g1.acquia-sites.com",,,,,,,
[x],aiminghigher.stanford.edu,171.65.104.14,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,med1.irt-dr.med.stanford.edu,,,,,,,
[x],aimlabshare.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],aion.stanford.edu,,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,ultra20.stanford.edu,,,,,,,
[x],aire.stanford.edu,34.215.171.12,"ns-821.awsdns-38.net, awsdns-hostmaster.amazon.com",,,NOERROR,"aireprogram.cardinalsites.acsitefactory.com, cardinalsites01live.enterprise-g1.acquia-sites.com",,,,,,,
[x],airstudy.stanford.edu,171.65.104.14,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,med1.irt-dr.med.stanford.edu,,,,,,,
[x],aisafety.stanford.edu,171.67.215.200,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,www-v6.stanford.edu,,,2607:f6d0:0:925a::ab43:d7c8,,,,
[x],akita.stanford.edu,171.64.94.131,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,,,,,,,,
[x],akpsi.stanford.edu,"34.159.168.235, 3.72.140.173","dns1.p04.nsone.net, hostmaster.nsone.net",,,NOERROR,akpsi.netlify.com,,,"2a05:d014:275:cb01::c8, 2a05:d014:275:cb00::c8",,,,
[x],alb.stanford.edu,"171.64.78.20, 171.64.7.115, 171.64.7.61, 204.63.224.53","argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,albuquerque.stanford.edu,"atalante.stanford.edu, argus.stanford.edu, ns5.dnsmadeeasy.com, ns7.dnsmadeeasy.com, ns6.dnsmadeeasy.com, avallone.stanford.edu",theory.stanford.edu,"2607:f6d0:0:9113::ab40:773, 2607:f6d0:0:d32::ab40:73d, 2620:6c:40c0:0:204:63:224:53",,,,
[x],albuq.stanford.edu,171.64.78.20,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,albuquerque.stanford.edu,,theory.stanford.edu,,,,,
[x],alep.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],alerts.stanford.edu,104.232.25.95,"carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,alerts.HighWire.org,,alerts.HighWire.org,,,,v=spf1 a mx a:marz.highwire.org ip4:104.232.16.0/28 ip4:104.232.24.0/22 -all,
[x],alertsu.stanford.edu,52.219.216.59,"ns-1092.awsdns-08.org, awsdns-hostmaster.amazon.com",,,NOERROR,,"ns-1092.awsdns-08.org, ns-1974.awsdns-54.co.uk, ns-395.awsdns-49.com, ns-564.awsdns-06.net",,,,,,
[x],algolia.alumni.stanford.edu,"52.58.33.192, 52.28.22.142","dns1.p02.nsone.net, hostmaster.nsone.net",,,NOERROR,stanford.netlifyglobalcdn.com,,,"2a05:d014:275:cb01:fc7b:9889:f71b:f9fa, 2a05:d014:275:cb02:dd58:1417:b94c:bfc0",True,google,,
[x],ali.stanford.edu,54.81.116.232,"ns-1434.awsdns-51.org, awsdns-hostmaster.amazon.com",,,NOERROR,stanford.dns.bl.ink,,,,,,,
[x],alice.stanford.edu,171.64.64.64,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,CS.stanford.edu,,"smtp1.CS.stanford.edu, CS.stanford.edu, smtp2.CS.stanford.edu",,,,"google-site-verification=YIH2F20_EHKOHisVDZe512ysZEOoBNYp1OXPWwNK8XM, v=spf1 mx a ip4:171.64.0.0/14 ip4:176.31.145.254 include:_spf.google.com include:_spf.elasticemail.com ip4:148.163.149.245 ip4:148.163.153.235 ip4:148.163.135.119 ip4:148.163.139.119 ~all",
[x],alizadehlab.stanford.edu,171.67.96.217,"argus.stanford.edu, hostmaster.stanford.edu",,,NOERROR,aalab7.stanford.edu,,,,,,,
[x],allencenter.stanford.edu,34.117.168.233,"dns1.p02.nsone.net, hostmaster.nsone.net",,,NOERROR,"www148.wixdns.net, gcdn0.wixdns.net, td-ccm-168-233.wixdns.net",,,,True,google,,
