new,host,a,soa,ns,status_code,cname,has_internal_ips,internal_ips,mx,aaaa,cdn,cdn-name,txt,caa
[x],antiviruspre1747277.wb1046487796.artifactory.grammarly.io,"10.84.157.37, 10.84.144.214, 10.84.164.146, 10.84.176.75, 10.84.183.95, 10.84.185.200, 10.84.191.93, 10.84.160.72","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.157.37, 10.84.144.214, 10.84.164.146, 10.84.176.75, 10.84.183.95, 10.84.185.200, 10.84.191.93, 10.84.160.72",,,,,,
[x],antiviruspre1747277bf-1041.artifactory.grammarly.io,"10.84.175.240, 10.84.183.94, 10.84.185.200, 10.84.144.214, 10.84.147.210, 10.84.148.237, 10.84.154.102, 10.84.168.212","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.175.240, 10.84.183.94, 10.84.185.200, 10.84.144.214, 10.84.147.210, 10.84.148.237, 10.84.154.102, 10.84.168.212",,,,,,
[x],antiviruspre1747277ftp2004231.artifactory.grammarly.io,"10.84.168.212, 10.84.156.74, 10.84.151.167, 10.84.183.95, 10.84.175.240, 10.84.167.126, 10.84.180.70, 10.84.168.218","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.168.212, 10.84.156.74, 10.84.151.167, 10.84.183.95, 10.84.175.240, 10.84.167.126, 10.84.180.70, 10.84.168.218",,,,,,
[x],antiviruspre1747277reshaquariumprertifactory-public.artifactory.grammarly.io,"10.84.160.72, 10.84.167.126, 10.84.148.237, 10.84.157.249, 10.84.164.146, 10.84.156.74, 10.84.144.214, 10.84.183.94","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.160.72, 10.84.167.126, 10.84.148.237, 10.84.157.249, 10.84.164.146, 10.84.156.74, 10.84.144.214, 10.84.183.94",,,,,,
[x],antiviruspre1747277yk041jackfm.artifactory.grammarly.io,"10.84.171.172, 10.84.183.95, 10.84.180.70, 10.84.157.37, 10.84.187.114, 10.84.147.210, 10.84.160.82, 10.84.164.146","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.171.172, 10.84.183.95, 10.84.180.70, 10.84.157.37, 10.84.187.114, 10.84.147.210, 10.84.160.82, 10.84.164.146",,,,,,
[x],antiviruspreupgrade8kwb-13903netclass.artifactory.grammarly.io,"10.84.168.212, 10.84.160.82, 10.84.148.237, 10.84.144.214, 10.84.175.240, 10.84.168.218, 10.84.183.95, 10.84.157.249","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.168.212, 10.84.160.82, 10.84.148.237, 10.84.144.214, 10.84.175.240, 10.84.168.218, 10.84.183.95, 10.84.157.249",,,,,,
[x],antiviruspreweb112221747277.artifactory.grammarly.io,"10.84.176.75, 10.84.157.249, 10.84.151.167, 10.84.185.200, 10.84.183.95, 10.84.191.93, 10.84.154.102, 10.84.148.237","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com","ns-1442.awsdns-52.org, ns-2038.awsdns-62.co.uk, ns-51.awsdns-06.com, ns-590.awsdns-09.net",NOERROR,,True,"10.84.176.75, 10.84.157.249, 10.84.151.167, 10.84.185.200, 10.84.183.95, 10.84.191.93, 10.84.154.102, 10.84.148.237",,,,,,
[x],antivirusprewillowtree-jp-104231.artifactory.grammarly.io,"10.84.183.95, 10.84.164.146, 10.84.160.82, 10.84.144.214, 10.84.171.172, 10.84.185.200, 10.84.154.102, 10.84.148.237","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.183.95, 10.84.164.146, 10.84.160.82, 10.84.144.214, 10.84.171.172, 10.84.185.200, 10.84.154.102, 10.84.148.237",,,,,,
[x],antivirusshoesmong-18taigame.artifactory.grammarly.io,"10.84.191.93, 10.84.157.249, 10.84.180.70, 10.84.190.42, 10.84.171.172, 10.84.176.75, 10.84.168.212, 10.84.164.146","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com","ns-1442.awsdns-52.org, ns-2038.awsdns-62.co.uk, ns-51.awsdns-06.com, ns-590.awsdns-09.net",NOERROR,,True,"10.84.191.93, 10.84.157.249, 10.84.180.70, 10.84.190.42, 10.84.171.172, 10.84.176.75, 10.84.168.212, 10.84.164.146",,,,,,
[x],antivirusskins00.wwww-13.artifactory.grammarly.io,"10.84.190.42, 10.84.157.249, 10.84.154.102, 10.84.183.95, 10.84.168.212, 10.84.176.75, 10.84.144.214, 10.84.180.70","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com","ns-1442.awsdns-52.org, ns-2038.awsdns-62.co.uk, ns-51.awsdns-06.com, ns-590.awsdns-09.net",NOERROR,,True,"10.84.190.42, 10.84.157.249, 10.84.154.102, 10.84.183.95, 10.84.168.212, 10.84.176.75, 10.84.144.214, 10.84.180.70",,,,,,
[x],antivirusv.18taigame.artifactory.grammarly.io,"10.84.171.172, 10.84.168.212, 10.84.168.218, 10.84.180.70, 10.84.187.114, 10.84.160.82, 10.84.151.167, 10.84.190.42","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.171.172, 10.84.168.212, 10.84.168.218, 10.84.180.70, 10.84.187.114, 10.84.160.82, 10.84.151.167, 10.84.190.42",,,,,,
[x],api.billing.grammarly.com,"10.14.46.93, 10.14.31.45","ns-676.awsdns-20.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.14.46.93, 10.14.31.45",,,,,,
[x],api.cortex.grammarly.io,"10.18.13.229, 10.18.44.35, 10.18.29.165","ns-142.awsdns-17.com, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.18.13.229, 10.18.44.35, 10.18.29.165",,,,,,
[x],api.payments.grammarly.com,"18.205.213.81, 52.55.142.69","ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],apps-public.grammarly.com,"13.32.145.122, 13.32.145.119, 13.32.145.48, 13.32.145.98",,"ns-1805.awsdns-33.co.uk, ns-181.awsdns-22.com, ns-1132.awsdns-13.org, ns-537.awsdns-03.net",NOERROR,,,,,,True,cloudfront,,
[x],apps.grammarly.com,"54.157.138.69, 44.198.211.161, 3.229.163.74, 54.208.252.95, 54.161.161.49, 54.159.102.40, 205.251.193.39, 205.251.194.112, 205.251.197.31, 205.251.198.139","ns-624.awsdns-14.net, awsdns-hostmaster.amazon.com","ns-1675.awsdns-17.co.uk, ns-295.awsdns-36.com, ns-624.awsdns-14.net, ns-1311.awsdns-35.org",NOERROR,,,,,,,,,
[x],apps.private.grammarly.com,"10.64.66.235, 10.64.67.41, 10.64.68.35, 10.64.69.67, 10.64.70.231, 10.64.71.225, 205.251.193.229, 205.251.195.198, 205.251.196.22, 205.251.199.152","ns-966.awsdns-56.net, awsdns-hostmaster.amazon.com","ns-966.awsdns-56.net, ns-1944.awsdns-51.co.uk, ns-485.awsdns-60.com, ns-1046.awsdns-02.org",NOERROR,,True,"10.64.66.235, 10.64.67.41, 10.64.68.35, 10.64.69.67, 10.64.70.231, 10.64.71.225",,,,,,
[x],argocd.grammarly.io,"10.64.190.129, 10.64.191.139, 10.64.186.160, 10.64.187.210, 10.64.188.159, 10.64.189.100","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,internal-prod-gitlab-runners-argocd-2098335505.us-east-1.elb.amazonaws.com,True,"10.64.190.129, 10.64.191.139, 10.64.186.160, 10.64.187.210, 10.64.188.159, 10.64.189.100",,,,,,
[x],artifactory-public.artifactory.grammarly.io,"10.84.148.237, 10.84.190.42, 10.84.160.72, 10.84.185.200, 10.84.167.126, 10.84.156.74, 10.84.183.94, 10.84.154.102","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.148.237, 10.84.190.42, 10.84.160.72, 10.84.185.200, 10.84.167.126, 10.84.156.74, 10.84.183.94, 10.84.154.102",,,,,,
[x],artifactory.artifactory.grammarly.io,"10.84.147.210, 10.84.171.172, 10.84.176.75, 10.84.190.42, 10.84.144.214, 10.84.168.218, 10.84.185.200, 10.84.164.146","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.147.210, 10.84.171.172, 10.84.176.75, 10.84.190.42, 10.84.144.214, 10.84.168.218, 10.84.185.200, 10.84.164.146",,,,,,
[x],artifactory7.grammarly.io,"10.84.148.237, 10.84.144.214, 10.84.168.218, 10.84.171.172, 10.84.190.42, 10.84.160.72, 10.84.147.210, 10.84.156.74","ns-1687.awsdns-18.co.uk, awsdns-hostmaster.amazon.com","ns-1099.awsdns-09.org, ns-1687.awsdns-18.co.uk, ns-412.awsdns-51.com, ns-731.awsdns-27.net",NOERROR,,True,"10.84.148.237, 10.84.144.214, 10.84.168.218, 10.84.171.172, 10.84.190.42, 10.84.160.72, 10.84.147.210, 10.84.156.74",,,,,,
[x],assets.extension.grammarly.com,"108.138.17.79, 108.138.17.72, 108.138.17.81, 108.138.17.111","ns-15.awsdns-01.com, awsdns-hostmaster.amazon.com","ns-1001.awsdns-61.net, ns-1187.awsdns-20.org, ns-15.awsdns-01.com, ns-1648.awsdns-14.co.uk",NOERROR,d201kpdrh73vuz.cloudfront.net,,,,,True,cloudfront,,
[x],assets.grammarly.com,"99.86.4.51, 99.86.4.43, 99.86.4.102, 99.86.4.47","ns-1336.awsdns-39.org, awsdns-hostmaster.amazon.com","ns-1336.awsdns-39.org, ns-1909.awsdns-46.co.uk, ns-331.awsdns-41.com, ns-795.awsdns-35.net",NOERROR,d10zdin3c2kqf3.cloudfront.net,,,,"2600:9000:2057:f600:a:9329:2fc0:93a1, 2600:9000:2057:d800:a:9329:2fc0:93a1, 2600:9000:2057:8200:a:9329:2fc0:93a1, 2600:9000:2057:4800:a:9329:2fc0:93a1, 2600:9000:2057:de00:a:9329:2fc0:93a1, 2600:9000:2057:c800:a:9329:2fc0:93a1, 2600:9000:2057:7a00:a:9329:2fc0:93a1, 2600:9000:2057:fc00:a:9329:2fc0:93a1",True,cloudfront,,
[x],auth-private.grammarly.com,"10.15.42.138, 10.15.29.220, 10.15.9.98, 10.15.32.240, 10.15.9.15, 10.15.10.26, 10.15.13.0, 10.15.47.52","ns-1860.awsdns-40.co.uk, awsdns-hostmaster.amazon.com","ns-1188.awsdns-20.org, ns-1860.awsdns-40.co.uk, ns-432.awsdns-54.com, ns-793.awsdns-35.net",NOERROR,,True,"10.15.42.138, 10.15.29.220, 10.15.9.98, 10.15.32.240, 10.15.9.15, 10.15.10.26, 10.15.13.0, 10.15.47.52",,,,,,
[x],auth.grammarly.com,"35.171.192.210, 44.197.62.25, 3.233.117.123, 44.209.93.172, 54.209.229.165, 54.196.147.9, 18.235.56.89, 100.24.128.235, 205.251.192.29, 205.251.195.3, 205.251.197.217","ns-29.awsdns-03.com, awsdns-hostmaster.amazon.com","ns-771.awsdns-32.net, ns-1497.awsdns-59.org, ns-1742.awsdns-25.co.uk, ns-29.awsdns-03.com",NOERROR,,,,,2600:9000:5305:d900::1,,,,
[x],autodiscover.ool.grammarly.com,"52.98.152.200, 52.98.175.8, 52.98.241.184, 40.99.150.120","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",,NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,"2603:1026:c0d:82f::8, 2603:1026:c0d:c30::8, 2603:1026:c0d:c2c::8, 2603:1026:c0d:c1e::8",,,,
[x],autoreport.grammarly.com,"3.85.67.177, 3.228.175.144, 54.147.194.18, 34.195.140.51, 34.199.128.77, 34.198.175.104, 52.7.8.62, 54.225.83.253, 205.251.192.242, 205.251.194.202","ns-714.awsdns-25.net, awsdns-hostmaster.amazon.com","ns-242.awsdns-30.com, ns-1400.awsdns-47.org, ns-714.awsdns-25.net, ns-1803.awsdns-33.co.uk",NOERROR,,,,,,,,,
[x],billing.grammarly.com,,"ns-676.awsdns-20.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],bixby-internal.grammarly.com,"52.202.136.11, 52.70.127.195, 54.211.64.38, 35.168.212.196, 3.225.102.157","ns-1981.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],blog.grammarly.com,"3.223.241.95, 52.7.120.75, 3.85.67.177, 34.195.140.51, 54.225.83.253, 3.212.208.125, 107.20.125.9, 54.147.194.18","ns-115.awsdns-14.com, awsdns-hostmaster.amazon.com","ns-746.awsdns-29.net, ns-115.awsdns-14.com, ns-1327.awsdns-37.org, ns-1633.awsdns-12.co.uk",NOERROR,,,,,,,,,
[x],business-tour.grammarly.com,"13.225.34.45, 13.225.34.31, 13.225.34.120, 13.225.34.113","ns-27.awsdns-03.com, awsdns-hostmaster.amazon.com","ns-1210.awsdns-23.org, ns-2009.awsdns-59.co.uk, ns-27.awsdns-03.com, ns-817.awsdns-38.net",NOERROR,,,,,,True,cloudfront,,
[x],calendar.grammarly.com,172.217.18.19,"ns1.google.com, dns-admin.google.com","ns-1221.awsdns-24.org, ns-1588.awsdns-06.co.uk, ns-422.awsdns-52.com, ns-835.awsdns-40.net",NOERROR,ghs.googlehosted.com,,,,2a00:1450:4001:80b::2013,,,,
[x],capi-msdk.grammarly.com,"23.21.42.23, 23.22.226.68, 35.169.89.193, 54.175.5.210, 52.202.24.73, 35.173.115.101","ns-719.awsdns-25.net, awsdns-hostmaster.amazon.com","ns-1256.awsdns-29.org, ns-142.awsdns-17.com, ns-1562.awsdns-03.co.uk, ns-719.awsdns-25.net",NOERROR,,,,,,,,,
[x],capi.grammarly.com,"18.209.40.215, 54.173.159.136, 34.232.161.67, 34.202.0.141, 44.206.182.31, 18.205.125.26, 34.230.198.226, 52.207.59.215","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com","ns-1193.awsdns-21.org, ns-2038.awsdns-62.co.uk, ns-283.awsdns-35.com, ns-607.awsdns-11.net",NOERROR,,,,,,,,,
[x],capi.private.grammarly.com,"10.5.26.238, 10.5.12.204, 10.5.40.44","ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com","ns-1194.awsdns-21.org, ns-1611.awsdns-09.co.uk, ns-72.awsdns-09.com, ns-900.awsdns-48.net",NOERROR,,True,"10.5.26.238, 10.5.12.204, 10.5.40.44",,,,,,
[x],cdrn-events-receiver.grammarly.io,"3.212.202.108, 3.222.74.194, 18.208.45.79","ns-1746.awsdns-26.co.uk, awsdns-hostmaster.amazon.com","ns-1041.awsdns-02.org, ns-143.awsdns-17.com, ns-609.awsdns-12.net, ns-1746.awsdns-26.co.uk",NOERROR,,,,,,,,,
[x],chipmunk-private.grammarly.com,"10.64.39.251, 10.64.35.146, 10.64.37.49, 10.64.34.212, 10.64.38.187","ns-472.awsdns-59.com, awsdns-hostmaster.amazon.com","ns-1431.awsdns-50.org, ns-1798.awsdns-32.co.uk, ns-472.awsdns-59.com, ns-956.awsdns-55.net",NOERROR,,True,"10.64.39.251, 10.64.35.146, 10.64.37.49, 10.64.34.212, 10.64.38.187",,,,,,
[x],chipmunk.grammarly.com,"34.194.187.137, 3.230.196.181, 44.196.17.31, 34.225.176.12, 34.199.195.184","ns-644.awsdns-16.net, awsdns-hostmaster.amazon.com","ns-2039.awsdns-62.co.uk, ns-62.awsdns-07.com, ns-644.awsdns-16.net, ns-1378.awsdns-44.org",NOERROR,,,,,,,,,
[x],click.send.grammarly.com,13.111.39.50,"ns1.exacttarget.com, hostmaster.exacttarget.com",,NOERROR,,,,,,,,,
[x],compling-summer-school.grammarly.ai,"18.66.112.110, 18.66.112.86, 18.66.112.33, 18.66.112.116","ns-1155.awsdns-16.org, awsdns-hostmaster.amazon.com","ns-695.awsdns-22.net, ns-48.awsdns-06.com, ns-1155.awsdns-16.org, ns-1853.awsdns-39.co.uk",NOERROR,,,,,,True,cloudfront,,
[x],config.extension.grammarly.com,"18.66.122.117, 18.66.122.92, 18.66.122.78, 18.66.122.60","ns-79.awsdns-09.com, awsdns-hostmaster.amazon.com",,NOERROR,d27xxe7juh1us6.cloudfront.net,,,,,True,cloudfront,,
[x],contenthub-private.grammarly.com,"10.12.37.106, 10.12.30.220, 10.12.0.123","ns-506.awsdns-63.com, awsdns-hostmaster.amazon.com",,NOERROR,prod-contenthub-private.acquisition.grammarlyaws.com,True,"10.12.37.106, 10.12.30.220, 10.12.0.123",,,,,,
[x],contenthub-static.grammarly.com,"108.138.64.78, 108.138.64.53, 108.138.64.123, 108.138.64.121, 205.251.193.252, 205.251.195.187, 205.251.196.141, 205.251.198.29","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com","ns-1165.awsdns-17.org, ns-955.awsdns-55.net, ns-508.awsdns-63.com, ns-1565.awsdns-03.co.uk",NOERROR,d32rflfwvv73h4.cloudfront.net,,,,,True,cloudfront,,
[x],cortex-proxy.grammarly.io,"54.156.52.195, 54.227.250.0, 54.208.1.108","ns-1151.awsdns-15.org, awsdns-hostmaster.amazon.com","ns-1151.awsdns-15.org, ns-1583.awsdns-05.co.uk, ns-883.awsdns-46.net, ns-104.awsdns-13.com",NOERROR,,,,,,,,,
[x],cortex.grammarly.io,"10.18.33.16, 10.18.6.19, 10.18.20.17","ns-142.awsdns-17.com, awsdns-hostmaster.amazon.com","ns-1118.awsdns-11.org, ns-142.awsdns-17.com, ns-1548.awsdns-01.co.uk, ns-843.awsdns-41.net",NOERROR,,True,"10.18.33.16, 10.18.6.19, 10.18.20.17",,,,,,
[x],dapi-rest.grammarly.io,10.64.55.148,"ns-2022.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,dapi-rest.prod-experimentation.grammarlyaws.com,True,10.64.55.148,,,,,,
[x],dashboard.grammarly.com,,,,NOERROR,,,,,,,,,
[x],data.grammarly.com,"52.1.33.175, 34.202.136.196, 18.210.144.7, 34.193.137.236, 18.211.251.215, 3.225.129.254","ns-506.awsdns-63.com, awsdns-hostmaster.amazon.com",,NOERROR,prod-data.acquisition.grammarlyaws.com,,,,,,,,
[x],data.internal.grammarly.com,"10.12.11.58, 10.12.37.35, 10.12.29.233","ns-506.awsdns-63.com, awsdns-hostmaster.amazon.com","ns-1432.awsdns-51.org, ns-1898.awsdns-45.co.uk, ns-506.awsdns-63.com, ns-545.awsdns-04.net",NOERROR,prod-data-private.acquisition.grammarlyaws.com,True,"10.12.11.58, 10.12.37.35, 10.12.29.233",,,,,,
[x],datareport.grammarly.com,,"ns-1607.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,datareport.prod-gdpr-export.grammarlyaws.com,,,,,,,,
[x],datareport.private.grammarly.com,"10.64.110.178, 10.64.106.86","ns-1607.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,datareport.private.prod-gdpr-export.grammarlyaws.com,True,"10.64.110.178, 10.64.106.86",,,,,,
[x],db.proofit.grammarly.io,,"ns-1420.awsdns-49.org, awsdns-hostmaster.amazon.com","ns-1212.awsdns-23.org, ns-1843.awsdns-38.co.uk, ns-370.awsdns-46.com, ns-846.awsdns-41.net",NOERROR,"proofit-prod-r5-db.cluster-cjqkanogktba.us-east-1.rds.amazonaws.com, proofit-prod-r5-db-0.cjqkanogktba.us-east-1.rds.amazonaws.com",,,,,,,,
[x],demo.grammarly.com,"54.158.53.234, 3.216.32.209, 54.88.165.48","ns-422.awsdns-52.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,"alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com",,,,,
[x],denali-fb.grammarly.com,"10.22.12.188, 10.22.25.196, 10.22.38.76","ns-285.awsdns-35.com, awsdns-hostmaster.amazon.com","ns-1137.awsdns-14.org, ns-2039.awsdns-62.co.uk, ns-285.awsdns-35.com, ns-662.awsdns-18.net",NOERROR,,True,"10.22.12.188, 10.22.25.196, 10.22.38.76",,,,,,
[x],denali-static.grammarly.com,"18.66.97.3, 18.66.97.42, 18.66.97.59, 18.66.97.121","ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com","ns-1257.awsdns-29.org, ns-2012.awsdns-59.co.uk, ns-498.awsdns-62.com, ns-810.awsdns-37.net",NOERROR,,,,,,True,cloudfront,,
[x],designsystem.grammarly.io,"52.1.245.86, 3.92.220.53, 100.24.239.15, 35.175.76.153, 44.194.95.138, 52.6.236.228, 205.251.192.93","ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com","ns-648.awsdns-17.net, ns-1040.awsdns-02.org, ns-1734.awsdns-24.co.uk, ns-93.awsdns-11.com",NOERROR,,,,,,,,,
[x],developer.grammarly.com,"65.9.86.121, 65.9.86.86, 65.9.86.27, 65.9.86.109","ns-751.awsdns-29.net, awsdns-hostmaster.amazon.com","ns-172.awsdns-21.com, ns-751.awsdns-29.net, ns-1261.awsdns-29.org, ns-1629.awsdns-11.co.uk",NOERROR,,,,,,True,cloudfront,,
[x],developers.grammarly.com,"13.32.121.84, 13.32.121.20, 13.32.121.56, 13.32.121.107","ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com","ns-1171.awsdns-18.org, ns-1620.awsdns-10.co.uk, ns-47.awsdns-05.com, ns-957.awsdns-55.net",NOERROR,,,,,,True,cloudfront,,
