input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,final_url,tls_self_signed
44d5.dev.meraki.com,403 Forbidden,403,548,,,,,,,,,,,,,,,,,,,,,,80,http://44d5.dev.meraki.com:80,http,nginx,text/html,GET,52.52.168.165,/,586998417,52.52.168.165,Nginx,14,False,,,,,
588bocaiwangzhan588.artifactory.int.ikarem.io,403 Forbidden,403,520,,588bocaiwangzhan588.artifactory.int.ikarem.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-29T00:00:00Z,2023-11-28T23:59:59Z,CN=*.artifactory.int.ikarem.io,*.artifactory.int.ikarem.io,,closest.artifactory.int.ikarem.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c5f1074a48a6a674dc2d2047d90dbf2b,47597525fbb9236f449971a075209403f667fefedbfa5aa79df903ab184a933b,ctls,588bocaiwangzhan588.artifactory.int.ikarem.io,,443,https://588bocaiwangzhan588.artifactory.int.ikarem.io:443,https,awselb/2.0,text/html,GET,54.215.169.169,/,2095155567,54.215.162.74,,13,False,,True,,,
6lab.cisco.com,6lab IPv6 website,200,22467,,6lab.cisco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-11-21T14:21:19Z,2023-11-21T14:20:19Z,"C=US, ST=California, L=San Jose, O=Cisco Systems Inc., CN=6lab.cisco.com",6lab.cisco.com,Cisco Systems Inc.,6lab.cisco.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,d207f56107425eb041b37edea522e1b1,088ec07165e532fca8c30df72fec2d57720330d7a069104013f92ff5d2d9f976,ctls,6lab.cisco.com,,443,https://6lab.cisco.com:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,198.199.74.249,/,-646322113,2604:a880:400:d0::1ec0:b001,Ubuntu,432,False,,,,,
7wkdd.artifactory.ikarem.io,403 Forbidden,403,118,,7wkdd.artifactory.ikarem.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-31T00:00:00Z,2023-11-29T23:59:59Z,CN=*.artifactory.prod.ikarem.io,*.artifactory.prod.ikarem.io,,*.artifactory.ikarem.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,24c1ce28b02a81e73a8a3bfe6b296106,fb9ac06a92da521a60b87f7dda9217b60de63c2c8d69e9fa08b7064e6f61b0bf,ctls,7wkdd.artifactory.ikarem.io,,443,https://7wkdd.artifactory.ikarem.io:443,https,awselb/2.0,text/html,GET,52.8.14.255,/,1344368402,54.177.229.29,,7,False,,True,,,
absa-bci-emear.cisco.com,,200,5402,,absa-bci-emear.cisco.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,,2022-07-13T13:13:56Z,2023-07-13T13:13:55Z,"C=US, ST=California, L=San Jose, O=Cisco Systems Inc., CN=telitalia-ipe-bci-emear.cisco.com",telitalia-ipe-bci-emear.cisco.com,Cisco Systems Inc.,telecom-italia-sparkle-bci-emear.cisco.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,61c1a3d7003c870998d1d3d7390e46eb,029461d5589cdff4d7495af2dbd8bcfb8980b7f0c8719d843d068ce0b3af63c8,ctls,absa-bci-emear.cisco.com,,443,https://absa-bci-emear.cisco.com:443,https,Splunkd,text/html,GET,173.38.214.22,/,-316785925,173.38.214.22,Splunkd,1,False,,,,https://absa-bci-emear.cisco.com/en-US/account/login?return_to=%2Fen-US%2F,
accenture-bci.cisco.com,,200,5398,,accenture-bci.cisco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-09-22T05:23:55Z,2023-09-22T05:22:55Z,"C=US, ST=California, L=San Jose, O=Cisco Systems Inc., CN=bci-c1.cisco.com",bci-c1.cisco.com,Cisco Systems Inc.,telstra-mobiles-bci.cisco.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,c5d1e5a3ff7e99e01b07c4e9529b4c92,22ab66e2a2c16808936c3e07152c8c9940b5099570db1bedc79965744a39b65a,ctls,accenture-bci.cisco.com,,443,https://accenture-bci.cisco.com:443,https,Splunkd,text/html,GET,173.36.109.138,/,-316785925,173.36.109.138,Splunkd,1,False,,,,https://accenture-bci.cisco.com/en-US/account/login?return_to=%2Fen-US%2F,
accesssha-fra-pro--coinbase-w3ica.artifactory.ikarem.io,403 Forbidden,403,118,,accesssha-fra-pro--coinbase-w3ica.artifactory.ikarem.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-31T00:00:00Z,2023-11-29T23:59:59Z,CN=*.artifactory.prod.ikarem.io,*.artifactory.prod.ikarem.io,,*.artifactory.ikarem.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,24c1ce28b02a81e73a8a3bfe6b296106,fb9ac06a92da521a60b87f7dda9217b60de63c2c8d69e9fa08b7064e6f61b0bf,ctls,accesssha-fra-pro--coinbase-w3ica.artifactory.ikarem.io,,443,https://accesssha-fra-pro--coinbase-w3ica.artifactory.ikarem.io:443,https,awselb/2.0,text/html,GET,52.8.44.129,/,1344368402,54.177.229.221,,7,False,,True,,,
account-meraki.dev.meraki.com,403 Forbidden,403,146,,,,,,,,,,,,,,,,,,,,,,80,http://account-meraki.dev.meraki.com:80,http,nginx,text/html,GET,52.52.168.165,/,-1561873722,52.52.168.165,Nginx,8,False,,,,,
account-staging.meraki.com,Login - Cisco Meraki Account,200,6507,,account.meraki.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=*.meraki.com, O=Meraki LLC, L=San Francisco, ST=California, C=US",*.meraki.com,Meraki LLC,meraki.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,1134171ef4944977cf9e3b2de371466c,8e2bedcff39444cab1b69659ab7baa912275dc724832a374942c615380e96ac3,ctls,account.meraki.com,,443,https://account-staging.meraki.com:443,https,nginx,text/html,GET,209.206.52.222,/,163842882,2620:12f:c002:0:46ae:25ff:fee2:d400,Ruby on Rails,244,False,,True,,https://account.meraki.com/account/account_login,
account-staging.network-auth.com,Login - Cisco Meraki Account,200,6519,,account.network-auth.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-08-03T00:00:00Z,2023-08-02T23:59:59Z,"CN=*.network-auth.com, O=Meraki LLC, L=San Francisco, ST=California, C=US",*.network-auth.com,Meraki LLC,network-auth.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,becd3a78d99c9be68e8c6683c7cee097,a1110ff2acd6d9f3e345c1894dabc8ac12e9dceb75866568732569af62d32113,ctls,account.network-auth.com,,443,https://account-staging.network-auth.com:443,https,nginx,text/html,GET,209.206.52.222,/,163842882,2620:12f:c002:0:46ae:25ff:fee2:d400,Ruby on Rails,244,False,,True,,https://account.network-auth.com/account/account_login,
account-staging.sandbox.meraki.com,Login - Cisco Meraki Account,200,6523,,account.sandbox.meraki.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=*.sandbox.meraki.com, O=Meraki LLC, L=San Francisco, ST=California, C=US",*.sandbox.meraki.com,Meraki LLC,sandbox.meraki.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,f19dade2acda42f27893268abfe9d11e,8ce60b2adc4c3f58484249764a0855f7b8ccc1992202dee598128b925275ce80,ctls,account.sandbox.meraki.com,,443,https://account-staging.sandbox.meraki.com:443,https,nginx,text/html,GET,209.206.49.56,/,163842882,2620:12f:c000:0:92e2:baff:fecb:f26c,Ruby on Rails,244,False,,True,,https://account.sandbox.meraki.com/account/account_login,
account.meraki.com,Login - Cisco Meraki Account,200,6507,,account.meraki.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=*.meraki.com, O=Meraki LLC, L=San Francisco, ST=California, C=US",*.meraki.com,Meraki LLC,meraki.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,1134171ef4944977cf9e3b2de371466c,8e2bedcff39444cab1b69659ab7baa912275dc724832a374942c615380e96ac3,ctls,account.meraki.com,,443,https://account.meraki.com:443,https,nginx,text/html,GET,209.206.49.184,/,163842882,2620:12f:c000:0:3673:2dff:fe46:ba3c,Ruby on Rails,244,False,,True,,https://account.meraki.com/account/account_login,
account.network-auth.com,Login - Cisco Meraki Account,200,6519,,account.network-auth.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-08-03T00:00:00Z,2023-08-02T23:59:59Z,"CN=*.network-auth.com, O=Meraki LLC, L=San Francisco, ST=California, C=US",*.network-auth.com,Meraki LLC,network-auth.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,becd3a78d99c9be68e8c6683c7cee097,a1110ff2acd6d9f3e345c1894dabc8ac12e9dceb75866568732569af62d32113,ctls,account.network-auth.com,,443,https://account.network-auth.com:443,https,nginx,text/html,GET,209.206.49.184,/,163842882,2620:12f:c000:0:3673:2dff:fe46:ba3c,Ruby on Rails,244,False,,True,,https://account.network-auth.com/account/account_login,
account.sandbox.meraki.com,Login - Cisco Meraki Account,200,6523,,account.sandbox.meraki.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=*.sandbox.meraki.com, O=Meraki LLC, L=San Francisco, ST=California, C=US",*.sandbox.meraki.com,Meraki LLC,sandbox.meraki.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,f19dade2acda42f27893268abfe9d11e,8ce60b2adc4c3f58484249764a0855f7b8ccc1992202dee598128b925275ce80,ctls,account.sandbox.meraki.com,,443,https://account.sandbox.meraki.com:443,https,nginx,text/html,GET,209.206.53.130,/,163842882,2620:12f:c002:0:a236:9fff:fe7c:6e40,Ruby on Rails,244,False,,True,,https://account.sandbox.meraki.com/account/account_login,
account.sandbox.network-auth.com,Login - Cisco Meraki Account,200,6523,,account.sandbox.meraki.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=*.sandbox.meraki.com, O=Meraki LLC, L=San Francisco, ST=California, C=US",*.sandbox.meraki.com,Meraki LLC,sandbox.meraki.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,f19dade2acda42f27893268abfe9d11e,8ce60b2adc4c3f58484249764a0855f7b8ccc1992202dee598128b925275ce80,ctls,account.sandbox.meraki.com,,443,https://account.sandbox.network-auth.com:443,https,nginx,text/html,GET,209.206.53.130,/,163842882,2620:12f:c002:0:a236:9fff:fe7c:6e40,Ruby on Rails,244,False,,True,,https://account.sandbox.meraki.com/account/account_login,
accounting-mun-falltagomi.artifactory.prod.ikarem.io,403 Forbidden,403,520,,accounting-mun-falltagomi.artifactory.prod.ikarem.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-31T00:00:00Z,2023-11-29T23:59:59Z,CN=*.artifactory.prod.ikarem.io,*.artifactory.prod.ikarem.io,,*.artifactory.ikarem.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,24c1ce28b02a81e73a8a3bfe6b296106,fb9ac06a92da521a60b87f7dda9217b60de63c2c8d69e9fa08b7064e6f61b0bf,ctls,accounting-mun-falltagomi.artifactory.prod.ikarem.io,,443,https://accounting-mun-falltagomi.artifactory.prod.ikarem.io:443,https,awselb/2.0,text/html,GET,13.56.88.100,/,2095155567,54.241.23.7,,13,False,,True,,,
ace-stage.cisco.com,Submit Form,200,1673,,cloudsso-test.cisco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-25T07:50:54Z,2024-01-25T07:49:54Z,"C=US, ST=California, L=San Jose, O=Cisco Systems Inc., CN=cloudsso-test.cisco.com",cloudsso-test.cisco.com,Cisco Systems Inc.,cloudsso-test-new.cisco.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,6439976551e6fe1dd2cb774555f70320,d02946170803c601465c00457cc3eb6c5f4b5160f6ef15972e79d964ad159da2,ctls,cloudsso-test.cisco.com,,443,https://ace-stage.cisco.com:443,https,Apache,text/html,GET,173.36.109.243,/,-318058115,173.36.109.243,HSTS,26,False,,,,https://cloudsso-test.cisco.com/idp/SSO.saml2?SAMLRequest=fVNNb9swDL33Vxi%2BO%2F6qU0dIDGQJhgXoliBJd%2BilYCS6FWBLniiv2b%2Bf5KZNCmzRRQDJ9%2FgeRU0J2qZj896%2BqC3%2B6pHsTRAc20YRG1KzsDeKaSBJTEGLxCxnu%2Fn3e5aNEtYZbTXXTfgJdB0DRGis1MqDVstZuHxYP2ECxWSc1HVdFmWJaYqTWhwElGOOacGzcgJ5OskEz%2B7uDpDcZreTQ5ZjkZfFAaCuPddPNORoZ6HrMnAT9bhSZEFZF0yyPEqKKE33acbyhBXjR1%2B1dJalAjsgX6ztiMUxb3QviHRkXXbEJXE94rqNpeji3W498i4zj96cBvBFKiHV83Xnh7ciYt%2F2%2B020We%2F2nmL%2BPo%2BFVtS3aHZofkuOD9v7syChniPVRdA06kIOcIrDynEEwdRLYoNlU11HtWhBgIV4Gl%2BCzjQd%2B%2BG0r5Yb3Uj%2BZ4j781WbFuz%2FLaajdIhIEdVDKesVdchlLVGEHzTzptGvC4NgcRZa02MYxJ%2Ban%2FYQxbCVbioWjzZY6LYDI8k%2FEx6B25Pxs%2FnL8kXj1myLdXV1Eznjvs6FN%2B561Ub490Tueu8NOPHa2NOQ%2Fkn%2Bpjq%2BIru6eU9ffrHqLw%3D%3D&RelayState=A4GrJKYSKQz0vj3zz228O68jKPi7vH7kfKYN2zaN,
achievements-stage.cloudapps.cisco.com,Submit Form,200,1673,,cloudsso-test.cisco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-25T07:50:54Z,2024-01-25T07:49:54Z,"C=US, ST=California, L=San Jose, O=Cisco Systems Inc., CN=cloudsso-test.cisco.com",cloudsso-test.cisco.com,Cisco Systems Inc.,cloudsso-test-new.cisco.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,6439976551e6fe1dd2cb774555f70320,d02946170803c601465c00457cc3eb6c5f4b5160f6ef15972e79d964ad159da2,ctls,cloudsso-test.cisco.com,,80,http://achievements-stage.cloudapps.cisco.com:80,http,Apache,text/html,GET,173.36.109.243,/,-692041851,173.36.109.243,HSTS,26,False,,,,https://cloudsso-test.cisco.com/idp/SSO.saml2?SAMLRequest=fVNNj9owEL3vr4hyD%2FmABLAAiYKqIm0LAraHvayc8WTXUmKnHqdL%2F33tLLuwUosvlmbmvXlvPJ4Rb%2BqWLTv7ovb4q0Oyd0FwampFrE%2FNw84opjlJYoo3SMwCOyy%2F37NskLDWaKtB1%2BEn0G0MJ0JjpVYetFnPw%2FXD9ikf56NkVBSASZWXk1GWYpGXWcXLskxgmgMMy2QKUBYwxkIkfFpOisl4KviEV5Nk6rl%2BoiFHOw9dl56bqMONIsuVdcEkG0ZJHqXpMc3YMGF58eir1s6yVNz2yBdrW2JxDLXuBJGOrMsOQBLoAegmlqKND4ftwLvMPHp3HsAXqYRUz7edl29FxL4dj7totz0cPcXyfR4rrahr0BzQ%2FJaAD%2Fv7iyChniPVRryu1ZUcDhSHC8cRBDMvifWWzeI2qkHLBbc8nsXXoAtNy3447Zv1TtcS%2FvRxf75q03D7f4vpIO0jUkRVX8o6RS2CrCSK8INmWdf6dWWQW5yH1nQYBvGn5uc9RNFvpZuKxZMNVrppuZHknwlPHOzZ%2BMX8dfmqdmu2x2pxcxOBga9z4Z27XrUR%2Fj0RXO%2Bj4U68NvY8pH%2BSv6mOb8he3L2nr7%2FY4i8%3D&RelayState=8JZ05HLncb0HH0sM5BoQq07U3OFu12X3VoMtG5Ve,
acquisitionservices-stg-ext.cisco.com,,401,,,acquisitionservices-stg-ext.cisco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-09-16T00:02:56Z,2023-09-16T00:01:56Z,"C=US, ST=California, L=San Jose, O=Cisco Systems Inc., CN=acquisitionservices-stg-ext.cisco.com",acquisitionservices-stg-ext.cisco.com,Cisco Systems Inc.,acquisitionservices-stg-ext.cisco.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,2c3e3559224e5a64cf62e6bd0ecabe32,23f8bb1ccf6f112a0529ab3a31f01261914b27548181726d10fa3713e2d22f86,ctls,acquisitionservices-stg-ext.cisco.com,,443,https://acquisitionservices-stg-ext.cisco.com:443,https,,,GET,192.133.220.120,/,-1840324437,192.133.220.120,HSTS,1,False,,,,,
acquisitionservices.cisco.com,,401,,,acquisitionservices.cisco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-11-28T00:08:02Z,2023-11-28T00:07:02Z,"C=US, ST=California, L=San Jose, O=Cisco Systems Inc., CN=acquisitionservices.cisco.com",acquisitionservices.cisco.com,Cisco Systems Inc.,acquisitionservices.cisco.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,474def1d627cebd6d9ecbea1285f82ee,e3cb1736e328d400b7c83ec4e99b644151d591fcb13eea5a5dd31d90cb0d8c5f,ctls,acquisitionservices.cisco.com,,443,https://acquisitionservices.cisco.com:443,https,,,GET,173.36.127.32,/,-1840324437,173.36.127.32,HSTS,1,False,,,,,
act.cisco.com,Cisco GPSA,200,2375,,act.cisco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-26T14:53:23Z,2023-07-26T14:52:23Z,"C=US, ST=California, L=San Jose, O=Cisco Systems Inc., CN=cwc.cisco.com",cwc.cisco.com,Cisco Systems Inc.,gcwr.cisco.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,fdb9506a2b1f8306c06091be232047fe,5d44e7c40ff81f4d69b1896339f5df008aaf9164fa899dea94a0458d3a41fcb1,ctls,act.cisco.com,,443,https://act.cisco.com:443,https,Microsoft-IIS/10.0,text/html,GET,173.37.148.210,/,338922842,173.37.148.210,Windows Server,37,False,,,,,
