input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,tls_self_signed,final_url,csp_domains_,tls_expired
ca.portal.checkpoint.com,Check Point Infinity Portal,200,3373,ca.portal.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-15T23:59:59Z,CN=ca.portal.checkpoint.com,ca.portal.checkpoint.com,*.ca.portal.checkpoint.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9f88e4494c705c0c81ebc34410a9b939,45d8d7ed79f79774aea76592998c38d5344727291deb08da1558b2e8f0dde177,True,ctls,ca.portal.checkpoint.com,,80,http://ca.portal.checkpoint.com:80,http,,text/html,GET,3.99.90.125,/,1095766090,3.99.39.79,HSTS,48,False,,,,,https://ca.portal.checkpoint.com:443/,https://cloudinfra-gw.ca.portal.checkpoint.com/csp-report,
casb-dev-smartview.portal.checkpoint.com,Gaia,200,1084,casb-dev-smartview.portal.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-29T23:59:59Z,CN=portal.checkpoint.com,portal.checkpoint.com,*.portal.checkpoint.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2e39831fd4f706077d200c7f3d08179b,4f6f04382ca9f38b89774d7d7888a2bebcff5938b47f2772e3dff17da60d21fa,True,ctls,casb-dev-smartview.portal.checkpoint.com,,443,https://casb-dev-smartview.portal.checkpoint.com:443,https,CPWS,text/html,GET,34.250.159.226,/,-960873822,54.155.50.73,,9,False,,,,,,,
checkmates.checkpoint.com,Home - Check Point CheckMates,200,280623,community.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,2023-09-23T23:59:59Z,"CN=secure07.lithium.com, O=Khoros\, LLC, L=Austin, ST=Texas, C=US",secure07.lithium.com,community.travelandleisure.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,71ee3692330443d9bb240f1d1239a6fd,cfd476d33f1c0633f8f591a437b49b2187fee522e259e37cb9e41e359a664952,True,ctls,community.checkpoint.com,cloudfront,443,https://checkmates.checkpoint.com:443,https,Apache,text/html,GET,143.204.89.10,/,-1840324437,2600:9000:2156:4400:0:6649:3a80:93a1,PHP,3347,False,True,"Khoros, LLC",True,,https://community.checkpoint.com/,https:,
community.checkpoint.com,Home - Check Point CheckMates,200,284351,community.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,2023-09-23T23:59:59Z,"CN=secure07.lithium.com, O=Khoros\, LLC, L=Austin, ST=Texas, C=US",secure07.lithium.com,community.travelandleisure.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,71ee3692330443d9bb240f1d1239a6fd,cfd476d33f1c0633f8f591a437b49b2187fee522e259e37cb9e41e359a664952,True,ctls,community.checkpoint.com,cloudfront,443,https://community.checkpoint.com:443,https,Apache,text/html,GET,143.204.89.108,/,-1840324437,2600:9000:2156:e200:0:6649:3a80:93a1,PHP,3374,False,True,"Khoros, LLC",True,,,https://community.checkpoint.com,
community.stage.checkpoint.com,401 Authorization Required,401,167,community.stage.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-19T23:59:59Z,"CN=secure06.stage.lithium.com, O=Khoros\, LLC, L=Austin, ST=Texas, C=US",secure06.stage.lithium.com,community-stage.travelandleisure.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,627e4e9bed917c7716741377f8b63af2,24e8aa44ab1a2b9a2745b312dd7f52f101ee9fd9c807642b4af0f0dcc5197d63,True,ctls,community.stage.checkpoint.com,cloudfront,443,https://community.stage.checkpoint.com:443,https,Apache,text/html,GET,18.66.112.50,/,-1840324437,2600:9000:223f:9000:19:2829:9980:93a1,HSTS,7,False,True,"Khoros, LLC",True,,,,
core-api-gw.sg.iaas.checkpoint.com,403,403,134,core-api-gw.sg.iaas.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T03:44:02Z,2023-07-27T04:36:15Z,CN=core-api-gw.sg.iaas.checkpoint.com,core-api-gw.sg.iaas.checkpoint.com,core-api-gw.sg.iaas.checkpoint.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,bb880af8253eee4d16cc1b82f0d52832,54b50d2396873045b9d0a2a871122252b926d91b9d3f8c46e945ed3de208846e,,ctls,core-api-gw.sg.iaas.checkpoint.com,google,443,https://core-api-gw.sg.iaas.checkpoint.com:443,https,,text/html,GET,130.211.39.98,/,1723221432,130.211.39.98,HTTP/3,1,False,True,,,,,,
cpm.checkpoint.com,,403,2840,portal.cpm.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T18:07:02Z,2024-03-06T17:47:13Z,CN=*.cpm.checkpoint.com,*.cpm.checkpoint.com,cpm.checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,95ff7968870002a4b37f3b8fde2c33e5,218f732436172c9776a1df901d38b4b867c3d330e36ed6b26aa07e483e443be4,True,ctls,portal.cpm.checkpoint.com,,443,https://cpm.checkpoint.com:443,https,CPWS,text/html,GET,194.29.38.135,/,-993165615,194.29.38.135,HSTS,82,False,,,,,https://portal.cpm.checkpoint.com:443/Login/Login,,
cpr-zero.checkpoint.com,CPR-Zero,200,74263,cpr-zero.checkpoint.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-24T09:25:32Z,2023-07-23T09:25:31Z,CN=cpr-zero.checkpoint.com,cpr-zero.checkpoint.com,cpr-zero.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab697bd79a1ecbc32ecb8fe4e9bc8f95,3f69a6d9b115c2e7c6eabf1fc3eb2fff4bc0da96c0afc7139e6bbd38886bb84c,,ctls,cpr-zero.checkpoint.com,,443,https://cpr-zero.checkpoint.com:443,https,GitHub.com,text/html,GET,185.199.110.153,/,1268870372,2606:50c0:8003::153,Varnish,2845,False,,,,,,,
cpxczech-virtual.checkpoint.com,SITE NOT FOUND,404,927,cpxczech-virtual.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2019-10-02T14:40:18Z,2029-09-29T14:40:18Z,CN=broken-ssl.multiscreensite.com,broken-ssl.multiscreensite.com,broken-ssl.multiscreensite.com,CN=broken-ssl.multiscreensite.com,broken-ssl.multiscreensite.com,,c16fd61b25e7be87e4f21b4c2a8f5af5,ac1fe5e444466ba673c8614ca217336abb607262f45c3d8b7477aae99800aac9,,ctls,cpxczech-virtual.checkpoint.com,,443,https://cpxczech-virtual.checkpoint.com:443,https,nginx,text/html,GET,35.172.94.1,/,729790055,100.24.208.97,Nginx,42,False,,,True,True,,,
cs.iaas.checkpoint.com,,404,21,,,,,,,,,,,,,,,,,,,,80,http://cs.iaas.checkpoint.com:80,http,,text/plain,GET,54.171.185.69,/,-1669793162,99.81.26.207,,1,False,,,,,,,
ct-url-protection.portal.checkpoint.com,Check Point Error Page,404,1240,ct-url-protection.portal.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-29T23:59:59Z,CN=portal.checkpoint.com,portal.checkpoint.com,*.portal.checkpoint.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2e39831fd4f706077d200c7f3d08179b,4f6f04382ca9f38b89774d7d7888a2bebcff5938b47f2772e3dff17da60d21fa,True,ctls,ct-url-protection.portal.checkpoint.com,,443,https://ct-url-protection.portal.checkpoint.com:443,https,,text/html,GET,52.16.5.59,/,595123968,54.75.120.176,HSTS,34,False,,,,,,,
cumulus.checkpoint.com,,404,15,cumulus.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2024-05-14T23:59:59Z,"CN=cumulus.checkpoint.com, O=Check Point Software Technologies Inc., L=San Carlos, ST=California, C=US",cumulus.checkpoint.com,cumulus.checkpoint.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,90f7952511909d28b55d26d72c1c44d8,15d424d95b2e843ba46827de1ccaa9f21252bce4784fc0d8fdcbd301488e90a7,,ctls,cumulus.checkpoint.com,,443,https://cumulus.checkpoint.com:443,https,awselb/2.0,text/plain,GET,52.208.254.249,/,1124559268,52.17.169.140,,1,False,,Check Point Software Technologies Inc.,,,,,
cyberpark.checkpoint.com,,200,2532,cyberpark.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,cyberpark.checkpoint.com,cloudfront,443,https://cyberpark.checkpoint.com:443,https,CPWS,text/html,GET,99.86.4.59,/,321770859,2600:9000:2057:ac00:1d:478:80c0:93a1,HSTS,34,False,True,,,,,,
deliveries.checkpoint.com,Deliveries Portal - Login,200,3443,deliveries.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,deliveries.checkpoint.com,,443,https://deliveries.checkpoint.com:443,https,Apache/2.4.6 (Red Hat Enterprise Linux),text/html,GET,194.29.39.46,/,321770859,194.29.39.46,Red Hat,144,False,,,,,https://deliveries.checkpoint.com/deliveries/login.do,*.checkpoint.com,
demo-pce-data.cpm.checkpoint.com,,404,2781,demo-pce-data.cpm.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T18:07:02Z,2024-03-06T17:47:13Z,CN=*.cpm.checkpoint.com,*.cpm.checkpoint.com,cpm.checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,95ff7968870002a4b37f3b8fde2c33e5,218f732436172c9776a1df901d38b4b867c3d330e36ed6b26aa07e483e443be4,True,ctls,demo-pce-data.cpm.checkpoint.com,,443,https://demo-pce-data.cpm.checkpoint.com:443,https,CPWS,text/html,GET,194.29.38.135,/,-993165615,194.29.38.135,HSTS,82,False,,,,,,,
demo1500.checkpoint.com,Quantum Spark Security Appliance - Login,200,2093,demo1500.checkpoint.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2023-02-09T07:39:46Z,2024-02-07T13:51:16Z,CN=demo1500.checkpoint.com,demo1500.checkpoint.com,www.demo1500.checkpoint.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",ad982abb653a09c53a160ec8d219df73,b855ef4569d9a8fa136858a990492db7ce321eb336233aca0bd6c80ae62f0c9d,,ctls,demo1500.checkpoint.com,,443,https://demo1500.checkpoint.com:443,https,,,GET,194.29.32.157,/,827693450,194.29.32.157,,47,False,,,,,,,
developer.checkpoint.com,Home - Check Point Developers,200,60747,developer.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T16:29:07Z,2023-07-23T16:29:06Z,CN=developer.checkpoint.com,developer.checkpoint.com,developer.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e33c92da5c0ded6f1897a1fe364d81c0,881cd0cc73e099dae4eae81cae9bc4988591e1890acf8f87eefb1c071dfbf1af,,ctls,developer.checkpoint.com,,443,https://developer.checkpoint.com:443,https,cloudflare,text/html,GET,141.193.213.20,/,-1840324437,141.193.213.21,jQuery,432,False,,,,,,,
diag-services.checkpoint.com,400 The plain HTTP request was sent to HTTPS port,400,255,diag-services.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,diag-services.checkpoint.com,,443,https://diag-services.checkpoint.com:443,https,Check Point CPWeb,text/html,GET,194.29.39.52,/,-299008732,194.29.39.52,,9,False,,,,,,,
docsec-ems.checkpoint.com,,403,90,docsec-ems.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-22T00:00:00Z,2023-10-23T23:59:59Z,"CN=docsec-ems.checkpoint.com, O=Check Point Software Technologies Inc., L=San Carlos, ST=California, C=US",docsec-ems.checkpoint.com,docsec-ems.checkpoint.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,bdbd063ef58cac2987e529dd1f95535d,121884659a02b63d33e23f610fc35a2b44096751e2ef4e4f573eb5b41eacf08c,,ctls,docsec-ems.checkpoint.com,,443,https://docsec-ems.checkpoint.com:443,https,Liquid Machines/2.0,text/html,GET,209.87.211.155,/,845489950,209.87.211.155,,1,False,,Check Point Software Technologies Inc.,,,,,
docsec-ems.us.checkpoint.com,,403,90,docsec-ems.us.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-22T00:00:00Z,2023-10-23T23:59:59Z,"CN=docsec-ems.checkpoint.com, O=Check Point Software Technologies Inc., L=San Carlos, ST=California, C=US",docsec-ems.checkpoint.com,docsec-ems.checkpoint.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,bdbd063ef58cac2987e529dd1f95535d,121884659a02b63d33e23f610fc35a2b44096751e2ef4e4f573eb5b41eacf08c,,ctls,docsec-ems.us.checkpoint.com,,443,https://docsec-ems.us.checkpoint.com:443,https,Liquid Machines/2.0,text/html,GET,209.87.211.155,/,845489950,209.87.211.155,,1,False,,Check Point Software Technologies Inc.,True,,,,
docsec.checkpoint.com,,200,324,docsec.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-24T00:00:00Z,2024-05-08T23:59:59Z,"CN=docsec.checkpoint.com, O=Check Point Software Technologies Inc., L=San Carlos, ST=California, C=US",docsec.checkpoint.com,docsec.checkpoint.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,fb3fedd3d572f279728f8f20abfa59b1,bc9e4b8c214bf13edd74d74cc656b185a03e41f2d404dce3fee0546f4334fddb,,ctls,docsec.checkpoint.com,,443,https://docsec.checkpoint.com:443,https,Apache,text/html,GET,209.87.211.176,/,-878358760,209.87.211.176,Apache,10,False,,Check Point Software Technologies Inc.,,,,URL=http://docsec.checkpoint.com,
docsec.g04.checkpoint.com,,200,324,docsec.g04.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,docsec.g04.checkpoint.com,,443,https://docsec.g04.checkpoint.com:443,https,Check Point CPWeb,text/html,GET,209.87.212.128,/,-878358760,209.87.212.129,HSTS,10,False,,,True,,,URL=http://docsec.checkpoint.com,
docsec.us.checkpoint.com,,200,324,docsec.us.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-24T00:00:00Z,2024-05-08T23:59:59Z,"CN=docsec.checkpoint.com, O=Check Point Software Technologies Inc., L=San Carlos, ST=California, C=US",docsec.checkpoint.com,docsec.checkpoint.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,fb3fedd3d572f279728f8f20abfa59b1,bc9e4b8c214bf13edd74d74cc656b185a03e41f2d404dce3fee0546f4334fddb,,ctls,docsec.us.checkpoint.com,,443,https://docsec.us.checkpoint.com:443,https,Apache,text/html,GET,209.87.211.176,/,-878358760,209.87.211.176,Apache,10,False,,Check Point Software Technologies Inc.,True,,,URL=http://docsec.checkpoint.com,
