input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,tls_wildcard_certificate,tls_mismatched,final_url
bo.upstox.com,Upstox Accounts,200,5412,,443,https://bo.upstox.com:443,https,nginx,text/html,GET,15.206.23.235,/,1375913901,13.235.4.23,Nginx,1,False,,,account.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2023-07-11T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6ae3c1281f7474b1bd02164f0e751ce4,aa5d05ef6f858dc4dd4bed4671104e405098516b9284822ccf6645161103c292,ctls,account.upstox.com,True,,https://account.upstox.com:443/reports
callback-b.upstox.com,Error 404 (Not Found)!!1,404,1557,cloudflare,443,https://callback-b.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,302920777,2606:4700::6812:1d4,HSTS,12,False,True,,callback-b.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a5aad08a965bb2165ddd1599fafd03f2,61310223e74f6875061220c4f8c697a446f29143bb9d520ac51aed0632f01329,ctls,callback-b.upstox.com,,,
callback.upstox.com,Error 404 (Not Found)!!1,404,1557,cloudflare,443,https://callback.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,302920777,2606:4700::6812:1d4,HSTS,12,False,True,,callback.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",callback.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7ee584a233e63b845bd474b3b7e38de1,edb81109277e6fd1a2133a30b5f95921269141ad732cde8487a4f41c3b653a08,ctls,callback.upstox.com,,,
classic-pro.upstox.com,Upstox Pro,200,5189,cloudflare,443,https://classic-pro.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,-1389570265,2606:4700::6812:1d4,HSTS,1,False,True,,pro.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f43762f21cec17b4a08ae92bc3df4dba,0764e9dfa0d0248e2b1109237d92537ce2ff76fa2ca2638aafcb0ff6188ec9a7,ctls,pro.upstox.com,,,https://pro.upstox.com:443/
community.upstox.com,Upstox Community,200,364668,,443,https://community.upstox.com:443,https,nginx,text/html,GET,184.104.178.43,/,-1840324437,2602:fd3f:1:ff01::2b,Ruby on Rails,724,False,,https://dub1.discourse-cdn.com/standard20/highlight-js/,community.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-30T07:11:54Z,2023-06-28T07:11:53Z,CN=community.upstox.com,community.upstox.com,,community.upstox.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,38312931c292e88faf4074b7b4e13218,4b8b9d0fb24f0fdfa8f7d1c1a00e69a9a6fd1c38616b4acf7984e214f10bd25e,ctls,community.upstox.com,,,
dev-validate.upstox.com,,200,57,cloudflare,443,https://dev-validate.upstox.com:443,https,cloudflare,application/json,GET,104.18.1.212,/,1733561871,2606:4700::6812:1d4,Node.js,1,False,True,,dev-validate.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",dev-validate.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",04eaf0e4bbd2df0f5977fa7ca645518b,3f6c29fd3df4b294a7b7c9007c33ac165175f304f01a2763c675ad519a7ca65e,ctls,dev-validate.upstox.com,,,
edis.upstox.com,,200,38,,443,https://edis.upstox.com:443,https,,application/json,GET,13.234.236.195,/,596030801,52.66.191.230,,1,False,,,edis.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2023-07-11T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6ae3c1281f7474b1bd02164f0e751ce4,aa5d05ef6f858dc4dd4bed4671104e405098516b9284822ccf6645161103c292,ctls,edis.upstox.com,True,,
fwdkim1.upstox.com,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://fwdkim1.upstox.com:80,http,CloudFront,text/html,GET,13.225.78.59,/,1814203725,13.225.78.58,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,
help.upstox.com,Attention Required! | Cloudflare,403,4513,cloudflare,443,https://help.upstox.com:443,https,cloudflare,text/html,GET,104.18.1.212,/,-62070663,2606:4700::6812:1d4,HSTS,94,False,True,https://*.upstox.com,help.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",964394dad91dbdbe9cbe5fb7f1179c5f,d611f470e218f670793a750a7a566b9324e51d1056e2f88a5720ae8009879268,ctls,help.upstox.com,,,
historical.static.upstox.com,Error 404 (Not Found)!!1,404,1557,cloudflare,443,https://historical.static.upstox.com:443,https,cloudflare,text/html,GET,104.18.11.68,/,302920777,2606:4700::6812:b44,Cloudflare,12,False,True,,historical.static.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-01-25T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",943bc9822e932ddb7e757550849093d5,a19d627a28a886b612ed5d52805c17dc7f10804a89c1fe2adf3b34aa7db75a36,ctls,historical.static.upstox.com,,,
https://upstox.com,Trading - Online Share Market Trading App in India - Best Stock Trading Platform,200,339321,cloudfront,443,https://upstox.com:443,https,nginx,text/html,GET,13.32.121.29,/,-1840324437,13.32.121.16,WordPress,2626,False,True,,upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-09T23:59:59Z,CN=upstox.com,upstox.com,,*.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fa7215293b6fb43a5df522b1145ffc18,a6f957d555d4d4ce3c46174d8e99e238968d908caca98d8b6afdd73c3dd1eb1a,ctls,upstox.com,True,,
invest.upstox.com,IPO – Upcoming IPO in India – IPO Watch - Allotment Status,200,226595,cloudflare,443,https://invest.upstox.com:443,https,nginx,text/html,GET,104.18.0.212,/,1323086428,2606:4700::6812:1d4,Nginx,57,False,True,,upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-09T23:59:59Z,CN=upstox.com,upstox.com,,*.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fa7215293b6fb43a5df522b1145ffc18,a6f957d555d4d4ce3c46174d8e99e238968d908caca98d8b6afdd73c3dd1eb1a,ctls,upstox.com,True,,https://upstox.com:443/ipo-initial-public-offering
keystone.upstox.com,Upstox Accounts,200,5412,,443,https://keystone.upstox.com:443,https,nginx,text/html,GET,15.206.23.235,/,1375913901,13.235.97.110,Nginx,1,False,,,account.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2023-07-11T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6ae3c1281f7474b1bd02164f0e751ce4,aa5d05ef6f858dc4dd4bed4671104e405098516b9284822ccf6645161103c292,ctls,account.upstox.com,True,,https://account.upstox.com:443/reports
login-v2.upstox.com,Login to Upstox,200,4584,,443,https://login-v2.upstox.com:443,https,cloudflare,text/html,GET,43.204.46.53,/,450954439,52.66.179.191,HSTS,5,False,,https://*.upstox.com,login.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",375c6a63b984cd4e10ebcc53a2ab55d1,fb2b5867a03ccdf584089b0d67b398de2f9470c4643c077cb37165f3ffe3a8db,ctls,login.upstox.com,,,https://login.upstox.com:443/
my.upstox.com,My Upstox Account,200,404,,443,https://my.upstox.com:443,https,nginx,text/html,GET,65.2.165.111,/,1733561871,3.110.17.73,Nginx,1,False,,,my.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2023-07-11T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6ae3c1281f7474b1bd02164f0e751ce4,aa5d05ef6f858dc4dd4bed4671104e405098516b9284822ccf6645161103c292,ctls,my.upstox.com,True,,
origin-service-uat.uat1.upstox.com,,404,68,cloudflare,443,https://origin-service-uat.uat1.upstox.com:443,https,cloudflare,application/json,GET,104.18.18.25,/,1223557693,2606:4700::6812:1319,Node.js,1,False,True,*.upstox.com,origin-service-uat.uat1.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-03-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b3d18fc45fa749991e4fcd3a206c8404,68411e8c42f611202e15e936b44e95f489845eadf70ad6293401604995525c36,ctls,origin-service-uat.uat1.upstox.com,,,
partner.upstox.com,Partner Dashboard,200,5464,,443,https://partner.upstox.com:443,https,nginx,text/html,GET,13.234.73.227,/,1733561871,3.111.109.210,Nginx,114,False,,,partner.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2023-07-11T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6ae3c1281f7474b1bd02164f0e751ce4,aa5d05ef6f858dc4dd4bed4671104e405098516b9284822ccf6645161103c292,ctls,partner.upstox.com,True,,
policy.upstox.com,Sign in - Google Accounts,200,566497,,443,https://policy.upstox.com:443,https,ESF,text/html,GET,15.207.129.107,/,-752868968,13.235.166.226,HTTP/3,46,False,,https://www.googletagmanager.com,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,True,,https://accounts.google.com/v3/signin/identifier?dsh=S-1241190858%3A1683818627596356&continue=https%3A%2F%2Fsites.google.com%2Frksv.in%2Fpolicy-center%2Fhome&followup=https%3A%2F%2Fsites.google.com%2Frksv.in%2Fpolicy-center%2Fhome&ifkv=Af_xneEqfdQanhmXo-FN0uE4V5019jYobfe7pio7w-zAi8sDyLZwqZaEfhDRZ9OMfMllv82NZ8GhfQ&osid=1&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin
pro-beta.upstox.com,Upstox Pro,200,5189,cloudflare,443,https://pro-beta.upstox.com:443,https,cloudflare,text/html,GET,104.18.1.212,/,1733561871,2606:4700::6812:1d4,HSTS,1,False,True,,pro.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f43762f21cec17b4a08ae92bc3df4dba,0764e9dfa0d0248e2b1109237d92537ce2ff76fa2ca2638aafcb0ff6188ec9a7,ctls,pro.upstox.com,,,https://pro.upstox.com
profile.upstox.com,,404,,,443,https://profile.upstox.com:443,https,awselb/2.0,text/plain,GET,65.2.165.111,/,-1840324437,3.110.17.73,,1,False,,,profile.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2023-07-11T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6ae3c1281f7474b1bd02164f0e751ce4,aa5d05ef6f858dc4dd4bed4671104e405098516b9284822ccf6645161103c292,ctls,profile.upstox.com,True,,
qa-pro-4.upstox.com,Upstox Pro,200,3763,cloudflare,443,https://qa-pro-4.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,1733561871,2606:4700::6812:1d4,HSTS,1,False,True,,qa-pro.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",qa-pro.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0942364690b35c064cf060265d7c9eb8,0bc1dca07f1f3d0e31219d01bc3a84d67e22457cf5cdf8f40824f1c0f7f6adbd,ctls,qa-pro.upstox.com,,,https://qa-pro.upstox.com
qa-pro.upstox.com,Upstox Pro,200,3763,cloudflare,443,https://qa-pro.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,-1526298489,2606:4700::6812:d4,HSTS,1,False,True,,qa-pro.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",qa-pro.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0942364690b35c064cf060265d7c9eb8,0bc1dca07f1f3d0e31219d01bc3a84d67e22457cf5cdf8f40824f1c0f7f6adbd,ctls,qa-pro.upstox.com,,,
qa-referrals-pro.upstox.com,Origin DNS error | qa-referrals-pro.upstox.com | Cloudflare,530,6233,cloudflare,443,https://qa-referrals-pro.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,-576191243,2606:4700::6812:1d4,Cloudflare,93,False,True,,qa-referrals-pro.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-10T00:00:00Z,2024-03-08T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",qa-referrals-pro.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",80306b49ab9f509aa2d7bcb504288dd7,766226edd3f580603dd6f7a068199798de7a67867972becb0e5f51fe9679eca5,ctls,qa-referrals-pro.upstox.com,,,
referrals-pro.upstox.com,,200,15,cloudflare,443,https://referrals-pro.upstox.com:443,https,cloudflare,application/json,GET,104.18.0.212,/,1593207841,2606:4700::6812:1d4,HSTS,1,False,True,,referrals-pro.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",referrals-pro.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a394f8550615ad3c791028f819354ee5,00dfe0a4a5df326bd667c2cdc96ec69232b26b93996814b4c708b63a8d7ead19,ctls,referrals-pro.upstox.com,,,
