input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,webserver,final_url,chain_status_codes_,csp_domains_,location
dmh-dev.aws.atg.se,,200,,dmh-dev.aws.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-06T00:00:00Z,2024-05-04T23:59:59Z,CN=dmh-dev.aws.atg.se,dmh-dev.aws.atg.se,dmh-dev.aws.atg.se,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,bcbd5599d687189a68091e986b7765b9,ff6812625e57c56c309c50b816c9eb644cfe845876b506effe1908ec1fd9e386,,ctls,dmh-dev.aws.atg.se,cloudfront,443,https://dmh-dev.aws.atg.se:443,https,text/html,GET,52.222.236.31,/,-1840324437,Apache,1,False,True,,,Apache,,,,
dmh.aws.atg.se,,200,,dmh.aws.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-05-07T23:59:59Z,CN=dmh.aws.atg.se,dmh.aws.atg.se,dmh.aws.atg.se,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,896753a2d2e4bdbc8cb933a9a568a803,9848b6f17c7b51da56ccbc055c4d41733525b205ce43fc39d71e87ebf188f3ef,,ctls,dmh.aws.atg.se,cloudfront,443,https://dmh.aws.atg.se:443,https,text/html,GET,99.86.4.117,/,-1840324437,Apache,1,False,True,,,Apache,,,,
drone.atg.se,Signin,200,6042,atg-azure-sso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,True,ctls,atg-azure-sso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://drone.atg.se:443,https,text/html,GET,18.66.112.95,/,1482304461,HSTS,163,False,True,,,Server,https://atg-azure-sso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=3d00u1t4losae592qgju1ddsag&scope=email+openid&redirect_uri=https%3A%2F%2Fsso.aws.atg.se%2Fauthorize,200,,
etablering.atg.se,ATG - Etablering,200,3992,etablering.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-24T00:00:00Z,2023-07-24T23:59:59Z,CN=etablering.atg.se,etablering.atg.se,etablering.atg.se,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",27626e942d46c3072dabba5d3622bc82,b9a532dab91a44b2fa61bf943be584181b9f0e78d788552d1c21fe4ab4d38bf5,,ctls,etablering.atg.se,azure,443,https://etablering.atg.se:443,https,text/html,GET,13.69.228.7,/,-1840324437,Windows Server,71,False,True,,,Microsoft-IIS/10.0,https://etablering.atg.se/LogIn?ReturnUrl=%2F,200,,
flit.atg.se,BIG-IP logout page,200,5303,flit.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-14T00:00:00Z,2023-12-08T23:59:59Z,"CN=flit.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",flit.atg.se,flit.atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f3504d07bb47d5847b2f6db57bc4c298,524d3748b5190106c407e4a4c7fb9781224dc8eff5e11ddbf75464db05aaed45,,ctls,flit.atg.se,,443,https://flit.atg.se:443,https,text/html,GET,185.134.13.11,/,878647854,HSTS,131,False,,,AB Trav och Galopp,BigIP,https://flit.atg.se/my.logout.php3?errorcode=19,200,,
fraga.atg.se,"Smarta verktyg för bättre kundservice
 | Kundo",200,10948,fraga.atg.se,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-21T07:28:44Z,2023-06-19T07:28:43Z,CN=fraga.atg.se,fraga.atg.se,fraga.atg.se,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d0047bcd1523abf059b74be5db9bd08e,9cf43704ec41cf50d3cd42b793f8507243a989fbc1fd4fd88b5e013a4524729d,,ctls,fraga.atg.se,,443,https://fraga.atg.se:443,https,text/html,GET,52.17.37.32,/,425998439,HSTS,144,False,,,,,,,,
iam.atg.se,404 - Sidan finns inte,404,3297,iam.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-03T00:00:00Z,2023-06-03T23:59:59Z,"CN=*.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",*.atg.se,atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f5c6ac81e5567d97fd4096e2bb4bbce,5dfdbdea19ed50e2e662dd78378df8c6789383a1a925893bea37cf0177f77baa,True,ctls,iam.atg.se,,443,https://iam.atg.se:443,https,text/html,GET,195.198.34.112,/,2122113648,,103,False,,,AB Trav och Galopp,,,,,
images.atg.se,,403,42,images.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=images.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",images.atg.se,www.images.atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,224c1fb916697503f8799463b6526a9c,1599893ddfe6751f97e37c8c6af9cd234eeae144418a2715471f64c6f667db6a,,ctls,images.atg.se,cloudfront,443,https://images.atg.se:443,https,application/json,GET,65.9.66.115,/,189084421,Amazon Web Services,1,False,True,,AB Trav och Galopp,,,,,
iphone.atg.se,ATG,200,16251,www.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=www.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=5561804161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",www.atg.se,atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a2e7108b25190c0aa3eb9f6414ad2a6d,d20af34aed0e3922d6cb51cb7ce0ef33fbb517fd17e73c5e4368db5d772e7e09,,ctls,www.atg.se,,443,https://iphone.atg.se:443,https,text/html,GET,195.198.34.108,/,1077389992,Varnish,97,False,,,AB Trav och Galopp,,https://www.atg.se/?originsite=iphone,200,,
kundo.atg.se,You are not authorized to view this page,403,6469,auth.kundo.se,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T17:06:44Z,2023-06-11T17:06:43Z,CN=auth.kundo.se,auth.kundo.se,auth.kundo.se,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba2316c8cc2a6a0ecf5f05e62ed3683a,7ea8689ad5c83637d73a44c9f8058b0dbd5bf215c5fa1156812aafbb75ff37c9,,ctls,auth.kundo.se,,443,https://kundo.atg.se:443,https,text/html,GET,54.78.236.89,/,995166221,HSTS,78,False,,,,,https://auth.kundo.se/auth/kundo:organization:1240/kundo:knowledgebase:105?token=&callback=https%3A%2F%2Fkundo.atg.se%2Fauth%2Fcallback&provided=%7B%22next_url%22%3A%22%2F%3F%22%7D,403,,
kundservice.atg.se,ATG,200,16253,www.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=www.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=5561804161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",www.atg.se,atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a2e7108b25190c0aa3eb9f6414ad2a6d,d20af34aed0e3922d6cb51cb7ce0ef33fbb517fd17e73c5e4368db5d772e7e09,,ctls,www.atg.se,cloudfront,443,https://kundservice.atg.se:443,https,text/html,GET,13.224.189.88,/,462135910,Varnish,97,False,True,,AB Trav och Galopp,,https://www.atg.se/kundservice/,200,,
kundservice.dev.atg.se,ATG,200,16254,www.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=www.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=5561804161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",www.atg.se,atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a2e7108b25190c0aa3eb9f6414ad2a6d,d20af34aed0e3922d6cb51cb7ce0ef33fbb517fd17e73c5e4368db5d772e7e09,,ctls,www.atg.se,cloudfront,443,https://kundservice.dev.atg.se:443,https,text/html,GET,13.225.78.109,/,462135910,Varnish:5.2,97,False,True,,AB Trav och Galopp,,https://www.atg.se/kundservice/,200,,
live.atg.se,,200,84,,,,,,,,,,,,,,,,,,,,80,http://live.atg.se:80,http,text/html,GET,195.198.34.80,/,-2144967296,Ubuntu,5,False,,,,nginx/1.18.0 (Ubuntu),,,URL=https://atg.se/live/,
login.atg.se,,404,89,login.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-03T00:00:00Z,2023-06-03T23:59:59Z,"CN=*.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",*.atg.se,atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f5c6ac81e5567d97fd4096e2bb4bbce,5dfdbdea19ed50e2e662dd78378df8c6789383a1a925893bea37cf0177f77baa,True,ctls,login.atg.se,,443,https://login.atg.se:443,https,application/json,GET,195.198.34.21,/,-1734358274,,1,False,,,AB Trav och Galopp,,,,,
lpoamw.atg.se,ATG-Portalen,200,3639,butik.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-03T00:00:00Z,2023-06-03T23:59:59Z,"CN=*.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",*.atg.se,atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f5c6ac81e5567d97fd4096e2bb4bbce,5dfdbdea19ed50e2e662dd78378df8c6789383a1a925893bea37cf0177f77baa,True,ctls,butik.atg.se,,443,https://lpoamw.atg.se:443,https,text/html,GET,195.198.34.37,/,375133320,Google Tag Manager,94,False,,,AB Trav och Galopp,,https://butik.atg.se/public/LandingPage?authn_try_count=0&contextType=external&username=string&contextValue=%2Foam&password=sercure_string&challenge_url=https%3A%2F%2Fombud.atg.se%2Fpublic%2FLandingPage&request_id=4326369530701021497&locale=en_US&resource_url=https%253A%252F%252Flpoamw.atg.se%252F,200,,
lpoamw.dev.atg.se,Signin,200,6046,atgsso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,True,ctls,atgsso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://lpoamw.dev.atg.se:443,https,text/html,GET,143.204.215.79,/,997378842,HSTS,163,False,True,,,Server,https://atgsso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=29s14b0l1o9atnuc733u2lg9r6&scope=email+openid&redirect_uri=https%3A%2F%2Fauth.dev.atg.se%2Fauthorize,200,,
mobil.atg.se,ATG,200,16249,www.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=www.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=5561804161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",www.atg.se,atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a2e7108b25190c0aa3eb9f6414ad2a6d,d20af34aed0e3922d6cb51cb7ce0ef33fbb517fd17e73c5e4368db5d772e7e09,,ctls,www.atg.se,,443,https://mobil.atg.se:443,https,text/html,GET,195.198.34.108,/,1077389992,Varnish,97,False,,,AB Trav och Galopp,,https://www.atg.se/?originsite=mobil,200,,
mobilapp.atg.se,,403,243,mobilapp.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-08T23:59:59Z,"CN=mobilapp.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",mobilapp.atg.se,www.mobilapp.atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6b39eee540ea04e41819dedd06e8cebd,06bd7afb7ce3324d743e1bf2eef642ba0ceb3aa18e7c6184459d2b8307e72961,,ctls,mobilapp.atg.se,cloudfront,443,https://mobilapp.atg.se:443,https,application/xml,GET,18.66.147.95,/,1662763323,Amazon Web Services,2,False,True,,AB Trav och Galopp,AmazonS3,,,,
ombud.atg.se,ATG-Portalen,200,3631,butik.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-03T00:00:00Z,2023-06-03T23:59:59Z,"CN=*.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",*.atg.se,atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f5c6ac81e5567d97fd4096e2bb4bbce,5dfdbdea19ed50e2e662dd78378df8c6789383a1a925893bea37cf0177f77baa,True,ctls,butik.atg.se,,443,https://ombud.atg.se:443,https,text/html,GET,195.198.34.37,/,873224637,Google Tag Manager,94,False,,,AB Trav och Galopp,,https://butik.atg.se/,200,,
phosworks.atg.se,Sign On,200,5935,lpoamw.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-03T00:00:00Z,2023-06-03T23:59:59Z,"CN=*.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",*.atg.se,atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f5c6ac81e5567d97fd4096e2bb4bbce,5dfdbdea19ed50e2e662dd78378df8c6789383a1a925893bea37cf0177f77baa,True,ctls,lpoamw.atg.se,,443,https://phosworks.atg.se:443,https,text/html,GET,195.198.34.37,/,1631801191,Oracle Dynamic Monitoring Service,238,False,,,AB Trav och Galopp,,https://lpoamw.atg.se:443/oaam_server/oamLoginPage.jsp?tap_token=v2.0%7EOAAMTAPPartner%7ENEVCQTQ0RDZERkZFOEQxNzA3QURFQX5CMTBBNEQ4M0I2QzIxQTk2QzVFODg4MDNDNjFCRjg4Q0Q0NzZGNTdEfjYyNUExMjc1RjMxMEI0OTREOUVCODZGQzE4OEI0NzgxfkREMkZFMUI0NzM3NkExNTc2OTg5RUUxOEQyQkUyN0MzMDgyRjUxNzhFRTIwOTkwQ0I5OTk0N0Y2QTYxQkQzRjAxMDA0QjhGQjQ4NTU1REI0OUZEMDNDMDZFQUE4Qzg2ODUyOEQyRDAwMDZEODM4NzMzNUU4QzRBQUI2MTlGMjk3NDBFOTNGOTkxNTcwNkQ4QUNFQjQ5QUVFQzYzQUI5RDE5ODFBQjg4QTQwNkNBQkQ1NzNGMTNBOERFMkY0RDMwNjZEOEM2MjFBOTYzQUNFMzE5RDE3RUFGNkM4RjczMzdFMjBGNEUzMTA0NUEwMENCRTRGRTdFMTRBREU4MkI3Qjk%3D&TapSubmitURL=https%3A%2F%2Flpoamw.atg.se%3A443%2Foam%2Fserver%2Fdap%2Fcred_submit&authn_try_count=0&contextType=external&TAPPartnerId=OAAMTAPPartner&SERVER_HOST_ALIAS=OAMSERVER&MatchLDAPAttribute=uid&daptoken=string&challenge_url=%2Foaam_server%2FoamLoginPage.jsp&TAPOverrideResource=http%3A%2F%2FIAMSuiteAgent%3A80%2FoamTAPAuthenticate&request_id=-1147500655881075406&locale=en_US&resource_url=https%253A%252F%252Fphosworks.atg.se%252Fumbraco,200,,
