new,host,a,soa,txt,status_code,cname,aaaa,ns,cdn,cdn-name,mx,has_internal_ips,internal_ips,caa
[x],account-qa.mongodb.com,52.202.145.128,"ns-153.awsdns-19.com, awsdns-hostmaster.amazon.com",,NOERROR,us-east-1.lb-b-qa.r53.aws.cloud-qa.mongodb.com,,,,,,,,
[x],account-stage.mongodb.com,3.212.215.35,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,us-east-1.lb-b-staging.r53.aws.cloud.mongodb.com,,,,,,,,
[x],account.mongodb.com,54.145.94.221,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,us-east-1.lb-b.r53.aws.cloud.mongodb.com,,,,,,,,
[x],accountchefsql-us.charts.mongodb.com,"52.21.89.200, 52.206.222.245, 54.175.147.155","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],acme-test-1.test.corp.mongodb.com,"50.16.165.49, 52.3.154.63, 52.87.103.23","ns-1273.awsdns-31.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=cluster:test,external-dns/resource=service/routing/router-public-elb-traefik",NOERROR,,,,,,,,,
[x],acme.test.corp.mongodb.com,"52.3.154.63, 52.87.103.23, 50.16.165.49","ns-1273.awsdns-31.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=cluster:test,external-dns/resource=service/routing/router-public-elb-traefik",NOERROR,,,"ns-1273.awsdns-31.org, ns-1779.awsdns-30.co.uk, ns-64.awsdns-08.com, ns-997.awsdns-60.net",,,,,,
[x],admin-preferences-system-postgresgit.charts.mongodb.com,"54.175.147.155, 52.206.222.245, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],adminalpha-alphaalt-acc-backupsauth-antiviruspre.charts.mongodb.com,"54.175.147.155, 52.206.222.245, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],adminpreferences-wwwmiembros.charts.mongodb.com,"54.175.147.155, 52.206.222.245, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],ae-no.charts.mongodb.com,"54.175.147.155, 52.206.222.245, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],agenzia.charts.mongodb.com,"52.21.89.200, 52.206.222.245, 54.175.147.155","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],alation-staging.corp.mongodb.com,"34.202.141.152, 52.70.193.18, 50.17.66.46, 34.235.238.167, 54.163.26.73, 34.228.251.38","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,alb-alation-staging-1316207222.us-east-1.elb.amazonaws.com,,,,,,,,
[x],alation.corp.mongodb.com,"35.175.98.243, 52.21.173.143, 54.162.167.11, 52.204.83.140, 52.20.129.244, 54.204.15.102","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,alb-alation-prod-1622996178.us-east-1.elb.amazonaws.com,,,,,,,,
[x],allhands.corp.mongodb.com,"18.66.97.46, 18.66.97.73, 18.66.97.102, 18.66.97.9","ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,ahp-prod-app-fuver.mongodbstitch.com,,,True,cloudfront,,,,
[x],alpha-bucket-error-serviceoceania-mx.charts.mongodb.com,"52.21.89.200, 52.206.222.245, 54.175.147.155","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],alpha-privatenpiwdruid-coord.cloudmanager.mongodb.com,,"ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],alpha-prodapps-b2bsystem.charts.mongodb.com,"52.206.222.245, 54.175.147.155, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],alphaconfig-doc-acc.charts.mongodb.com,"54.175.147.155, 52.21.89.200, 52.206.222.245","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],alphadevpp-config-redirect.university.mongodb.com,"54.175.147.155, 52.21.89.200, 52.206.222.245","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],alphalabs.charts.mongodb.com,"52.206.222.245, 54.175.147.155, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],alphameet-git.charts.mongodb.com,"52.21.89.200, 54.175.147.155, 52.206.222.245","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com, ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],alphas3.charts.mongodb.com,"54.175.147.155, 52.21.89.200, 52.206.222.245","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com, ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],alphastaging.charts.mongodb.com,"54.175.147.155, 52.206.222.245, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,"ns-1047.awsdns-02.org, ns-1636.awsdns-12.co.uk, ns-276.awsdns-34.com, ns-868.awsdns-44.net",,,,,,
[x],alphawebappclients.charts.mongodb.com,"52.21.89.200, 54.175.147.155, 52.206.222.245","ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com, ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],alt-de.charts.mongodb.com,"54.175.147.155, 52.21.89.200, 52.206.222.245","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],amn.opsmanager.mongodb.com,"52.21.89.200, 54.175.147.155, 52.206.222.245",,,NOERROR,glb.mongodb.com,,,,,,,,
[x],amundsen-acme.devops.test.corp.mongodb.com,"54.82.34.225, 50.17.244.6, 54.91.116.18","ns-1273.awsdns-31.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=cluster:test,external-dns/resource=service/routing/router-user-traefik",NOERROR,,,,,,,,,
[x],analytics.prod.corp.mongodb.com,"54.88.124.138, 3.231.128.237, 23.23.148.58, 3.226.71.163, 54.196.127.54","ns-460.awsdns-57.com, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=cluster:prod,external-dns/resource=service/routing/router-public-elb-traefik",NOERROR,,,,,,,,,
[x],analytics.staging.corp.mongodb.com,"52.22.111.228, 52.45.195.111, 35.174.255.218","ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=cluster:staging,external-dns/resource=service/routing/router-public-elb-traefik",NOERROR,,,,,,,,,
[x],analytics.test.corp.mongodb.com,"52.3.154.63, 52.87.103.23, 50.16.165.49","ns-1273.awsdns-31.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=cluster:test,external-dns/resource=service/routing/router-public-elb-traefik",NOERROR,,,,,,,,,
[x],ap-south-1.lb-b.r53.aws.cloud.mongodb.com,65.0.217.240,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],ap-southeast-2.lb-b.r53.aws.cloud.mongodb.com,13.54.209.90,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],ap-southeast-2.lb-e.r53.aws.cloud.mongodb.com,52.62.201.169,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,,,"ns-1067.awsdns-05.org, ns-1812.awsdns-34.co.uk, ns-695.awsdns-22.net, ns-95.awsdns-11.com",,,,,,
[x],api-agents-dev.mongodb.com,3.231.133.249,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",,NOERROR,us-east-1.lb-b-dev.r53.aws.cloud-dev.mongodb.com,,"ns-1161.awsdns-17.org, ns-136.awsdns-17.com, ns-1906.awsdns-46.co.uk, ns-654.awsdns-17.net",,,,,,
[x],api-agents.mongodb.com,34.194.131.15,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,us-east-1.lb-f.r53.aws.cloud.mongodb.com,,,,,,,,
[x],api-backup-qa.mongodb.com,18.205.207.145,"ns-153.awsdns-19.com, awsdns-hostmaster.amazon.com",,NOERROR,us-east-1.lb-e-qa.r53.aws.cloud-qa.mongodb.com,,,,,,,,
[x],api-backup-stage.mongodb.com,54.237.1.125,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,us-east-1.lb-e-staging.r53.aws.cloud.mongodb.com,,,,,,,,
[x],api-backup.ap-southeast-2.mongodb.com,52.62.201.169,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,ap-southeast-2.lb-e.r53.aws.cloud.mongodb.com,,,,,,,,
[x],api-backup.eu-central-1.mongodb.com,54.93.136.153,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,eu-central-1.lb-e.r53.aws.cloud.mongodb.com,,,,,,,,
[x],api-backup.eu-west-1.mongodb.com,54.74.18.76,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,eu-west-1.lb-e.r53.aws.cloud.mongodb.com,,,,,,,,
[x],api-backup.eu-west-2.mongodb.com,18.133.128.29,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,eu-west-2.lb-e.r53.aws.cloud.mongodb.com,,,,,,,,
[x],api-backup.mongodb.com,44.211.4.85,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,us-east-1.lb-e.r53.aws.cloud.mongodb.com,,,,,,,,
[x],api-backup.us-east-1.mongodb.com,18.235.209.93,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,us-east-1.lb-e.r53.aws.cloud.mongodb.com,,,,,,,,
[x],api-backup.us-west-1.mongodb.com,"52.206.222.245, 54.175.147.155, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],api-backup.us-west-2.mongodb.com,44.224.106.250,"ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",,NOERROR,us-west-2.lb-e.r53.aws.cloud.mongodb.com,,,,,,,,
[x],api-br01.charts.mongodb.com,"52.21.89.200, 54.175.147.155, 52.206.222.245","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],api-euw1c.charts.mongodb.com,"52.206.222.245, 52.21.89.200, 54.175.147.155","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],api-perf.charts.mongodb.com,"52.206.222.245, 54.175.147.155, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],api.blue.mongodb.com,"44.227.136.144, 44.232.236.169, 54.186.34.49","ns-1068.awsdns-05.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],api.mongodb.com,"18.164.68.36, 18.164.68.42, 18.164.68.61, 18.164.68.121","ns-238.awsdns-29.com, awsdns-hostmaster.amazon.com",,NOERROR,d3u613nmtwaovr.cloudfront.net,"2600:9000:223d:7c00:d:fa9c:1dc0:93a1, 2600:9000:223d:b200:d:fa9c:1dc0:93a1, 2600:9000:223d:6000:d:fa9c:1dc0:93a1, 2600:9000:223d:d400:d:fa9c:1dc0:93a1, 2600:9000:223d:9a00:d:fa9c:1dc0:93a1, 2600:9000:223d:3e00:d:fa9c:1dc0:93a1, 2600:9000:223d:8200:d:fa9c:1dc0:93a1, 2600:9000:223d:4800:d:fa9c:1dc0:93a1","ns-1374.awsdns-43.org, ns-1799.awsdns-32.co.uk, ns-238.awsdns-29.com, ns-740.awsdns-28.net",True,cloudfront,,,,
[x],api.staging.corp.mongodb.com,"3.224.104.51, 34.235.97.121, 44.193.116.106","ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],api.support.mongodb.com,151.101.178.133,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,mongodb.map.fastly.net,,,True,fastly,,,,
[x],api.support.staging.corp.mongodb.com,"52.45.195.111, 35.174.255.218, 52.22.111.228","ns-397.awsdns-49.com, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=cluster:staging,external-dns/resource=service/routing/router-public-elb-traefik",NOERROR,,,,,,,,,
[x],api16.charts.mongodb.com,"52.206.222.245, 54.175.147.155, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],apiv3-ing.charts.mongodb.com,"54.175.147.155, 52.206.222.245, 52.21.89.200","ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],app-fra04-origin.charts.mongodb.com,"52.21.89.200, 52.206.222.245, 54.175.147.155","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],app-seer.charts.mongodb.com,"54.175.147.155, 52.21.89.200, 52.206.222.245","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],app.go.mongodb.com,147.154.45.223,"ns1.p201.dns.oraclecloud.net, hostmaster.t.en25.com",,NOERROR,"s413370795.t.en25.com, p03c.t.en25.com",,,True,oracle,,,,
[x],appleguest.charts.mongodb.com,"52.206.222.245, 52.21.89.200, 54.175.147.155","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],apploginaccept-domain.charts.mongodb.com,"54.175.147.155, 52.206.222.245, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],applyenv.charts.mongodb.com,"52.206.222.245, 54.175.147.155, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],appservice-reporting.charts.mongodb.com,"54.175.147.155, 52.206.222.245, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,"ns-1047.awsdns-02.org, ns-1636.awsdns-12.co.uk, ns-276.awsdns-34.com, ns-868.awsdns-44.net",,,,,,
[x],appssg.charts.mongodb.com,"54.175.147.155, 52.206.222.245, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],araxa.charts.mongodb.com,"52.206.222.245, 54.175.147.155, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],archivedemo-dal12.charts.mongodb.com,"52.206.222.245, 52.21.89.200, 54.175.147.155","ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com, ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],ash2-cartographer-a3.charts.mongodb.com,"52.21.89.200, 54.175.147.155, 52.206.222.245",,,NOERROR,glb.mongodb.com,,,,,,,,
[x],asia-south1.lb-b.r53.gcp.cloud.mongodb.com,35.207.245.69,"ns-409.awsdns-51.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,google,,,,
[x],assetsadmin.charts.mongodb.com,"52.206.222.245, 52.21.89.200, 54.175.147.155","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],assetsarmydocwhistleblower.charts.mongodb.com,"52.21.89.200, 52.206.222.245, 54.175.147.155","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],assetsencontainer-corporate.charts.mongodb.com,"54.175.147.155, 52.21.89.200, 52.206.222.245","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],athena.corp.mongodb.com,"108.156.60.124, 108.156.60.107, 108.156.60.96, 108.156.60.71","ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,athena-tgigy.mongodbstitch.com,,,True,cloudfront,,,,
[x],atl-prd-ngw-10-idsmgmt1.charts.mongodb.com,"52.206.222.245, 52.21.89.200, 54.175.147.155","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],atl-prd-spap-23.charts.mongodb.com,"52.21.89.200, 54.175.147.155, 52.206.222.245","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],atl-stg-ula-03a.charts.mongodb.com,"54.175.147.155, 52.206.222.245, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,"ns-1047.awsdns-02.org, ns-1636.awsdns-12.co.uk, ns-276.awsdns-34.com, ns-868.awsdns-44.net",,,,,,
[x],atlas-data-lake.prod.corp.mongodb.com,"3.231.128.237, 3.226.71.163, 23.23.148.58, 54.88.124.138, 54.196.127.54","ns-460.awsdns-57.com, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=cluster:prod,external-dns/resource=service/routing/router-public-elb-traefik",NOERROR,,,,,,,,,
[x],atlas.mongodb.com,"54.88.124.138, 54.196.127.54, 3.226.71.163, 3.231.128.237, 23.23.148.58","ns-460.awsdns-57.com, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=cluster:prod,external-dns/resource=service/routing/router-public-elb-traefik",NOERROR,lb-p.prod.corp.mongodb.com,,,,,,,,
[x],atrust.charts.mongodb.com,"54.175.147.155, 52.21.89.200, 52.206.222.245","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],atw.charts.mongodb.com,"52.206.222.245, 52.21.89.200, 54.175.147.155","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],ausagileprdb02.charts.mongodb.com,"52.206.222.245, 52.21.89.200, 54.175.147.155","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],auth-press.charts.mongodb.com,"52.21.89.200, 52.206.222.245, 54.175.147.155",,,NOERROR,glb.mongodb.com,,,,,,,,
[x],auth-qa.mongodb.com,"15.197.151.86, 3.33.152.248","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",,NOERROR,"mongodb-dev.customdomains.okta.com, ok7-custom-crtrs.okta.com, ok7-custom-crtrs.oktaedge.okta.com, a9d4dea8e2661b2ed.awsglobalaccelerator.com",,,,,,,,
[x],auth.mongodb.com,"34.223.206.18, 34.223.206.17, 34.223.206.19","ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"mongodb.customdomains.okta.com, ok5-custom-crtrs.okta.com, ok5-crtr-custom-domains-f25d1212894ced23.elb.us-west-2.amazonaws.com",,,,,,,,
[x],authalphaeuauth-antiviruspre.charts.mongodb.com,"54.175.147.155, 52.21.89.200, 52.206.222.245","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],authrepopaymentsstorage.charts.mongodb.com,"54.175.147.155, 52.206.222.245, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],authsslvpnhelpdesk.charts.mongodb.com,,"ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],authstage.charts.mongodb.com,"54.175.147.155, 52.206.222.245, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],avocadoforfooda.corp.mongodb.com,"23.23.148.58, 54.88.124.138, 3.226.71.163, 54.196.127.54, 3.231.128.237","ns-460.awsdns-57.com, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=cluster:prod,external-dns/resource=service/routing/router-public-elb-traefik",NOERROR,lb-p.prod.corp.mongodb.com,,,,,,,,
[x],aws.stitch.mongodb.com,"52.21.89.200, 54.175.147.155, 52.206.222.245","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],axe-2-2-2.charts.mongodb.com,"54.175.147.155, 52.206.222.245, 52.21.89.200","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],backup-pacific.charts.mongodb.com,,"ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
[x],barque.devops.test.corp.mongodb.com,"54.91.116.18, 54.82.34.225, 50.17.244.6","ns-1273.awsdns-31.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=cluster:test,external-dns/resource=service/routing/router-user-traefik",NOERROR,,,,,,,,,
[x],bbuzzard.charts.mongodb.com,"52.21.89.200, 52.206.222.245, 54.175.147.155","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",,NOERROR,glb.mongodb.com,,,,,,,,
