input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tls_mismatched,tls_wildcard_certificate,cdn_name,tech_,cdn,tls_expired,final_url,location
akastg-cache-int.api.intel.com,Invalid URL,400,207,akastg-cache-int.api.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-08T00:00:00Z,2023-11-08T23:59:59Z,"CN=www.intel.com, O=Intel Corporation, ST=California, C=US",www.intel.com,Intel Corporation,www.snap-telemetry.io,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c4f987f325149a49a7790b3bb3001b2e,cdb5da716e51b2368f87a3e2a9cd67d8ce2d65fac42eae4218947935577bdb47,ctls,akastg-cache-int.api.intel.com,443,https://akastg-cache-int.api.intel.com:443,https,AkamaiGHost,text/html,GET,23.60.250.224,/,-1266049767,2a02:26f0:e0:783::4b21,8,False,,,,,,,,,
akastg-cache-int2.api.intel.com,Invalid URL,400,207,akastg-cache-int2.api.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-08T00:00:00Z,2023-11-08T23:59:59Z,"CN=www.intel.com, O=Intel Corporation, ST=California, C=US",www.intel.com,Intel Corporation,www.snap-telemetry.io,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c4f987f325149a49a7790b3bb3001b2e,cdb5da716e51b2368f87a3e2a9cd67d8ce2d65fac42eae4218947935577bdb47,ctls,akastg-cache-int2.api.intel.com,443,https://akastg-cache-int2.api.intel.com:443,https,AkamaiGHost,text/html,GET,23.60.250.224,/,450927837,2a02:26f0:e0:781::4b21,8,False,,,,,,,,,
akastg-cache-preprod.api.intel.com,Invalid URL,400,207,akastg-cache-preprod.api.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-08T00:00:00Z,2023-11-08T23:59:59Z,"CN=www.intel.com, O=Intel Corporation, ST=California, C=US",www.intel.com,Intel Corporation,www.snap-telemetry.io,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c4f987f325149a49a7790b3bb3001b2e,cdb5da716e51b2368f87a3e2a9cd67d8ce2d65fac42eae4218947935577bdb47,ctls,akastg-cache-preprod.api.intel.com,443,https://akastg-cache-preprod.api.intel.com:443,https,AkamaiGHost,text/html,GET,23.60.250.224,/,-1655768400,2a02:26f0:e0:783::4b21,8,False,,,,,,,,,
anl.devcloud.intel.com,Colfax Connect - Service Not Available,503,1079,anl.devcloud.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-08T00:00:00Z,2024-02-08T23:59:59Z,"CN=*.devcloud.intel.com, O=Intel Corporation, ST=California, C=US",*.devcloud.intel.com,Intel Corporation,*.testing.devcloud.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,fa4eb8f961ea782ad83acd5d13d07b6e,6386dc000361a2ada6799e2402794fdec668cd671a41f5f663fe5746d68ca07b,ctls,anl.devcloud.intel.com,443,https://anl.devcloud.intel.com:443,https,,text/html,GET,12.229.61.118,/,1379940956,12.229.61.118,42,False,,,True,,HSTS,,,,
api-int.perfprofiler-earlyaccess.intel.com,,403,42,api-int.perfprofiler-earlyaccess.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T00:00:00Z,2024-05-03T23:59:59Z,"CN=api-int.perfprofiler-earlyaccess.intel.com, O=Intel Corporation, ST=California, C=US",api-int.perfprofiler-earlyaccess.intel.com,Intel Corporation,api-int.profiler.infra-host.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,7fc337daa01049758b5bb2aecbc5510b,420fb572a55cb798219989084bc415152b066f655e189c953fdf7666f3a1d084,ctls,api-int.perfprofiler-earlyaccess.intel.com,443,https://api-int.perfprofiler-earlyaccess.intel.com:443,https,,application/json,GET,143.204.89.32,/,768769774,143.204.89.110,1,False,,,,cloudfront,HSTS,True,,,
api-portal.intel.com,,200,2138,api-portal.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-18T00:00:00Z,2023-08-18T23:59:59Z,"CN=api-portal.intel.com, O=Intel Corporation, ST=California, C=US",api-portal.intel.com,Intel Corporation,api-portal.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,b2f2b0ff4f6a7141936ac61a1c05ddb8,2c4dbba8b657b178a1402806ca2270aac6d06b6c5a3b3dfbe1e98724935a1365,ctls,api-portal.intel.com,443,https://api-portal.intel.com:443,https,server,text/html,GET,35.227.173.176,/,-1772123003,35.227.173.176,51,False,,,,google,HTTP/3,True,,,
api-portal.intelondemand-prx.intel.com,Intel® On Demand API Portal,403,3831,api-portal.intelondemand-prx.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-04-25T23:59:59Z,"CN=intelondemand-prx.intel.com, O=Intel Corporation, ST=California, C=US",intelondemand-prx.intel.com,Intel Corporation,signin.sdsi-prx.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c7738d2e78f2d6b0895d2ca842348f73,9dcc314c3d9088b9d7f4a9b0535d647e19ab589588f5ecaa8d70aa64507b3a46,ctls,api-portal.intelondemand-prx.intel.com,443,https://api-portal.intelondemand-prx.intel.com:443,https,AmazonS3,text/html,GET,13.32.99.103,/,2089341228,13.32.99.10,1,False,fonts.googleapis.com,True,True,cloudfront,HSTS,True,,,
api-portal.intelondemand-test.intel.com,Intel® On Demand API Portal,200,3831,api-portal.intelondemand-test.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-04-25T23:59:59Z,"CN=intelondemand-test.intel.com, O=Intel Corporation, ST=California, C=US",intelondemand-test.intel.com,Intel Corporation,signin.sdsi-test.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,4c42189d1c569999066313764d2f8b7e,b1c45d13ac9982e5ca08b9738ab740498b24171055e404ba637e8e52d45007ae,ctls,api-portal.intelondemand-test.intel.com,443,https://api-portal.intelondemand-test.intel.com:443,https,AmazonS3,text/html,GET,65.9.66.47,/,2089341228,65.9.66.121,1,False,tags.tiqcdn.com,True,True,cloudfront,HSTS,True,,,
api-portal.intelondemand.intel.com,Intel® On Demand API Portal,200,3831,api-portal.intelondemand.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-04-25T23:59:59Z,"CN=intelondemand.intel.com, O=Intel Corporation, ST=California, C=US",intelondemand.intel.com,Intel Corporation,signin.sdsi.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,f9cda6648a471eed18c5c247fe6e3a11,e0337b77ea4deb52c84eb33297ed5c30143c2e57308c82fea023dda0e77e717e,ctls,api-portal.intelondemand.intel.com,443,https://api-portal.intelondemand.intel.com:443,https,AmazonS3,text/html,GET,13.32.27.33,/,2089341228,13.32.27.40,1,False,fonts.googleapis.com,True,True,cloudfront,HSTS,True,,,
api-portal.sdsi.intel.com,Intel® On Demand API Portal,200,3831,api-portal.intelondemand.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-04-25T23:59:59Z,"CN=intelondemand.intel.com, O=Intel Corporation, ST=California, C=US",intelondemand.intel.com,Intel Corporation,signin.sdsi.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,f9cda6648a471eed18c5c247fe6e3a11,e0337b77ea4deb52c84eb33297ed5c30143c2e57308c82fea023dda0e77e717e,ctls,api-portal.intelondemand.intel.com,443,https://api-portal.sdsi.intel.com:443,https,AmazonS3,text/html,GET,44.195.236.214,/,2089341228,44.207.226.92,1,False,fonts.googleapis.com,True,True,,HSTS,,,https://api-portal.intelondemand.intel.com:443/,
api-software.intel.com,,403,23,api-software.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2019-09-15T00:00:00Z,2021-09-14T23:59:59Z,"CN=api-software.intel.com, OU=Multi-Domain SSL, OU=Hosted by Intel Corporation, O=Intel Corporation, street=2200 Mission College Blvd, street=FM1-110, L=Santa Clara, ST=California, postalCode=95054-1537, C=US",api-software.intel.com,Intel Corporation,api-software.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c50e805534fe57b364d418c8a11f6009,749f9ed9ffd71935c5a33a98f7fa24d2f071b3f95bff338681b8fbcfe22ae1ac,ctls,api-software.intel.com,443,https://api-software.intel.com:443,https,,application/json,GET,13.225.78.45,/,968070783,13.225.78.77,1,False,,,,cloudfront,Amazon Web Services,True,True,,
api.devcloud.intel.com,502 Bad Gateway,502,154,api.devcloud.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-08T00:00:00Z,2024-02-08T23:59:59Z,"CN=*.devcloud.intel.com, O=Intel Corporation, ST=California, C=US",*.devcloud.intel.com,Intel Corporation,*.testing.devcloud.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,fa4eb8f961ea782ad83acd5d13d07b6e,6386dc000361a2ada6799e2402794fdec668cd671a41f5f663fe5746d68ca07b,ctls,api.devcloud.intel.com,443,https://api.devcloud.intel.com:443,https,,text/html,GET,12.229.61.118,/,747182405,12.229.61.118,8,False,,,True,,HSTS,,,,
api.intel.com,,403,42,api.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.intel.com, O=Intel Corporation, ST=California, C=US",*.intel.com,Intel Corporation,intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ddb67c4520945d44bdc3bd2359d2a84,1b819da36bf764e421ed7a3449b1f1cee6fa2d5247be9b9d3ce5c97e8d1dc928,ctls,api.intel.com,443,https://api.intel.com:443,https,,application/json,GET,23.201.251.4,/,768769774,2a02:26f0:480:586::1ea2,1,False,,,True,,Amazon Web Services,,,,
api.intelondemand-prx.intel.com,,403,142,api.intelondemand-prx.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-04-25T23:59:59Z,"CN=intelondemand-prx.intel.com, O=Intel Corporation, ST=California, C=US",intelondemand-prx.intel.com,Intel Corporation,signin.sdsi-prx.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c7738d2e78f2d6b0895d2ca842348f73,9dcc314c3d9088b9d7f4a9b0535d647e19ab589588f5ecaa8d70aa64507b3a46,ctls,api.intelondemand-prx.intel.com,443,https://api.intelondemand-prx.intel.com:443,https,,application/json,GET,35.172.83.194,/,1685235470,54.197.126.244,1,False,,True,True,,HSTS,,,,
api.intelondemand-test.intel.com,,403,142,api.intelondemand-test.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-04-25T23:59:59Z,"CN=intelondemand-test.intel.com, O=Intel Corporation, ST=California, C=US",intelondemand-test.intel.com,Intel Corporation,signin.sdsi-test.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,4c42189d1c569999066313764d2f8b7e,b1c45d13ac9982e5ca08b9738ab740498b24171055e404ba637e8e52d45007ae,ctls,api.intelondemand-test.intel.com,443,https://api.intelondemand-test.intel.com:443,https,,application/json,GET,52.206.238.144,/,1745377106,3.232.125.189,1,False,,True,True,,HSTS,,,,
api.intelondemand.intel.com,,403,142,api.intelondemand.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-04-25T23:59:59Z,"CN=intelondemand.intel.com, O=Intel Corporation, ST=California, C=US",intelondemand.intel.com,Intel Corporation,signin.sdsi.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,f9cda6648a471eed18c5c247fe6e3a11,e0337b77ea4deb52c84eb33297ed5c30143c2e57308c82fea023dda0e77e717e,ctls,api.intelondemand.intel.com,443,https://api.intelondemand.intel.com:443,https,,application/json,GET,34.197.164.213,/,-1600046855,34.230.247.211,1,False,,True,True,,HSTS,,,,
api.pioneer.one-edge.intel.com,,503,2503,api.pioneer.one-edge.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.apps.pioneer.one-edge.intel.com, O=Intel Corporation, ST=California, C=US",*.apps.pioneer.one-edge.intel.com,Intel Corporation,apps.pioneer.one-edge.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,91acd933b13002647bf2c18105512043,482bf64ca19246f57b06c184ae4414858ee453eb700a8e931c2c4ac10964062b,ctls,api.pioneer.one-edge.intel.com,443,https://api.pioneer.one-edge.intel.com:443,https,,text/html,GET,65.1.49.103,/,1539244717,13.127.238.159,94,False,,True,True,,,,,,
api.portal.bridge.trustedservices.intel.com,,404,,api.portal.bridge.trustedservices.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-02T00:00:00Z,2023-11-02T23:59:59Z,"CN=api.portal.bridge.trustedservices.intel.com, O=Intel Corporation, ST=California, C=US",api.portal.bridge.trustedservices.intel.com,Intel Corporation,sbx.api.portal.bridge.trustedservices.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,fa48ecb7b8c66b92dd85cf35ebdf5315,6e67cfbddb1e942bcad861b7b79640500f8e471e694e8b09c1e2eecca27a0445,ctls,api.portal.bridge.trustedservices.intel.com,443,https://api.portal.bridge.trustedservices.intel.com:443,https,,,GET,20.253.3.65,/,-1840324437,20.253.3.65,1,False,,,,,,,,,
