new,host,a,soa,status_code,cname,aaaa,ns,txt,cdn,cdn-name,mx,caa,has_internal_ips,internal_ips
[x],www.rbsdigital.co.uk,155.136.22.27,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,www.rbsdigital.com,,,,,,,,,
,accelerator.rbs.co.uk,40.68.205.178,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,"cpbblueprd.microsoftcrmportals.com, tm-d2192fac-a96a-4140-9a67-ee9fd1065b17.trafficmanager.net, site-d2192fac-a96a-4140-9a67-ee9fd1065b17-euw.azurewebsites.net, waws-prod-am2-117.vip.azurewebsites.windows.net, waws-prod-am2-117.cloudapp.net",,,,True,azure,,,,
,acj-nft.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,acj-pse.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,acj-qa-02.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,agency.jobs.rbs.com,"104.18.144.76, 104.17.156.42","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"lb.ttcportals.com, lb.ttcportals.com.cdn.cloudflare.net",,,,True,cloudflare,,,,
,amfiles.amsecure.rbs.com,"146.121.23.45, 146.121.21.30","udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,ammail.rbs.com,146.121.22.103,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,amswd.rbs.com,146.121.23.54,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,amswddr.rbs.com,146.121.21.54,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,amwifi.rbs.com,146.121.0.1,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,analytics.preprod.appbank.rbs.com,155.136.154.22,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,android-01.mobileapp.rbs.co.uk,155.136.23.135,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,android-mobileapppilot.mobileapp.rbs.co.uk,155.136.23.135,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,api.bankline.securebusiness.rbs.co.uk,155.136.200.22,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,"auth0.securebusiness.rbs.co.uk, auth0.securebusiness.rbs.co.uk.glb2p.rbs.com",,,,,,,,,
,api.banklinemobile.rbs.co.uk,155.136.202.22,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,"auth0.securebusiness.rbs.co.uk, auth0.securebusiness.rbs.co.uk.glb2p.rbs.com",,,,,,,,,
,api.bbconnect.apps.rbs.co.uk,147.114.225.49,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,api.businessprofile.rbs.co.uk,155.136.22.233,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,api.cms-thin-ui-sit-static.rbs.com,155.136.201.228,"ac0.glb2t.managedtest.com, hostmaster.ac0.glb2t.managedtest.com",NOERROR,iampnf-gw01-sit.rbs.com.glb2t.managedtest.com,,,,,,,,,
,api.edr.rbs.co.uk,155.136.22.229,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,api.eds.securebusiness.rbs.co.uk,155.136.22.168,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,api.openaccount.rbs.co.uk,155.136.22.103,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,api.rbs.co.uk,104.155.118.226,"ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"bankofapis-prod-prod.apigee.net, bankofapis-prod.dn.apigee.net",,,,True,google,,,,
,api.sandbox.acc.rbs.co.uk,"34.243.200.6, 54.78.35.50, 63.33.147.108","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,api.rbs.acc.useinfinite.io,,,,,,,,,
,api.sandbox.rbs.co.uk,"34.241.6.91, 52.17.124.104, 63.35.249.104","ns-1655.awsdns-14.co.uk, awsdns-hostmaster.amazon.com",NOERROR,api.rbs.useinfinite.io,,,,,,,,,
,api.securebusiness.rbs.co.uk,155.136.22.135,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,app.business-credit-card.rbs.co.uk,142.250.203.211,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2a00:1450:401b:810::2013,,,,,,,,
,app.business-overdraft-change.rbs.co.uk,142.251.40.179,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2607:f8b0:4006:821::2013,,,,,,,,
,app.business-overdraft-form.rbs.co.uk,142.251.16.121,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2607:f8b0:4004:c17::79,,,,,,,,
,app.business-overdraft.rbs.co.uk,142.250.184.243,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2a00:1450:4001:831::2013,,,,,,,,
,app.business-plus-credit-card.rbs.co.uk,142.250.179.147,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2a00:1450:400e:811::2013,,,,,,,,
,app.business-reserve.rbs.co.uk,172.253.115.121,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2607:f8b0:4004:c06::79,,,,,,,,
,app.digital-banking-enrolment.rbs.co.uk,64.233.165.121,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2a00:1450:4010:c01::79,,,,,,,,
,app.import-letter-of-credit.rbs.co.uk,142.250.185.83,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2a00:1450:4001:80e::2013,,,,,,,,
,app.liquidity-manager.rbs.co.uk,142.251.40.211,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2607:f8b0:4004:c09::79,,,,,,,,
,app.one-card.rbs.co.uk,172.217.16.147,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2a00:1450:4001:80e::2013,,,,,,,,
,app.trade-guarantee.rbs.co.uk,172.217.16.19,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,,,,,,,,,
,appbank.rbs.com,155.136.153.186,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,applink.rbs.co.uk,109.234.206.56,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,79hLp4Z,,,,,,
,apply.natwest.com.glb2p.rbs.com,155.136.200.13,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,apply.rbs.co.uk,155.136.202.16,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,apply.rbs.co.uk.glb2p.rbs.com,,,,,,,,,
,apply.rbs.co.uk.glb2p.rbs.com,155.136.200.16,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,apply.skillsandopportunitiesfund.rbs.com,212.100.233.110,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,apply.ulsterbank.co.uk.glb2p.rbs.com,155.136.202.15,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,arete.rbs.co.uk,155.136.13.132,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,arete.rbs.com,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,asset.bankline.rbs.com,20.71.8.211,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wup-8a3adb80.eu.v2.we-stats.com,,,,,,,,,
,asset.digitalbanking.rbs.co.uk,20.71.8.211,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wup-6a1d7b63.eu.v2.we-stats.com,,,,,,,,,
,auth.sandbox.acc.rbs.co.uk,"54.229.23.221, 52.51.27.79, 63.34.157.219","ns-1084.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,auth.rbs.acc.useinfinite.io,,,,,,,,,
,auth.sandbox.rbs.co.uk,"99.81.103.214, 108.128.171.117, 52.51.135.206","ns-1655.awsdns-14.co.uk, awsdns-hostmaster.amazon.com",NOERROR,auth.rbs.useinfinite.io,,,,,,,,,
,auth.yourbusinessprofile.rbs.co.uk,"18.202.72.68, 34.240.169.102, 54.220.225.87","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,auth-service-1779443864.eu-west-1.elb.amazonaws.com,,,,,,,,,
,auth0.securebanking.natwest.com.glb2p.rbs.com,155.136.200.51,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,auth0.securebanking.ulsterbank.co.uk.glb2p.rbs.com,155.136.200.53,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,auth0.securebusiness.natwest.com.glb2p.rbs.com,155.136.202.21,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,auth0.securebusiness.rbs.co.uk,155.136.200.22,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,auth0.securebusiness.rbs.co.uk.glb2p.rbs.com,,,,,,,,,
,auth0.securebusiness.ulsterbank.ie.glb2p.rbs.com,155.136.200.24,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,auth0z2.securebanking.natwest.com.glb2p.rbs.com,155.136.200.64,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,auth0z2.securebanking.rbs.co.uk,155.136.200.65,,NOERROR,auth0z2.securebanking.rbs.co.uk.glb2p.rbs.com,,,,,,,,,
,auth0z2.securebanking.rbs.co.uk.glb2p.rbs.com,155.136.200.65,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,autopay.rbs.co.uk,"37.200.113.148, 205.251.192.71","ns-71.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1720.awsdns-23.co.uk, ns-71.awsdns-08.com, ns-615.awsdns-12.net, ns-1081.awsdns-07.org",v=spf1 mx a ip4:37.200.113.130 ip4:195.110.84.130 ip4:213.129.79.155 ip4:69.84.82.254 ip4:69.84.83.254 include:email-od.com include:_spf.salesforce.com include:_spf.btbpo.net ~all,,,"mxb-004ae001.gslb.pphosted.com, mxa-004ae001.gslb.pphosted.com",,,
,av1.rbs.com,"155.136.23.169, 155.136.23.166","udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,av2.rbs.com,"155.136.23.172, 155.136.23.175","udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,bankhelp.rbs.co.uk,"91.207.38.35, 91.207.38.163","ns0.transversal.com, cso_kmprops.verint.com",NOERROR,rbsbankhelp.host.metafaq.com,,,"spf2.0/pra include:dc.mail.transversal.net include:eu-aws.mail.transversal.net include:us-aws.mail.transversal.net include:ap-aws.mail.transversal.net include:amazonses.com ~all, v=spf1 include:dc.mail.transversal.net include:eu-aws.mail.transversal.net include:us-aws.mail.transversal.net include:ap-aws.mail.transversal.net include:amazonses.com ~all",,,"n4-3.mail.transversal.net, n4-1.mail.transversal.net, wg2.mail.transversal.net, n4-2.mail.transversal.net, wg1.mail.transversal.net",,,
,bankline-faq.rbs.co.uk,34.250.71.57,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,"rbs.nanorep.co, eu1-4.nanorep.co",,,,,,,,,
,bankline.rbs.com,155.136.202.22,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,"auth0.securebusiness.rbs.co.uk, auth0.securebusiness.rbs.co.uk.glb2p.rbs.com",,,,,,,,,
,bankline.securebusiness.rbs.co.uk,155.136.200.22,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,"auth0.securebusiness.rbs.co.uk, auth0.securebusiness.rbs.co.uk.glb2p.rbs.com",,,,,,,,,
,bankofapis.com.glb2p.rbs.com,155.136.200.25,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,banktoyou.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,"udns1.cscdns.net, udns2.cscdns.uk","google-site-verification=VVfeLaEtgsr6AcJh7FA0_vF7mm6Jd_TR58z_MLz-Q-U, v=spf1 include:_spf.google.com ~all",,,"ALT4.ASPMX.L.GOOGLE.COM, ALT3.ASPMX.L.GOOGLE.COM, ALT1.ASPMX.L.GOOGLE.COM, ALT2.ASPMX.L.GOOGLE.COM, ASPMX.L.GOOGLE.COM",,,
,bbconnect-apps.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,bbconnect-nft.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,bbconnect-pse.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,bbconnect-qa-02.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,bereavementservices.digidocs.rbs.co.uk,107.154.251.63,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,bereavementservices-digidocs-rbs-co-uk.vscreen.org,,,v=spf1 a:lon-a-smtp-1.vscreen.org a:lon-a-smtp-2.vscreen.org a:lon-b-smtp-1.vscreen.org a:lon-b-smtp-2.vscreen.org ~all,True,incapsula,,,,
,beta-api.rbs.co.uk,35.234.144.2,"ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"bankofapis-prod-prod.apigee.net, bankofapis-prod.dn.apigee.net",,,,True,google,,,,
,beta-consent.rbs.co.uk,155.136.202.16,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,consent.rbs.co.uk.glb2p.rbs.com,,,,,,,,,
,beta-uat-api.rbs.co.uk,35.234.144.2,"ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"bankofapis-test-uat.apigee.net, bankofapis-test-dev.dn.apigee.net, rgeu2rt001-0-routers.dn.apigee.net",,,,True,google,,,,
,blacktravelservice.rbs.co.uk,"76.223.50.16, 13.248.185.246","ns-1663.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,nlb.v1cloud.traveltekprod.com,,,,,,,,,
,bookings.rbs.co.uk,51.140.153.150,"ns1-01.azure-dns.com, msnhst.microsoft.com",NOERROR,"nwgrbcepprd-rbs.powerappsportals.com, tm-05e1e6b5-6788-4171-bc1c-d7aedb0ce210.trafficmanager.net, site-05e1e6b5-6788-4171-bc1c-d7aedb0ce210-uks.azurewebsites.net, waws-prod-ln1-021.sip.azurewebsites.windows.net, waws-prod-ln1-021.uksouth.cloudapp.azure.com",,,,True,azure,,,,
,business-account-closure.rbs.co.uk,142.250.185.243,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2a00:1450:4001:810::2013,,,,,,,,
,business-bb-universalmandate.rbs.co.uk,142.250.203.211,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2a00:1450:401b:810::2013,,,,,,,,
,business-card-dev-static.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,business-card-nft-static.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,business-card-sit-static.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,business-card-uat-static.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,business-cb-universalmandate.rbs.co.uk,142.250.184.243,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2a00:1450:4001:831::2013,,,,,,,,
,business-certificates.rbs.co.uk,216.58.212.179,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2a00:1450:4001:828::2013,,,,,,,,
,business-change-details.rbs.co.uk,142.251.16.121,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2607:f8b0:4002:806::2013,,,,,,,,
,business-standing-order.rbs.co.uk,142.251.40.211,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2607:f8b0:4004:c09::79,,,,,,,,
,business-stationery.rbs.co.uk,172.217.16.147,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,2a00:1450:4001:831::2013,,,,,,,,
,business.rbs.co.uk,40.90.65.65,"ns1.fb-t-msedge.net, msnhst.microsoft.com, ns1.msedge.net",NOERROR,"natwest-sites-prod-4-g3hchvguexhgc7ag.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, global-entry-fb-afdthirdparty-unicast-first.trafficmanager.net, rba30r3b.msedge.net, part-0017.t-0009.fb-t-msedge.net, par02r3a.msedge.net","2620:1ec:48:1::45, 2620:1ec:29:1::45",,,,,,,,
,businessbankingswitch.rbs.co.uk,51.145.108.17,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,True,azure,,,,
,businesscard.natwest.com.glb2p.rbs.com,155.136.202.13,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,businesscard.rbs.co.uk,155.136.200.16,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,businesscard.rbs.co.uk.glb2p.rbs.com,,,,,,,,,
,businesscard.rbs.co.uk.glb2p.rbs.com,155.136.200.16,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,businesscard.rbsinternational.com.glb2p.rbs.com,155.136.200.17,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,businesscard.ulsterbank.co.uk.glb2p.rbs.com,155.136.202.15,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,businessprofile.rbs.co.uk,155.136.22.235,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,carbonplanner-dev.rbs.co.uk,155.136.203.152,"ac0.glb2d.managedtest.com, hostmaster.ac0.glb2d.managedtest.com",NOERROR,carbonplanner-dev.rbs.co.uk.glb2d.managedtest.com,,,,,,,,,
,carbonplanner-nft.rbs.co.uk,,"ac0.glb2t.managedtest.com, hostmaster.ac0.glb2t.managedtest.com",NOERROR,carbonplanner-nft.rbs.co.uk.glb2t.managedtest.com,,,,,,,,,
,carbonplanner-sit.rbs.co.uk,155.136.203.213,"ac0.glb2t.managedtest.com, hostmaster.ac0.glb2t.managedtest.com",NOERROR,carbonplanner-sit.rbs.co.uk.glb2t.managedtest.com,,,,,,,,,
,carbonplanner-uat.rbs.co.uk,155.136.203.213,"ac0.glb2t.managedtest.com, hostmaster.ac0.glb2t.managedtest.com",NOERROR,carbonplanner-uat.rbs.co.uk.glb2t.managedtest.com,,,,,,,,,
,carbonplanner.natwest.com.glb2p.rbs.com,155.136.202.13,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,carbonplanner.rbs.co.uk,155.136.202.16,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,carbonplanner.rbs.co.uk.glb2p.rbs.com,,,,,,,,,
,carbonplanner.rbs.co.uk.glb2p.rbs.com,155.136.200.16,"ac0.glb2p.rbs.com, hostmaster.ac0.glb2p.rbs.com",NOERROR,,,,,,,,,,
,cardservices.rbs.co.uk,"194.150.182.96, 194.150.183.96","udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,cardsonline.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,v=spf1 ip4:194.150.182.157 ip4:194.150.182.158 ip4:62.105.122.161 ip4:62.105.122.162 ~all,,,"fallback.mail.uk.uu.net, thutmose.tsyseurope.com",,,
,cardswitchdigidocs.rbs.co.uk,45.60.123.18,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",NOERROR,"cardswitchdigidocs-rbs-co-uk.vscreen.org, l2pk4ek.x.incapdns.net",,,,True,incapsula,,,,
,careerkickstart.rbs.com,95.138.133.108,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,cashbackplus.rbs.co.uk,80.85.66.162,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,cashbackplus.rbs.com,80.85.66.162,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,cdn.login.uat.ratemanager.rbs.co.uk,"143.204.89.122, 143.204.89.50, 143.204.89.75, 143.204.89.110","ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,d3980gvm6myrks.cloudfront.net,,"ns-1353.awsdns-41.org, ns-1589.awsdns-06.co.uk, ns-45.awsdns-05.com, ns-778.awsdns-33.net",,True,cloudfront,,,,
,cdn.productfinder-nft.rbs.co.uk,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d8j25of7l2awj.cloudfront.net,,,,,,,,,
,cdn.productfinder-uat.rbs.co.uk,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d7lisf4ggvkjg.cloudfront.net,,,,,,,,,
,cdn.productfinderqa.rbs.co.uk,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d2nzql40f1hh4e.cloudfront.net,,,,,,,,,
,cdn.rbs.com,,,NOERROR,gbm.gslb.rbs.com,,,,,,,,,
,cdn.uat.ratemanager.rbs.co.uk,"52.222.236.98, 52.222.236.6, 52.222.236.59, 52.222.236.15","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,d7w1xzwhlj11x.cloudfront.net,,,,True,cloudfront,,,,
,cdn.www.ratemanager.rbs.co.uk,"13.32.121.72, 13.32.121.88, 13.32.121.114, 13.32.121.13","ns-1293.awsdns-33.org, awsdns-hostmaster.amazon.com",NOERROR,d1ax9voqcjvhpq.cloudfront.net,,"ns-1683.awsdns-18.co.uk, ns-22.awsdns-02.com, ns-955.awsdns-55.net, ns-1293.awsdns-33.org",,True,cloudfront,,,,
,ci.mplatformtest.rbs.co.uk,,"ns-1147.awsdns-15.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-449.awsdns-56.com, ns-882.awsdns-46.net, ns-1147.awsdns-15.org, ns-1925.awsdns-48.co.uk",,,,,"mailto:caa-notification@mplatform.co.uk, amazon.com, digicert.com, quovadisglobal.com, sectigo.com",,
,ci.rbs.com,147.114.225.140,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
,cib.rbs.com,20.49.208.53,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,True,azure,,,,
,cinema.rbs.co.uk,81.92.120.178,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,"spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all, v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all",,,"smtpe2.emv3.com, smtpe1.emv3.com",,,
,clearspend.rbs.co.uk,"18.165.227.80, 18.165.227.53, 18.165.227.101, 18.165.227.70","ns-501.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,"rbs-co-uk.clearspend.spendlabs.com, rbs.sf.spendlabs.com, rbs-ir.prod.spendlabs.com",,,,True,cloudfront,,,,
,clearspend.secure1.rbs.co.uk,155.136.23.242,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,secure1.rbs.co.uk,,,,,,,,,
,click.emails.rbs.co.uk,66.231.94.105,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,click.virt.s4.exacttarget.com,,,,,,,,,
,click.mail.insights.rbs.co.uk,161.71.100.215,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
