input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,webserver,tech_,tls_expired,tls_mismatched,cdn_name,cdn,final_url,tls_self_signed,tls_wildcard_certificate
android-mobileapppilot.mobileapp.rbs.co.uk,,500,182,AS21054,RBSG-UK-AS Edinburgh,GB,155.136.48.0/21,android-mobileapppilot.mobileapp.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2017-08-25T00:00:00Z,2018-10-15T23:59:59Z,"CN=san-mobileapppilot.mobileapp.rbs.co.uk, OU=Business Standard, O=The Royal Bank of Scotland Group Plc, L=EDINBURGH, ST=EDINBURGH, C=GB",san-mobileapppilot.mobileapp.rbs.co.uk,The Royal Bank of Scotland Group Plc,san-mobileapppilot.mobileapp.rbs.co.uk,"CN=Symantec Class 3 Secure Server CA - G4, OU=Symantec Trust Network, O=Symantec Corporation, C=US",Symantec Class 3 Secure Server CA - G4,Symantec Corporation,1f645c891d1cdb98a9faec629e05367e,2df9116c2aad2b0cc1daddb7c65c7dda86cd7c03a239780b79a16c3d151075c4,ctls,android-mobileapppilot.mobileapp.rbs.co.uk,443,https://android-mobileapppilot.mobileapp.rbs.co.uk:443,https,application/json,GET,155.136.23.135,/,285724041,155.136.23.135,11,False,,,IBM DataPower,True,,,,,,
api.addressnow.co.uk,,200,8014,AS15169,GOOGLE,US,34.160.0.0/16,api.addressnow.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-11T00:00:00Z,2024-01-11T23:59:59Z,CN=*.addressnow.co.uk,*.addressnow.co.uk,,addressnow.co.uk,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0428a7d6c11b26520b665aba8c20f24e,83bb6021ebef48f0ef20c784dc71edec00248e6ed54863e6d825cd01426e96e6,ctls,api.addressnow.co.uk,443,https://api.addressnow.co.uk:443,https,text/html,GET,34.160.210.29,/,1579338689,34.160.210.29,265,False,,nginx/1.20.2,Nginx:1.20.2,,,google,True,,,True
api.bankline.securebusiness.rbs.co.uk,Forbidden,403,1463,AS21054,RBSG-UK-AS Edinburgh,GB,155.136.202.0/23,api.bankline.securebusiness.rbs.co.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-23T00:00:00Z,2023-06-23T23:59:59Z,"CN=auth0.securebusiness.rbs.co.uk, O=Natwest Group Plc, L=Edinburgh, ST=Midlothian, C=GB",auth0.securebusiness.rbs.co.uk,Natwest Group Plc,www.bankline.securebusiness.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,3b13b94c458efbcb0cdaba9f57546a78,a1776f80b9e9c31288ecf4a3a605c9725b5c99127994d8a84f8e46392957a781,ctls,api.bankline.securebusiness.rbs.co.uk,443,https://api.bankline.securebusiness.rbs.co.uk:443,https,text/html,GET,155.136.202.22,/,1959552773,155.136.202.22,52,False,,,HSTS,,,,,,,
api.banklinemobile.rbs.co.uk,Forbidden,403,1463,AS21301,RBS-FM-AS,GB,155.136.200.0/23,api.banklinemobile.rbs.co.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-23T00:00:00Z,2023-06-23T23:59:59Z,"CN=auth0.securebusiness.rbs.co.uk, O=Natwest Group Plc, L=Edinburgh, ST=Midlothian, C=GB",auth0.securebusiness.rbs.co.uk,Natwest Group Plc,www.bankline.securebusiness.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,3b13b94c458efbcb0cdaba9f57546a78,a1776f80b9e9c31288ecf4a3a605c9725b5c99127994d8a84f8e46392957a781,ctls,api.banklinemobile.rbs.co.uk,443,https://api.banklinemobile.rbs.co.uk:443,https,text/html,GET,155.136.200.22,/,1959552773,155.136.200.22,52,False,,,HSTS,,,,,,,
api.eds.securebusiness.rbs.co.uk,Account Servicing unavailable,200,220536,AS21054,RBSG-UK-AS Edinburgh,GB,155.136.48.0/21,www.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-05T00:00:00Z,2023-08-27T23:59:59Z,"CN=rbs.co.uk, O=Natwest Group Plc, L=Edinburgh, ST=Midlothian, C=GB",rbs.co.uk,Natwest Group Plc,www.rbsif.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,53e83b966aba8b5b1bd5d3407447942c,ee72b9537ad11eeedf95c83935d0ef05f8adde8a7f126d128c13208951ac1606,ctls,www.rbs.co.uk,443,https://api.eds.securebusiness.rbs.co.uk:443,https,text/html,GET,155.136.22.168,/,-295862352,155.136.22.168,4114,False,,,ZURB Foundation,,,,,https://www.rbs.co.uk/business/error/account-servicing-unavailable.html,,
api.sandbox.acc.rbs.co.uk,,404,58,AS16509,AS16509,Unknown,54.64.0.0/12,api.sandbox.acc.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-09-19T23:59:59Z,"CN=developer.sandbox.acc.rbs.co.uk, O=The Royal Bank of Scotland Group Plc, L=Edinburgh, ST=Midlothian, C=GB",developer.sandbox.acc.rbs.co.uk,The Royal Bank of Scotland Group Plc,webbanking.sandbox.acc.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,169d6e8bafe4a7b482916a595c92cd36,6d9779d34f3f49ea2fe92dc6cb723f82ae182f3a3743e6fa3f81cec38f1bb7fe,ctls,api.sandbox.acc.rbs.co.uk,443,https://api.sandbox.acc.rbs.co.uk:443,https,application/json,GET,54.78.35.50,/,-1644060773,34.243.200.6,2,False,,,,,,,,,,
api.sandbox.rbs.co.uk,,404,58,AS16509,AS16509,Unknown,34.240.0.0/12,api.sandbox.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-04T00:00:00Z,2023-07-04T23:59:59Z,"CN=developer.sandbox.rbs.co.uk, OU=DES, O=The Royal Bank of Scotland Group Plc, L=Edinburgh, ST=Midlothian, C=GB",developer.sandbox.rbs.co.uk,The Royal Bank of Scotland Group Plc,webbanking.sandbox.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,50f63b33b51f9d5b0fe73cb709fdf6ba,bee424a527f92ab8d12906603da045bf2fe253abcbf4cece0ff01ab9a6d7bdd3,ctls,api.sandbox.rbs.co.uk,443,https://api.sandbox.rbs.co.uk:443,https,application/json,GET,34.241.6.91,/,-1644060773,52.17.124.104,2,False,,,,,,,,,,
api.securebusiness.rbs.co.uk,,500,275,AS21054,RBSG-UK-AS Edinburgh,GB,155.136.48.0/21,api.securebusiness.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T00:00:00Z,2024-04-19T23:59:59Z,"CN=api.securebusiness.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",api.securebusiness.rbs.co.uk,Natwest Group Plc,www.api.securebusiness.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,f188baca174ad6814221d79e0f0ca367,db5aa666c66b3e4c4c2c33028c1221a0783d8cc82262e6f55a5b09236acddb9e,ctls,api.securebusiness.rbs.co.uk,443,https://api.securebusiness.rbs.co.uk:443,https,application/json,GET,155.136.22.135,/,1977435085,155.136.22.135,13,False,,,IBM DataPower,,,,,,,
apis.google.com,"Google for Developers - Software Development Guides, Tools & More  |  Google Developers",200,186128,AS15169,GOOGLE,US,142.250.0.0/15,developers.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,developers.google.com,443,https://apis.google.com:443,https,text/html,GET,142.250.185.206,/,75116909,2a00:1450:4001:803::200e,7586,False,http:,Google Frontend,HTTP/3,,,,,https://developers.google.com/,,True
app.business-overdraft-form.rbs.co.uk,,200,61053,AS15169,GOOGLE,US,142.250.0.0/15,app.business-overdraft-form.rbs.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-16T00:00:00Z,2024-02-16T23:59:59Z,"CN=app.business-overdraft-form.rbs.co.uk, O=Natwest Group Plc, ST=Midlothian, C=GB",app.business-overdraft-form.rbs.co.uk,Natwest Group Plc,www.app.business-overdraft-form.rbs.co.uk,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,bfcd1d62b8575a2b261cc4254cfeb1bd,167ecd73f6875df928789fc5278eef5021f994bd36caf2802ae06957c99461c5,ctls,app.business-overdraft-form.rbs.co.uk,443,https://app.business-overdraft-form.rbs.co.uk:443,https,text/html,GET,142.250.186.51,/,459493626,2a00:1450:4001:827::2013,91,False,rbshelper-tag.azurewebsites.net,Google Frontend,Python,,,,,,,
