input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,csp_domains_,tls_expired,final_url,tls_mismatched,tls_wildcard_certificate,tls_emails_,tls_self_signed
apigwc11tst1.marriott.com,403 - Forbidden: Access is denied.,403,1233,pros.amnet.company,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-05-04T14:32:19Z,2023-08-02T14:32:18Z,CN=pros.amnet.company,pros.amnet.company,pros.amnet.company,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b267bd51f1dfca185a99c09e503209ae,2a29822017d5d153a5f8f37a7a7cebb9ec25aecbcb744c6d658f0acc4f9870fe,ctls,pros.amnet.company,,80,http://apigwc11tst1.marriott.com:80,http,Microsoft-IIS/8.5,text/html,GET,169.53.71.7,/,1631801191,169.53.71.7,Windows Server,30,False,,,,,https://pros.amnet.company/,,,,
app-insiders.marriott.com,Facebook,200,184958,www.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-19T00:00:00Z,2023-05-20T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,f6e389c7240ab2594d350e0b8348c81d,f3026f8cda3f093ed8102d6601228abe19e0d8ca706e35f572d7374f11eb1479,ctls,www.facebook.com,google,443,https://app-insiders.marriott.com:443,https,,text/html,GET,35.231.127.158,/,-380430957,35.231.127.158,HTTP/3,76,False,True,"Meta Platforms, Inc.",*.fbsbx.com,,https://www.facebook.com/groups/marriottbonvoyinsiders/,,True,,
app.marriott.com,Marriott Bonvoy Hotels | Book Directly & Get Exclusive Rates,200,313705,www.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T15:51:56Z,2023-11-10T15:51:55Z,"CN=www.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",www.marriott.com,www.travelagents.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",fd366a77b3660f5f6b811c10c3af0d0f,009c340640383743bf6b3472aa4670e123f1412491729b65467ad2fe88e8dd9d,ctls,www.marriott.com,,443,https://app.marriott.com:443,https,nginx,text/html,GET,52.9.27.114,/,1274734426,54.153.11.198,React,6352,False,,Marriott International Inc.,,,https://www.marriott.com/default.mi,,,,
apprenticeships.marriott.co.uk,UK HR | Hospitality Jobs | Official Site,200,147928,apprenticeships.marriott.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T19:51:58Z,2023-07-04T19:51:57Z,CN=apprenticeships.marriott.co.uk,apprenticeships.marriott.co.uk,apprenticeships.marriott.co.uk,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,eb7e5bd90793238b4796227334ec17cf,5c531a3b21f294ab541307394bb169d6211855866df17187950a18dd1131d978,ctls,apprenticeships.marriott.co.uk,cloudflare,443,https://apprenticeships.marriott.co.uk:443,https,cloudflare,text/html,GET,104.18.160.83,/,-1793757663,2606:4700::6812:a253,PHP,1408,False,True,,,,,,,,
atlanta.marriott.com,Sorry! - Page Not Found on Marriott.com (404 Error),404,211790,www.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T15:51:56Z,2023-11-10T15:51:55Z,"CN=www.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",www.marriott.com,www.travelagents.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",fd366a77b3660f5f6b811c10c3af0d0f,009c340640383743bf6b3472aa4670e123f1412491729b65467ad2fe88e8dd9d,ctls,www.marriott.com,,80,http://atlanta.marriott.com:80,http,nginx,text/html,GET,52.21.50.234,/,-1045002268,52.21.50.234,ZURB Foundation,815,False,,Marriott International Inc.,,,https://www.marriott.com/city/atlanta-hotels,,,,
austin.marriott.com,Sorry! - Page Not Found on Marriott.com (404 Error),404,212190,www.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T15:51:56Z,2023-11-10T15:51:55Z,"CN=www.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",www.marriott.com,www.travelagents.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",fd366a77b3660f5f6b811c10c3af0d0f,009c340640383743bf6b3472aa4670e123f1412491729b65467ad2fe88e8dd9d,ctls,www.marriott.com,,80,http://austin.marriott.com:80,http,nginx,text/html,GET,52.21.50.234,/,-1045002268,52.21.50.234,ZURB Foundation,816,False,,Marriott International Inc.,,,https://www.marriott.com/explore/destinations/default.mi?state=Texas&city=Austin,,,,
auth-apc.marriott.com,,404,,auth-apc.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-29T16:20:24Z,2023-08-29T16:20:24Z,"CN=gatewaydsapprd.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",gatewaydsapprd.marriott.com,www.msg-gatewayprf.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",39d4c0e9e9b2e5829055ff0f35602c97,81a22c1764a694fdf42f4ed1d21709e4eeca3959b037a00293e989e4a28fdac6,ctls,auth-apc.marriott.com,,443,https://auth-apc.marriott.com:443,https,nginx/1.17.3,,GET,23.37.43.166,/,-1427235327,23.37.43.166,Nginx:1.17.3,1,False,,Marriott International Inc.,,,,,,,
auth-perf1.marriott.com,Error,503,176,auth-perf1.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-02T20:14:39Z,2023-11-30T20:14:39Z,"CN=www.mi-perftest1.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",www.mi-perftest1.com,auth-perf1.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",738b5444e59690bea4c10e9ee78528b5,8bd6f487f5eb0aa3186ee21344fffcd71f12029d17a39642cb5b07f3a3ccf226,ctls,auth-perf1.marriott.com,,443,https://auth-perf1.marriott.com:443,https,AkamaiGHost,text/html,GET,23.36.236.241,/,-1237870604,23.36.236.241,,5,False,,Marriott International Inc.,,,,,,,
auth-uat2.marriott.com,,404,,auth-uat2.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-04T19:19:21Z,2023-11-04T19:19:21Z,"CN=uat.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",uat.marriott.com,auth-uat2.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",0051572dc553b8d0d5d7f537f1719283,55d474e1bb58e62b4a9ae76acf6d0665385bdd92a6d92cdeb75432dce5236551,ctls,auth-uat2.marriott.com,,443,https://auth-uat2.marriott.com:443,https,nginx/1.17.3,,GET,104.70.84.122,/,-1427235327,104.70.84.122,Nginx:1.17.3,1,False,,Marriott International Inc.,,,,,,,
auth.marriott.com,,404,,auth.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T15:51:56Z,2023-11-10T15:51:55Z,"CN=www.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",www.marriott.com,www.travelagents.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",fd366a77b3660f5f6b811c10c3af0d0f,009c340640383743bf6b3472aa4670e123f1412491729b65467ad2fe88e8dd9d,ctls,auth.marriott.com,,80,http://auth.marriott.com:80,http,nginx/1.17.3,,GET,23.192.152.75,/,-1427235327,23.192.152.75,Nginx:1.17.3,1,False,,Marriott International Inc.,,,https://auth.marriott.com/,,,,
autograph-hotels.marriott.com,Autograph Collection Hotels | Premium Marriott Hotels,200,326125,autograph-hotels.marriott.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-11-10T23:59:59Z,"CN=autograph-hotels.marriott.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",autograph-hotels.marriott.com,autograph-hotels.marriott.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6dcd3b0ec5eea4cc4ab3c87f7f2e0431,4eb1fa336e68c8ed382976c48e237f035ab647e0476470d7985db308f66a833d,ctls,autograph-hotels.marriott.com,,443,https://autograph-hotels.marriott.com:443,https,cloudflare,text/html,GET,141.193.213.10,/,-1840324437,141.193.213.11,Yoast SEO:13.2,4054,False,,"Cloudflare, Inc.",,,,,,,
become.marriott.com,Marriott L+D - DLZ,200,16591,dlz.marriott-ld.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T21:09:01Z,2024-01-25T21:08:59Z,"CN=dlz.marriott-ld.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",dlz.marriott-ld.com,www.dlz.marriott-ld.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",d5e16c76b7f1a44f3f640440bdba116d,c32f88ec8833318c2d1012e94cb400105857f3464811cd1e8487192ad57d4795,ctls,dlz.marriott-ld.com,,80,http://become.marriott.com:80,http,AmazonS3,text/html,GET,52.21.50.234,/,432613170,52.21.50.234,Typekit,1,False,,Marriott International Inc.,,,https://dlz.marriott-ld.com/become,,,,
bpa1-sw.marriott.com,SBA Portal (S-13) - You have no cookie support - Please enable cookies in your browser,200,5004,bpa1-sw.marriott.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-02T15:28:53Z,2023-09-02T15:28:53Z,"CN=sba1.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",sba1.marriott.com,sba.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",7655b2594de8a920630f084485f9a9d3,30d35e3732c1d15df9c5ab85f01b0f29fb50fb8cdd13aaf6ead61067ba8f9416,ctls,bpa1-sw.marriott.com,,443,https://bpa1-sw.marriott.com:443,https,CPWS,text/html,GET,159.166.44.21,/,-993165615,159.166.44.21,HSTS,126,False,,Marriott International Inc.,www.google.com,,https://bpa1-sw.marriott.com/Login/Login?CheckCookieSupport=1,True,,,
bpa2-preprod.marriott.com,BPA-Connector (Pre-Prod) - You have no cookie support - Please enable cookies in your browser,200,5018,bpa2-preprod.marriott.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-14T16:11:45Z,2023-11-14T16:11:45Z,"CN=bpa2-preprod.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",bpa2-preprod.marriott.com,bpa2-preprod.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",7040ec2f36f7660a147b17a2c53bfe99,33a57cc90e066643bf89eb551bbd214a0a2beea37a9ed80cae791d4625e8b203,ctls,bpa2-preprod.marriott.com,,443,https://bpa2-preprod.marriott.com:443,https,CPWS,text/html,GET,12.229.8.25,/,-993165615,12.229.8.25,HSTS,126,False,,Marriott International Inc.,fonts.gstatic.com,,https://bpa2-preprod.marriott.com/Login/Login?CheckCookieSupport=1,,,,
bpa2-rdc.marriott.com,BPA-Connector (RDC) - You have no cookie support - Please enable cookies in your browser,200,1407,bpa2-rdc.marriott.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-14T16:12:58Z,2023-11-14T16:12:58Z,"CN=bpa2-rdc.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",bpa2-rdc.marriott.com,bpa2-rdc.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",a52433ab8b161a4c2f421fa7148d859f,784540e1f4d531bf0cb00659cc22ebdc41dd0b22f742fffb2f74451a68c114aa,ctls,bpa2-rdc.marriott.com,,443,https://bpa2-rdc.marriott.com:443,https,CPWS,text/html,GET,12.229.8.96,/,-993165615,12.229.8.96,HSTS,54,False,,Marriott International Inc.,fonts.gstatic.com,,https://bpa2-rdc.marriott.com/Login/Login?CheckCookieSupport=1,,,,
bpa2.marriott.com,BPA-Connector (MCNC) - You have no cookie support - Please enable cookies in your browser,200,1400,bpa2.marriott.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-14T16:17:02Z,2023-11-14T16:17:02Z,"CN=bpa2.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",bpa2.marriott.com,bpa2.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",93f25c0adcd7d8dd42f62d23d4725b0e,d4bd25e336dbcdeace7b5bb06f8da8fa87a8fa7f527e6f6456358d7d387cf68a,ctls,bpa2.marriott.com,,80,http://bpa2.marriott.com:80,http,CPWS,text/html,GET,162.130.197.86,/,-993165615,162.130.197.86,HSTS,54,False,,Marriott International Inc.,www.gstatic.com,,https://bpa2.marriott.com/Login/Login?CheckCookieSupport=1,,,,
brand.marriott.com,Site is not available,404,1957,,,,,,,,,,,,,,,,,,google,80,http://brand.marriott.com:80,http,UploadServer,text/html,GET,130.211.29.77,/,1511161761,130.211.29.77,Google Cloud Storage,93,False,True,,,,,,,,
brazil.marriott.com,Marriott - Vanity Redirect Server,404,935,,,,,,,,,,,,,,,,,,,80,http://brazil.marriott.com:80,http,Apache/2.4.56 (Amazon),text/html,GET,52.21.50.234,/,-1045002268,52.21.50.234,Apache:2.4.56,29,False,,,,,http://www.brazil.marriott.com/default.mi,,,,
bsp.marriott.com,Dashboard | CMS | Marriott International,200,22601,bsp.marriott.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-06T22:32:26Z,2023-07-06T22:32:26Z,"CN=bsp.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",bsp.marriott.com,noticias.espanol.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",7ef50e1e5cbef5c91295dd7c832f658c,7bb8ae1d2bb7abfc1a9034d6b2ef2a86af55e9ac309436f7d961e398225b9f1a,ctls,bsp.marriott.com,,443,https://bsp.marriott.com:443,https,N/A,text/html,GET,3.128.165.51,/,-1840324437,3.132.125.245,Java,64,False,,Marriott International Inc.,,,https://bsp.marriott.com/cms/logIn.jsp?returnPath=%2Fcms%2Findex.jsp,,,,
cache.marriott.com,Marriott Bonvoy Hotels | Book Directly & Get Exclusive Rates,200,313705,www.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T15:51:56Z,2023-11-10T15:51:55Z,"CN=www.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",www.marriott.com,www.travelagents.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",fd366a77b3660f5f6b811c10c3af0d0f,009c340640383743bf6b3472aa4670e123f1412491729b65467ad2fe88e8dd9d,ctls,www.marriott.com,,80,http://cache.marriott.com:80,http,nginx,text/html,GET,23.192.152.75,/,-18912797,23.192.152.75,React,6352,False,,Marriott International Inc.,,,https://www.marriott.com/default.mi,,,,
