input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,tls_subject_org_,tls_wildcard_certificate,csp_domains_,tls_mismatched,final_url
e.email.libelle.nl,"You received emails from this domain, didn't you?",200,15468,,443,https://e.email.libelle.nl:443,https,nginx,text/html,GET,185.136.64.7,/,-1812417198,185.136.64.6,Webflow,344,False,,e.email.libelle.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-03T04:42:33Z,2023-06-01T04:42:32Z,CN=e.email.libelle.nl,e.email.libelle.nl,e.email.libelle.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,206567e224a3c1262ae9095c599099f2,3c71f58701ac6cf4981137b7817850ec30ed6e8c38a93421565e8c46cec88a9d,ctls,e.email.libelle.nl,,,,,
https://depersgroep.report-uri.io/r/default/csp/enforce,Report URI: Welcome to report-uri.com,200,30914,cloudflare,443,https://depersgroep.report-uri.io:443/r/default/csp/enforce,https,cloudflare,text/html,GET,104.16.83.77,/r/default/csp/enforce,1842224056,2606:4700::6810:544d,HTTP/3,534,False,True,report-uri.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T21:09:26Z,2023-07-04T21:09:25Z,CN=*.report-uri.com,*.report-uri.com,report-uri.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,2128e997ff28af0650b7d95c3213b246,ce65156d72d6ff348f1e593736490978e80976ba3859748a2d4acb57b88b87e5,ctls,report-uri.com,,True,static.cloudflareinsights.com,,https://report-uri.com
https://ssl.gstatic.com,Error 404 (Not Found)!!1,404,1561,,443,https://ssl.gstatic.com:443,https,sffe,text/html,GET,142.250.185.227,/,302920777,2a00:1450:4001:800::2003,HTTP/3,12,False,,ssl.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,ctls,ssl.gstatic.com,,True,,,
img-acc.libelle.nl,,403,42,,443,https://img-acc.libelle.nl:443,https,,application/json,GET,104.126.37.186,/,768769774,2a02:26f0:1700:7::17d5:a1d4,,1,False,,img-acc.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,ctls,img-acc.libelle.nl,DPG Media Services NV,True,,,
libelle.nl,DPG Media Privacy Gate,200,8843,,443,https://libelle.nl:443,https,,text/html,GET,2.17.100.185,/,368131872,2a02:26f0:ab00::214:8e73,Google Tag Manager,278,False,,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,ctls,myprivacy.dpgmedia.nl,DPG Media Services nv,True,,,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3a%2f%2fwww.libelle.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
login.libelle.nl,Inlogpoging geblokkeerd,406,3323,,443,https://login.libelle.nl:443,https,AkamaiGHost,text/html,GET,2.17.100.163,/,1544017786,2a02:26f0:ab00::5c7a:d708,,1,False,,login.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-07T00:03:41Z,2023-08-05T00:03:40Z,CN=login.libelle.nl,login.libelle.nl,login.libelle.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,45b96865b16d22b12a4183962fbcada6,796ba3748b0b4c87289955898cd8f57b6188a1cd0ddc96e770de392a3c0acdf7,ctls,login.libelle.nl,,,,,
login2.libelle.nl,Inlogpoging geblokkeerd,406,3322,,443,https://login2.libelle.nl:443,https,AkamaiGHost,text/html,GET,2.16.187.88,/,548273602,2a02:26f0:480:23::1726:62ac,,1,False,,login2.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,ctls,login2.libelle.nl,DPG Media Services NV,True,,,
media.libelle.nl,DPG Media Privacy Gate,200,8843,,443,https://media.libelle.nl:443,https,,text/html,GET,2.19.126.98,/,368131872,2a02:26f0:480:f::213:7ed1,Google Tag Manager,278,False,,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,ctls,myprivacy.dpgmedia.nl,DPG Media Services nv,True,,,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3a%2f%2fwww.libelle.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
mijn.libelle.nl,DPG Media Privacy Gate,200,8840,,443,https://mijn.libelle.nl:443,https,,text/html,GET,2.17.100.138,/,1004976268,2a02:26f0:ab00::214:8e73,Google Tag Manager,278,False,,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,ctls,myprivacy.dpgmedia.nl,DPG Media Services nv,True,,,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3A%2F%2Fmijn.libelle.nl%2Fprivacygate-confirm%3FredirectUri%3D%252F
mijnomgeving.libelle.nl,DPG Media Privacy Gate,200,8864,,443,https://mijnomgeving.libelle.nl:443,https,,text/html,GET,2.17.100.138,/,1004976268,2a02:26f0:ab00::214:8e59,Google Tag Manager,278,False,,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,ctls,myprivacy.dpgmedia.nl,DPG Media Services nv,True,,,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3A%2F%2Fmijnomgeving.libelle.nl%2Fprivacygate-confirm%3FredirectUri%3D%252F
mm.libelle.nl,,200,,,80,http://mm.libelle.nl:80,http,,text/html,GET,195.137.215.60,/,1631801191,195.137.215.60,,1,False,,,,,,,,,,,,,,,,,,,,,,,
mms.libelle.nl,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://mms.libelle.nl:80,http,CloudFront,text/html,GET,52.222.236.3,/,993191166,52.222.236.76,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,
mobile.libelle.nl,DPG Media Privacy Gate,200,8843,,443,https://mobile.libelle.nl:443,https,,text/html,GET,95.101.111.150,/,368131872,2a02:26f0:480:23::1726:62ac,Google Tag Manager,278,False,,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,ctls,myprivacy.dpgmedia.nl,DPG Media Services nv,True,,,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3a%2f%2fwww.libelle.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
msoid.libelle.nl,Sign in to your account,200,204881,azure,443,https://msoid.libelle.nl:443,https,,text/html,GET,40.126.32.74,/,-1840324437,40.126.32.133,HSTS,174,False,True,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,Microsoft Corporation,,,,https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https%3A%2F%2Fwww.office.com%2Flandingv2&response_type=code%20id_token&scope=openid%20profile%20https%3A%2F%2Fwww.office.com%2Fv2%2FOfficeHome.All&response_mode=form_post&nonce=638195086449514259.Y2E3MzI5OWUtZjMxMC00N2JiLWJiZDItMTNhYjVkZjk2ZDRlNGEwMzAxYjktMDUyNS00NWVjLTgxOGUtZTA5MjM2YTI0YWZh&ui_locales=en-US&mkt=en-US&state=DbG7Cp5DIhrQGsTe03YKgWJNUwzAGsebvrLmEScl1l9LYcKJfXcrxA2EjR_74mNJx4b2rXnIzIheCkXMk8BsszsKVqVnG0qwQ28MQcHYrslnx85Ga90Em1xwUSKE11H16EXmNuJJScLc9Ind9c5aN_vZxQT7Uxiq_X_TBrsBb7Q7p3jL1pDsWBY0-y-KVNwe_X8xSPmx-l8OoSWypSuUd981MK-dJhbUwobv7dYXb4uPub-FlGaA7LZUVSmhOkKsYQLqfbWJDt8Qwuo4KPrV-g&x-client-SKU=ID_NET6_0&x-client-ver=6.26.1.0
opzeggen.libelle.nl,DPG Media Privacy Gate,200,8856,,443,https://opzeggen.libelle.nl:443,https,,text/html,GET,2.17.100.232,/,-318086011,2a02:26f0:ab00::214:8e71,Google Tag Manager,278,False,,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,ctls,myprivacy.dpgmedia.nl,DPG Media Services nv,True,,,https://myprivacy.dpgmedia.nl/consent?siteKey=gnz6tzrwbume34ba&callbackUrl=https://opzeggen.libelle.nl/
service.libelle.nl,403 - Forbidden: Access is denied.,403,1233,,443,https://service.libelle.nl:443,https,Microsoft-IIS/8.5,text/html,GET,52.51.68.134,/,1631801191,52.208.239.84,Windows Server,30,False,,service.libelle.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-18T23:59:59Z,CN=*.dpgmm.nl,*.dpgmm.nl,*.dpgmm.nl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,47aad03bd643159f319f939c4445a8c9,3db412f1d90903dd62cc5798550edeb953ef05df3e4448cf1fc9211d3776368f,ctls,service.libelle.nl,,True,,True,
sso.libelle.nl,,200,,,443,https://sso.libelle.nl:443,https,,text/html,GET,54.229.120.124,/,-1516177449,54.229.120.124,,1,False,,sso.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,2024-03-11T23:59:59Z,"CN=*.eu1.gigya.com, O=SAP SE, L=Walldorf, ST=Baden-Württemberg, C=DE",*.eu1.gigya.com,global.gigya.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,973e22e6cd3c03a86dd9b661e1221be3,52e7cd6e53c9013cd2e587f41289f26dd0b6b0b75f31cfee03c42c122db1604a,ctls,sso.libelle.nl,SAP SE,True,,True,
unsubscribe.libelle.nl,Weet u zeker dat u wilt gaan?,200,87953,,443,https://unsubscribe.libelle.nl:443,https,,text/html,GET,2.17.100.200,/,102855332,2a02:26f0:ab00::214:8e79,Vue.js,253,False,,unsubscribe.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-14T17:51:08Z,2023-06-12T17:51:07Z,CN=unsubscribe.libelle.nl,unsubscribe.libelle.nl,unsubscribe.libelle.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,653f69cce60397856378acf49e23cd62,fb8e95bb9a4a58956d450a1b411df2a6e750bf3ec10f1ba4e0b8137840df4178,ctls,unsubscribe.libelle.nl,,,https:,,
voordeelpas.libelle.nl,DPG Media Privacy Gate,200,8885,,443,https://voordeelpas.libelle.nl:443,https,,text/html,GET,54.229.241.31,/,-938384737,54.154.98.78,Google Tag Manager,278,False,,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,ctls,myprivacy.dpgmedia.nl,DPG Media Services nv,True,,,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3a%2f%2fwww.libelle.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252fvoordeelpas%252f
wp.libelle.nl,Access Denied,401,262,,443,https://wp.libelle.nl:443,https,AkamaiGHost,text/html,GET,95.101.111.150,/,1423469636,2a02:26f0:480:23::1726:62ac,HSTS,10,False,,wp.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,ctls,wp.libelle.nl,DPG Media Services NV,True,https://ssl.gstatic.com,,
www.libelle.nl,DPG Media Privacy Gate,200,8837,,443,https://www.libelle.nl:443,https,,text/html,GET,95.101.111.150,/,368131872,2a02:26f0:480:23::1726:62aa,Google Tag Manager,278,False,,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,ctls,myprivacy.dpgmedia.nl,DPG Media Services nv,True,,,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3a%2f%2fwww.libelle.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f
