input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,content_type,final_url,tls_mismatched
cdn-australiaeast-release-b.citrixworkspacesapi.net,Citrix Secure Sign In,200,3905,accounts.cloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T00:00:00Z,2024-05-24T23:59:59Z,"CN=accounts.cloud.com, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",accounts.cloud.com,"Citrix Systems, Inc.",ctxathp-sharefileweb-tm-westeu.cloud.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ece6abda86c8a50c0082711778e0453e,9b91235d67bb57d3e3fc8de70f7086e96d1b0e165beea6c73e02d1b9256a68db,,ctls,accounts.cloud.com,,443,https://cdn-australiaeast-release-b.citrixworkspacesapi.net:443,https,,GET,104.126.37.185,/,1873304733,104.126.37.152,HSTS,21,False,,https://recaptcha.net,text/html,https://accounts.cloud.com/core/login?ReturnUrl=%2Fcore%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3DRtmydVjvjLZBbU3qU3b8eQ%253D%253D%26redirect_uri%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth%26response_type%3Dcode%26scope%3Dopenid%2520email%2520profile%2520ctx_principal_aliases%2520offline_access%2520ctx_universal%2520ctx_adoid%2520allow_compressed_groups%26state%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth.4c0d019e-0916-4b72-9604-3feaabe55d47,
cdn-eastus-release-a.citrixworkspacesapi.net,Citrix Secure Sign In,200,3905,accounts.cloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T00:00:00Z,2024-05-24T23:59:59Z,"CN=accounts.cloud.com, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",accounts.cloud.com,"Citrix Systems, Inc.",ctxathp-sharefileweb-tm-westeu.cloud.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ece6abda86c8a50c0082711778e0453e,9b91235d67bb57d3e3fc8de70f7086e96d1b0e165beea6c73e02d1b9256a68db,,ctls,accounts.cloud.com,,443,https://cdn-eastus-release-a.citrixworkspacesapi.net:443,https,,GET,104.126.37.152,/,1993686458,104.126.37.185,HSTS,21,False,,https://www.recaptcha.google.com/recaptcha/,text/html,https://accounts.cloud.com/core/login?ReturnUrl=%2Fcore%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3DRtmydVjvjLZBbU3qU3b8eQ%253D%253D%26redirect_uri%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth%26response_type%3Dcode%26scope%3Dopenid%2520email%2520profile%2520ctx_principal_aliases%2520offline_access%2520ctx_universal%2520ctx_adoid%2520allow_compressed_groups%26state%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth.19a649c5-8042-4946-a3d3-0bf40c060d75,
cdn-eastus-release-b.citrixworkspacesapi.net,Citrix Secure Sign In,200,3905,accounts.cloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T00:00:00Z,2024-05-24T23:59:59Z,"CN=accounts.cloud.com, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",accounts.cloud.com,"Citrix Systems, Inc.",ctxathp-sharefileweb-tm-westeu.cloud.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ece6abda86c8a50c0082711778e0453e,9b91235d67bb57d3e3fc8de70f7086e96d1b0e165beea6c73e02d1b9256a68db,,ctls,accounts.cloud.com,,443,https://cdn-eastus-release-b.citrixworkspacesapi.net:443,https,,GET,95.101.111.22,/,730719911,95.101.111.64,HSTS,21,False,,citrix-cloud-content.customer.pendo.io,text/html,https://accounts.cloud.com/core/login?ReturnUrl=%2Fcore%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3DRtmydVjvjLZBbU3qU3b8eQ%253D%253D%26redirect_uri%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth%26response_type%3Dcode%26scope%3Dopenid%2520email%2520profile%2520ctx_principal_aliases%2520offline_access%2520ctx_universal%2520ctx_adoid%2520allow_compressed_groups%26state%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth.3ad904eb-1640-4a1c-bd05-4637de648849,
cloudlibrary-ap-s.citrixworkspacesapi.net,Swagger UI,200,6718,cloudlibrary-australiaeast-release-a.citrixworkspacesapi.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-31T00:00:00Z,2023-05-30T23:59:59Z,"CN=*.citrixworkspacesapi.net, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.citrixworkspacesapi.net,"Citrix Systems, Inc.",citrixworkspacesapi.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2c57d2853e7f6726a6bd1bd285486f1b,2fddbb7e6bba04b0b2484c0db255152bf7493637c7e17f11d30d6d0ff1a54bf9,True,ctls,cloudlibrary-australiaeast-release-a.citrixworkspacesapi.net,azure,443,https://cloudlibrary-ap-s.citrixworkspacesapi.net:443,https,,GET,40.82.217.223,/,-1840324437,40.82.217.223,HSTS,156,False,True,,text/html,https://cloudlibrary-australiaeast-release-a.citrixworkspacesapi.net/swagger/ui/index,
cloudlibrary.citrixworkspacesapi.net,Swagger UI,200,6711,cloudlibrary-eastus-release-a.citrixworkspacesapi.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-31T00:00:00Z,2023-05-30T23:59:59Z,"CN=*.citrixworkspacesapi.net, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.citrixworkspacesapi.net,"Citrix Systems, Inc.",citrixworkspacesapi.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7282697184e36fa81242885fac8bf06a,1ffa80afae9df06ee93c927da3344d6488e768dc411bfc03c22cb0ec863b8bd3,True,ctls,cloudlibrary-eastus-release-a.citrixworkspacesapi.net,azure,443,https://cloudlibrary.citrixworkspacesapi.net:443,https,,GET,40.74.35.115,/,-1840324437,40.74.35.115,HSTS,156,False,True,,text/html,https://cloudlibrary-eastus-release-a.citrixworkspacesapi.net/swagger/ui/index,
config.browser.cloud.com,,404,,config.browser.cloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-20T00:00:00Z,2023-06-20T23:59:59Z,"CN=*.browser.cloud.com, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.browser.cloud.com,"Citrix Systems, Inc.",browser.cloud.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c9e71e468f451a2a6b966e7a40fe636a,4a5afef3c152c7b2691ebc8682e6195aa4511eb648ffc3a9423793b5bab3c68b,True,ctls,config.browser.cloud.com,azure,443,https://config.browser.cloud.com:443,https,Microsoft-HTTPAPI/2.0,GET,51.144.139.213,/,-1840324437,51.144.139.213,Microsoft HTTPAPI:2.0,1,False,True,,,,
console-eastus-release-b.citrixworkspacesapi.net,Citrix Secure Sign In,200,3905,accounts.cloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T00:00:00Z,2024-05-24T23:59:59Z,"CN=accounts.cloud.com, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",accounts.cloud.com,"Citrix Systems, Inc.",ctxathp-sharefileweb-tm-westeu.cloud.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ece6abda86c8a50c0082711778e0453e,9b91235d67bb57d3e3fc8de70f7086e96d1b0e165beea6c73e02d1b9256a68db,,ctls,accounts.cloud.com,azure,443,https://console-eastus-release-b.citrixworkspacesapi.net:443,https,,GET,52.224.137.210,/,1889359706,52.224.137.210,HSTS,21,False,True,https://app.pendo.io,text/html,https://accounts.cloud.com/core/login?ReturnUrl=%2Fcore%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3DRtmydVjvjLZBbU3qU3b8eQ%253D%253D%26redirect_uri%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth%26response_type%3Dcode%26scope%3Dopenid%2520email%2520profile%2520ctx_principal_aliases%2520offline_access%2520ctx_universal%2520ctx_adoid%2520allow_compressed_groups%26state%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth.f3ec61e6-8933-4472-90cd-67a36e49f790,
console-westeurope-release-b.citrixworkspacesapi.net,Citrix Secure Sign In,200,3905,accounts.cloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T00:00:00Z,2024-05-24T23:59:59Z,"CN=accounts.cloud.com, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",accounts.cloud.com,"Citrix Systems, Inc.",ctxathp-sharefileweb-tm-westeu.cloud.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ece6abda86c8a50c0082711778e0453e,9b91235d67bb57d3e3fc8de70f7086e96d1b0e165beea6c73e02d1b9256a68db,,ctls,accounts.cloud.com,azure,443,https://console-westeurope-release-b.citrixworkspacesapi.net:443,https,,GET,40.74.5.8,/,1792146246,40.74.5.8,HSTS,21,False,True,pendo-io-static.storage.googleapis.com,text/html,https://accounts.cloud.com/core/login?ReturnUrl=%2Fcore%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3DRtmydVjvjLZBbU3qU3b8eQ%253D%253D%26redirect_uri%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth%26response_type%3Dcode%26scope%3Dopenid%2520email%2520profile%2520ctx_principal_aliases%2520offline_access%2520ctx_universal%2520ctx_adoid%2520allow_compressed_groups%26state%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth.dcd974ae-1d42-4cda-b76e-5c2a13935361,
core-ap-s.citrixworkspacesapi.net,Swagger UI,200,6702,core-australiaeast-release-a.citrixworkspacesapi.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-31T00:00:00Z,2023-05-30T23:59:59Z,"CN=*.citrixworkspacesapi.net, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.citrixworkspacesapi.net,"Citrix Systems, Inc.",citrixworkspacesapi.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2c57d2853e7f6726a6bd1bd285486f1b,2fddbb7e6bba04b0b2484c0db255152bf7493637c7e17f11d30d6d0ff1a54bf9,True,ctls,core-australiaeast-release-a.citrixworkspacesapi.net,azure,443,https://core-ap-s.citrixworkspacesapi.net:443,https,,GET,40.82.217.223,/,-1840324437,40.82.217.223,HSTS,156,False,True,,text/html,https://core-australiaeast-release-a.citrixworkspacesapi.net/swagger/ui/index,
core-eu.citrixworkspacesapi.net,Swagger UI,200,6699,core-westeurope-release-a.citrixworkspacesapi.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-31T00:00:00Z,2023-05-30T23:59:59Z,"CN=*.citrixworkspacesapi.net, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.citrixworkspacesapi.net,"Citrix Systems, Inc.",citrixworkspacesapi.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,db619ef943d3d91017cb0a03b8d8ef33,3cec9eb08bc44ba15a078718c495600be30079881b10e72e876ec6c92cdb3801,True,ctls,core-westeurope-release-a.citrixworkspacesapi.net,azure,443,https://core-eu.citrixworkspacesapi.net:443,https,,GET,40.74.35.115,/,-1840324437,40.74.35.115,HSTS,156,False,True,,text/html,https://core-westeurope-release-a.citrixworkspacesapi.net/swagger/ui/index,
core-us.citrixworkspacesapi.net,Swagger UI,200,6695,core-eastus-release-a.citrixworkspacesapi.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-31T00:00:00Z,2023-05-30T23:59:59Z,"CN=*.citrixworkspacesapi.net, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.citrixworkspacesapi.net,"Citrix Systems, Inc.",citrixworkspacesapi.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7282697184e36fa81242885fac8bf06a,1ffa80afae9df06ee93c927da3344d6488e768dc411bfc03c22cb0ec863b8bd3,True,ctls,core-eastus-release-a.citrixworkspacesapi.net,azure,443,https://core-us.citrixworkspacesapi.net:443,https,,GET,40.90.246.186,/,-1840324437,40.90.246.186,HSTS,156,False,True,,text/html,https://core-eastus-release-a.citrixworkspacesapi.net/swagger/ui/index,
core.citrixworkspacesapi.net,Swagger UI,200,6695,core-eastus-release-a.citrixworkspacesapi.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-31T00:00:00Z,2023-05-30T23:59:59Z,"CN=*.citrixworkspacesapi.net, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.citrixworkspacesapi.net,"Citrix Systems, Inc.",citrixworkspacesapi.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7282697184e36fa81242885fac8bf06a,1ffa80afae9df06ee93c927da3344d6488e768dc411bfc03c22cb0ec863b8bd3,True,ctls,core-eastus-release-a.citrixworkspacesapi.net,azure,443,https://core.citrixworkspacesapi.net:443,https,,GET,40.74.35.115,/,-1840324437,40.74.35.115,HSTS,156,False,True,,text/html,https://core-eastus-release-a.citrixworkspacesapi.net/swagger/ui/index,
customers-eu.citrixworkspacesapi.net,Swagger UI,200,6713,customers-westeurope-release-a.citrixworkspacesapi.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-31T00:00:00Z,2023-05-30T23:59:59Z,"CN=*.citrixworkspacesapi.net, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.citrixworkspacesapi.net,"Citrix Systems, Inc.",citrixworkspacesapi.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,db619ef943d3d91017cb0a03b8d8ef33,3cec9eb08bc44ba15a078718c495600be30079881b10e72e876ec6c92cdb3801,True,ctls,customers-westeurope-release-a.citrixworkspacesapi.net,azure,443,https://customers-eu.citrixworkspacesapi.net:443,https,,GET,40.74.35.115,/,-1840324437,40.74.35.115,HSTS,156,False,True,,text/html,https://customers-westeurope-release-a.citrixworkspacesapi.net/swagger/ui/index,
