new,host,soa,status_code,a,aaaa,cdn,cdn-name,ns,caa,cname,mx,txt
,ghost.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.175.50, 104.17.174.50","2606:4700::6811:ae32, 2606:4700::6811:af32",True,cloudflare,,,,,
,grafana.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.175.50, 104.17.174.50","2606:4700::6811:af32, 2606:4700::6811:ae32",True,cloudflare,,,,,
,hedera.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,help.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.174.50, 104.17.175.50","2606:4700::6811:ae32, 2606:4700::6811:af32",True,cloudflare,,,,,
,hund.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,image-resizer.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,insight-btc0.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,it-handbook.ot.exodus.com,"bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,jenkins.dev.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,link-t.exodus.com,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,199.36.158.100,,,,,,,,
,link.exodus.com,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,litecoin-insight.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,litecoin.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,marley-p.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.175.50, 104.17.174.50","2606:4700::6811:ae32, 2606:4700::6811:af32",True,cloudflare,,,,,
,master.compound.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,metadata.exodus.com,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.18.218, 104.18.19.218","2606:4700::6812:13da, 2606:4700::6812:12da",True,cloudflare,,,,,
,metadata.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.174.50, 104.17.175.50","2606:4700::6811:ae32, 2606:4700::6811:af32",True,cloudflare,,,,,
,mgmt.aws.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,neo-mag.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1f09, 2606:4700::6812:1e09",True,cloudflare,,,,,
,neo.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,nfts-proxy.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,
,oauth.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.175.50, 104.17.174.50","2606:4700::6811:af32, 2606:4700::6811:ae32",True,cloudflare,,,,,
,ontexplorer.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.98.229, 188.114.99.229","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",True,cloudflare,,,,,
,ot.exodus.com,"bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"bart.ns.cloudflare.com, dorthy.ns.cloudflare.com","mailto:devops@exodus.io, amazon.com, comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, awstrust.com",,,
,pm-bounces.exodus.com,"ns-1077.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,"138.197.30.54, 3.143.123.126, 18.116.120.107",,,,"ns-1077.awsdns-06.org, ns-1730.awsdns-24.co.uk, ns-42.awsdns-05.com, ns-658.awsdns-18.net",,pm.mtasv.net,"p-pm-bounce-smtp01a-aws-useast2a.mtasv.net, p-pm-bounce-smtp01c-aws-useast2c.mtasv.net","google-site-verification=2ltbW8iunE_pv1YaZoVYbntlT_hNyiAaBkhcO9fgZ8s, google-site-verification=pViDNqSauXskObXnIyWwa2KxIP-CAA9GWpasGALiYek, mailru-verification: 7e478ddcd067e847, v=spf1 include:spf.mtasv.net -all"
,pm-bounces.exodus.io,"ns-1077.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,138.197.30.54,,,,,,pm.mtasv.net,"p-pm-bounce-smtp01a-aws-useast2a.mtasv.net, p-pm-bounce-smtp01c-aws-useast2c.mtasv.net","google-site-verification=2ltbW8iunE_pv1YaZoVYbntlT_hNyiAaBkhcO9fgZ8s, google-site-verification=pViDNqSauXskObXnIyWwa2KxIP-CAA9GWpasGALiYek, mailru-verification: 7e478ddcd067e847, v=spf1 include:spf.mtasv.net -all"
,polygon.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,price-feed.prod.aws.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,pricing-d.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,pricing.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,push.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.174.50, 104.17.175.50","2606:4700::6811:ae32, 2606:4700::6811:af32",True,cloudflare,,,,,
,qtum.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,raven-d.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,raven.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,referrals.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1f09, 2606:4700::6812:1e09",True,cloudflare,,,,,
,referrals.exodus.com,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.19.218, 104.18.18.218","2606:4700::6812:13da, 2606:4700::6812:12da",True,cloudflare,,,,,
,ripple.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,sandbox.aws.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,security-handbook.ot.exodus.com,"bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,server.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.174.50, 104.17.175.50","2606:4700::6811:ae32, 2606:4700::6811:af32",True,cloudflare,,,,,
,simulation.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1f09, 2606:4700::6812:1e09",True,cloudflare,,,,,
,slack-invite.exodus.com,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.19.218, 104.18.18.218","2606:4700::6812:12da, 2606:4700::6812:13da",True,cloudflare,,,,,
,slack-invite.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,solana-qn-d.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,solana.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,sportx.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,stage.aws.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,status.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,support-helpers.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,support.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.175.50, 104.17.174.50","2606:4700::6811:af32, 2606:4700::6811:ae32",True,cloudflare,,,,,
,tezos-p.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1f09, 2606:4700::6812:1e09",True,cloudflare,,,,,
,tezos.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1f09, 2606:4700::6812:1e09",True,cloudflare,,,,,
,updates.exodus.com,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.19.218, 104.18.18.218","2606:4700::6812:13da, 2606:4700::6812:12da",True,cloudflare,,,,,
,wallet.exodus.com,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,web-dapps-test.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,web-dapps.a.exodus.io,"ns-1949.awsdns-51.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"18.244.102.79, 18.244.102.20, 18.244.102.119, 18.244.102.107, 205.251.194.64, 205.251.197.81","2600:9000:26df:b200:3:e70b:c2c0:93a1, 2600:9000:26df:7800:3:e70b:c2c0:93a1, 2600:9000:26df:3e00:3:e70b:c2c0:93a1, 2600:9000:26df:5c00:3:e70b:c2c0:93a1, 2600:9000:26df:5200:3:e70b:c2c0:93a1, 2600:9000:26df:9e00:3:e70b:c2c0:93a1, 2600:9000:26df:f000:3:e70b:c2c0:93a1, 2600:9000:26df:ca00:3:e70b:c2c0:93a1",True,cloudfront,"ns-576.awsdns-08.net, ns-1949.awsdns-51.co.uk, ns-57.awsdns-07.com, ns-1361.awsdns-42.org",,d19rsc1kt3qzuz.cloudfront.net,,
,web3.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,www.exchange.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,www.exodus.com,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.18.218, 104.18.19.218","2606:4700::6812:12da, 2606:4700::6812:13da",True,cloudflare,,,,,keybase-site-verification=MkVeAvMGHP6MoNhw125KOFVbQfrrDLBfyEIjR5LaVss
,www.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.175.50, 104.17.174.50","2606:4700::6811:af32, 2606:4700::6811:ae32",True,cloudflare,,,,,
,zcash.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1f09, 2606:4700::6812:1e09",True,cloudflare,,,,,
,zilliqa.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
