input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url
dash.a.exodus.io,,404,15,*.exodus.com,dash.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,dash.a.exodus.io,cloudflare,443,https://dash.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.30.9,/,-753586893,2606:4700::6812:1f09,Cloudflare,1,False,True,,
docs.exodus.com,Introduction | Exodus Docs,200,9970,,docs.exodus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-04T00:00:00Z,2023-12-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b30590014cbe9ca28faea5c7e109c6c6,a767ff9c7a6a3f7ec5a5d821df10fffcce3949cf815f2e8a9394c987bd874675,True,ctls,docs.exodus.com,cloudflare,443,https://docs.exodus.com:443,https,cloudflare,text/html,GET,104.18.18.218,/,-442852356,2606:4700::6812:13da,webpack,27,False,True,,
dogecoin.a.exodus.io,,404,15,*.a.exodus.io,dogecoin.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,dogecoin.a.exodus.io,cloudflare,443,https://dogecoin.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.30.9,/,-753586893,2606:4700::6812:1f09,Cloudflare,1,False,True,,
downloads.exodus.io,Crypto Wallet App Download for Desktop & Mobile | Exodus Download,200,187228,,www.exodus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-04T00:00:00Z,2023-12-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b30590014cbe9ca28faea5c7e109c6c6,a767ff9c7a6a3f7ec5a5d821df10fffcce3949cf815f2e8a9394c987bd874675,True,ctls,www.exodus.com,cloudflare,443,https://downloads.exodus.io:443,https,cloudflare,text/html,GET,104.17.174.50,/,225536286,2606:4700::6811:ae32,webpack,1,False,True,,https://www.exodus.com/download/
email.exodus.io,,404,19,,email.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T13:35:29Z,2023-06-14T13:35:28Z,CN=mailgun.org,mailgun.org,,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3d169b9a2155b6a3cfa18c1af722bffd,882d45c195b586adc7ddf4167d555da0fce18b30968b745469c6655ad3a6fc34,,ctls,email.exodus.io,google,443,https://email.exodus.io:443,https,,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,,2,False,True,True,
eng-handbook.ot.exodus.com,,401,74,https://*.mutinycdn.com,coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-09-10T23:59:59Z,CN=coda.io,coda.io,,*.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b61e66b6ca4e33482bfa4ebed62e795f,a0d25a026c06407d2307a5b2c8c7f49c22a190fe1aaafbdc4630e6e1d0075913,True,ctls,coda.io,cloudflare,443,https://eng-handbook.ot.exodus.com:443,https,,application/json,GET,104.18.9.235,/,-1152141437,2606:4700::6812:8eb,Sanity,1,False,True,,https://coda.io/d/Engineering-Handbook_dWMI1pUBpME/Engineering-Handbook_su9KD
eos.a.exodus.io,404 Not Found,404,146,*.exodus.io,eos.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,eos.a.exodus.io,cloudflare,443,https://eos.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.31.9,/,1494302000,2606:4700::6812:1f09,Cloudflare,8,False,True,,
etc.a.exodus.io,,404,15,*.a.exodus.io,etc.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,etc.a.exodus.io,cloudflare,443,https://etc.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.30.9,/,-753586893,2606:4700::6812:1e09,Cloudflare,1,False,True,,
eth.a.exodus.io,,404,15,*.exodus.io,eth.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,eth.a.exodus.io,cloudflare,443,https://eth.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.31.9,/,-753586893,2606:4700::6812:1f09,Cloudflare,1,False,True,,
exchange-server.exodus.io,,403,16,,exchange-server.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=exodus.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",exodus.io,"Cloudflare, Inc.",exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2acf98f75e42e11993e7fd0b1d147742,32c9c28920d91bcf5110c0dd0fd79d4679f8efffe6104e6a414147587b647085,True,ctls,exchange-server.exodus.io,cloudflare,443,https://exchange-server.exodus.io:443,https,cloudflare,text/plain,GET,104.17.174.50,/,1253481126,2606:4700::6811:af32,HSTS,1,False,True,,
exchange.exodus.io,,403,16,*.exodus.com,exchange.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=exodus.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",exodus.io,"Cloudflare, Inc.",exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2acf98f75e42e11993e7fd0b1d147742,32c9c28920d91bcf5110c0dd0fd79d4679f8efffe6104e6a414147587b647085,True,ctls,exchange.exodus.io,cloudflare,443,https://exchange.exodus.io:443,https,cloudflare,text/plain,GET,104.17.174.50,/,1253481126,2606:4700::6811:af32,HSTS,1,False,True,,
exodus.com,Best Crypto Wallet for Desktop & Mobile: Altcoin & Bitcoin | Exodus,200,210770,,www.exodus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-04T00:00:00Z,2023-12-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b30590014cbe9ca28faea5c7e109c6c6,a767ff9c7a6a3f7ec5a5d821df10fffcce3949cf815f2e8a9394c987bd874675,True,ctls,www.exodus.com,cloudflare,443,https://exodus.com:443,https,cloudflare,text/html,GET,104.18.18.218,/,1709703327,2606:4700::6812:13da,webpack,13,False,True,,https://www.exodus.com/
exodus.io,Best Crypto Wallet for Desktop & Mobile: Altcoin & Bitcoin | Exodus,200,210770,,www.exodus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-04T00:00:00Z,2023-12-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b30590014cbe9ca28faea5c7e109c6c6,a767ff9c7a6a3f7ec5a5d821df10fffcce3949cf815f2e8a9394c987bd874675,True,ctls,www.exodus.com,cloudflare,443,https://exodus.io:443,https,cloudflare,text/html,GET,104.17.174.50,/,1709703327,2606:4700::6811:af32,webpack,13,False,True,,https://www.exodus.com/
exokit.a.exodus.io,Exodus - Firewall Triggered,403,328417,,exokit.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,exokit.a.exodus.io,cloudflare,443,https://exokit.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.30.9,/,-2025011264,2606:4700::6812:1f09,Cloudflare,177,False,True,,
exokit.ot.exodus.com,Sign in ・ Cloudflare Access,200,31430,https:,ops-tooling.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,ops-tooling.cloudflareaccess.com,cloudflare,443,https://exokit.ot.exodus.com:443,https,cloudflare,text/html,GET,104.18.9.235,/,-467695059,2606:4700::6812:9eb,HSTS,88,False,True,,https://ops-tooling.cloudflareaccess.com/cdn-cgi/access/login/exokit.ot.exodus.com?kid=e78c1041026b59c21af7c9611578d0a1dae8ee88a454ccc5e55629bc87ec78c7&redirect_url=%2F&meta=eyJraWQiOiI2Mjc3YmZmYzZmYWEyNzI0OTQ1YTAzZmQzZWEzOTg1Y2ZlNDIxOWZhMzkxMWM2NWY2ZTI4NDRiNjgxYjE3NzVmIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzgwOTE3OCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImU3OGMxMDQxMDI2YjU5YzIxYWY3Yzk2MTE1NzhkMGExZGFlOGVlODhhNDU0Y2NjNWU1NTYyOWJjODdlYzc4YzciLCJob3N0bmFtZSI6ImV4b2tpdC5vdC5leG9kdXMuY29tIiwiYXBwX3Nlc3Npb25faGFzaCI6IjY3ZjE4YWI1NDhjNjk1Yjk1ZjZmMzRiMTE5MDdjODAyMDk2MGEwZjhhZjAwYWJlZGFkYTFlNGNkNGYxMzIxZGYiLCJuYmYiOjE2ODM4MDkxNzgsImlzX3dhcnAiOmZhbHNlLCJpc19nYXRld2F5IjpmYWxzZSwidHlwZSI6Im1ldGEiLCJyZWRpcmVjdF91cmwiOiJcLyIsIm10bHNfYXV0aCI6eyJjZXJ0X2lzc3Vlcl9za2kiOiIiLCJjZXJ0X3ByZXNlbnRlZCI6ZmFsc2UsImNlcnRfc2VyaWFsIjoiIiwiY2VydF9pc3N1ZXJfZG4iOiIiLCJhdXRoX3N0YXR1cyI6Ik5PTkUifSwiYXV0aF9zdGF0dXMiOiJOT05FIn0.gG2OlcQRZS15yfqRVO-plQGr1s_LU-DgNq0Udm1I52rl6-9Ewj7f9aEdVCslubM0M_Et3mJOW5qmMCFXlAGcvDLyrB0AkO8Qi4K0vuXtlthYbt8avd4jEyvceThcMW4Qy-P6X95sZufw7HeZuDcjNlWexY-xVlajt-CQp3gz3YpLS4vQiQi-cfRiUDvUUe_jahZsT9szT4jm79nAOhTnCp7NZf6YmSTzbE4KeARVwrI47v5jPY14JFlZhcZOFnwi5-Dnd3SgFsCNAKre6UjAO1vRBPG1CwPp7x8pxdhxu-Rt8bGS06dac8JmBqrTJYBVnHRlofbajWTqLPYzoWvmFg
extension.exodus.com,Multichain Web3 Wallet | Exodus Browser Extension,200,182000,,www.exodus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-04T00:00:00Z,2023-12-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b30590014cbe9ca28faea5c7e109c6c6,a767ff9c7a6a3f7ec5a5d821df10fffcce3949cf815f2e8a9394c987bd874675,True,ctls,www.exodus.com,cloudflare,443,https://extension.exodus.com:443,https,cloudflare,text/html,GET,104.18.18.218,/,-987826844,2606:4700::6812:13da,webpack,1,False,True,,https://www.exodus.com/web3-wallet
fantom.a.exodus.io,,404,15,,fantom.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,fantom.a.exodus.io,cloudflare,443,https://fantom.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.31.9,/,-753586893,2606:4700::6812:1f09,Cloudflare,1,False,True,,
get.exodus.com,Custom Domain by Bitly,200,54111,,bitly.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:00:00Z,2024-04-26T23:59:59Z,"CN=*.bitly.com, O=Bitly\, Inc., L=New York, ST=New York, C=US",*.bitly.com,"Bitly, Inc.",bitly.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ac373893849e3fbf0728c19de2085ca3,a7e06d5d08ed98256535cb130a4ecbf5b7885bd16a058129b2ea0c3c5964c87c,True,ctls,bitly.com,,443,https://get.exodus.com:443,https,nginx,text/html,GET,67.199.248.12,/,-434501501,67.199.248.13,WordPress,62,False,,,https://bitly.com/pages/landing/branded-short-domains-powered-by-bitly?bsd=get.exodus.com
get.exodus.io,Custom Domain by Bitly,200,54111,,bitly.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:00:00Z,2024-04-26T23:59:59Z,"CN=*.bitly.com, O=Bitly\, Inc., L=New York, ST=New York, C=US",*.bitly.com,"Bitly, Inc.",bitly.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ac373893849e3fbf0728c19de2085ca3,a7e06d5d08ed98256535cb130a4ecbf5b7885bd16a058129b2ea0c3c5964c87c,True,ctls,bitly.com,,443,https://get.exodus.io:443,https,nginx,text/html,GET,67.199.248.12,/,-434501501,67.199.248.13,WordPress,62,False,,,https://bitly.com/pages/landing/branded-short-domains-powered-by-bitly?bsd=get.exodus.io
getc.a.exodus.io,,404,15,*.a.exodus.io,getc.a.exodus.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",a.exodus.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ab95034a6c71122513459963f66f6c46,0f264ad9dc6a558f9ac4fd57519b16eeba4d0b78591b3cb5f5a31de6d5fd721d,True,ctls,getc.a.exodus.io,cloudflare,443,https://getc.a.exodus.io:443,https,cloudflare,text/html,GET,104.18.30.9,/,-753586893,2606:4700::6812:1f09,Cloudflare,1,False,True,,
